date,open,high,low,close,volume
2021-03-30,1990.0,2024.9,1592.0,1592.0,7491764
2021-03-31,1490.0,1560.8,1432.0,1466.3,3560915
2021-04-01,1505.1,1738.4,1499.05,1670.7,3523089
2021-04-05,1650.0,1713.0,1611.0,1651.1,986802
2021-04-06,1669.0,1680.0,1626.0,1635.15,377626
2021-04-07,1642.0,1678.9,1632.2,1649.45,351231
2021-04-08,1660.75,1676.0,1632.95,1639.3,358891
2021-04-09,1645.0,1652.95,1602.0,1613.3,268299
2021-04-12,1573.0,1575.0,1455.55,1493.75,370035
2021-04-13,1532.0,1665.0,1520.75,1639.15,540270
2021-04-15,1630.0,1666.0,1606.1,1616.55,296979
2021-04-16,1623.0,1647.0,1605.5,1617.55,223494
2021-04-19,1490.0,1593.95,1490.0,1562.7,152235
2021-04-20,1595.0,1620.0,1570.1,1578.25,128150
2021-04-22,1576.0,1647.0,1560.05,1609.1,240443
2021-04-23,1690.0,1729.85,1640.0,1689.85,671624
2021-04-26,1710.0,1721.95,1675.0,1693.45,409738
2021-04-27,1690.0,1700.85,1680.0,1686.35,195199
2021-04-28,1690.0,1836.0,1685.0,1789.9,1019865
2021-04-29,1803.0,1814.0,1744.0,1749.5,274073
2021-04-30,1720.0,1782.0,1720.0,1736.75,258523
2021-05-03,1720.0,1844.0,1715.05,1826.1,442236
2021-05-04,1840.75,1897.0,1776.05,1792.35,486281
2021-05-05,1806.7,1819.0,1771.2,1789.35,149060
2021-05-06,1798.0,1813.25,1758.0,1771.95,139763
2021-05-07,1783.7,1803.05,1720.05,1727.15,175648
2021-05-10,1738.0,1763.0,1698.0,1703.05,245173
2021-05-11,1700.0,1749.0,1683.55,1724.45,219488
2021-05-12,1724.7,1755.0,1717.85,1725.2,151554
2021-05-14,1729.0,1735.95,1653.1,1670.2,259641
2021-05-17,1682.7,1689.0,1656.0,1666.45,107944
2021-05-18,1678.95,1709.95,1661.0,1671.6,171004
2021-05-19,1673.5,1698.8,1665.0,1668.5,80416
2021-05-20,1677.0,1698.95,1662.0,1665.5,84092
2021-05-21,1674.7,1679.7,1651.0,1659.35,80402
2021-05-24,1664.7,1675.0,1641.0,1647.9,205148
2021-05-25,1654.7,1660.0,1641.7,1648.6,123062
2021-05-26,1656.5,1802.35,1656.5,1764.65,793049
2021-05-27,1778.8,1790.9,1750.05,1766.4,225660
2021-05-28,1780.0,1781.95,1710.0,1722.8,227184
2021-05-31,1685.0,1735.3,1641.0,1705.4,482913
2021-06-01,1713.0,1757.95,1690.0,1695.45,319035
2021-06-02,1702.0,1726.25,1690.0,1714.7,120718
2021-06-03,1721.95,1734.9,1691.1,1699.45,182983
2021-06-04,1699.45,1709.9,1671.25,1679.7,171791
2021-06-07,1690.0,1694.0,1650.15,1658.5,200430
2021-06-08,1667.7,1678.0,1651.1,1658.5,194471
2021-06-09,1670.0,1748.0,1641.95,1687.95,685973
2021-06-10,1735.0,1751.0,1712.1,1720.2,273550
2021-06-11,1740.0,1747.0,1711.75,1726.2,151500
2021-06-14,1733.0,1733.0,1677.0,1690.7,205955
2021-06-15,1699.85,1703.1,1675.0,1679.15,135347
2021-06-16,1680.0,1691.95,1650.0,1662.95,169691
2021-06-17,1656.0,1695.0,1652.0,1662.4,231619
2021-06-18,1650.0,1650.0,1461.95,1517.75,1227720
2021-06-21,1491.0,1560.0,1470.5,1538.05,246956
2021-06-22,1551.9,1557.8,1506.0,1510.0,153934
2021-06-23,1523.45,1532.8,1500.2,1504.6,105532
2021-06-24,1494.5,1534.9,1494.5,1514.9,103613
2021-06-25,1519.4,1530.9,1517.0,1521.8,81300
2021-06-28,1528.0,1577.0,1515.05,1558.95,204473
2021-06-29,1558.0,1569.95,1533.0,1540.15,68654
2021-06-30,1525.0,1543.8,1510.0,1514.95,101060
2021-07-01,1520.0,1552.0,1512.0,1527.9,87892
2021-07-02,1536.0,1679.5,1531.25,1661.2,951487
2021-07-05,1675.0,1774.5,1655.15,1734.55,1049479
2021-07-06,1742.8,1774.7,1721.05,1737.6,482998
2021-07-07,1738.0,1742.0,1686.0,1696.2,193373
2021-07-08,1704.7,1830.0,1671.5,1790.05,844240
2021-07-09,1764.0,1863.95,1760.05,1796.0,975670
2021-07-12,1790.0,1867.0,1776.0,1828.35,532206
2021-07-13,1844.7,1845.85,1800.0,1806.3,164725
2021-07-14,1811.4,1859.0,1802.1,1826.8,320616
2021-07-15,1835.0,1898.0,1825.1,1866.7,619857
2021-07-16,1883.9,1988.0,1866.0,1922.55,1081239
2021-07-19,1901.0,1973.0,1898.95,1921.0,398664
2021-07-20,1927.0,1937.6,1833.25,1852.3,301827
2021-07-22,1870.0,1896.1,1842.0,1855.65,144152
2021-07-23,1864.9,1925.0,1840.05,1898.55,367102
2021-07-26,1899.7,1899.7,1839.0,1846.8,149394
2021-07-27,1856.7,1879.0,1805.55,1821.45,168003
2021-07-28,1824.7,1864.3,1761.05,1831.3,204612
2021-07-29,1841.0,1865.0,1815.7,1835.15,115390
2021-07-30,1845.0,1880.0,1836.0,1855.35,116116
2021-08-02,1900.0,1950.0,1876.0,1882.75,398173
2021-08-03,1891.7,1905.0,1866.0,1894.2,115190
2021-08-04,1940.0,1950.0,1865.0,1892.25,229757
2021-08-05,1884.0,1884.0,1818.0,1828.85,108492
