date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,102.6,105.2,97.55,97.4,105.2,105.2,120.8,9.1,331550,33833675.0
2000-01-04,109.7,109.7,96.8,105.2,99.25,97.55,120.8,10.45,173200,17122430.0
2000-01-05,90.0,95.8,89.75,97.55,89.8,89.8,120.8,10.45,182600,16665907.5
2000-01-06,91.0,92.5,82.7,89.8,90.85,90.15,120.8,10.45,210450,18504097.5
2000-01-07,93.95,93.95,82.95,90.15,83.2,83.1,120.8,10.45,76500,6419130.0
2000-01-10,82.1,85.9,79.0,83.1,80.0,80.0,120.8,10.45,56450,4607620.0
2000-01-11,83.8,84.0,73.6,80.0,73.6,73.6,120.8,12.3,82800,6348997.5
2000-01-12,72.0,79.5,72.0,73.6,76.55,76.65,120.8,12.3,38550,2945557.5
2000-01-13,77.0,77.45,72.0,76.65,73.3,73.95,120.8,12.3,38250,2837480.0
2000-01-14,71.05,73.0,68.3,73.95,70.0,70.4,120.8,12.3,79300,5657380.0
2000-01-17,71.5,76.05,68.45,70.4,76.05,76.05,120.8,12.3,64400,4733095.0
2000-01-18,78.0,82.15,76.55,76.05,82.15,82.15,120.8,15.5,87000,7045120.0
2000-01-19,86.0,88.75,84.6,82.15,88.75,88.75,120.8,15.5,98950,8672982.5
2000-01-20,88.75,95.85,88.75,88.75,91.0,92.1,120.8,15.5,256300,24187687.5
2000-01-21,94.0,99.5,86.0,92.1,96.0,95.75,120.8,15.5,215650,20493835.0
2000-01-24,96.5,102.0,91.0,95.75,99.95,96.95,120.8,15.5,240650,23227492.5
2000-01-25,96.1,98.5,89.2,96.95,89.7,90.4,120.8,15.5,246050,23058832.5
2000-01-27,91.0,93.0,86.2,90.4,86.2,87.0,120.8,15.5,85500,7674140.0
2000-01-28,86.25,94.0,82.25,87.0,94.0,90.2,120.8,15.5,175150,15323092.5
2000-01-31,88.95,95.9,83.0,90.2,83.0,83.3,120.8,15.5,187900,16993580.0
2000-02-01,84.5,85.0,77.6,83.3,85.0,83.45,120.8,15.5,151300,12347902.5
2000-02-02,89.9,90.0,84.0,83.45,85.45,84.9,120.8,15.5,124850,10668160.0
2000-02-03,85.8,85.8,81.4,84.9,81.85,82.65,120.8,15.5,45600,3786677.5
2000-02-04,81.0,89.3,80.0,82.65,89.25,88.75,120.8,15.5,279200,24541250.0
2000-02-07,89.9,95.0,87.1,88.75,93.0,94.05,120.8,15.5,316200,29266922.5
2000-02-08,93.0,94.0,88.0,94.05,94.0,90.15,120.8,15.5,219650,19792870.0
2000-02-09,94.9,95.9,89.7,90.15,91.15,91.7,120.8,15.5,191850,17806197.5
2000-02-10,92.0,99.05,89.0,91.7,99.05,99.05,120.8,15.5,316950,30501282.5
2000-02-11,103.65,107.0,97.6,99.05,104.0,103.3,120.8,15.5,274950,28112492.5
2000-02-14,105.7,110.0,97.0,103.3,98.0,98.4,120.8,15.5,285550,29231632.5
2000-02-15,97.0,99.95,93.0,98.4,94.1,94.3,120.8,21.05,238400,22984785.0
2000-02-16,97.9,99.9,94.0,94.3,94.6,95.05,120.8,21.05,151000,14645695.0
2000-02-17,95.0,96.8,92.2,95.05,92.5,93.1,120.8,21.05,87150,8217372.5
2000-02-18,91.0,94.5,86.0,93.1,90.0,89.45,120.8,21.05,92400,8225435.0
2000-02-21,89.5,90.9,82.3,89.45,85.0,85.15,120.8,21.05,124400,10644097.5
2000-02-22,85.0,85.0,78.35,85.15,78.35,78.55,120.8,21.05,171350,13757740.0
2000-02-23,82.0,84.85,72.3,78.55,72.3,72.45,120.8,21.05,292400,22795255.0
2000-02-24,74.0,74.0,66.65,72.45,68.0,68.4,120.8,21.05,210850,14590042.5
2000-02-25,68.5,72.55,67.15,68.4,71.0,71.15,120.8,21.05,112000,7917147.5
2000-02-28,71.8,71.8,66.7,71.15,70.5,70.45,120.8,21.05,93450,6477130.0
2000-02-29,71.4,72.4,64.85,70.45,64.85,64.9,120.8,21.05,140300,9600685.0
2000-03-01,68.5,70.1,65.0,64.9,70.1,70.1,120.8,21.05,68550,4696810.0
2000-03-02,75.5,75.75,73.0,70.1,75.75,75.75,120.8,21.05,89750,6764435.0
2000-03-03,78.0,78.0,71.0,75.75,71.7,71.45,120.8,21.05,75150,5534862.5
2000-03-06,71.7,74.0,69.0,71.45,69.8,69.9,120.8,21.05,50200,3597952.5
2000-03-07,69.5,69.5,64.35,69.9,64.35,64.5,120.8,21.05,118900,7724242.5
2000-03-08,66.9,69.0,63.55,64.5,65.75,65.6,120.8,21.05,64000,4263087.5
2000-03-09,66.85,67.6,60.35,65.6,60.85,61.1,120.8,21.05,33900,2106585.0
2000-03-10,58.15,59.45,56.3,61.1,57.45,56.6,120.8,21.05,35400,2044072.5
2000-03-13,53.0,59.4,52.1,56.6,52.1,52.1,120.8,21.05,18100,976735.0
2000-03-14,50.1,52.5,47.95,52.1,52.5,50.05,120.8,21.05,131600,6442310.0
2000-03-15,54.0,54.05,49.5,50.05,54.05,54.05,120.8,21.05,88100,4514160.0
2000-03-16,58.3,58.3,50.1,54.05,51.25,50.45,120.8,21.05,41550,2168090.0
2000-03-21,51.0,51.75,46.45,50.45,46.45,46.45,120.8,21.05,103650,5014965.0
2000-03-22,49.0,50.2,47.5,46.45,50.2,50.2,120.8,21.05,22000,1085300.0
2000-03-23,52.0,53.9,47.1,50.2,48.1,48.2,120.8,21.05,31150,1542672.5
2000-03-24,46.3,47.95,45.0,48.2,47.0,47.55,120.8,21.05,30800,1427760.0
2000-03-27,49.0,49.0,46.4,47.55,47.5,47.25,120.8,21.05,22900,1077995.0
2000-03-28,46.5,47.5,44.8,47.25,47.5,46.65,120.8,21.05,48650,2250612.5
2000-03-29,48.0,50.4,47.05,46.65,47.95,47.95,120.8,21.05,35450,1721482.5
2000-03-30,46.3,47.25,45.5,47.95,46.25,46.5,120.8,21.05,14450,667977.5
2000-03-31,45.0,45.0,43.05,46.5,43.95,43.85,120.8,21.05,29200,1275350.0
2000-04-03,42.8,42.8,40.35,43.85,40.35,40.35,120.8,21.05,18500,760105.0
2000-04-04,37.15,37.15,37.15,40.35,37.15,37.15,120.8,21.05,11850,440227.5
2000-04-05,34.2,38.9,34.2,37.15,38.2,37.95,120.8,21.05,22700,852555.0
2000-04-06,37.05,39.5,34.95,37.95,36.5,36.8,120.8,21.05,37500,1360625.0
2000-04-07,37.25,39.75,37.25,36.8,39.75,39.75,120.8,21.05,11300,446705.0
2000-04-10,41.55,42.95,41.5,39.75,42.95,42.95,120.8,21.05,8550,366240.0
2000-04-11,39.75,43.2,39.55,42.95,39.55,40.45,120.8,21.05,62400,2534860.0
2000-04-12,40.95,41.0,39.0,40.45,39.4,39.65,120.8,21.05,34250,1370457.5
2000-04-13,36.5,38.2,36.5,39.65,37.0,37.0,120.8,21.05,29500,1097047.5
2000-04-17,34.05,35.45,34.05,37.0,34.05,34.05,120.8,21.05,18300,626145.0
2000-04-18,35.0,35.75,33.6,34.05,33.6,34.25,120.8,21.05,41600,1430120.0
2000-04-19,34.95,36.9,33.4,34.25,34.1,33.7,120.8,21.05,35800,1256525.0
2000-04-20,33.0,33.5,31.1,33.7,31.95,31.8,120.8,21.05,18550,589457.5
2000-04-24,30.5,32.25,29.3,31.8,29.3,29.3,120.8,21.05,15900,473270.0
2000-04-25,27.1,27.7,27.0,29.3,27.55,27.2,120.8,21.05,27600,748482.5
2000-04-26,28.0,29.4,27.95,27.2,29.4,29.4,120.8,21.05,13350,382350.0
2000-04-27,30.0,31.75,28.5,29.4,30.75,30.9,120.8,21.05,25450,785690.0
2000-04-28,33.0,33.0,29.55,30.9,30.9,30.95,120.8,21.05,14800,453962.5
2000-05-02,30.15,31.75,27.25,30.95,28.0,27.75,120.8,21.05,31400,894950.0
2000-05-03,27.0,27.0,24.8,27.75,25.95,25.85,120.8,21.05,22200,571887.5
2000-05-04,25.9,28.95,25.9,25.85,28.95,28.95,120.8,21.05,18300,506047.5
2000-05-05,30.7,32.4,30.0,28.95,32.4,32.3,120.8,21.05,31550,998185.0
2000-05-08,34.5,35.8,32.55,32.3,33.95,33.75,120.8,21.05,42200,1441340.0
2000-05-09,31.25,35.4,31.25,33.75,34.5,34.7,120.8,21.05,24700,820767.5
