date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-02-05,58.0,66.07,58.0,54.88,61.7,62.89,66.07,58.0,1255,82090.69
2024-02-06,58.8,66.14,58.8,62.89,66.14,66.14,66.14,58.0,370,24095.06
2024-02-07,66.06,66.06,66.06,66.14,66.06,66.06,66.14,58.0,196,12947.76
2024-02-08,66.07,66.07,66.06,66.06,66.06,66.06,66.14,58.0,2,132.13
2024-02-09,66.1,66.1,66.1,66.06,66.1,66.1,66.14,58.0,2,132.2
2024-02-12,66.08,66.08,66.0,66.1,66.0,66.0,66.14,58.0,4,264.08
2024-02-13,65.96,65.96,65.96,66.0,65.96,65.96,66.14,58.0,2,131.92
2024-02-14,66.03,66.03,66.0,65.96,66.0,66.0,66.14,58.0,43,2838.09
2024-02-15,66.01,66.01,54.5,66.0,66.0,64.49,66.14,54.5,1416,88304.34
2024-02-16,65.9,65.9,64.0,64.49,64.0,64.0,66.14,54.5,125,8190.0
2024-02-19,65.6,65.6,63.9,64.0,65.6,64.03,66.14,54.5,344,22028.6
2024-02-20,54.5,66.03,54.5,64.03,58.02,65.73,66.14,54.5,250,16258.71
2024-02-21,65.73,66.0,64.42,65.73,66.0,66.0,66.14,54.5,664,42969.12
2024-02-22,66.01,66.01,65.0,66.0,66.0,66.0,66.14,54.5,46,3035.01
2024-02-23,55.5,58.5,55.15,66.0,55.45,55.36,66.14,54.5,72118,3996899.01
2024-02-26,56.52,56.52,55.2,55.36,55.23,55.23,66.14,54.5,8533,472728.48
2024-02-27,56.52,56.52,55.01,55.23,55.91,55.15,66.14,54.5,657,36673.08
2024-02-28,55.15,55.86,53.89,55.15,54.18,55.13,66.14,53.89,860,47223.17
2024-02-29,56.5,56.5,54.6,55.13,54.82,54.82,66.14,53.89,2067,114186.29
2024-03-01,54.0,56.22,54.0,54.82,55.85,55.85,66.14,53.89,1704,94599.72
2024-03-02,56.0,56.0,56.0,55.85,56.0,56.0,66.14,53.89,23,1288.0
2024-03-04,56.87,56.87,53.2,56.0,55.7,55.7,66.14,53.2,619,34135.79
2024-03-05,56.7,56.7,55.0,55.7,55.93,55.91,66.14,53.2,332,18313.44
2024-03-06,55.93,55.93,54.8,55.91,54.8,54.89,66.14,53.2,1490,82238.2
2024-03-07,56.26,56.42,54.8,54.89,56.0,55.89,66.14,53.2,756,42308.3
2024-03-11,56.84,56.84,55.2,55.89,55.93,55.89,66.14,53.2,289,16148.7
2024-03-12,56.1,56.1,55.0,55.89,55.74,55.74,66.14,53.2,150,8340.03
2024-03-13,54.95,55.67,54.95,55.74,55.67,55.67,66.14,53.2,1038,57046.74
2024-03-14,55.74,55.75,55.74,55.67,55.75,55.75,66.14,53.2,390,21741.5
2024-03-15,55.75,55.75,55.54,55.75,55.54,55.54,66.14,53.2,84,4666.53
2024-03-18,55.54,55.54,54.85,55.54,55.5,55.5,66.14,53.2,190,10533.12
2024-03-19,55.5,55.5,54.41,55.5,55.49,54.43,66.14,53.2,1289,70334.03
2024-03-20,54.9,55.48,54.85,54.43,55.48,55.48,66.14,53.2,679,37254.74
2024-03-21,55.48,55.48,54.85,55.48,55.46,55.46,66.14,53.2,865,47639.41
2024-03-22,55.0,55.4,55.0,55.46,55.0,55.0,66.14,53.2,601,33062.83
2024-03-26,55.85,55.85,55.0,55.0,55.0,55.0,66.14,53.2,1863280,103113703.55
2024-03-27,55.0,55.0,54.01,55.0,54.98,54.98,66.14,53.2,947,51815.36
2024-03-28,55.0,56.5,55.0,54.98,56.5,56.19,66.14,53.2,1930,107405.35
2024-04-01,56.19,56.19,54.8,56.19,56.1,55.87,66.14,53.2,865,48291.22
2024-04-02,56.05,56.09,54.8,55.87,55.6,55.66,66.14,53.2,959,53275.07
2024-04-03,55.66,56.15,55.0,55.66,55.93,55.95,66.14,53.2,63251,3520003.22
2024-04-04,55.92,55.94,55.41,55.95,55.94,55.94,66.14,53.2,771,42967.34
2024-04-05,55.4,56.0,55.01,55.94,56.0,55.95,66.14,53.2,557,31108.67
2024-04-08,55.4,56.8,54.68,55.95,55.01,55.7,66.14,53.2,1686,93711.58
2024-04-09,55.9,56.85,55.01,55.7,56.3,56.3,66.14,53.2,497,27882.64
2024-04-10,55.91,56.2,55.5,56.3,56.1,55.79,66.14,53.2,1971,110363.59
2024-04-12,55.85,56.15,55.2,55.79,56.15,56.15,66.14,53.2,474,26400.15
2024-04-15,56.15,56.15,55.01,56.15,56.1,56.1,66.14,53.2,82,4571.69
2024-04-16,55.4,56.09,54.86,56.1,55.94,55.87,66.14,53.2,1782,98848.78
2024-04-18,56.12,56.12,54.86,55.87,55.02,55.02,66.14,53.2,338,18594.75
2024-04-19,55.02,56.09,55.02,55.02,56.09,56.09,66.14,53.2,8,447.65
2024-04-22,56.09,56.09,54.85,56.09,55.89,55.89,66.14,53.2,969,53484.56
2024-04-24,55.4,55.88,55.0,55.89,55.79,55.79,66.14,53.2,332,18306.31
2024-04-25,55.2,55.76,55.0,55.79,55.1,55.07,66.14,53.2,1714,94331.16
2024-04-26,55.4,55.97,55.0,55.07,55.85,55.85,66.14,53.2,1263,70282.43
2024-04-29,56.12,56.12,54.7,55.85,55.91,55.91,66.14,53.2,269,14897.34
2024-04-30,56.8,56.8,55.0,55.91,55.4,55.09,66.14,53.2,1491,82574.92
2024-05-02,55.4,56.03,55.0,55.09,55.97,55.8,66.14,53.2,235,13020.71
2024-05-03,55.25,55.79,55.25,55.8,55.25,55.25,66.14,53.2,1087,60069.57
