date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-10-11,2417.0,2440.0,2285.3,2352.85,2352.0,2355.75,2790.0,2100.0,28360,66409795.45
2023-10-12,2383.95,2425.0,2310.05,2355.75,2360.0,2364.0,2790.0,2100.0,15581,36725411.25
2023-10-13,2358.8,2405.0,2325.0,2364.0,2332.0,2345.4,2790.0,2100.0,21684,50980429.9
2023-10-16,2302.0,2364.0,2302.0,2345.4,2363.0,2349.15,2790.0,2100.0,43372,102044521.5
2023-10-17,2360.0,2400.0,2334.0,2349.15,2342.0,2351.65,2790.0,2100.0,33682,79273263.3
2023-10-18,2352.05,2365.0,2320.2,2351.65,2354.0,2353.55,2790.0,2100.0,30262,71124199.75
2023-10-19,2354.0,2588.85,2335.05,2353.55,2560.0,2561.15,2790.0,2100.0,114280,284789933.35
2023-10-20,2558.05,2590.0,2541.65,2561.15,2575.0,2562.0,2790.0,2100.0,51282,131524184.95
2023-10-23,2565.0,2599.0,2460.25,2562.0,2517.85,2514.95,2790.0,2100.0,59528,150707775.25
2023-10-25,2540.0,2600.0,2498.1,2514.95,2523.8,2526.95,2790.0,2100.0,34781,88569046.85
2023-10-26,2500.0,2724.45,2461.6,2526.95,2695.0,2704.55,2790.0,2100.0,98080,256258377.0
2023-10-27,2730.0,2752.95,2675.0,2704.55,2703.3,2713.6,2790.0,2100.0,33254,90455954.8
2023-10-30,2900.0,2947.85,2810.1,2713.6,2865.0,2863.1,2947.85,2100.0,97836,279880551.8
2023-10-31,3001.0,3010.1,2835.15,2863.1,2924.0,2923.35,3010.1,2100.0,162341,475858105.0
2023-11-01,2950.0,2977.95,2841.5,2923.35,2889.0,2895.95,3010.1,2100.0,38693,112101345.6
2023-11-02,2950.9,2978.9,2860.75,2895.95,2880.0,2879.55,3010.1,2100.0,33968,98838454.1
2023-11-03,2969.7,2969.7,2841.6,2879.55,2870.0,2878.85,3010.1,2100.0,22984,66058049.5
2023-11-06,2897.0,2901.15,2745.0,2878.85,2803.55,2810.3,3010.1,2100.0,45477,127175749.85
2023-11-07,2810.0,2822.0,2739.85,2810.3,2760.0,2755.2,3010.1,2100.0,21655,60312557.5
2023-11-08,2756.05,2778.0,2714.5,2755.2,2744.0,2735.55,3010.1,2100.0,34055,93096890.7
2023-11-09,2700.15,2738.45,2630.55,2735.55,2711.0,2702.55,3010.1,2100.0,53276,143623772.5
2023-11-10,2679.0,2737.0,2618.65,2702.55,2661.0,2653.05,3010.1,2100.0,276469,742561220.45
2023-11-12,2685.0,2766.0,2675.0,2653.05,2760.0,2713.85,3010.1,2100.0,124435,337953948.7
2023-11-13,2740.0,2908.55,2712.6,2713.85,2755.4,2747.4,3010.1,2100.0,477945,1334788198.6
2023-11-15,2780.05,2884.4,2755.5,2747.4,2804.0,2804.2,3010.1,2100.0,272066,768141265.05
2023-11-16,2825.0,2970.7,2758.85,2804.2,2905.0,2898.85,3010.1,2100.0,243270,704397876.05
2023-11-17,2920.0,3174.6,2869.25,2898.85,3125.0,3121.8,3174.6,2100.0,370308,1114490225.95
2023-11-20,3149.0,3264.4,3056.0,3121.8,3245.0,3212.75,3264.4,2100.0,317244,997608664.2
2023-11-21,3251.0,3314.0,3165.2,3212.75,3211.0,3205.65,3314.0,2100.0,104611,340126581.7
2023-11-22,3221.0,3229.0,3117.2,3205.65,3180.0,3173.65,3314.0,2100.0,110815,352969492.7
2023-11-23,3194.0,3253.0,3165.2,3173.65,3210.0,3219.55,3314.0,2100.0,88417,283651138.65
2023-11-24,3238.0,3257.0,3145.0,3219.55,3167.0,3164.2,3314.0,2100.0,91066,290206218.15
2023-11-28,3165.1,3193.9,3142.0,3164.2,3184.75,3186.45,3314.0,2100.0,55462,176333136.75
2023-11-29,3216.0,3216.0,3140.05,3186.45,3165.0,3170.2,3314.0,2100.0,92808,294396288.75
2023-11-30,3170.2,3184.6,3080.0,3170.2,3141.0,3142.7,3314.0,2100.0,92658,291008820.45
2023-12-01,3150.4,3220.0,3145.05,3142.7,3178.0,3176.05,3314.0,2100.0,86431,274747465.55
2023-12-04,3450.0,3450.0,3225.6,3176.05,3305.0,3313.5,3450.0,2100.0,328880,1085916898.8
2023-12-05,3349.0,3349.0,3215.55,3313.5,3242.55,3248.55,3450.0,2100.0,107286,350756761.45
2023-12-06,3252.0,3285.1,3222.4,3248.55,3248.55,3246.65,3450.0,2100.0,51204,166135892.65
2023-12-07,3245.0,3260.4,3210.1,3246.65,3244.0,3236.0,3450.0,2100.0,110224,356801507.3
2023-12-08,3268.0,3268.0,3108.4,3236.0,3175.1,3165.2,3450.0,2100.0,64663,205490170.5
2023-12-11,3194.0,3237.5,3151.05,3165.2,3200.0,3200.85,3450.0,2100.0,155404,496826806.35
2023-12-12,3237.0,3288.0,3213.1,3200.85,3235.0,3267.55,3450.0,2100.0,228446,744457515.3
2023-12-13,3295.3,3610.0,3270.0,3267.55,3575.0,3552.95,3610.0,2100.0,288681,993268447.1
2023-12-14,3615.05,3640.0,3525.15,3552.95,3579.8,3592.3,3640.0,2100.0,135882,487296893.35
2023-12-15,3624.0,3770.0,3604.95,3592.3,3705.75,3712.25,3770.0,2100.0,195508,723659951.8
2023-12-18,3666.15,3694.85,3565.45,3712.25,3585.0,3615.0,3770.0,2100.0,73181,265597002.7
2023-12-19,3625.0,3671.85,3560.1,3615.0,3627.0,3620.1,3770.0,2100.0,54651,197841403.9
2023-12-20,3674.0,3745.0,3515.1,3620.1,3544.0,3565.0,3770.0,2100.0,103035,376787414.6
2023-12-21,3501.0,3674.0,3475.0,3565.0,3655.0,3666.0,3770.0,2100.0,43279,155626169.1
2023-12-22,3680.0,3700.95,3566.05,3666.0,3635.0,3622.35,3770.0,2100.0,37525,136074181.6
2023-12-26,3625.0,3730.0,3612.55,3622.35,3671.0,3646.0,3770.0,2100.0,46043,169123185.5
2023-12-27,3688.0,3688.0,3574.0,3646.0,3625.95,3610.65,3770.0,2100.0,21441,77628884.7
2023-12-28,3628.0,3650.0,3555.1,3610.65,3634.0,3629.5,3770.0,2100.0,31940,115404245.85
2023-12-29,3647.95,3647.95,3544.65,3629.5,3597.4,3589.95,3770.0,2100.0,23790,85228222.8
2024-01-01,3620.0,3650.15,3560.0,3589.95,3625.6,3615.7,3770.0,2100.0,15641,56185839.35
2024-01-02,3616.0,3629.7,3515.0,3615.7,3551.0,3569.1,3770.0,2100.0,30070,107156802.05
2024-01-03,3579.0,3625.15,3533.05,3569.1,3580.25,3590.85,3770.0,2100.0,25185,90421498.2
2024-01-04,3600.0,3655.0,3572.6,3590.85,3614.45,3605.0,3770.0,2100.0,28837,104266937.55
2024-01-05,3593.0,3691.05,3593.0,3605.0,3620.8,3635.75,3770.0,2100.0,36220,131714258.85
2024-01-08,3635.75,3660.9,3440.0,3635.75,3490.0,3466.4,3770.0,2100.0,58062,203358627.85
2024-01-09,3497.85,3510.9,3425.05,3466.4,3457.0,3459.5,3770.0,2100.0,42271,146687003.9
2024-01-10,3459.5,3625.85,3430.0,3459.5,3542.55,3538.7,3770.0,2100.0,49133,171159546.8
2024-01-11,3570.0,3600.0,3510.0,3538.7,3580.1,3586.8,3770.0,2100.0,67370,239589030.6
2024-01-12,3623.8,3752.1,3559.0,3586.8,3705.0,3707.0,3770.0,2100.0,84565,311896231.3
2024-01-15,3799.95,3799.95,3651.1,3707.0,3721.5,3733.9,3799.95,2100.0,60343,224486322.0
2024-01-16,3750.0,3750.0,3501.0,3733.9,3560.0,3572.25,3799.95,2100.0,60090,217358112.35
2024-01-17,3572.25,3575.0,3369.05,3572.25,3430.0,3437.65,3799.95,2100.0,161911,561198044.5
2024-01-18,3449.85,3603.3,3410.0,3437.65,3562.0,3554.35,3799.95,2100.0,49444,172971016.8
2024-01-19,3595.0,3598.0,3430.0,3554.35,3450.0,3443.4,3799.95,2100.0,55079,191464178.95
2024-01-20,3450.0,3488.95,3415.0,3443.4,3440.0,3423.95,3799.95,2100.0,18745,64570702.0
2024-01-23,3423.95,3442.3,3300.0,3423.95,3300.0,3303.75,3799.95,2100.0,45817,153441015.6
2024-01-24,3290.0,3400.0,3255.0,3303.75,3351.3,3380.2,3799.95,2100.0,60003,198516383.7
2024-01-25,3414.0,3525.0,3370.05,3380.2,3500.0,3505.65,3799.95,2100.0,38971,135167708.55
2024-01-29,3550.0,3671.0,3507.55,3505.65,3600.0,3646.75,3799.95,2100.0,61735,222221378.55
2024-01-30,3660.0,3666.75,3540.0,3646.75,3582.35,3571.4,3799.95,2100.0,65644,235618417.0
2024-01-31,3600.0,3623.35,3519.95,3571.4,3573.0,3574.7,3799.95,2100.0,43623,156023097.95
2024-02-01,3649.0,3649.0,3499.95,3574.7,3544.9,3525.05,3799.95,2100.0,96744,342748286.85
2024-02-02,3500.0,3583.95,3380.0,3525.05,3405.0,3401.4,3799.95,2100.0,44407,154687476.0
2024-02-05,3390.1,3396.5,3182.55,3401.4,3240.0,3234.9,3799.95,2100.0,99460,322849209.0
2024-02-06,3234.5,3305.6,3170.7,3234.9,3223.0,3224.7,3799.95,2100.0,50521,163031383.2
2024-02-07,3229.95,3289.9,3200.0,3224.7,3245.0,3242.85,3799.95,2100.0,57305,185874325.4
2024-02-08,3260.0,3429.0,3260.0,3242.85,3379.4,3374.5,3799.95,2100.0,81097,272845010.8
2024-02-09,3397.95,3477.0,3316.0,3374.5,3451.0,3450.7,3799.95,2100.0,67307,228372789.35
2024-02-12,3500.0,3543.0,3350.05,3450.7,3390.0,3391.35,3799.95,2100.0,58705,201901749.4
2024-02-13,3442.2,3476.95,3302.45,3391.35,3411.0,3410.55,3799.95,2100.0,51468,174274883.85
2024-02-14,3521.6,3898.0,3501.1,3410.55,3865.0,3857.7,3898.0,2100.0,514894,1929664067.95
2024-02-15,3986.0,4251.0,3871.1,3857.7,4224.0,4199.6,4251.0,2100.0,332771,1346820788.4
2024-02-16,4350.0,4352.0,4140.05,4199.6,4199.6,4181.35,4352.0,2100.0,141251,593777588.55
2024-02-19,4199.6,4495.8,4199.6,4181.35,4340.0,4317.05,4495.8,2100.0,157125,687365699.15
2024-02-20,4390.0,4548.95,4181.35,4317.05,4224.0,4215.7,4548.95,2100.0,100268,435413774.05
2024-02-21,4288.0,4329.45,4200.0,4215.7,4300.0,4290.0,4548.95,2100.0,42583,181135743.8
2024-02-22,4341.0,4541.4,4219.35,4290.0,4470.0,4484.95,4548.95,2100.0,56244,246865870.25
2024-02-23,4545.0,4545.0,4306.0,4484.95,4425.0,4435.6,4548.95,2100.0,41195,181134263.8
2024-02-26,4440.0,4440.0,4268.2,4435.6,4295.0,4288.1,4548.95,2100.0,19828,86061353.4
2024-02-27,4348.0,4389.6,4230.0,4288.1,4235.0,4250.6,4548.95,2100.0,20944,90024139.45
2024-02-28,4225.05,4297.95,4060.05,4250.6,4100.0,4084.0,4548.95,2100.0,38305,158179419.45
2024-02-29,4083.95,4190.0,4014.05,4084.0,4140.5,4135.85,4548.95,2100.0,44970,185360307.95
2024-03-01,4150.0,4276.15,4135.85,4135.85,4150.0,4146.2,4548.95,2100.0,22983,96209856.55
2024-03-02,4201.0,4225.0,4080.05,4146.2,4099.95,4097.5,4548.95,2100.0,3103,12813265.25
2024-03-04,4116.5,4429.9,4116.5,4097.5,4429.9,4405.0,4548.95,2100.0,66706,288527081.9
2024-03-05,4460.0,4460.0,4214.35,4405.0,4270.0,4255.55,4548.95,2100.0,57854,252954099.55
2024-03-06,4180.0,4199.0,4021.8,4255.55,4089.0,4084.35,4548.95,2100.0,67486,275171275.15
2024-03-07,4074.4,4201.55,4049.7,4084.35,4075.0,4085.15,4548.95,2100.0,40902,168994061.85
2024-03-11,4146.45,4146.8,3900.0,4085.15,3989.0,3975.1,4548.95,2100.0,71372,282233536.05
2024-03-12,4007.5,4085.1,3822.05,3975.1,3847.0,3851.25,4548.95,2100.0,100071,392590925.35
2024-03-13,3900.0,3929.95,3760.8,3851.25,3798.0,3809.4,4548.95,2100.0,108921,418235122.05
2024-03-14,3814.85,4009.95,3784.65,3809.4,4009.9,4001.3,4548.95,2100.0,51957,205279804.15
2024-03-15,4030.0,4374.7,3970.0,4001.3,4150.0,4205.25,4548.95,2100.0,449361,1880611386.5
2024-03-18,4184.5,4237.8,4042.5,4205.25,4136.0,4136.7,4548.95,2100.0,47726,197424336.05
2024-03-19,4130.05,4188.05,3949.35,4136.7,4035.0,4001.0,4548.95,2100.0,31973,129916903.55
2024-03-20,4005.0,4190.0,3974.95,4001.0,4089.7,4137.75,4548.95,2100.0,53638,220331585.35
2024-03-21,4159.0,4297.0,4150.0,4137.75,4240.0,4259.55,4548.95,2100.0,59467,252385682.65
2024-03-22,4287.9,4289.2,4182.2,4259.55,4182.25,4229.45,4548.95,2100.0,27703,117133362.5
2024-03-26,4250.0,4269.45,4090.8,4229.45,4113.9,4106.05,4548.95,2100.0,28763,118507326.3
2024-03-27,4290.0,4849.0,4150.0,4106.05,4754.0,4713.55,4849.0,2100.0,328320,1492887952.25
2024-03-28,4740.0,4799.0,4626.0,4713.55,4690.0,4671.7,4849.0,2100.0,72893,344146173.25
2024-04-01,4747.0,4979.8,4595.6,4671.7,4620.0,4627.9,4979.8,2100.0,57510,270893282.45
2024-04-02,4702.0,4974.95,4702.0,4627.9,4847.0,4816.4,4979.8,2100.0,134558,655785584.1
2024-04-03,4920.0,4995.0,4825.4,4816.4,4910.0,4878.9,4995.0,2100.0,103860,508337006.8
2024-04-04,4910.0,5001.0,4864.55,4878.9,4941.15,4950.95,5001.0,2100.0,91363,452935532.4
2024-04-05,4950.0,5001.0,4901.05,4950.95,4950.95,4959.0,5001.0,2100.0,28920,143782673.75
2024-04-08,5020.0,5165.0,4976.65,4959.0,5032.35,5047.65,5165.0,2100.0,43798,221576512.2
2024-04-09,5161.2,5380.0,5097.1,5047.65,5220.0,5197.9,5380.0,2100.0,131359,688814380.25
2024-04-10,5300.0,5300.0,5040.0,5197.9,5150.0,5145.8,5380.0,2100.0,56260,290103141.8
2024-04-12,5177.25,5475.0,5120.0,5145.8,5400.0,5414.55,5475.0,2100.0,146992,786041794.25
2024-04-15,5200.0,5401.65,5158.5,5414.55,5280.05,5290.85,5475.0,2100.0,79844,423331732.15
2024-04-16,5250.0,5319.75,5160.05,5290.85,5191.75,5199.25,5475.0,2100.0,31973,167620400.35
2024-04-18,5284.0,5344.3,5210.7,5199.25,5275.0,5285.2,5475.0,2100.0,32368,171207061.75
2024-04-19,5315.0,5347.6,5200.0,5285.2,5275.75,5297.65,5475.0,2100.0,26005,137904570.2
2024-04-22,5388.0,5444.0,5238.15,5297.65,5242.15,5254.7,5475.0,2100.0,21310,112611783.4
2024-04-23,5299.9,5302.4,5180.0,5254.7,5181.0,5199.75,5475.0,2100.0,33546,174754023.2
2024-04-24,5306.0,5474.7,5253.95,5199.75,5395.0,5386.1,5475.0,2100.0,86229,464476928.55
2024-04-25,5499.0,5500.0,5389.4,5386.1,5430.0,5453.4,5500.0,2100.0,45298,246509152.65
2024-04-26,5380.0,5453.4,5250.0,5453.4,5339.55,5348.8,5500.0,2100.0,28980,154479834.6
2024-04-29,5350.0,5377.45,5251.55,5348.8,5260.1,5268.9,5500.0,2100.0,15894,84022899.95
2024-04-30,5268.8,5320.05,5175.1,5268.9,5202.2,5227.05,5500.0,2100.0,20488,107698320.9
2024-05-02,5172.05,5326.0,5151.0,5227.05,5240.9,5302.35,5500.0,2100.0,26669,139687623.7
