date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2018-02-07,71.05,72.7,70.0,72.75,72.7,71.8,102.9,49.0,5861,418023.35
2018-02-08,72.0,73.9,71.25,71.8,72.05,71.9,102.9,49.0,1384,99873.55
2018-02-09,71.0,75.4,70.55,71.9,73.2,73.0,102.9,49.0,7821,573089.5
2018-02-12,74.6,76.0,74.6,73.0,75.0,75.1,102.9,49.0,3478,262399.45
2018-02-14,75.2,78.0,74.05,75.1,77.65,76.65,102.9,49.0,7601,584049.6
2018-02-15,75.1,76.95,75.0,76.65,75.0,75.4,102.9,49.0,287,21738.85
2018-02-16,73.1,75.45,72.5,75.4,74.35,74.35,102.9,49.0,3864,283230.1
2018-02-19,72.05,75.45,71.1,74.35,71.1,71.2,102.9,49.0,2357,169367.5
2018-02-20,71.0,72.5,70.0,71.2,70.15,70.15,102.9,49.0,1950,137683.5
2018-02-21,70.0,70.45,67.8,70.15,70.45,69.7,102.9,49.0,10788,741141.4
2018-02-22,67.8,68.5,67.8,69.7,68.25,68.25,102.9,49.0,350,23932.45
2018-02-23,71.3,71.65,67.75,68.25,71.65,71.65,102.9,49.0,2922,205010.45
2018-02-26,74.95,75.0,70.7,71.65,73.95,72.2,102.9,49.0,10525,764034.0
2018-02-27,71.85,75.0,71.7,72.2,75.0,75.0,102.9,49.0,6702,502405.2
2018-02-28,75.0,75.0,72.4,75.0,72.5,72.55,102.9,49.0,553,40243.7
2018-03-01,72.05,74.25,70.0,72.55,71.0,70.05,102.9,49.0,4090,294030.25
2018-03-05,71.0,71.0,67.2,70.05,70.45,68.25,102.9,49.0,1365,94385.7
2018-03-06,67.2,68.9,66.85,68.25,67.6,67.6,102.9,49.0,4291,287771.6
2018-03-07,66.0,69.55,66.0,67.6,68.1,67.4,102.9,49.0,2697,181507.2
2018-03-08,64.25,70.4,64.1,67.4,67.0,67.0,102.9,49.0,1140,75538.25
2018-03-09,67.0,67.0,64.15,67.0,64.8,64.8,102.9,49.0,6212,406643.75
2018-03-12,67.85,67.85,63.15,64.8,63.2,63.15,102.9,49.0,2030,129766.1
2018-03-13,66.25,66.25,63.55,63.15,63.85,63.9,102.9,49.0,2462,158734.4
2018-03-14,64.0,66.9,64.0,63.9,65.55,66.1,102.9,49.0,6765,443685.9
2018-03-15,64.1,65.0,62.8,66.1,63.0,62.8,102.9,49.0,26041,1662143.55
2018-03-16,64.65,64.65,60.05,62.8,61.0,61.05,102.9,49.0,6094,371601.0
2018-03-19,60.0,60.0,58.0,61.05,58.0,59.45,102.9,49.0,7366,430847.9
2018-03-20,56.5,59.75,56.5,59.45,57.35,57.8,102.9,49.0,18163,1054098.25
2018-03-21,57.3,59.55,54.95,57.8,56.1,55.3,102.9,49.0,24205,1365566.25
2018-03-22,55.05,56.9,53.05,55.3,53.05,53.1,102.9,49.0,5151,283468.0
2018-03-23,53.0,54.0,50.45,53.1,52.25,52.05,102.9,49.0,15587,798829.9
2018-03-26,50.2,52.95,49.5,52.05,49.65,49.6,102.9,49.0,3028,152989.55
2018-03-27,48.3,52.0,48.3,49.6,51.2,51.6,102.9,48.3,1602,82654.75
2018-03-28,49.55,52.3,49.1,51.6,50.0,50.0,102.9,48.3,3391,173088.7
2018-04-02,52.2,52.5,52.2,50.0,52.5,52.5,102.9,48.3,1085,56953.5
2018-04-03,52.65,54.9,52.65,52.5,52.7,53.3,102.9,48.3,214,11334.0
2018-04-04,55.75,55.8,52.65,53.3,55.0,53.9,102.9,48.3,502,27623.8
