date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2011-09-30,248.8,264.05,232.0,240.25,233.15,235.85,264.05,232.0,21182,5250696.85
2011-10-03,227.6,234.25,227.6,235.85,229.5,231.85,264.05,227.6,529,121867.25
2011-10-04,225.5,231.95,225.5,231.85,231.2,231.2,264.05,225.5,262,60053.6
2011-10-05,226.15,230.95,226.0,231.2,227.9,226.3,264.05,225.5,222,50273.55
2011-10-07,231.0,233.0,224.0,226.3,225.0,224.1,264.05,224.0,10067,2267254.5
2011-10-10,231.95,231.95,222.0,224.1,223.0,223.1,264.05,222.0,5357,1205196.95
2011-10-11,248.0,250.0,220.0,223.1,223.0,223.0,264.05,220.0,3661,827680.65
2011-10-12,226.0,228.0,223.0,223.0,223.0,223.3,264.05,220.0,3215,721614.5
2011-10-13,224.1,227.9,220.05,223.3,222.5,223.25,264.05,220.0,2165,485402.95
2011-10-14,223.0,225.0,223.0,223.25,223.0,223.2,264.05,220.0,1230,274438.0
2011-10-17,224.0,226.0,223.5,223.2,226.0,224.05,264.05,220.0,1722,385689.5
2011-10-18,224.05,225.0,223.0,224.05,223.9,223.8,264.05,220.0,1609,361006.75
2011-10-19,223.95,224.0,221.5,223.8,223.0,223.0,264.05,220.0,710,158478.5
2011-10-20,223.0,223.75,223.0,223.0,223.0,223.0,264.05,220.0,1175,262247.75
2011-10-21,223.0,226.0,221.5,223.0,224.0,224.0,264.05,220.0,2348,526714.9
2011-10-24,224.0,230.0,224.0,224.0,230.0,230.0,264.05,220.0,11,2506.0
2011-10-25,228.0,228.0,228.0,230.0,228.0,228.0,264.05,220.0,10,2280.0
2011-10-26,220.0,229.0,220.0,228.0,229.0,229.0,264.05,220.0,205,45823.75
2011-10-28,232.0,235.0,230.0,229.0,234.0,230.15,264.05,220.0,259,60339.5
2011-10-31,235.0,238.0,230.0,230.15,231.1,233.9,264.05,220.0,489,113716.2
2011-11-01,232.05,232.05,232.05,233.9,232.05,232.05,264.05,220.0,50,11602.5
2011-11-02,231.5,231.5,225.4,232.05,228.0,226.85,264.05,220.0,725,165237.3
2011-11-03,225.0,229.75,225.0,226.85,229.5,225.55,264.05,220.0,1321,297888.2
2011-11-04,225.25,233.7,225.25,225.55,233.0,228.35,264.05,220.0,274,62599.7
2011-11-08,225.5,227.9,224.0,228.35,224.0,224.5,264.05,220.0,4887,1098849.8
2011-11-09,228.9,239.0,227.05,224.5,238.5,236.5,264.05,220.0,1577,367154.25
2011-11-11,250.0,250.0,236.05,236.5,237.0,238.15,264.05,220.0,49202,11858007.85
2011-11-14,237.05,237.5,222.55,238.15,236.85,232.4,264.05,220.0,4751,1105589.5
2011-11-15,230.0,230.0,223.05,232.4,227.0,226.2,264.05,220.0,2475,560076.05
2011-11-16,222.0,227.95,222.0,226.2,227.95,227.95,264.05,220.0,42,9330.05
2011-11-17,240.0,240.0,222.05,227.95,225.0,223.4,264.05,220.0,400,89183.25
2011-11-18,215.55,222.0,215.55,223.4,216.0,216.0,264.05,215.55,1238,271980.85
2011-11-21,216.0,219.0,205.05,216.0,205.05,206.9,264.05,205.05,825,174004.35
2011-11-22,198.0,210.95,197.1,206.9,210.95,202.55,264.05,197.1,3447,694430.15
2011-11-23,202.25,215.0,200.0,202.55,215.0,214.95,264.05,197.1,1086,230284.25
2011-11-24,210.05,214.0,210.0,214.95,213.9,213.55,264.05,197.1,460,97468.25
2011-11-25,205.25,215.0,205.25,213.55,206.6,206.6,264.05,197.1,101,20807.5
2011-11-28,205.0,215.0,205.0,206.6,213.0,213.0,264.05,197.1,63,13070.25
2011-11-29,237.0,253.9,237.0,213.0,251.9,249.95,264.05,197.1,53893,13299004.25
2011-11-30,205.0,249.7,205.0,249.95,228.25,231.25,264.05,197.1,3067,725939.9
2011-12-01,225.3,244.45,225.3,231.25,241.0,240.3,264.05,197.1,5170,1239860.75
2011-12-02,232.0,236.0,232.0,240.3,236.0,236.0,264.05,197.1,511,120114.5
2011-12-05,231.1,235.2,227.9,236.0,234.0,234.4,264.05,197.1,1411,325276.5
2011-12-07,227.25,237.3,227.25,234.4,230.0,232.3,264.05,197.1,803,184746.95
2011-12-08,211.55,243.0,211.55,232.3,226.5,226.5,264.05,197.1,804,183950.7
2011-12-09,211.05,230.9,211.05,226.5,230.0,229.9,264.05,197.1,2054,464598.6
2011-12-12,238.0,238.0,217.0,229.9,217.0,219.8,264.05,197.1,4793,1076859.05
2011-12-13,213.2,224.9,212.05,219.8,215.0,214.45,264.05,197.1,2179,466450.5
2011-12-14,211.7,215.2,210.0,214.45,215.0,213.75,264.05,197.1,2759,588958.3
2011-12-15,210.0,213.0,210.0,213.75,210.05,212.85,264.05,197.1,637,134077.15
2011-12-16,203.0,228.3,203.0,212.85,225.0,219.95,264.05,197.1,1185,256147.9
2011-12-19,197.1,211.0,197.1,219.95,210.0,210.85,264.05,197.1,6916,1457180.2
2011-12-20,211.0,212.9,209.4,210.85,210.0,210.05,264.05,197.1,2096,440053.7
2011-12-21,219.0,219.0,219.0,210.05,219.0,219.0,264.05,197.1,1,219.0
2011-12-22,215.0,220.0,215.0,219.0,215.1,215.1,264.05,197.1,263,57350.1
2011-12-23,176.0,234.0,176.0,215.1,234.0,229.2,264.05,176.0,329,73135.95
2011-12-26,223.05,224.5,223.05,229.2,223.45,223.45,264.05,176.0,64,14321.35
2011-12-27,220.3,240.0,220.3,223.45,240.0,239.1,264.05,176.0,1508,355460.2
2011-12-28,216.5,238.0,216.5,239.1,231.0,231.0,264.05,176.0,365,85436.75
2011-12-29,225.0,225.0,225.0,231.0,225.0,225.0,264.05,176.0,1,225.0
2011-12-30,223.1,234.2,223.1,225.0,234.2,234.2,264.05,176.0,120,27435.0
2012-01-02,223.05,235.25,223.05,234.2,234.7,234.7,264.05,176.0,1161,272777.85
2012-01-03,230.0,240.0,230.0,234.7,240.0,238.5,264.05,176.0,688,162259.35
2012-01-05,225.1,237.7,225.1,238.5,227.1,227.1,264.05,176.0,126,28977.1
2012-01-06,235.0,236.85,227.0,227.1,236.85,236.85,264.05,176.0,561,130086.7
2012-01-09,239.0,239.0,239.0,236.85,239.0,239.0,264.05,176.0,18,4302.0
