date,open,high,low,close,volume
2004-03-26,17.0,17.0,12.0,14.65,16018474
2004-03-29,14.75,14.95,14.5,14.65,5636059
2004-03-30,14.65,15.15,14.6,14.75,4607081
2004-03-31,14.75,15.0,14.65,14.7,2937356
2004-04-01,14.85,15.4,14.75,15.3,4630374
2004-04-02,15.5,17.25,15.3,17.0,18985344
2004-04-05,17.35,20.15,17.0,19.1,48930279
2004-04-06,19.5,20.7,18.95,19.75,33317046
2004-04-07,19.95,20.35,19.4,20.0,20577175
2004-04-08,20.1,20.1,19.4,19.7,12590516
2004-04-12,19.9,22.1,19.75,21.1,28632420
2004-04-13,21.4,21.45,20.15,20.8,13831626
2004-04-15,21.0,21.6,20.65,21.15,12755570
2004-04-16,21.25,22.15,21.0,21.9,15619155
2004-04-17,22.0,25.15,22.0,24.8,20497964
2004-04-19,25.0,26.8,24.95,25.8,35238860
2004-04-20,25.95,26.4,24.4,24.85,21020026
2004-04-21,24.6,25.5,24.25,25.25,13402100
2004-04-22,25.35,25.45,24.75,24.95,8609547
2004-04-23,25.0,25.55,24.05,24.3,9807034
2004-04-27,24.35,24.45,21.05,22.15,11221186
2004-04-28,22.0,23.35,21.55,23.05,13579621
2004-04-29,23.0,24.05,23.0,23.55,10386028
2004-04-30,23.2,24.05,23.0,23.15,8819136
2004-05-03,23.15,23.25,21.7,22.3,8968077
2004-05-04,22.5,23.6,22.5,23.3,6659151
2004-05-05,23.6,23.85,23.2,23.65,5980683
2004-05-06,24.5,24.65,24.0,24.3,6354915
2004-05-07,24.7,24.7,23.55,24.05,7541079
2004-05-10,23.6,24.0,22.5,23.9,5325152
2004-05-11,23.25,23.45,22.5,22.6,5432367
2004-05-12,23.0,23.5,22.15,23.2,8533895
2004-05-13,22.55,24.2,21.35,23.2,10410393
2004-05-14,23.5,23.5,20.55,21.1,9825664
2004-05-17,20.5,20.6,16.9,20.1,9870079
2004-05-18,20.0,22.1,19.3,21.85,6925063
2004-05-19,22.15,23.7,22.15,23.55,9617625
2004-05-20,23.75,26.5,23.5,23.6,6224376
2004-05-21,23.5,24.55,22.5,23.65,9122803
2004-05-24,23.95,24.25,23.6,23.65,3637424
