date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2007-02-23,113.0,119.4,105.55,85.0,111.5,111.65,119.4,105.55,92113982,10226401673.9
2007-02-26,112.0,117.7,104.75,111.65,117.5,115.3,119.4,104.75,20160651,2231168872.05
2007-02-27,120.0,120.0,114.85,115.3,115.0,117.4,120.0,104.75,16747355,1974024331.0
2007-02-28,112.0,115.8,103.0,117.4,111.25,111.05,120.0,103.0,10378434,1168784231.7
2007-03-01,112.05,113.9,108.5,111.05,110.1,110.55,120.0,103.0,4394786,488817501.6
2007-03-02,111.4,113.4,108.0,110.55,110.0,109.0,120.0,103.0,4007942,444975281.65
2007-03-05,105.7,108.5,101.2,109.0,101.45,102.05,120.0,101.2,3844787,399304247.8
2007-03-06,103.5,107.7,102.0,102.05,106.0,105.1,120.0,101.2,2197381,230157447.25
2007-03-07,107.25,107.5,101.5,105.1,104.9,104.25,120.0,101.2,1837717,190548537.9
2007-03-08,104.75,111.0,103.25,104.25,111.0,110.0,120.0,101.2,2227434,238457901.6
2007-03-09,110.0,112.4,102.0,110.0,102.2,103.3,120.0,101.2,1420290,149765395.9
2007-03-12,103.45,105.4,101.7,103.3,103.0,102.9,120.0,101.2,1946610,200853202.6
2007-03-13,104.35,107.5,103.0,102.9,107.3,106.7,120.0,101.2,1446787,152922209.4
2007-03-14,104.2,104.8,102.0,106.7,103.3,103.05,120.0,101.2,564907,58386449.2
2007-03-15,104.8,106.8,103.1,103.05,103.1,103.6,120.0,101.2,1099895,115204083.85
2007-03-16,104.0,104.7,102.4,103.6,102.5,102.9,120.0,101.2,409280,42297250.05
2007-03-19,104.4,106.45,103.05,102.9,106.0,106.05,120.0,101.2,534434,56183185.35
2007-03-20,107.9,108.1,105.5,106.05,106.3,106.15,120.0,101.2,887444,94533756.3
2007-03-21,107.0,107.0,104.95,106.15,105.5,105.5,120.0,101.2,394578,41704633.5
