date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2007-04-23,1650.0,1725.0,1508.0,1597.0,1606.6,1620.1,1725.0,1508.0,5932,9670567.05
2007-04-24,1615.0,1650.0,1609.0,1620.1,1640.0,1640.35,1725.0,1508.0,838,1365422.25
2007-04-25,1640.0,1640.0,1620.85,1640.35,1620.85,1625.4,1725.0,1508.0,134,218558.35
2007-04-26,1650.2,1740.0,1623.05,1625.4,1630.0,1630.25,1740.0,1508.0,4817,8032439.6
2007-04-27,1631.15,1657.0,1624.05,1630.25,1638.0,1635.75,1740.0,1508.0,760,1242995.4
2007-04-30,1630.0,1638.0,1620.0,1635.75,1638.0,1638.0,1740.0,1508.0,513,839414.0
2007-05-03,1700.0,1710.0,1652.0,1638.0,1652.0,1657.7,1740.0,1508.0,75,125928.0
2007-05-04,1695.0,1725.0,1681.05,1657.7,1693.95,1688.15,1740.0,1508.0,210,355514.15
2007-05-07,1697.0,1725.0,1678.0,1688.15,1721.0,1723.6,1740.0,1508.0,5513,9422957.55
2007-05-08,1747.0,1850.0,1745.95,1723.6,1845.0,1828.85,1850.0,1508.0,1359,2431039.1
2007-05-09,1830.0,1874.0,1775.0,1828.85,1776.05,1782.85,1874.0,1508.0,194,351992.8
2007-05-10,1800.0,1830.0,1775.0,1782.85,1825.0,1810.55,1874.0,1508.0,729,1321917.6
2007-05-11,1849.0,1878.0,1731.15,1810.55,1878.0,1874.35,1878.0,1508.0,987,1783885.25
2007-05-14,1900.0,1920.0,1885.0,1874.35,1899.85,1899.85,1920.0,1508.0,567,1072665.9
2007-05-15,1890.0,1890.0,1852.05,1899.85,1852.05,1865.25,1920.0,1508.0,38,70984.05
2007-05-16,1899.95,1950.0,1795.05,1865.25,1935.0,1915.65,1950.0,1508.0,914,1733190.75
2007-05-17,1900.0,1929.9,1890.0,1915.65,1890.0,1892.7,1950.0,1508.0,225,430378.0
2007-05-18,1890.0,1900.0,1860.0,1892.7,1860.0,1863.3,1950.0,1508.0,99,186563.85
2007-05-21,1855.05,1928.0,1855.05,1863.3,1925.0,1925.75,1950.0,1508.0,809,1546962.75
2007-05-22,1876.05,1925.0,1876.05,1925.75,1925.0,1925.0,1950.0,1508.0,188,359629.55
2007-05-23,1931.4,1980.0,1910.0,1925.0,1940.0,1926.4,1980.0,1508.0,300,579460.5
2007-05-24,1940.0,1970.0,1896.0,1926.4,1969.95,1963.0,1980.0,1508.0,472,916118.8
2007-05-25,1905.05,1950.0,1905.05,1963.0,1950.0,1947.9,1980.0,1508.0,310,598095.25
2007-05-28,1950.0,1974.0,1920.0,1947.9,1920.0,1920.0,1980.0,1508.0,27,52823.0
2007-05-29,1921.35,1944.0,1921.35,1920.0,1925.1,1926.75,1980.0,1508.0,70,134649.5
2007-05-30,1969.9,2020.0,1969.9,1926.75,1990.0,1990.0,2020.0,1508.0,60,118973.25
2007-05-31,1960.0,2000.0,1921.15,1990.0,2000.0,1998.9,2020.0,1508.0,206,408296.2
2007-06-01,1990.0,2025.0,1955.0,1998.9,2015.0,2013.05,2025.0,1508.0,388,773569.2
2007-06-04,2040.0,2040.0,1980.0,2013.05,1980.0,1980.0,2040.0,1508.0,306,609415.9
2007-06-05,1994.95,1995.0,1905.0,1980.0,1950.0,1941.8,2040.0,1508.0,786,1529370.95
2007-06-06,2018.95,2038.7,1860.0,1941.8,1860.0,1874.2,2040.0,1508.0,709,1379326.05
2007-06-07,1859.0,1891.85,1826.1,1874.2,1840.0,1834.8,2040.0,1508.0,206,381965.1
2007-06-08,1810.0,1900.0,1810.0,1834.8,1840.0,1837.45,2040.0,1508.0,234,436629.6
2007-06-11,1810.35,1836.0,1810.35,1837.45,1836.0,1836.0,2040.0,1508.0,25,45748.9
