date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-03-06,356.55,356.55,326.6,343.55,339.5,339.65,356.55,326.6,16275,5659135.15
2023-03-08,330.2,342.0,325.0,339.65,332.0,332.05,356.55,325.0,6386,2130649.7
2023-03-09,334.0,337.9,321.8,332.05,334.65,330.9,356.55,321.8,13264,4386794.2
2023-03-10,328.05,329.4,318.65,330.9,325.15,322.0,356.55,318.65,10664,3439650.2
2023-03-13,322.0,327.4,308.5,322.0,316.5,313.45,356.55,308.5,13774,4364552.55
2023-03-14,313.55,313.65,297.05,313.45,303.6,304.05,356.55,297.05,20965,6340989.4
2023-03-15,304.05,311.8,300.0,304.05,300.05,300.85,356.55,297.05,16930,5135599.15
2023-03-16,300.1,302.0,293.35,300.85,298.5,296.35,356.55,293.35,15317,4560431.8
2023-03-17,300.9,304.7,295.6,296.35,296.0,297.25,356.55,293.35,10072,3023295.7
2023-03-20,298.75,304.8,295.05,297.25,297.3,296.3,356.55,293.35,6829,2043512.65
2023-03-21,305.9,307.0,296.3,296.3,304.0,303.6,356.55,293.35,10482,3159677.1
2023-03-22,305.6,309.7,294.85,303.6,295.05,296.85,356.55,293.35,16696,5074845.15
2023-03-23,299.4,308.5,296.6,296.85,301.0,300.55,356.55,293.35,26368,7980590.75
2023-03-24,301.6,302.2,294.25,300.55,296.5,296.85,356.55,293.35,10004,2974695.0
2023-03-27,301.5,301.5,277.05,296.85,282.9,279.95,356.55,277.05,13974,4001036.7
2023-03-28,281.0,284.4,262.1,279.95,269.85,271.35,356.55,262.1,40402,11005248.4
2023-03-29,271.4,277.0,262.1,271.35,269.7,267.75,356.55,262.1,17150,4647877.0
2023-03-31,274.4,304.7,270.55,267.75,293.15,296.6,356.55,262.1,51489,15190212.25
2023-04-03,308.0,324.95,300.05,296.6,324.05,319.95,356.55,262.1,36474,11595564.05
2023-04-05,321.75,326.9,304.6,319.95,312.6,315.7,356.55,262.1,29292,9303506.85
2023-04-06,312.6,338.9,312.6,315.7,334.45,329.7,356.55,262.1,30251,9970156.6
2023-04-10,339.85,345.0,327.05,329.7,334.6,333.95,356.55,262.1,17736,5946639.85
2023-04-11,334.95,342.35,330.9,333.95,337.0,334.85,356.55,262.1,7912,2660310.1
2023-04-12,338.2,339.05,324.05,334.85,332.0,329.6,356.55,262.1,11778,3904313.05
2023-04-13,330.0,339.45,330.0,329.6,335.55,335.25,356.55,262.1,8402,2807187.5
2023-04-17,340.3,340.3,330.05,335.25,330.05,331.9,356.55,262.1,11791,3926623.8
2023-04-18,337.4,339.0,331.3,331.9,333.0,332.95,356.55,262.1,8016,2684231.6
2023-04-19,328.0,337.0,325.0,332.95,325.0,326.05,356.55,262.1,10901,3608392.05
2023-04-20,333.5,335.0,326.95,326.05,334.4,332.2,356.55,262.1,6180,2052278.05
2023-04-21,334.9,335.65,329.4,332.2,331.0,331.75,356.55,262.1,6427,2139736.45
2023-04-24,334.0,334.55,328.0,331.75,329.9,328.5,356.55,262.1,5097,1683286.7
2023-04-25,324.0,333.95,324.0,328.5,328.65,326.65,356.55,262.1,11772,3883846.75
2023-04-26,328.1,334.0,324.05,326.65,324.1,325.5,356.55,262.1,10289,3371457.75
2023-04-27,326.2,333.0,324.1,325.5,330.0,328.0,356.55,262.1,9558,3146347.2
2023-04-28,331.1,378.0,328.95,328.0,368.0,367.55,378.0,262.1,204529,74736220.2
2023-05-02,371.8,375.0,354.7,367.55,355.05,358.0,378.0,262.1,49827,18185977.15
2023-05-03,359.45,368.0,353.05,358.0,367.0,366.4,378.0,262.1,27225,9876547.5
2023-05-04,370.05,378.0,362.6,366.4,367.0,368.65,378.0,262.1,28547,10545087.15
2023-05-05,372.35,372.35,355.0,368.65,359.0,359.6,378.0,262.1,20126,7307083.75
2023-05-08,365.0,369.8,360.1,359.6,363.6,364.45,378.0,262.1,28856,10513912.85
2023-05-09,369.8,382.1,352.55,364.45,377.15,375.85,382.1,262.1,72817,27027401.65
2023-05-10,381.5,386.0,375.9,375.85,379.0,380.9,386.0,262.1,55068,20987013.8
2023-05-11,384.85,384.85,365.75,380.9,370.0,369.45,386.0,262.1,22806,8585820.7
2023-05-12,373.05,373.9,363.0,369.45,368.1,366.0,386.0,262.1,12981,4776375.4
2023-05-15,366.0,373.4,365.75,366.0,369.25,367.55,386.0,262.1,8376,3096540.1
2023-05-16,373.05,373.05,357.05,367.55,358.45,359.1,386.0,262.1,11131,4042418.6
2023-05-17,360.05,363.9,351.05,359.1,353.8,352.05,386.0,262.1,14688,5222706.95
2023-05-18,352.1,361.05,348.1,352.05,358.85,357.05,386.0,262.1,16474,5865265.9
2023-05-19,362.3,367.3,350.15,357.05,352.0,350.95,386.0,262.1,11049,3926650.05
2023-05-22,360.0,360.0,336.05,350.95,336.5,343.5,386.0,262.1,27704,9569431.6
