date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2019-04-16,633.0,667.8,630.0,538.0,653.2,654.8,667.8,630.0,22985293,14966662852.1
2019-04-18,656.9,664.9,614.0,654.8,645.95,643.55,667.8,614.0,5415019,3460497407.05
2019-04-22,643.0,645.8,625.25,643.55,625.6,628.1,667.8,614.0,1059760,670725157.55
2019-04-23,628.0,648.0,628.0,628.1,633.95,634.1,667.8,614.0,1208860,771506056.25
2019-04-24,636.5,640.0,628.25,634.1,639.0,637.5,667.8,614.0,1016453,645695022.5
2019-04-25,639.2,652.0,633.0,637.5,639.95,639.6,667.8,614.0,1261972,813490432.9
2019-04-26,642.0,647.4,640.0,639.6,645.3,644.65,667.8,614.0,594976,383197517.3
2019-04-30,646.95,646.95,630.15,644.65,638.0,639.25,667.8,614.0,519904,330779098.15
2019-05-02,638.9,651.0,631.0,639.25,642.0,641.25,667.8,614.0,514478,330348002.6
2019-05-03,642.7,646.0,637.65,641.25,639.0,641.85,667.8,614.0,271431,174349706.15
2019-05-06,638.0,649.9,633.0,641.85,643.5,642.7,667.8,614.0,425268,273581902.9
2019-05-07,644.95,653.5,643.0,642.7,648.65,648.6,667.8,614.0,580548,376625336.35
2019-05-08,646.0,648.0,640.15,648.6,647.0,646.0,667.8,614.0,264484,170342950.95
2019-05-09,646.25,647.4,639.35,646.0,644.05,645.7,667.8,614.0,301291,193922972.85
2019-05-10,646.05,677.7,645.3,645.7,654.4,655.15,677.7,614.0,771913,509215459.7
2019-05-13,660.6,662.0,651.05,655.15,655.05,654.9,677.7,614.0,301861,197794288.1
2019-05-14,656.0,659.75,626.3,654.9,627.7,633.75,677.7,614.0,1069899,689699274.8
2019-05-15,620.0,625.7,602.0,633.75,618.0,620.65,677.7,602.0,1442391,892350965.6
2019-05-16,625.0,625.0,583.3,620.65,597.0,599.35,677.7,583.3,918393,553571058.3
2019-05-17,596.15,601.5,587.0,599.35,596.0,595.7,677.7,583.3,328115,194753944.8
2019-05-20,610.0,612.65,595.0,595.7,604.0,604.85,677.7,583.3,728223,438681176.85
2019-05-21,605.0,609.0,599.0,604.85,607.0,605.05,677.7,583.3,252936,152487012.25
2019-05-22,605.05,623.6,601.1,605.05,609.15,609.75,677.7,583.3,282577,172809355.7
2019-05-23,614.5,619.65,600.0,609.75,600.05,601.9,677.7,583.3,200009,121393820.0
2019-05-24,605.0,609.75,602.35,601.9,605.1,605.15,677.7,583.3,150951,91335514.6
2019-05-27,608.75,633.0,606.25,605.15,621.0,620.2,677.7,583.3,262413,163116521.2
2019-05-28,625.1,630.0,621.4,620.2,626.0,625.75,677.7,583.3,113154,70828337.5
2019-05-29,622.1,629.65,618.0,625.75,618.05,619.95,677.7,583.3,69546,43289391.35
2019-05-30,616.15,623.7,612.65,619.95,621.9,618.9,677.7,583.3,81235,50287327.45
2019-05-31,620.15,622.75,608.3,618.9,609.9,610.85,677.7,583.3,175173,107537139.95
2019-06-03,614.0,614.8,602.45,610.85,608.0,607.9,677.7,583.3,150151,90926328.25
2019-06-04,609.9,620.0,606.1,607.9,610.0,610.6,677.7,583.3,67372,41361020.15
2019-06-06,610.8,613.95,602.5,610.6,605.1,604.4,677.7,583.3,46935,28528684.35
2019-06-07,609.05,609.1,601.05,604.4,602.4,602.05,677.7,583.3,30262,18274826.15
2019-06-10,605.0,609.0,597.6,602.05,601.0,602.5,677.7,583.3,46966,28410523.8
2019-06-11,602.0,606.9,600.0,602.5,601.05,600.75,677.7,583.3,47063,28338878.65
2019-06-12,600.05,602.8,595.15,600.75,596.25,595.95,677.7,583.3,46869,28068947.8
2019-06-13,600.05,604.4,590.0,595.95,593.25,594.45,677.7,583.3,73943,44080586.05
2019-06-14,592.1,599.9,590.1,594.45,593.5,596.0,677.7,583.3,44727,26625933.25
2019-06-17,596.0,596.0,587.0,596.0,588.6,588.75,677.7,583.3,41259,24432434.3
2019-06-18,588.6,593.5,586.25,588.75,589.25,589.15,677.7,583.3,43498,25668783.2
2019-06-19,590.15,591.45,578.0,589.15,585.0,585.65,677.7,578.0,103810,60591251.4
2019-06-20,591.0,594.0,581.1,585.65,593.5,589.9,677.7,578.0,39822,23393134.95
2019-06-21,590.0,594.8,588.0,589.9,592.5,592.35,677.7,578.0,28836,17065012.6
2019-06-24,590.25,599.0,590.0,592.35,597.0,596.3,677.7,578.0,41015,24407612.7
2019-06-25,595.0,604.5,593.05,596.3,602.0,601.4,677.7,578.0,50422,30260325.1
2019-06-26,600.05,614.75,600.0,601.4,612.05,611.85,677.7,578.0,104768,63968834.0
2019-06-27,611.85,614.4,606.0,611.85,613.0,613.45,677.7,578.0,31569,19309688.65
2019-06-28,613.0,624.9,613.0,613.45,624.0,622.05,677.7,578.0,68813,42602565.5
2019-07-01,626.4,646.0,626.4,622.05,639.0,643.35,677.7,578.0,347594,222759466.15
2019-07-02,640.0,640.0,628.5,643.35,635.05,635.8,677.7,578.0,46607,29513316.85
2019-07-03,632.2,654.8,631.6,635.8,652.0,644.4,677.7,578.0,90021,57696123.35
2019-07-04,648.1,652.0,642.55,644.4,646.0,647.2,677.7,578.0,95235,61597831.6
2019-07-05,650.0,650.0,615.75,647.2,615.8,620.15,677.7,578.0,650669,404332744.85
2019-07-08,619.9,619.9,598.2,620.15,601.6,600.9,677.7,578.0,162195,98295588.1
2019-07-09,604.0,612.0,602.0,600.9,611.55,611.4,677.7,578.0,36209,22024187.35
2019-07-10,610.0,619.3,610.0,611.4,614.0,613.95,677.7,578.0,25922,15950046.25
2019-07-11,614.1,625.0,613.95,613.95,618.8,618.15,677.7,578.0,25738,15923148.4
2019-07-12,618.0,623.0,616.0,618.15,618.0,617.1,677.7,578.0,22282,13792428.3
2019-07-15,615.5,620.75,612.2,617.1,614.0,615.5,677.7,578.0,26241,16176197.45
2019-07-16,615.1,624.8,614.0,615.5,621.0,622.2,677.7,578.0,43109,26783876.15
2019-07-17,621.5,629.0,620.0,622.2,626.0,626.8,677.7,578.0,30986,19386253.4
2019-07-18,626.0,628.75,622.15,626.8,625.5,624.4,677.7,578.0,54494,34062456.9
2019-07-19,623.95,626.95,605.0,624.4,615.0,614.25,677.7,578.0,91360,56495121.55
2019-07-22,614.25,614.3,596.75,614.25,598.45,598.1,677.7,578.0,49550,29765591.7
2019-07-23,602.85,608.6,598.0,598.1,601.15,603.9,677.7,578.0,50221,30279639.6
2019-07-24,603.9,607.7,586.1,603.9,586.2,587.9,677.7,578.0,33048,19666290.85
2019-07-25,587.9,592.75,580.1,587.9,590.0,587.9,677.7,578.0,46613,27333410.35
2019-07-26,589.9,592.5,583.1,587.9,586.0,588.3,677.7,578.0,24998,14707064.65
2019-07-29,615.0,646.9,601.7,588.3,609.0,608.0,677.7,578.0,239878,148318011.55
2019-07-30,603.0,607.95,565.8,608.0,569.95,571.2,677.7,565.8,202328,118605395.1
2019-07-31,569.95,570.05,548.6,571.2,560.05,560.4,677.7,548.6,104939,58360971.05
2019-08-01,563.0,575.0,557.0,560.4,564.0,564.45,677.7,548.6,58006,32881457.3
2019-08-02,564.0,564.9,554.3,564.45,557.95,557.05,677.7,548.6,69809,38965972.1
2019-08-05,557.0,562.0,549.0,557.05,550.9,551.35,677.7,548.6,70675,39061799.3
2019-08-06,549.95,572.9,547.1,551.35,572.4,570.8,677.7,547.1,42540,24008998.5
2019-08-07,565.0,574.9,561.35,570.8,562.1,567.2,677.7,547.1,23408,13319976.1
2019-08-08,569.4,570.5,555.1,567.2,565.2,564.7,677.7,547.1,23131,12982801.6
