date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2007-10-05,89.8,109.5,83.15,52.0,100.2,100.6,109.5,83.15,481058927,49305606695.25
2007-10-08,104.0,104.0,94.85,100.6,95.3,95.45,109.5,83.15,71252858,6991615510.45
2007-10-09,95.5,102.85,90.35,95.45,102.1,101.95,109.5,83.15,65658228,6471784081.15
2007-10-10,104.6,105.0,102.0,101.95,102.65,102.9,109.5,83.15,38211410,3960886983.7
2007-10-11,120.0,120.0,102.0,102.9,114.85,114.4,120.0,83.15,59805552,6625235262.15
2007-10-12,112.0,117.9,111.0,114.4,114.25,113.65,120.0,83.15,55918584,6461713786.05
2007-10-15,116.0,116.7,114.15,113.65,115.4,115.15,120.0,83.15,23520928,2721646149.9
2007-10-16,115.3,128.9,114.5,115.15,128.3,126.9,128.9,83.15,77970674,9498841848.3
2007-10-17,114.0,140.0,106.1,126.9,135.35,136.8,140.0,83.15,115242925,14734928421.9
2007-10-18,139.0,149.45,126.35,136.8,128.2,132.0,149.45,83.15,82472533,11754855450.25
2007-10-19,129.0,136.9,125.0,132.0,131.85,131.55,149.45,83.15,62024917,8193816499.8
2007-10-22,128.9,133.85,125.5,131.55,129.65,129.8,149.45,83.15,40642551,5317880847.45
2007-10-23,133.0,140.3,133.0,129.8,139.8,139.05,149.45,83.15,41959654,5774152945.3
2007-10-24,142.0,143.5,135.35,139.05,136.5,136.9,149.45,83.15,35468542,4955711572.1
2007-10-25,132.25,139.8,120.65,136.9,137.3,136.6,149.45,83.15,19418905,2669566268.05
2007-10-26,139.0,142.95,135.25,136.6,140.85,140.7,149.45,83.15,35083148,4917301259.1
2007-10-29,143.0,147.0,142.3,140.7,143.1,143.55,149.45,83.15,24557461,3544294400.0
2007-10-30,145.5,150.7,141.2,143.55,147.05,146.75,150.7,83.15,44955974,6578592922.0
2007-10-31,147.5,153.1,147.0,146.75,149.55,149.8,153.1,83.15,25118651,3795591924.05
2007-11-01,153.5,154.65,145.25,149.8,145.7,146.45,154.65,83.15,28480784,4283925974.1
2007-11-02,141.15,150.0,140.0,146.45,149.85,149.1,154.65,83.15,18000957,2649639946.0
2007-11-05,149.0,155.5,148.1,149.1,152.15,152.15,155.5,83.15,21843644,3344850955.45
2007-11-06,154.8,163.9,152.05,152.15,155.25,154.15,163.9,83.15,46057670,7289772812.25
2007-11-07,157.0,159.2,148.5,154.15,152.0,151.9,163.9,83.15,18896147,2895334358.75
2007-11-08,148.0,153.35,146.0,151.9,149.7,149.3,163.9,83.15,15744672,2365314717.2
2007-11-09,155.0,155.0,146.7,149.3,147.3,148.7,163.9,83.15,4863716,729136951.4
2007-11-12,144.8,155.6,140.85,148.7,155.3,152.9,163.9,83.15,19773981,2913022505.25
2007-11-13,155.5,159.7,150.55,152.9,157.0,156.55,163.9,83.15,24654680,3876541990.5
2007-11-14,159.3,161.5,153.7,156.55,154.4,154.5,163.9,83.15,20665456,3225067559.2
2007-11-15,157.4,159.85,154.15,154.5,156.95,157.1,163.9,83.15,16448771,2584743910.9
2007-11-16,156.4,159.55,154.2,157.1,156.55,156.0,163.9,83.15,10628606,1668539040.15
2007-11-19,159.55,167.5,158.35,156.0,161.8,161.65,167.5,83.15,22903160,3733799780.5
2007-11-20,161.0,165.5,157.2,161.65,159.8,159.15,167.5,83.15,14817475,2410555437.95
2007-11-21,160.1,161.05,143.2,159.15,148.85,146.75,167.5,83.15,15083160,2302371058.75
2007-11-22,145.2,151.1,135.55,146.75,144.55,141.7,167.5,83.15,19179109,2711824163.65
2007-11-23,151.0,152.0,142.6,141.7,151.95,151.1,167.5,83.15,15561055,2292168010.4
2007-11-26,156.7,156.7,151.1,151.1,152.25,152.3,167.5,83.15,11339510,1743172736.9
2007-11-27,154.9,154.9,147.0,152.3,148.5,148.55,167.5,83.15,11572427,1729039523.4
2007-11-28,151.8,152.5,145.35,148.55,146.5,146.35,167.5,83.15,9244865,1383601408.2
2007-11-29,150.0,150.8,140.55,146.35,142.0,142.4,167.5,83.15,14361173,2071647039.2
2007-11-30,145.0,148.8,143.0,142.4,148.0,147.9,167.5,83.15,10371221,1515145520.2
2007-12-03,149.7,151.85,148.55,147.9,149.75,150.0,167.5,83.15,9478818,1424533668.1
2007-12-04,151.0,152.25,146.95,150.0,148.55,148.05,167.5,83.15,7879911,1181915651.1
2007-12-05,148.3,154.5,148.0,148.05,154.3,153.95,167.5,83.15,15595480,2365608512.9
2007-12-06,157.3,159.65,149.15,153.95,151.6,151.1,167.5,83.15,13558903,2091683337.35
2007-12-07,152.05,154.2,147.75,151.1,150.1,150.45,167.5,83.15,6605094,994522064.75
2007-12-10,151.9,152.45,148.65,150.45,150.55,150.6,167.5,83.15,4685632,705285172.05
2007-12-11,151.95,152.8,149.15,150.6,150.0,149.9,167.5,83.15,6573349,992892153.7
2007-12-12,148.0,151.15,147.0,149.9,149.9,149.8,167.5,83.15,9192451,1374977845.45
2007-12-13,150.85,152.0,146.7,149.8,147.05,147.3,167.5,83.15,8230435,1232546795.6
2007-12-14,146.8,148.15,145.1,147.3,145.5,145.85,167.5,83.15,6182918,904765911.0
2007-12-17,146.7,147.5,135.0,145.85,138.5,137.05,167.5,83.15,10887572,1530585926.45
2007-12-18,135.5,141.0,132.2,137.05,137.25,136.45,167.5,83.15,12154381,1657347601.3
2007-12-19,140.85,142.05,132.8,136.45,135.0,133.95,167.5,83.15,10983891,1508477678.8
2007-12-20,135.7,136.8,132.0,133.95,133.2,132.6,167.5,83.15,9621680,1292716673.85
2007-12-24,134.6,138.8,133.5,132.6,136.65,136.65,167.5,83.15,9400232,1279871493.7
2007-12-26,137.4,142.5,137.4,136.65,141.8,140.8,167.5,83.15,11773181,1657376228.25
2007-12-27,143.7,145.7,140.6,140.8,142.5,141.8,167.5,83.15,25067975,3587609316.0
2007-12-28,141.5,143.5,140.0,141.8,142.9,142.9,167.5,83.15,10324419,1470868196.75
2007-12-31,144.0,144.8,142.2,142.9,143.75,143.95,167.5,83.15,6740050,967463233.85
2008-01-01,144.7,147.95,143.35,143.95,146.5,146.6,167.5,83.15,9386860,1369286808.15
2008-01-02,146.6,147.7,143.65,146.6,145.5,145.8,167.5,83.15,7558472,1100212671.15
2008-01-03,144.9,152.4,143.15,145.8,151.7,151.8,167.5,83.15,17896065,2676661014.65
2008-01-04,154.0,156.0,150.0,151.8,151.0,151.0,167.5,83.15,15756366,2423547427.95
2008-01-07,150.05,153.2,148.15,151.0,150.0,149.75,167.5,83.15,8920163,1342800149.15
2008-01-08,149.9,152.0,142.9,149.75,144.85,144.65,167.5,83.15,7471502,1092423416.05
2008-01-09,144.8,145.45,142.0,144.65,142.1,142.35,167.5,83.15,7376361,1057057319.6
2008-01-10,143.0,147.0,138.0,142.35,138.75,138.95,167.5,83.15,10137942,1452222382.2
2008-01-11,140.85,142.4,135.5,138.95,141.4,141.05,167.5,83.15,6541562,906775850.75
2008-01-14,141.3,144.7,139.05,141.05,144.45,143.2,167.5,83.15,5773637,815919923.65
2008-01-15,145.5,146.1,137.7,143.2,137.95,138.85,167.5,83.15,6501565,923262466.3
2008-01-16,137.85,139.0,132.55,138.85,136.2,136.0,167.5,83.15,8344164,1128818933.3
2008-01-17,136.5,142.75,133.6,136.0,139.0,139.65,167.5,83.15,9095287,1264064476.85
2008-01-18,138.5,138.65,132.0,139.65,133.2,133.15,167.5,83.15,7455465,1010841272.1
2008-01-21,132.0,132.0,96.25,133.15,110.5,110.5,167.5,83.15,18676349,2160051810.6
2008-01-22,99.6,105.0,78.95,110.5,100.0,99.4,167.5,78.95,33050094,3083374710.6
2008-01-23,101.0,114.75,101.0,99.4,112.0,110.5,167.5,78.95,15989624,1741087106.95
2008-01-24,116.45,118.6,105.5,110.5,111.0,110.75,167.5,78.95,16825465,1885620666.9
2008-01-25,116.0,117.0,111.75,110.75,116.25,116.45,167.5,78.95,7059783,803491479.65
2008-01-28,114.85,118.6,105.5,116.45,116.75,117.7,167.5,78.95,7650626,872890543.25
2008-01-29,118.0,119.7,114.0,117.7,115.5,115.75,167.5,78.95,4319932,504512687.75
