date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-08-02,45.84,48.0,44.75,45.92,44.94,44.92,48.0,44.75,5319,239844.22
2023-08-03,44.75,45.39,44.25,44.92,44.25,44.25,48.0,44.25,2525,112599.83
2023-08-04,45.35,45.35,44.2,44.25,44.45,44.45,48.0,44.2,657,29228.98
2023-08-07,45.56,45.56,43.92,44.45,43.99,43.93,48.0,43.92,606,26719.26
2023-08-08,44.3,45.38,44.3,43.93,45.38,45.36,48.0,43.92,1073,47899.69
2023-08-09,46.49,46.49,44.95,45.36,45.2,45.2,48.0,43.92,52,2348.14
2023-08-10,45.33,45.33,44.59,45.2,44.8,44.8,48.0,43.92,84,3777.39
2023-08-11,46.49,47.0,45.02,44.8,45.65,45.65,48.0,43.92,5345,244883.69
2023-08-14,46.79,52.0,44.82,45.65,52.0,51.24,52.0,43.92,2688,124804.46
2023-08-16,46.0,49.8,44.56,51.24,49.8,46.5,52.0,43.92,72040,3257858.52
2023-08-17,47.43,51.05,44.99,46.5,51.0,49.42,52.0,43.92,15224,710732.1
2023-08-18,48.1,48.1,45.75,49.42,46.26,46.32,52.0,43.92,64713,2978437.23
2023-08-21,46.26,47.01,45.73,46.32,45.73,45.74,52.0,43.92,3091,143223.9
2023-08-22,45.8,46.25,45.1,45.74,45.1,45.25,52.0,43.92,1653,75214.72
2023-08-23,45.8,47.2,45.67,45.25,45.75,46.17,52.0,43.92,1589,73516.29
2023-08-24,46.25,46.25,45.75,46.17,46.12,46.12,52.0,43.92,1025,47273.0
2023-08-25,46.0,46.49,45.0,46.12,45.31,45.29,52.0,43.92,12221,552309.36
2023-08-28,45.41,45.74,45.39,45.29,45.49,45.67,52.0,43.92,2478,112660.53
2023-08-29,45.6,47.0,45.31,45.67,47.0,46.18,52.0,43.92,311,14199.01
2023-08-30,45.8,45.8,45.25,46.18,45.3,45.33,52.0,43.92,2854,129811.89
2023-08-31,45.3,45.42,44.55,45.33,44.55,44.69,52.0,43.92,11554,519338.29
2023-09-01,45.59,46.05,44.51,44.69,44.51,45.3,52.0,43.92,6724,304287.75
2023-09-04,46.94,47.5,45.49,45.3,46.39,46.39,52.0,43.92,5843,268863.3
2023-09-05,46.73,47.0,46.5,46.39,46.7,46.82,52.0,43.92,10518,492695.55
2023-09-06,46.61,46.68,46.06,46.82,46.39,46.39,52.0,43.92,1731,80209.67
2023-09-07,47.19,47.25,46.0,46.39,46.72,46.12,52.0,43.92,2439,113051.26
2023-09-08,46.92,47.49,46.69,46.12,47.1,47.1,52.0,43.92,3514,165372.3
2023-09-11,47.2,48.5,47.2,47.1,48.33,48.31,52.0,43.92,17515,834528.07
2023-09-12,49.28,49.28,46.53,48.31,46.53,46.76,52.0,43.92,4099,195256.63
2023-09-13,47.0,49.42,46.88,46.76,49.42,49.21,52.0,43.92,2540,123031.73
2023-09-14,49.15,50.11,48.5,49.21,49.5,49.5,52.0,43.92,2721,135268.49
