date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-03-19,289.2,289.2,262.4,295.0,276.45,276.15,289.2,262.4,4518261,1243673836.05
2024-03-20,274.85,289.2,272.0,276.15,284.5,284.75,289.2,262.4,1436097,407050459.2
2024-03-21,284.75,296.55,284.0,284.75,289.7,289.25,296.55,262.4,929477,269509993.65
2024-03-22,289.2,289.2,278.0,289.25,280.45,280.3,296.55,262.4,325177,91398343.1
2024-03-26,274.7,275.0,265.0,280.3,267.05,266.75,296.55,262.4,548007,147575634.55
2024-03-27,266.75,269.1,250.55,266.75,252.05,252.3,296.55,250.55,642494,163238602.95
2024-03-28,249.1,257.7,236.4,252.3,247.85,249.5,296.55,236.4,829618,204713657.25
2024-04-01,245.1,267.0,245.05,249.5,259.0,260.85,296.55,236.4,397069,102285100.2
2024-04-02,263.9,264.0,254.4,260.85,258.75,257.95,296.55,236.4,233541,60439390.65
2024-04-03,257.95,270.0,257.95,257.95,266.3,268.55,296.55,236.4,372232,98757422.15
2024-04-04,271.95,273.55,262.2,268.55,263.05,264.2,296.55,236.4,188437,50097965.65
2024-04-05,261.55,265.1,261.0,264.2,263.0,263.2,296.55,236.4,150861,39673718.35
2024-04-08,263.45,272.0,255.25,263.2,270.0,267.55,296.55,236.4,723166,190032099.5
2024-04-09,274.9,274.95,263.3,267.55,266.0,265.85,296.55,236.4,357000,96662530.35
2024-04-10,265.85,266.7,261.7,265.85,262.45,262.6,296.55,236.4,106269,27975624.15
2024-04-12,260.6,264.15,257.4,262.6,260.5,259.9,296.55,236.4,139721,36389746.3
2024-04-15,254.7,254.7,245.65,259.9,247.5,247.95,296.55,236.4,854607,211641118.1
2024-04-16,247.85,251.7,244.05,247.95,249.0,249.0,296.55,236.4,124334,30874162.15
2024-04-18,245.0,253.0,241.0,249.0,243.5,243.15,296.55,236.4,186453,45827785.7
2024-04-19,243.0,246.7,235.0,243.15,242.0,241.4,296.55,235.0,144665,34933735.5
2024-04-22,245.0,252.2,240.0,241.4,241.0,240.85,296.55,235.0,119395,28988964.5
2024-04-23,244.9,244.9,238.15,240.85,238.5,238.85,296.55,235.0,95096,22840493.85
2024-04-24,238.9,243.2,235.15,238.85,238.0,237.1,296.55,235.0,206399,48941704.5
2024-04-25,236.0,242.0,236.0,237.1,237.8,236.5,296.55,235.0,129429,30755208.05
2024-04-26,237.95,241.0,233.05,236.5,236.0,235.15,296.55,233.05,217517,51182407.6
2024-04-29,237.0,239.45,232.0,235.15,233.5,233.5,296.55,232.0,163083,38038134.15
2024-04-30,233.15,233.55,231.0,233.5,232.0,231.85,296.55,231.0,329780,76500776.9
2024-05-02,231.8,237.9,230.55,231.85,233.2,232.65,296.55,230.55,122729,28761415.8
2024-05-03,232.65,235.45,232.0,232.65,235.0,233.85,296.55,230.55,91876,21379828.6
2024-05-06,233.3,233.85,227.5,233.85,229.25,228.4,296.55,227.5,222181,51016366.55
2024-05-07,228.35,229.4,223.0,228.4,224.0,224.25,296.55,223.0,118288,26620005.95
2024-05-08,224.05,227.0,221.0,224.25,221.0,222.7,296.55,221.0,94508,21006117.9
2024-05-09,220.45,221.5,217.1,222.7,219.9,219.1,296.55,217.1,93294,20414284.3
2024-05-10,219.05,219.05,212.25,219.1,215.05,214.35,296.55,212.25,120544,25896873.15
2024-05-13,214.35,216.25,208.0,214.35,212.0,211.9,296.55,208.0,111590,23635803.2
2024-05-14,210.0,218.0,207.8,211.9,216.0,216.45,296.55,207.8,79772,17093803.35
2024-05-15,216.45,222.0,212.2,216.45,213.55,212.8,296.55,207.8,106494,22964252.7
2024-05-16,212.8,218.0,210.35,212.8,217.0,215.95,296.55,207.8,91421,19538016.25
2024-05-17,215.95,221.9,213.4,215.95,221.0,220.25,296.55,207.8,93306,20359547.65
2024-05-18,220.25,222.8,218.0,220.25,221.5,220.0,296.55,207.8,15885,3496722.5
2024-05-21,217.8,221.95,216.15,220.0,219.8,218.6,296.55,207.8,79383,17364687.65
2024-05-22,218.0,237.0,217.15,218.6,231.85,231.4,296.55,207.8,183118,41349073.2
2024-05-23,234.0,239.5,227.5,231.4,229.65,230.15,296.55,207.8,92547,21363636.95
2024-05-24,235.8,235.8,229.8,230.15,232.6,233.2,296.55,207.8,111930,26097730.65
2024-05-27,229.7,233.2,225.15,233.2,228.0,228.65,296.55,207.8,57860,13214996.25
2024-05-28,227.95,228.65,222.0,228.65,224.1,224.0,296.55,207.8,101493,22816619.05
2024-05-29,227.3,227.3,220.95,224.0,225.0,223.05,296.55,207.8,54584,12146832.85
2024-05-30,225.1,225.55,220.05,223.05,222.05,222.1,296.55,207.8,48916,10835286.3
2024-05-31,222.0,224.9,220.65,222.1,222.5,221.95,296.55,207.8,38541,8551352.35
2024-06-03,222.5,228.8,215.5,221.95,219.6,218.6,296.55,207.8,128784,28138061.2
2024-06-04,215.0,218.0,199.0,218.6,215.0,209.3,296.55,199.0,177346,36747690.3
2024-06-05,210.0,218.7,200.35,209.3,217.0,215.4,296.55,199.0,98122,20648110.6
2024-06-06,215.5,219.6,213.75,215.4,216.95,216.1,296.55,199.0,68105,14688175.5
2024-06-07,216.1,219.8,214.05,216.1,218.0,216.8,296.55,199.0,71859,15554561.6
2024-06-10,216.0,221.5,215.36,216.8,218.56,218.77,296.55,199.0,56268,12283875.26
2024-06-11,218.75,224.72,218.75,218.77,222.5,223.49,296.55,199.0,70363,15632980.8
2024-06-12,221.25,225.0,221.25,223.49,225.0,224.04,296.55,199.0,55270,12337992.37
2024-06-13,225.0,241.72,222.55,224.04,229.5,230.31,296.55,199.0,382869,87722438.73
2024-06-14,232.6,259.95,230.0,230.31,256.5,254.68,296.55,199.0,776707,192684075.7
2024-06-18,254.55,262.0,245.25,254.68,260.98,260.55,296.55,199.0,354473,90702684.63
2024-06-19,260.55,260.59,250.5,260.55,255.0,255.19,296.55,199.0,142340,36373294.8
2024-06-20,255.0,265.0,250.79,255.19,264.16,262.95,296.55,199.0,186538,48307195.13
2024-06-21,261.0,264.0,257.37,262.95,261.99,260.93,296.55,199.0,181063,47270937.66
2024-06-24,260.95,261.29,251.0,260.93,255.0,254.63,296.55,199.0,68581,17444761.55
2024-06-25,254.6,256.12,246.0,254.63,246.1,247.09,296.55,199.0,100121,25007901.76
2024-06-26,247.5,248.59,240.5,247.09,247.5,247.28,296.55,199.0,75320,18373522.15
2024-06-27,248.3,248.3,242.46,247.28,245.4,245.32,296.55,199.0,67683,16550144.49
