date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2008-02-28,680.0,680.0,600.0,592.85,610.0,610.37,680.0,600.0,10921,6781956.6
2008-02-29,623.0,629.9,619.0,610.37,625.5,627.54,680.0,600.0,1526,954804.26
2008-03-03,638.0,645.09,635.0,627.54,642.24,639.29,680.0,600.0,1767,1133403.07
2008-03-04,538.45,645.0,518.58,639.29,639.65,638.73,680.0,518.58,512,306929.3
2008-03-05,645.0,650.0,610.0,638.73,632.9,632.9,680.0,518.58,180,113564.95
2008-03-07,640.0,650.0,636.0,632.9,650.0,647.24,680.0,518.58,6698,4335843.54
2008-03-10,650.0,650.0,640.0,647.24,642.1,646.7,680.0,518.58,639,413542.45
2008-03-11,645.0,647.0,638.05,646.7,647.0,645.63,680.0,518.58,600,386094.7
2008-03-12,647.0,670.0,521.0,645.63,638.0,639.1,680.0,518.58,1197,770277.02
2008-03-13,639.0,649.9,639.0,639.1,649.9,649.14,680.0,518.58,556,359970.2
2008-03-14,650.01,654.0,641.1,649.14,653.45,653.2,680.0,518.58,461,300342.96
2008-03-17,780.0,780.0,660.0,653.2,685.0,690.37,780.0,518.58,2115,1455039.95
2008-03-18,661.0,666.4,655.25,690.37,665.95,664.41,780.0,518.58,943,624092.48
2008-03-19,651.0,655.0,640.0,664.41,648.0,654.84,780.0,518.58,2450,1600262.25
2008-03-24,630.0,640.0,603.1,654.84,611.4,607.85,780.0,518.58,1326,810032.62
2008-03-25,601.0,629.0,491.0,607.85,610.45,603.07,780.0,491.0,555,336818.67
2008-03-26,615.0,619.45,599.0,603.07,609.9,607.2,780.0,491.0,470,286156.55
2008-03-27,624.0,624.0,614.0,607.2,614.0,614.0,780.0,491.0,1347,834420.9
2008-03-28,625.0,625.0,610.0,614.0,618.9,616.42,780.0,491.0,441,270778.78
2008-03-31,603.0,620.0,564.0,616.42,613.9,613.47,780.0,491.0,179,109104.45
2008-04-01,600.0,600.0,583.0,613.47,589.49,589.27,780.0,491.0,1125,664957.52
2008-04-02,589.09,590.0,575.0,589.27,584.0,582.06,780.0,491.0,2238,1304246.52
2008-04-03,575.0,597.95,575.0,582.06,595.85,595.85,780.0,491.0,265,156798.83
2008-04-04,599.9,599.9,584.0,595.85,591.9,589.3,780.0,491.0,101,59719.15
2008-04-07,625.0,625.0,595.0,589.3,598.5,598.5,780.0,491.0,566,337593.34
2008-04-08,620.0,620.0,595.0,598.5,598.0,598.0,780.0,491.0,3480,2085187.54
2008-04-09,625.0,625.0,590.0,598.0,594.0,591.65,780.0,491.0,293,173875.97
2008-04-10,601.05,606.97,597.05,591.65,605.9,605.84,780.0,491.0,80,48300.52
2008-04-11,610.0,610.0,595.0,605.84,605.49,608.55,780.0,491.0,218,131698.34
2008-04-15,605.49,625.0,601.0,608.55,612.5,612.5,780.0,491.0,1278,782703.53
2008-04-16,610.0,610.0,602.0,612.5,609.7,609.68,780.0,491.0,1294,785799.23
2008-04-17,643.88,643.88,591.0,609.68,614.9,609.27,780.0,491.0,149,91193.78
2008-04-21,600.0,604.5,598.0,609.27,600.0,599.67,780.0,491.0,88,52888.89
2008-04-22,615.0,615.0,599.99,599.67,604.0,604.0,780.0,491.0,345,208092.05
2008-04-23,574.0,614.65,574.0,604.0,597.0,597.0,780.0,491.0,204,122048.66
2008-04-24,600.0,615.0,590.1,597.0,596.0,598.5,780.0,491.0,393,235191.58
2008-04-25,600.0,605.0,583.0,598.5,584.0,584.0,780.0,491.0,446,261635.05
2008-04-28,625.0,625.0,585.0,584.0,588.75,586.0,780.0,491.0,437,256434.75
2008-04-29,586.0,595.0,583.0,586.0,584.0,584.0,780.0,491.0,250,147171.95
2008-04-30,584.0,586.98,512.0,584.0,576.0,576.0,780.0,491.0,1322,759560.11
2008-05-02,580.0,599.0,570.0,576.0,595.0,588.07,780.0,491.0,620,365475.74
2008-05-05,614.98,614.98,573.5,588.07,573.5,575.77,780.0,491.0,961,558389.38
2008-05-06,597.0,597.0,580.0,575.77,580.02,583.55,780.0,491.0,104,61133.59
2008-05-07,600.0,608.9,585.1,583.55,590.0,588.56,780.0,491.0,1581,933782.2
2008-05-08,598.0,598.99,588.55,588.56,594.0,592.0,780.0,491.0,570,337034.16
2008-05-09,594.0,601.0,587.1,592.0,591.0,591.0,780.0,491.0,192,114015.66
2008-05-12,598.7,598.7,592.6,591.0,597.9,597.9,780.0,491.0,236,140625.12
2008-05-13,597.9,597.9,588.0,597.9,593.01,593.01,780.0,491.0,183,108318.34
2008-05-14,595.0,599.0,595.0,593.01,599.0,598.68,780.0,491.0,304,182011.98
2008-05-15,596.0,596.0,591.0,598.68,595.0,595.0,780.0,491.0,140,83082.75
2008-05-16,601.0,604.45,598.01,595.0,604.45,604.4,780.0,491.0,94,56464.41
2008-05-20,646.89,646.89,610.01,604.4,617.5,617.5,780.0,491.0,751,461187.62
2008-05-21,620.0,635.0,615.01,617.5,635.0,631.14,780.0,491.0,452,282943.25
2008-05-22,635.1,645.0,635.0,631.14,638.55,638.81,780.0,491.0,1917,1227041.93
2008-05-23,635.0,638.75,626.0,638.81,626.0,628.11,780.0,491.0,394,248386.3
