date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,68.0,71.8,67.75,66.45,71.8,71.8,118.9,52.1,262241,18416098.8
2000-01-04,73.0,73.0,68.0,71.8,69.55,69.35,118.9,52.1,216434,15015671.3
2000-01-05,69.4,70.4,66.0,69.35,68.6,68.3,118.9,52.1,217501,14955253.6
2000-01-06,69.7,73.8,68.9,68.3,73.8,73.75,118.9,52.1,773009,56604960.7
2000-01-07,73.5,77.0,72.0,73.75,73.95,73.2,118.9,52.1,575690,42618451.95
2000-01-10,75.8,77.0,71.2,73.2,71.85,72.2,118.9,52.1,373730,27539577.25
2000-01-11,73.0,73.0,67.15,72.2,69.55,69.85,118.9,52.1,642842,44707982.6
2000-01-12,71.0,72.1,70.0,69.85,71.2,70.75,118.9,52.1,195115,13817376.6
2000-01-13,71.6,71.7,69.3,70.75,69.55,69.65,118.9,52.1,117004,8238746.75
2000-01-14,69.3,74.0,67.55,69.65,73.9,72.2,118.9,52.1,337609,23706195.7
2000-01-17,74.7,76.7,71.5,72.2,73.2,73.15,118.9,52.1,500878,37227614.95
2000-01-18,73.8,79.0,71.35,73.15,79.0,78.9,118.9,52.1,1013868,77838232.75
2000-01-19,80.1,80.9,76.25,78.9,76.75,76.9,118.9,52.1,898181,70475730.85
2000-01-20,76.2,77.8,73.5,76.9,73.7,73.8,118.9,52.1,420915,31758386.0
2000-01-21,75.4,78.0,73.1,73.8,75.5,75.95,118.9,52.1,803127,60838615.15
2000-01-24,76.85,77.85,73.25,75.95,74.0,73.65,118.9,52.1,515604,38638589.6
2000-01-25,73.9,75.6,72.15,73.65,73.35,73.2,118.9,52.1,830142,61177278.75
2000-01-27,74.7,76.9,74.0,73.2,74.25,74.35,118.9,52.1,440662,33160841.9
2000-01-28,74.65,75.85,73.7,74.35,74.0,73.9,118.9,52.1,390464,28958162.8
2000-01-31,74.7,79.85,74.7,73.9,79.85,79.85,118.9,52.1,355684,28245753.45
2000-02-01,86.2,86.25,84.15,79.85,86.25,86.25,118.9,52.1,848101,73072742.35
2000-02-02,93.15,93.15,81.0,86.25,82.9,82.85,118.9,52.1,1477646,128171751.75
2000-02-03,81.55,85.0,80.65,82.85,81.0,81.8,118.9,52.1,905857,74931654.75
2000-02-04,80.5,81.85,76.0,81.8,76.35,77.1,118.9,52.1,1007093,78516446.4
2000-02-07,70.95,74.7,70.95,77.1,71.75,71.85,118.9,52.1,838835,60496814.35
2000-02-08,71.75,77.0,71.0,71.85,75.35,75.05,118.9,52.1,1082504,79035226.85
2000-02-09,78.0,81.05,78.0,75.05,81.05,81.05,118.9,52.1,796985,64357100.95
2000-02-10,83.75,87.55,79.1,81.05,87.55,87.55,118.9,52.1,1099899,92880640.55
2000-02-11,91.9,93.4,85.0,87.55,86.25,87.0,118.9,52.1,1270681,113486300.8
2000-02-14,84.1,85.5,80.05,87.0,80.05,80.05,118.9,52.1,735765,60168650.3
2000-02-15,78.0,81.4,76.0,80.05,77.0,76.75,118.9,52.1,940795,73370210.85
2000-02-16,78.9,81.9,76.9,76.75,78.0,78.45,118.9,52.1,373514,29583965.9
2000-02-17,78.0,82.25,78.0,78.45,80.4,80.05,118.9,52.1,369170,29681716.4
2000-02-18,79.85,79.85,75.5,80.05,76.5,76.7,118.9,52.1,368139,28535772.7
2000-02-21,77.0,79.0,75.65,76.7,77.55,77.9,118.9,52.1,464314,35893097.3
2000-02-22,77.5,79.35,75.55,77.9,76.5,76.35,118.9,52.1,628553,48314298.3
2000-02-23,79.4,79.4,73.1,76.35,74.0,73.95,118.9,52.1,384468,29400275.95
2000-02-24,74.85,74.85,73.1,73.95,73.95,73.45,118.9,52.1,117002,8666881.15
2000-02-25,72.0,73.85,70.85,73.45,70.85,71.55,118.9,52.1,145610,10531815.5
2000-02-28,71.0,75.8,70.6,71.55,75.3,75.0,118.9,52.1,227678,16759628.95
2000-02-29,76.35,77.4,69.0,75.0,69.0,69.65,118.9,52.1,394203,28881342.35
2000-03-01,71.0,73.0,69.5,69.65,71.8,71.5,118.9,52.1,195563,13971302.75
2000-03-02,71.0,72.3,66.25,71.5,66.25,67.05,118.9,52.1,199281,13739796.55
2000-03-03,64.1,65.75,61.7,67.05,63.8,63.4,118.9,52.1,302739,19241028.4
2000-03-06,65.0,68.5,65.0,63.4,68.5,67.95,118.9,52.1,280051,18804876.45
2000-03-07,66.1,70.0,62.55,67.95,62.7,62.9,118.9,52.1,291718,18769811.75
2000-03-08,62.5,65.9,61.25,62.9,62.4,62.0,118.9,52.1,154948,9768657.8
2000-03-09,63.75,63.95,57.05,62.0,58.25,58.75,118.9,52.1,163276,9649189.3
2000-03-10,58.25,59.85,56.5,58.75,59.1,58.25,118.9,52.1,250915,14537624.15
2000-03-13,61.25,62.95,59.9,58.25,61.0,61.25,118.9,52.1,358622,22258522.5
2000-03-14,62.4,65.4,59.1,61.25,64.0,64.8,118.9,52.1,354316,21931982.8
2000-03-15,66.0,67.7,61.0,64.8,61.4,61.6,118.9,52.1,227362,14249715.2
2000-03-16,62.4,62.4,58.1,61.6,59.15,58.55,118.9,52.1,147389,8770938.75
2000-03-21,59.5,60.4,55.35,58.55,56.95,55.75,118.9,52.1,422679,24006549.7
2000-03-22,57.9,58.95,56.6,55.75,57.1,57.4,118.9,52.1,213128,12308211.05
2000-03-23,58.9,62.0,55.6,57.4,56.9,57.15,118.9,52.1,229365,13258719.0
2000-03-24,57.5,57.5,54.75,57.15,56.95,56.85,118.9,52.1,131273,7303690.4
2000-03-27,57.0,58.4,56.15,56.85,56.5,56.4,118.9,52.1,205429,11698959.0
2000-03-28,57.05,57.1,55.25,56.4,56.9,56.25,118.9,52.1,233283,13089558.95
2000-03-29,60.75,60.75,58.4,56.25,60.75,60.75,118.9,52.1,171410,10387002.0
2000-03-30,58.1,61.25,57.6,60.75,59.3,59.0,118.9,52.1,182297,10759252.4
2000-03-31,57.8,61.4,57.8,59.0,61.4,60.8,118.9,52.1,211498,12629656.85
2000-04-03,61.4,64.9,60.0,60.8,63.15,63.7,118.9,52.1,352217,22100238.95
2000-04-04,61.0,66.9,58.6,63.7,66.0,63.2,118.9,52.1,535106,32666254.95
2000-04-05,66.1,68.25,63.0,63.2,64.75,65.2,118.9,52.1,364352,23865065.55
2000-04-06,65.1,65.45,60.0,65.2,60.65,61.15,118.9,52.1,181808,11189664.3
2000-04-07,62.0,65.3,61.15,61.15,64.95,64.8,118.9,52.1,578384,36960189.4
2000-04-10,65.5,66.45,63.45,64.8,64.4,64.55,118.9,52.1,463999,30138476.15
2000-04-11,63.0,66.0,61.1,64.55,65.2,64.6,118.9,52.1,319192,20386395.85
2000-04-12,65.0,68.15,64.5,64.6,66.8,66.65,118.9,52.1,1224365,82417708.5
2000-04-13,64.1,67.5,64.0,66.65,66.0,66.0,118.9,52.1,398740,26342598.65
2000-04-17,64.1,67.5,61.35,66.0,66.0,66.6,118.9,52.1,401153,26559282.2
2000-04-18,67.0,67.9,65.0,66.6,65.4,65.65,118.9,52.1,156007,10324167.4
2000-04-19,67.0,68.25,64.1,65.65,65.2,65.15,118.9,52.1,295431,19665671.25
2000-04-20,64.35,64.9,60.9,65.15,62.0,62.1,118.9,52.1,225077,14026482.3
2000-04-24,62.55,62.6,58.75,62.1,58.95,59.6,118.9,52.1,163483,9991278.75
2000-04-25,58.25,59.6,55.0,59.6,58.85,59.25,118.9,52.1,160761,9315796.25
2000-04-26,58.85,64.0,58.85,59.25,64.0,64.0,118.9,52.1,498302,31219769.65
2000-04-27,63.0,69.15,60.7,64.0,69.15,69.1,118.9,52.1,1199567,81389335.95
2000-04-28,74.65,74.65,74.65,69.1,74.65,74.65,118.9,52.1,111790,8345123.5
2000-05-02,80.65,83.65,72.55,74.65,82.3,81.45,118.9,52.1,2658037,211409304.1
2000-05-03,78.9,81.75,76.15,81.45,76.6,76.6,118.9,54.75,888292,69659552.45
2000-05-04,77.8,78.9,72.1,76.6,76.35,76.7,118.9,54.75,583579,43980447.2
2000-05-05,75.1,78.5,74.6,76.7,76.8,77.0,118.9,54.75,843216,64958491.55
2000-05-08,77.0,77.5,74.1,77.0,74.1,74.2,118.9,54.75,305028,23103381.2
2000-05-09,74.1,75.0,72.1,74.2,74.5,74.05,118.9,54.75,450448,33236637.55
2000-05-10,74.55,74.55,72.5,74.05,72.7,72.85,118.9,54.75,123577,9051568.65
2000-05-11,71.4,72.3,69.65,72.85,70.95,70.65,118.9,54.75,168752,12029280.4
2000-05-12,70.6,71.9,66.6,70.65,67.55,67.75,118.9,54.75,208806,14444451.8
2000-05-15,68.75,70.75,65.0,67.75,69.5,69.45,118.9,54.75,154964,10588469.95
