date,open,high,low,close,volume
2005-10-31,315.0,315.0,257.0,260.3,4981651
2005-11-01,267.0,275.0,256.1,269.95,805619
2005-11-02,265.0,273.0,260.1,264.0,1097073
2005-11-07,266.0,269.8,261.25,263.1,177665
2005-11-08,264.7,269.0,261.5,267.0,192727
2005-11-09,267.0,272.0,263.5,266.4,122504
2005-11-10,268.5,315.5,265.15,302.05,2645918
2005-11-11,304.9,319.0,290.65,296.5,1749323
2005-11-14,295.0,298.8,271.0,281.4,237003
2005-11-16,281.4,296.7,277.65,288.0,340422
2005-11-17,290.0,303.5,287.0,294.3,540264
2005-11-18,297.0,300.0,290.1,292.15,162423
2005-11-21,293.5,295.85,282.2,285.6,71143
2005-11-22,288.6,312.5,286.25,308.2,673294
2005-11-23,305.0,325.0,305.0,321.0,1355906
2005-11-24,323.0,324.0,302.1,304.85,486728
2005-11-25,305.0,330.0,303.85,325.2,506914
2005-11-26,325.0,332.0,316.65,328.6,227207
2005-11-28,329.9,329.9,312.5,316.15,208338
2005-11-29,317.8,346.4,311.0,340.65,1139493
2005-11-30,339.6,378.85,339.6,373.0,1516313
2005-12-01,371.9,395.0,370.05,391.0,1951178
2005-12-02,396.0,401.9,370.25,372.6,677306
2005-12-05,373.35,375.9,358.6,366.75,426277
2005-12-06,367.0,377.8,362.0,367.95,346283
2005-12-07,369.0,376.0,366.15,370.8,130280
2005-12-08,373.0,379.4,372.55,374.05,175893
2005-12-09,376.0,404.2,375.0,388.25,404315
2005-12-12,389.0,394.6,380.2,385.8,198244
2005-12-13,388.65,434.9,386.05,430.3,928386
2005-12-14,430.05,435.0,412.0,413.9,334866
2005-12-15,416.0,467.7,415.0,454.35,1253396
2005-12-16,460.0,480.0,450.05,476.1,1196025
2005-12-19,480.0,567.7,475.0,545.0,2951498
2005-12-20,544.0,570.0,528.1,534.7,1563765
2005-12-21,537.8,540.5,512.0,519.3,652493
2005-12-22,518.0,526.0,495.0,505.45,681187
2005-12-23,512.0,522.0,490.1,496.45,871061
2005-12-26,496.0,496.45,460.0,469.4,446485
2005-12-27,471.0,516.35,454.0,514.45,930949
2005-12-28,525.15,550.0,525.15,533.05,1066164
2005-12-29,533.0,539.75,521.2,522.75,356525
2005-12-30,524.7,550.0,515.1,533.85,635721
2006-01-02,537.3,547.7,528.0,534.65,291821
2006-01-03,538.6,556.0,528.0,532.3,698814
