date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-04-21,463.9,464.0,435.1,443.2,445.0,450.7,464.0,435.1,61128,27575475.25
2022-04-22,441.0,457.8,425.05,450.7,436.0,432.7,464.0,425.05,35503,15523199.3
2022-04-25,437.0,449.0,421.4,432.7,424.0,425.95,464.0,421.4,14042,6089919.1
2022-04-26,441.0,441.0,413.1,425.95,425.0,418.0,464.0,413.1,16406,6889671.15
2022-04-27,418.0,429.7,405.0,418.0,429.7,424.75,464.0,405.0,15944,6709583.3
2022-04-28,439.8,469.0,426.25,424.75,437.0,436.6,469.0,405.0,133586,59891340.5
2022-04-29,444.0,446.9,420.0,436.6,429.7,422.55,469.0,405.0,18837,8151298.5
2022-05-02,430.0,436.45,415.55,422.55,416.5,419.0,469.0,405.0,16007,6779147.5
2022-05-04,420.0,437.8,410.95,419.0,421.9,417.2,469.0,405.0,59994,24976930.8
2022-05-05,420.0,426.65,409.9,417.2,412.0,413.85,469.0,405.0,6506,2726281.05
2022-05-06,398.15,431.95,397.3,413.85,427.95,426.55,469.0,397.3,33800,14100110.15
2022-05-09,430.0,434.8,414.9,426.55,430.1,430.15,469.0,397.3,27170,11613870.0
2022-05-10,433.25,441.85,410.0,430.15,412.0,412.4,469.0,397.3,39952,16835361.5
2022-05-11,412.05,419.9,390.45,412.4,416.0,414.9,469.0,390.45,24565,9960780.45
2022-05-12,415.0,416.45,396.0,414.9,415.95,408.45,469.0,390.45,27361,11156726.9
2022-05-13,418.45,429.05,410.45,408.45,412.1,413.45,469.0,390.45,15478,6522187.45
2022-05-16,416.0,436.8,416.0,413.45,431.0,431.25,469.0,390.45,34351,14688464.7
2022-05-17,436.25,446.0,435.25,431.25,438.8,437.45,469.0,390.45,14291,6304631.9
2022-05-18,439.45,447.45,431.0,437.45,440.0,435.55,469.0,390.45,11699,5109240.0
2022-05-19,434.8,486.15,420.9,435.55,465.2,463.3,486.15,390.45,206439,96963498.1
2022-05-20,470.75,486.05,467.25,463.3,483.1,483.9,486.15,390.45,90096,43242140.55
2022-05-23,497.0,501.95,459.15,483.9,475.0,468.85,501.95,390.45,67862,32623295.45
2022-05-24,474.0,485.0,450.85,468.85,482.0,482.95,501.95,390.45,53731,25280800.95
2022-05-25,492.65,492.65,458.6,482.95,464.0,462.45,501.95,390.45,42445,19851897.2
2022-05-26,453.25,478.0,444.9,462.45,475.0,470.35,501.95,390.45,45492,21030638.3
2022-05-27,458.5,490.0,458.5,470.35,482.0,485.4,501.95,390.45,64866,31038791.95
2022-05-30,498.1,498.1,477.8,485.4,485.0,486.7,501.95,390.45,80978,39620197.35
2022-05-31,491.7,492.0,480.2,486.7,481.0,483.85,501.95,390.45,28957,14103139.3
2022-06-01,477.85,501.0,473.85,483.85,493.1,496.25,501.95,390.45,124350,61482259.05
2022-06-02,490.0,500.0,481.7,496.25,495.55,493.9,501.95,390.45,75738,37560862.95
2022-06-03,497.9,511.9,480.0,493.9,491.0,491.05,511.9,390.45,53189,26460132.35
2022-06-06,487.05,493.75,481.0,491.05,482.0,483.9,511.9,390.45,16111,7825776.9
2022-06-07,485.0,485.0,455.0,483.9,460.0,465.95,511.9,390.45,20965,9896491.0
2022-06-08,465.7,480.0,455.0,465.95,477.8,472.3,511.9,390.45,27009,12620338.8
2022-06-09,470.65,493.0,467.9,472.3,483.0,489.5,511.9,390.45,24978,12064436.15
2022-06-10,482.85,490.8,473.65,489.5,477.2,486.4,511.9,390.45,26444,12744135.6
2022-06-13,480.0,484.0,462.55,486.4,466.25,474.25,511.9,390.45,29614,13977781.9
2022-06-14,464.25,478.05,456.3,474.25,478.0,472.2,511.9,390.45,16006,7500230.25
2022-06-15,479.2,485.2,462.0,472.2,463.0,466.85,511.9,390.45,53465,25297847.35
2022-06-16,472.8,476.15,455.0,466.85,456.0,457.9,511.9,390.45,20202,9341265.25
2022-06-17,452.0,461.15,438.25,457.9,447.0,450.85,511.9,390.45,17411,7805598.2
2022-06-20,450.0,450.0,399.45,450.85,431.0,429.1,511.9,390.45,49681,21011236.2
2022-06-21,435.7,479.9,423.55,429.1,470.0,473.7,511.9,390.45,87516,40579617.75
2022-06-22,465.0,480.0,461.9,473.7,479.0,475.95,511.9,390.45,19693,9302274.55
2022-06-23,479.95,480.0,468.0,475.95,475.9,472.05,511.9,390.45,10174,4826947.6
2022-06-24,426.0,480.0,426.0,472.05,465.0,458.55,511.9,390.45,10753,4982980.9
2022-06-27,479.9,484.55,466.0,458.55,469.65,469.4,511.9,390.45,5622,2647103.05
2022-06-28,465.9,480.0,461.1,469.4,480.0,474.0,511.9,390.45,4800,2257210.5
2022-06-29,470.0,505.5,466.3,474.0,500.0,501.3,511.9,390.45,346576,172994857.25
2022-06-30,498.0,498.0,471.25,501.3,475.0,476.15,511.9,390.45,60106,29079671.95
2022-07-01,473.0,485.55,466.3,476.15,466.3,471.85,511.9,390.45,9515,4518225.95
2022-07-04,475.0,475.0,458.1,471.85,462.0,462.55,511.9,390.45,15695,7308851.0
2022-07-05,465.05,470.85,438.2,462.55,448.0,448.05,511.9,390.45,20475,9284220.6
