date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-08-31,165.25,165.25,165.25,176.0,165.25,165.25,194.0,135.0,100,16525.0
2000-09-07,166.0,166.0,160.0,165.25,160.0,160.0,194.0,135.0,200,32600.0
2000-09-08,160.0,160.0,160.0,160.0,160.0,160.0,194.0,135.0,200,32000.0
2000-09-12,165.0,165.0,165.0,160.0,165.0,165.0,194.0,135.0,300,49500.0
2000-09-14,165.0,165.0,165.0,165.0,165.0,165.0,194.0,135.0,200,33000.0
2000-09-15,165.0,165.0,165.0,165.0,165.0,165.0,194.0,135.0,200,33000.0
2000-09-18,168.0,168.0,168.0,165.0,168.0,168.0,194.0,135.0,200,33600.0
2000-09-19,170.0,170.0,170.0,168.0,170.0,170.0,194.0,135.0,200,34000.0
2000-09-20,163.0,163.0,163.0,170.0,163.0,163.0,194.0,135.0,200,32600.0
2000-09-22,173.0,173.0,173.0,163.0,173.0,173.0,194.0,135.0,200,34600.0
2000-09-26,166.0,166.0,166.0,173.0,166.0,166.0,194.0,135.0,100,16600.0
2000-10-04,165.0,165.0,165.0,166.0,165.0,165.0,194.0,135.0,200,33000.0
2000-10-10,170.0,170.0,170.0,165.0,170.0,170.0,194.0,135.0,200,34000.0
2000-10-18,162.0,162.0,162.0,170.0,162.0,162.0,176.0,135.0,200,32400.0
2000-10-24,166.0,166.0,166.0,162.0,166.0,166.0,176.0,135.0,200,33200.0
2001-04-24,164.0,164.0,164.0,166.0,164.0,164.0,173.0,160.0,100,16400.0
2001-10-25,165.0,165.0,165.0,176.0,165.0,165.0,0.0,0.0,50,8250.0
2002-09-02,164.0,164.0,164.0,165.0,164.0,164.0,165.0,165.0,100,16400.0
2003-04-02,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,100,16400.0
2003-04-04,156.0,156.0,155.8,164.0,155.8,155.8,164.0,164.0,200,31180.0
2003-04-08,148.55,148.55,148.55,155.8,148.55,148.55,164.0,155.8,1,148.55
2003-07-18,141.2,141.2,141.2,148.55,141.2,141.2,164.0,148.55,1,141.2
2003-07-22,134.15,134.15,134.15,141.2,134.15,134.15,164.0,141.2,1,134.15
2003-07-24,128.5,128.5,128.5,134.15,128.5,128.5,164.0,134.15,500,64250.0
2003-07-29,126.0,126.0,126.0,128.5,126.0,126.0,164.0,128.5,25,3150.0
2003-08-04,119.9,120.2,119.9,126.0,120.2,120.2,164.0,126.0,200,24010.0
2003-08-11,115.95,116.0,115.95,120.2,116.0,115.95,164.0,119.9,200,23195.0
2003-08-12,116.0,116.0,110.2,115.95,114.95,114.95,164.0,115.95,210,23363.5
2003-08-13,120.7,120.7,109.2,114.95,109.45,109.45,164.0,110.2,252,27623.9
