date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,18.0,20.0,17.55,17.75,20.0,19.4,26.95,5.25,16100,300285.0
2000-01-04,20.5,20.5,17.25,19.4,17.25,17.7,26.95,5.25,12600,229350.0
2000-01-05,16.15,18.9,16.15,17.7,17.1,17.1,26.95,5.25,6100,107950.0
2000-01-06,17.5,17.55,16.65,17.1,17.25,17.25,26.95,5.25,10700,184115.0
2000-01-07,17.0,17.8,16.5,17.25,16.5,16.5,26.95,5.25,2400,41065.0
2000-01-10,15.75,16.15,15.5,16.5,16.0,16.0,26.95,5.25,3900,61770.0
2000-01-11,15.3,15.8,14.55,16.0,14.7,14.7,26.95,5.25,18100,273675.0
2000-01-12,15.5,16.0,15.1,14.7,15.55,15.5,26.95,5.25,2800,43370.0
2000-01-13,16.0,16.45,15.5,15.5,15.5,15.85,26.95,5.25,3000,48310.0
2000-01-14,16.0,16.0,15.0,15.85,15.45,15.35,26.95,5.25,1900,29150.0
2000-01-17,15.4,15.9,14.75,15.35,15.0,15.0,26.95,5.25,3400,52010.0
2000-01-18,15.1,15.25,14.5,15.0,14.9,14.85,26.95,5.25,6500,96820.0
2000-01-19,15.05,15.25,15.0,14.85,15.0,15.0,26.95,5.25,3200,48150.0
2000-01-20,15.0,15.0,14.5,15.0,14.6,14.6,26.95,5.25,900,13230.0
2000-01-21,14.4,14.9,14.0,14.6,14.0,14.0,26.95,5.25,2600,37095.0
2000-01-24,14.0,14.0,13.75,14.0,13.75,13.75,26.95,5.25,2300,32105.0
2000-01-25,14.0,14.0,13.1,13.75,14.0,14.0,26.95,5.25,2600,36090.0
2000-01-27,14.0,14.0,12.65,14.0,12.65,12.85,26.95,5.25,5900,79395.0
2000-01-28,12.75,13.05,12.5,12.85,13.0,13.0,26.95,5.25,3000,38345.0
2000-01-31,12.55,13.0,12.55,13.0,12.55,12.55,26.95,5.25,7300,92895.0
2000-02-01,12.8,13.0,12.75,12.55,13.0,12.95,26.95,5.25,7600,97265.0
