date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2016-06-16,30.35,30.4,30.0,30.25,30.0,30.1,30.4,30.0,410,12361.5
2016-06-17,30.75,31.35,30.15,30.1,31.0,31.0,31.35,30.0,952,29174.85
2016-06-21,30.0,31.0,29.1,31.0,31.0,30.8,31.35,29.1,1615,48270.6
2016-06-24,25.1,32.95,25.1,30.8,31.65,31.2,32.95,25.1,4774,145561.05
2016-06-27,33.3,33.3,33.3,31.2,33.3,33.3,33.3,25.1,59,1964.7
2016-06-28,31.0,31.0,31.0,33.3,31.0,31.0,33.3,25.1,410,12710.0
2016-06-30,32.5,32.5,31.95,31.0,31.95,31.95,33.3,25.1,20,644.5
2016-07-01,31.95,32.75,31.95,31.95,32.75,32.75,33.3,25.1,150,4832.5
2016-07-04,34.2,34.2,30.0,32.75,33.8,33.8,34.2,25.1,475,14564.0
2016-07-05,33.0,33.0,32.95,33.8,32.95,32.95,34.2,25.1,97,3200.65
2016-07-07,32.0,34.0,30.05,32.95,31.0,31.9,34.2,25.1,5087,159753.8
2016-07-08,28.55,32.4,28.55,31.9,29.3,29.3,34.2,25.1,1115,32441.25
2016-07-11,29.55,29.75,29.55,29.3,29.75,29.75,34.2,25.1,97,2876.35
2016-07-12,33.85,33.85,31.1,29.75,31.1,31.1,34.2,25.1,1464,46967.6
2016-07-13,34.4,34.4,32.0,31.1,32.0,32.5,34.4,25.1,15,497.0
2016-07-14,32.8,37.45,32.1,32.5,34.0,34.0,37.45,25.1,5175,174072.0
2016-07-15,31.7,33.95,31.5,34.0,31.55,32.55,37.45,25.1,3231,102867.45
2016-07-18,30.55,30.55,30.55,32.55,30.55,30.55,37.45,25.1,2,61.1
2016-07-19,30.15,30.95,30.0,30.55,30.35,30.35,37.45,25.1,2300,69490.0
2016-07-21,31.9,31.9,31.9,30.35,31.9,31.9,37.45,25.1,10,319.0
2016-07-22,33.95,33.95,30.55,31.9,30.55,30.55,37.45,25.1,1773,57383.35
2016-07-25,30.25,30.25,30.0,30.55,30.0,30.0,37.45,25.1,90,2705.0
2016-07-26,31.5,31.5,31.5,30.0,31.5,31.5,37.45,25.1,533,16789.5
2016-07-27,28.5,28.5,28.5,31.5,28.5,28.5,37.45,25.1,1000,28500.0
2016-07-28,29.0,31.45,29.0,28.5,31.45,31.45,37.45,25.1,510,14814.5
2016-07-29,31.45,37.65,31.45,31.45,37.2,37.2,37.65,25.1,14690,537327.65
2016-08-01,36.3,36.45,31.7,37.2,36.0,35.85,37.65,25.1,23187,818804.35
2016-08-02,33.5,35.0,33.2,35.85,34.8,34.8,37.65,25.1,402,13409.8
2016-08-04,31.5,35.0,31.45,34.8,32.6,32.6,37.65,25.1,2175,69620.3
2016-08-05,31.1,35.65,31.1,32.6,34.0,33.2,37.65,25.1,1121,37443.25
2016-08-08,31.65,34.7,31.65,33.2,32.0,32.0,37.65,25.1,800,25911.8
2016-08-09,31.2,36.0,31.15,32.0,35.7,34.2,37.65,25.1,2633,88423.1
2016-08-10,31.55,32.05,31.55,34.2,32.0,32.0,37.65,25.1,101,3209.55
2016-08-12,31.2,32.25,31.2,32.0,31.5,31.9,37.65,25.1,840,26607.5
2016-08-16,31.9,36.0,31.9,31.9,36.0,36.0,37.65,25.1,5,167.7
2016-08-19,31.6,31.6,31.6,36.0,31.6,31.6,37.65,25.1,100,3160.0
2016-08-22,35.0,35.0,31.5,31.6,35.0,33.35,37.65,25.1,231,7701.0
2016-08-23,35.0,36.0,32.25,33.35,34.55,34.55,37.65,25.1,6075,203445.8
2016-08-24,31.65,34.0,31.65,34.55,34.0,34.0,37.65,25.1,2500,84145.0
2016-08-26,31.55,31.55,31.5,34.0,31.5,31.5,37.65,25.1,3,94.6
2016-08-29,31.5,31.5,31.5,31.5,31.5,31.5,37.65,25.1,250,7875.0
2016-08-30,31.6,31.65,31.6,31.5,31.65,31.65,37.65,25.1,96,3036.0
2016-08-31,35.0,35.0,35.0,31.65,35.0,35.0,37.65,25.1,28,980.0
2016-09-01,32.05,32.05,31.5,35.0,31.5,31.7,37.65,25.1,1505,48072.25
2016-09-06,31.55,31.55,31.5,31.7,31.5,31.5,37.65,25.1,1000,31525.0
2016-09-07,31.6,31.6,31.5,31.5,31.5,31.5,37.65,25.1,92,2898.3
2016-09-09,31.75,35.0,31.55,31.5,31.55,33.0,37.65,25.1,490,16049.5
2016-09-16,31.05,31.05,31.05,33.0,31.05,31.05,37.65,25.1,88,2732.4
2016-09-21,32.5,32.5,30.5,31.05,30.5,30.5,37.65,25.1,2050,63750.0
2016-09-22,33.0,33.0,32.05,30.5,32.05,32.05,37.65,25.1,402,13264.1
2016-09-23,34.5,34.5,31.55,32.05,31.55,31.55,37.65,25.1,77,2644.7
2016-09-26,34.5,34.5,34.5,31.55,34.5,34.5,37.65,25.1,70,2415.0
2016-09-27,31.55,31.55,31.55,34.5,31.55,31.55,37.65,25.1,63,1987.65
2016-09-28,34.5,34.5,31.55,31.55,33.0,33.0,37.65,25.1,9123,301037.95
2016-09-29,30.5,34.4,30.35,33.0,34.4,32.45,37.65,25.1,4309,140745.75
2016-09-30,31.25,31.25,31.25,32.45,31.25,31.25,37.65,25.1,5,156.25
2016-10-03,32.05,32.05,32.05,31.25,32.05,32.05,37.65,25.1,100,3205.0
2016-10-04,32.55,35.85,27.55,32.05,33.95,32.6,37.65,25.1,23964,787606.5
2016-10-05,34.9,35.5,32.8,32.6,34.0,34.0,37.65,25.1,5604,190085.35
2016-10-06,35.0,39.0,35.0,34.0,38.5,37.95,39.0,25.1,20671,775730.25
2016-10-07,35.5,38.45,35.5,37.95,37.0,37.0,39.0,25.1,460,16742.75
2016-10-10,38.95,38.95,38.95,37.0,38.95,38.95,39.0,25.1,20,779.0
2016-10-13,38.8,38.8,34.05,38.95,36.5,36.65,39.0,25.1,5010,178526.6
2016-10-14,34.05,36.0,34.05,36.65,36.0,36.0,39.0,25.1,110,3755.25
2016-10-17,33.0,36.5,33.0,36.0,34.3,34.3,39.0,25.1,10655,374693.75
2016-10-18,36.4,41.15,36.0,34.3,41.15,41.15,41.15,25.1,29472,1180238.7
2016-10-19,42.0,44.0,40.0,41.15,40.1,40.7,44.0,25.1,18631,780072.7
2016-10-20,36.3,42.9,36.3,40.7,42.0,41.75,44.0,25.1,7284,302223.75
2016-10-21,39.05,41.75,39.05,41.75,41.6,41.35,44.0,25.1,2118,86392.9
2016-10-24,39.55,41.5,39.0,41.35,39.0,39.0,44.0,25.1,831,32671.5
2016-10-25,38.9,38.9,37.6,39.0,37.6,37.6,44.0,25.1,10,382.5
2016-10-26,37.0,38.0,37.0,37.6,38.0,38.0,44.0,25.1,461,17157.0
2016-10-27,39.8,39.95,39.5,38.0,39.95,39.95,44.0,25.1,810,32285.5
2016-10-28,41.5,41.5,39.55,39.95,40.0,40.5,44.0,25.1,1600,65975.0
2016-10-30,42.9,42.9,42.4,40.5,42.4,42.4,44.0,25.1,30,1278.0
2016-11-01,41.0,41.0,41.0,42.4,41.0,41.0,44.0,25.1,100,4100.0
2016-11-02,37.2,40.9,37.2,41.0,40.9,40.9,44.0,25.1,494,18391.6
2016-11-03,40.0,40.0,40.0,40.9,40.0,40.0,44.0,25.1,5,200.0
2016-11-04,35.5,40.95,35.5,40.0,40.95,40.95,44.0,25.1,202,8261.0
2016-11-07,40.95,40.95,39.9,40.95,39.9,39.9,44.0,25.1,20,808.5
2016-11-08,36.0,39.95,36.0,39.9,39.35,38.85,44.0,25.1,10215,396648.0
2016-11-09,31.55,38.5,31.55,38.85,38.5,38.5,44.0,25.1,333,12125.5
2016-11-11,40.95,41.0,40.95,38.5,41.0,41.0,44.0,25.1,10,409.75
2016-11-15,39.0,39.0,34.15,41.0,34.15,34.15,44.0,25.1,110,4241.5
2016-11-16,37.5,37.5,35.0,34.15,35.0,35.0,44.0,25.1,385,14412.5
2016-11-17,37.0,40.0,37.0,35.0,37.05,37.05,44.0,25.1,3,114.05
2016-11-18,42.4,42.4,39.2,37.05,39.2,39.2,44.0,25.1,155,6388.5
2016-11-21,35.05,39.0,35.0,39.2,35.1,35.1,44.0,25.1,312,10975.2
2016-11-22,39.95,39.95,39.95,35.1,39.95,39.95,44.0,25.1,12,479.4
2016-11-23,33.5,39.0,33.5,39.95,39.0,39.0,44.0,25.1,310,11495.0
2016-11-25,38.5,38.5,36.0,39.0,38.0,38.0,44.0,25.1,720,26860.0
2016-11-28,44.0,44.0,34.0,38.0,38.75,37.1,44.0,25.1,3409,129741.25
2016-11-29,39.0,39.0,36.55,37.1,36.55,36.55,44.0,25.1,276,10715.0
2016-11-30,39.0,41.0,37.0,36.55,40.0,40.0,44.0,25.1,2155,84726.65
2016-12-01,41.9,41.9,36.0,40.0,41.0,41.0,44.0,25.1,239,9428.85
2016-12-02,39.0,40.0,39.0,41.0,40.0,40.0,44.0,25.1,2500,99981.0
2016-12-06,40.0,40.0,40.0,40.0,40.0,40.0,44.0,25.1,10,400.0
2016-12-07,40.5,40.5,37.5,40.0,37.5,37.5,44.0,25.1,885,35625.0
