date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2018-04-02,346.1,351.75,318.25,332.0,321.0,322.15,351.75,318.25,9834709,3333744266.65
2018-04-03,318.7,334.15,305.6,322.15,332.55,332.05,351.75,305.6,1826452,587994073.25
2018-04-04,332.55,347.8,332.55,332.05,343.0,343.5,351.75,305.6,1804221,617686526.85
2018-04-05,350.0,351.3,340.55,343.5,344.0,344.35,351.75,305.6,588392,203575749.05
2018-04-06,342.55,348.0,340.6,344.35,342.0,342.75,351.75,305.6,375686,129511170.0
2018-04-09,344.0,346.8,337.1,342.75,343.1,343.85,351.75,305.6,257535,88354833.45
2018-04-10,345.4,366.9,343.25,343.85,365.8,362.75,366.9,305.6,1445280,515511570.75
2018-04-11,365.0,376.55,357.6,362.75,369.0,370.1,376.55,305.6,831538,307635614.8
2018-04-12,370.5,377.1,366.0,370.1,371.3,372.35,377.1,305.6,413431,153481256.15
2018-04-13,371.3,377.45,368.0,372.35,373.0,373.95,377.45,305.6,350703,130417085.5
2018-04-16,374.4,388.55,371.5,373.95,380.0,380.05,388.55,305.6,713712,271939818.2
2018-04-17,382.8,385.85,372.0,380.05,375.15,376.1,388.55,305.6,242119,92021442.05
2018-04-18,376.0,385.85,375.25,376.1,383.0,381.0,388.55,305.6,261319,99904899.7
2018-04-19,384.0,384.0,372.9,381.0,374.75,374.45,388.55,305.6,141066,53217543.6
2018-04-20,374.0,378.0,362.6,374.45,367.7,366.15,388.55,305.6,131714,48620682.2
2018-04-23,367.55,375.0,363.65,366.15,367.8,368.4,388.55,305.6,161083,59466017.35
2018-04-24,370.5,384.9,365.6,368.4,380.05,380.8,388.55,305.6,311829,117605327.2
2018-04-25,378.85,386.4,375.0,380.8,382.7,382.05,388.55,305.6,209205,79721397.95
2018-04-26,379.0,384.65,373.0,382.05,374.0,379.05,388.55,305.6,159496,60457118.9
2018-04-27,376.1,388.6,376.1,379.05,387.1,388.15,388.6,305.6,283065,108997502.05
2018-04-30,389.0,399.0,382.0,388.15,390.1,392.05,399.0,305.6,309657,121735905.05
2018-05-02,391.25,399.0,391.0,392.05,397.45,397.05,399.0,305.6,210533,83328159.4
2018-05-03,397.0,399.0,380.95,397.05,385.0,384.9,399.0,305.6,113398,44130553.85
2018-05-04,385.0,393.0,380.35,384.9,389.25,388.7,399.0,305.6,82659,32023436.5
2018-05-07,388.05,393.7,377.9,388.7,378.5,380.9,399.0,305.6,85026,32792878.9
2018-05-08,381.8,395.0,381.65,380.9,388.25,390.2,399.0,305.6,122876,47805010.05
2018-05-09,390.0,408.6,385.65,390.2,405.25,405.25,408.6,305.6,307528,123370171.55
2018-05-10,408.45,442.05,405.15,405.25,424.0,420.75,442.05,305.6,817917,347365904.15
2018-05-11,424.7,432.8,412.35,420.75,426.4,424.95,442.05,305.6,234942,99690943.1
2018-05-14,421.0,438.0,418.05,424.95,430.0,429.8,442.05,305.6,152252,65361380.8
2018-05-15,431.0,451.3,424.1,429.8,435.0,434.75,451.3,305.6,396356,175228303.8
2018-05-16,430.0,432.0,416.2,434.75,417.5,418.55,451.3,305.6,166665,70721234.75
2018-05-17,421.0,423.0,406.4,418.55,416.5,416.65,451.3,305.6,139564,58106601.65
2018-05-18,418.0,419.0,398.4,416.65,406.0,404.3,451.3,305.6,86744,35318496.05
2018-05-21,397.0,411.7,385.0,404.3,402.0,403.75,451.3,305.6,136061,53792323.0
2018-05-22,405.2,411.0,395.5,403.75,405.05,402.1,451.3,305.6,53709,21701756.85
2018-05-23,402.05,409.95,397.6,402.1,408.0,402.35,451.3,305.6,44049,17843202.7
2018-05-24,406.0,407.0,398.05,402.35,400.75,400.35,451.3,305.6,26537,10678834.95
2018-05-25,407.3,407.3,399.0,400.35,401.25,403.5,451.3,305.6,38327,15422986.45
2018-05-28,407.5,413.35,391.05,403.5,392.0,393.0,451.3,305.6,122137,49194831.3
2018-05-29,397.8,398.95,384.05,393.0,384.35,386.05,451.3,305.6,48338,18945055.65
2018-05-30,384.0,394.0,383.0,386.05,389.9,388.4,451.3,305.6,37271,14458129.05
2018-05-31,390.05,393.35,380.55,388.4,390.3,391.5,451.3,305.6,56264,21876782.6
2018-06-01,394.5,395.0,370.0,391.5,371.2,372.65,451.3,305.6,61505,23336803.0
2018-06-04,376.0,377.9,355.0,372.65,355.0,356.9,451.3,305.6,121759,44124234.4
2018-06-05,352.25,359.0,335.0,356.9,355.95,354.1,451.3,305.6,139959,48484807.45
2018-06-06,352.95,378.8,352.0,354.1,378.8,375.25,451.3,305.6,88885,32755209.95
2018-06-07,383.0,383.0,373.25,375.25,377.6,378.2,451.3,305.6,50054,18906273.3
2018-06-08,380.05,384.9,378.15,378.2,383.05,383.65,451.3,305.6,42948,16359241.5
2018-06-11,386.0,388.4,380.05,383.65,382.0,382.1,451.3,305.6,26390,10128711.7
2018-06-12,381.1,394.85,379.55,382.1,394.85,392.55,451.3,305.6,35016,13577582.7
2018-06-13,396.95,401.65,392.45,392.55,399.05,397.85,451.3,305.6,67054,26605010.85
2018-06-14,392.1,405.95,392.1,397.85,399.05,400.75,451.3,305.6,40004,16021381.95
2018-06-15,404.0,404.65,399.05,400.75,399.1,401.7,451.3,305.6,30464,12235946.35
2018-06-18,394.55,400.95,391.15,401.7,392.05,393.1,451.3,305.6,176669,69602178.4
2018-06-19,389.8,401.75,383.1,393.1,396.05,396.2,451.3,305.6,74667,29516625.6
2018-06-20,396.65,397.5,387.2,396.2,396.0,394.9,451.3,305.6,18235,7168481.0
2018-06-21,396.1,404.0,395.05,394.9,399.0,398.95,451.3,305.6,76168,30350806.0
2018-06-22,393.8,401.45,387.95,398.95,395.0,394.75,451.3,305.6,80163,31489404.45
2018-06-25,399.8,406.8,395.45,394.75,398.0,398.5,451.3,305.6,77738,31136910.65
2018-06-26,399.75,399.85,390.05,398.5,390.75,393.75,451.3,305.6,27845,10963511.6
2018-06-27,390.1,396.85,382.75,393.75,384.1,385.35,451.3,305.6,57223,22185448.6
2018-06-28,382.0,387.65,378.0,385.35,378.0,378.75,451.3,305.6,25067,9583726.8
2018-06-29,380.5,387.85,380.1,378.75,385.0,384.95,451.3,305.6,22702,8701710.9
2018-07-02,383.05,389.75,379.0,384.95,382.0,383.15,451.3,305.6,44455,17036356.7
2018-07-03,383.0,385.5,379.4,383.15,381.0,380.35,451.3,305.6,45239,17207671.15
2018-07-04,381.55,382.0,379.0,380.35,382.0,381.15,451.3,305.6,10945,4160573.45
2018-07-05,375.3,386.9,375.3,381.15,386.5,385.3,451.3,305.6,13995,5386438.6
2018-07-06,382.7,392.0,381.2,385.3,384.1,385.3,451.3,305.6,38950,15038298.55
2018-07-09,385.3,388.85,379.0,385.3,379.15,379.75,451.3,305.6,139959,53284586.65
2018-07-10,380.0,382.75,376.0,379.75,377.5,379.7,451.3,305.6,29843,11328968.15
2018-07-11,377.4,386.0,376.0,379.7,377.0,380.0,451.3,305.6,52037,19758283.1
2018-07-12,379.05,382.75,377.2,380.0,379.5,379.4,451.3,305.6,28722,10908888.6
2018-07-13,378.9,381.9,365.0,379.4,375.0,375.2,451.3,305.6,39446,14784624.3
2018-07-16,372.0,378.75,365.0,375.2,372.0,372.75,451.3,305.6,85027,31536009.3
2018-07-17,371.05,376.7,367.0,372.75,374.4,374.25,451.3,305.6,22700,8466813.5
2018-07-18,380.0,380.0,368.15,374.25,372.85,372.5,451.3,305.6,14128,5264417.6
2018-07-19,369.95,374.95,357.55,372.5,358.8,360.7,451.3,305.6,24915,9166349.15
2018-07-20,354.7,361.7,345.1,360.7,346.0,347.05,451.3,305.6,24250,8545999.75
2018-07-23,346.0,359.0,339.0,347.05,349.0,355.65,451.3,305.6,30781,10704332.6
