date,open,high,low,close,volume
2021-06-24,131.5,132.65,115.6,120.4,123284
2021-06-25,123.35,129.8,115.3,124.05,63377
2021-06-28,127.7,139.9,125.15,136.75,148434
2021-06-29,140.8,140.8,125.55,130.2,134436
2021-06-30,123.3,133.25,121.0,121.85,129957
2021-07-01,122.0,125.0,115.1,116.25,64773
2021-07-02,115.2,125.0,115.1,120.05,53697
2021-07-05,118.65,124.35,118.65,122.9,22381
2021-07-06,123.9,126.0,119.9,121.05,44688
2021-07-07,122.8,124.6,120.0,120.8,25084
2021-07-08,120.95,123.3,116.6,119.0,27267
2021-07-09,119.95,122.0,118.0,119.8,18413
2021-07-12,120.1,123.0,119.0,121.8,20873
2021-07-13,122.95,123.0,119.0,119.8,17857
2021-07-14,122.5,122.5,119.2,120.7,19046
2021-07-15,121.0,121.8,118.2,118.75,9996
2021-07-16,119.9,128.5,118.75,127.55,54930
2021-07-19,127.9,132.95,124.7,131.65,67102
2021-07-20,132.4,133.15,124.2,131.95,62100
2021-07-22,140.0,140.0,133.0,134.5,154166
2021-07-23,136.0,140.0,132.35,134.2,28675
2021-07-26,134.2,134.9,130.95,132.55,45127
2021-07-27,135.0,135.0,128.6,129.35,27984
2021-07-28,129.75,130.3,124.0,129.25,36382
2021-07-29,130.0,133.95,117.6,124.8,56909
2021-07-30,128.4,134.0,128.4,133.0,36392
2021-08-02,134.25,145.8,133.05,143.45,165707
2021-08-03,148.9,161.95,143.55,157.95,434982
2021-08-04,164.0,183.9,150.05,179.25,647803
2021-08-05,182.5,193.5,168.4,184.15,404566
2021-08-06,184.15,190.25,176.0,178.9,86283
2021-08-09,183.8,185.0,172.5,173.55,44114
2021-08-10,178.5,178.7,156.2,163.05,115241
2021-08-11,160.2,170.0,148.0,166.75,145331
2021-08-12,167.0,177.2,165.25,167.0,59440
2021-08-13,181.3,181.95,169.6,172.4,180918
2021-08-16,173.0,174.05,165.1,169.0,47653
2021-08-17,170.05,173.0,165.1,166.7,34574
2021-08-18,171.65,171.9,162.0,165.0,23878
2021-08-20,164.9,164.9,154.0,158.3,45625
2021-08-23,160.75,162.75,148.05,151.85,47347
2021-08-24,160.0,167.0,153.0,167.0,75181
2021-08-25,167.3,183.0,167.3,180.55,118873
2021-08-26,183.0,184.9,174.65,175.4,35313
2021-08-27,177.8,179.3,172.1,174.05,27533
2021-08-30,178.0,179.05,171.0,171.2,24632
2021-08-31,176.3,176.3,170.45,172.6,29363
2021-09-01,173.9,175.95,166.4,170.05,33665
2021-09-02,173.3,179.0,169.1,175.25,47243
2021-09-03,176.45,191.0,176.45,186.9,270844
2021-09-06,194.0,205.0,192.0,203.15,215083
2021-09-07,207.95,218.7,198.25,199.65,182329
2021-09-08,203.0,203.0,190.8,195.15,42656
2021-09-09,198.0,199.45,192.6,194.25,32853
2021-09-13,205.0,213.65,201.2,213.65,109115
2021-09-14,219.0,228.7,210.25,211.55,125632
