date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,236.0,243.65,234.25,225.6,243.65,243.65,295.4,144.1,2373228,571533838.4
2000-01-04,243.65,262.0,238.85,243.65,258.0,259.1,295.4,144.1,4495741,1130506156.6
2000-01-05,249.0,264.7,245.0,259.1,249.05,248.45,295.4,144.1,3434058,866600841.15
2000-01-06,252.0,268.0,252.0,248.45,260.5,261.0,295.4,144.1,6658801,1745817405.85
2000-01-07,261.5,279.9,255.0,261.0,279.0,273.3,295.4,144.1,7873985,2118286940.2
2000-01-10,280.0,289.85,265.2,273.3,266.0,269.5,295.4,144.1,5519316,1544247940.75
2000-01-11,266.8,267.0,247.95,269.5,247.95,247.95,295.4,144.1,2427606,618219063.6
2000-01-12,244.0,251.5,236.6,247.95,244.0,244.75,295.4,144.1,2805072,683616242.5
2000-01-13,246.0,255.6,243.1,244.75,243.15,244.5,295.4,144.1,3226776,806834887.55
2000-01-14,245.0,245.0,238.1,244.5,239.05,239.2,295.4,144.1,1506543,362405806.4
2000-01-17,244.4,251.0,232.3,239.2,236.1,235.9,295.4,144.1,4385887,1053588444.5
2000-01-18,236.9,241.0,233.75,235.9,236.5,236.45,295.4,144.1,2706614,643073823.7
2000-01-19,240.9,247.5,240.0,236.45,243.0,243.95,295.4,144.1,2511949,614507861.05
2000-01-20,243.0,244.8,236.25,243.95,237.9,237.7,295.4,144.1,1158464,278738442.45
2000-01-21,238.75,239.75,235.5,237.7,237.0,237.45,295.4,144.1,1178627,279996117.45
2000-01-24,236.65,240.35,227.1,237.45,228.1,228.3,295.4,144.1,1855636,435836089.4
2000-01-25,226.0,227.9,222.6,228.3,225.5,224.85,295.4,144.1,2226513,501233460.35
2000-01-27,229.0,235.5,228.0,224.85,230.8,230.15,295.4,144.1,2000745,464389972.0
2000-01-28,232.7,248.6,232.7,230.15,248.6,248.5,295.4,144.1,4978231,1221054895.15
2000-01-31,246.0,256.75,242.5,248.5,242.95,244.7,295.4,144.1,4829071,1213004881.95
2000-02-01,245.0,250.7,242.75,244.7,250.0,246.5,295.4,144.1,2196468,539759012.2
2000-02-02,257.0,258.7,246.0,246.5,246.9,247.5,295.4,144.1,2328315,587449833.5
2000-02-03,250.0,264.9,248.6,247.5,257.85,258.8,295.4,144.1,7332794,1895679486.5
