date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2014-09-23,260.0,274.0,225.0,156.0,230.6,230.95,274.0,225.0,25978566,6350441300.65
2014-09-24,231.8,258.7,217.25,230.95,256.3,253.25,274.0,217.25,10827362,2586048636.3
2014-09-25,259.05,268.9,253.8,253.25,265.0,261.6,274.0,217.25,6411675,1682172348.65
2014-09-26,263.9,266.7,246.4,261.6,252.3,252.85,274.0,217.25,2619748,671464634.25
2014-09-29,251.9,263.35,243.0,252.85,256.5,256.0,274.0,217.25,2438761,622307466.7
2014-09-30,255.0,273.25,251.0,256.0,259.6,260.8,274.0,217.25,2560833,674515664.6
2014-10-01,260.8,266.35,257.0,260.8,259.0,259.9,274.0,217.25,1252942,328489980.4
2014-10-07,258.8,263.8,253.55,259.9,258.95,258.1,274.0,217.25,1268209,329047139.1
2014-10-08,257.0,268.8,256.7,258.1,266.0,266.4,274.0,217.25,1297444,341933129.9
2014-10-09,267.4,273.4,263.5,266.4,265.0,266.35,274.0,217.25,1416727,381004890.8
2014-10-10,262.7,265.1,255.25,266.35,255.5,257.0,274.0,217.25,474656,123987870.5
2014-10-13,255.95,261.0,251.2,257.0,259.75,255.15,274.0,217.25,591183,150751637.3
2014-10-14,259.25,263.1,256.5,255.15,257.05,257.75,274.0,217.25,363532,94561355.1
2014-10-16,256.0,258.0,234.5,257.75,237.0,237.4,274.0,217.25,519000,127068990.6
2014-10-17,239.0,247.95,226.7,237.4,239.0,242.15,274.0,217.25,963272,231797608.95
2014-10-20,247.0,250.9,240.55,242.15,241.8,242.15,274.0,217.25,250512,61571993.85
2014-10-21,244.0,254.1,242.1,242.15,252.5,252.25,274.0,217.25,457162,114100346.2
2014-10-22,252.0,257.0,249.0,252.25,250.6,251.25,274.0,217.25,300171,75807492.35
2014-10-23,254.0,254.9,250.7,251.25,253.5,252.6,274.0,217.25,83292,21066121.5
2014-10-27,252.8,256.95,248.4,252.6,253.2,252.3,274.0,217.25,253812,63964979.25
2014-10-28,254.3,264.65,252.4,252.3,263.0,262.35,274.0,217.25,620988,160947181.3
2014-10-29,264.45,265.05,255.65,262.35,256.0,256.8,274.0,217.25,418432,108480699.0
2014-10-30,255.45,261.95,253.4,256.8,256.0,255.75,274.0,217.25,426580,109898404.55
2014-10-31,257.05,267.65,257.05,255.75,265.0,265.15,274.0,217.25,502679,132215386.7
2014-11-03,265.0,288.3,264.85,265.15,281.8,282.05,288.3,217.25,2440177,682319882.65
2014-11-05,283.4,289.0,257.5,282.05,259.4,260.6,289.0,217.25,2697825,734816155.1
