date,open,high,low,close,volume
2023-01-06,249.95,268.75,221.55,224.9,50472
2023-01-09,235.4,237.5,222.75,227.4,89995
2023-01-10,230.8,272.85,229.7,272.85,412897
2023-01-11,290.0,312.0,283.0,306.35,1778986
2023-01-12,301.95,314.8,292.55,312.75,789900
2023-01-13,312.0,314.8,305.0,309.0,417530
2023-01-16,309.9,324.0,280.05,288.05,368562
2023-01-17,285.95,286.0,270.05,273.4,56671
2023-01-18,273.7,273.7,255.5,255.6,212735
2023-01-19,253.1,281.15,253.1,271.75,261237
2023-01-20,277.45,277.45,253.0,253.6,50990
2023-01-23,259.0,278.95,252.55,275.0,275822
2023-01-24,276.9,279.55,262.0,273.45,63395
2023-01-25,277.5,277.65,262.15,264.75,24602
2023-01-27,268.7,271.85,253.5,267.35,36871
2023-01-30,272.5,278.05,262.05,267.7,29335
2023-01-31,264.15,278.0,264.15,272.45,18587
2023-02-01,268.35,278.0,264.05,272.85,24289
2023-02-02,276.0,277.9,267.3,272.55,47841
2023-02-03,272.1,296.4,268.1,283.05,74936
2023-02-06,289.05,304.0,289.05,301.65,48030
2023-02-07,306.0,319.5,291.3,298.9,132914
2023-02-08,301.9,315.8,297.1,311.05,38114
2023-02-09,311.05,340.0,305.55,336.85,121817
2023-02-10,343.7,348.0,300.05,310.55,109193
2023-02-13,305.9,327.7,300.05,317.5,85910
2023-02-14,322.25,322.7,301.25,303.05,34487
2023-02-15,307.6,314.9,300.0,300.25,66040
2023-02-16,303.25,305.4,300.05,300.3,66274
2023-02-17,300.0,318.7,300.0,307.85,62774
2023-02-20,308.9,311.05,301.1,301.8,15013
2023-02-21,304.8,308.7,303.0,306.25,27526
2023-02-22,309.0,309.0,288.0,290.95,36065
2023-02-23,292.4,292.4,288.0,288.35,27680
2023-02-24,289.95,346.0,289.9,344.2,474899
2023-02-27,341.0,355.0,332.0,338.2,247298
2023-02-28,338.0,343.3,322.2,327.55,47085
2023-03-01,322.65,336.9,321.65,329.2,63995
2023-03-02,325.3,332.6,317.25,322.0,22905
2023-03-03,323.5,326.75,310.2,312.2,42953
2023-03-06,316.0,340.15,310.1,315.2,115747
2023-03-08,319.9,319.9,310.5,315.35,17518
2023-03-09,329.75,329.75,307.5,310.05,18019
2023-03-10,315.0,315.0,305.5,308.45,11854
2023-03-13,310.0,320.6,275.25,281.0,81564
2023-03-14,285.2,285.2,265.5,275.6,50398
2023-03-15,279.75,284.95,265.0,268.7,23929
2023-03-16,272.75,274.45,256.0,259.75,35241
2023-03-17,263.65,271.35,260.1,264.35,19624
2023-03-20,262.85,272.5,257.75,268.05,38323
2023-03-21,267.05,271.7,264.2,264.9,29419
2023-03-22,260.95,278.2,260.95,270.95,48330
2023-03-23,271.0,271.0,261.3,264.15,5594
2023-03-24,267.25,272.0,248.0,251.75,29621
2023-03-27,251.0,254.25,206.4,241.9,21369
2023-03-28,238.25,290.25,226.05,289.1,417867
2023-03-29,294.9,299.0,271.6,281.05,303662
2023-03-31,281.05,283.45,271.0,272.45,16985
2023-04-03,282.9,286.45,271.3,275.35,26820
2023-04-05,282.0,292.5,270.9,284.15,65917
2023-04-06,284.15,340.0,284.15,313.55,723694
2023-04-10,312.3,354.8,310.6,346.65,666480
2023-04-11,350.0,369.0,331.0,338.0,454770
2023-04-12,338.0,341.8,326.0,336.35,136552
2023-04-13,338.0,340.0,330.0,332.65,55238
2023-04-17,332.0,339.75,327.5,335.65,28600
2023-04-18,335.3,369.85,335.3,342.9,234039
2023-04-19,346.8,356.4,340.15,342.85,47331
2023-04-20,344.95,350.0,340.4,342.75,38095
2023-04-21,340.0,344.2,329.05,329.85,88404
2023-04-24,330.1,345.0,318.05,327.0,77926
2023-04-25,329.95,337.0,320.05,322.15,28028
2023-04-26,328.3,333.3,320.05,329.25,51718
2023-04-27,332.45,346.5,327.55,335.85,80806
2023-04-28,338.5,339.7,325.0,329.85,21208
2023-05-02,326.0,347.0,326.0,343.8,57683
2023-05-03,330.0,347.9,330.0,344.6,26317
2023-05-04,344.6,360.9,343.95,346.4,95492
2023-05-05,346.4,346.4,334.35,335.5,100325
2023-05-08,336.95,341.0,330.0,334.8,15626
2023-05-09,337.85,339.5,333.5,334.05,11497
2023-05-10,335.95,338.85,332.2,336.0,18617
2023-05-11,338.6,338.6,323.1,328.6,19874
2023-05-12,329.5,350.0,324.0,326.9,14399
2023-05-15,330.85,355.0,329.05,345.95,46678
2023-05-16,347.25,377.8,341.55,367.3,188410
2023-05-17,372.5,385.5,371.2,373.7,111776
2023-05-18,375.5,377.3,356.55,360.7,50070
2023-05-19,379.7,379.7,351.35,354.85,54475
2023-05-22,356.0,356.55,340.0,344.8,25773
2023-05-23,350.05,360.0,343.95,347.05,33946
2023-05-24,350.0,354.35,340.05,341.95,15252
2023-05-25,344.6,410.3,344.6,409.7,857468
2023-05-26,422.0,425.0,386.05,407.15,693072
2023-05-29,402.25,426.55,402.25,407.6,142132
2023-05-30,410.0,439.85,395.0,398.65,204733
2023-05-31,404.65,433.7,404.65,416.25,113504
2023-06-01,424.9,427.65,400.5,404.3,117010
2023-06-02,408.1,410.3,396.0,398.9,73957
2023-06-05,405.2,474.0,401.5,404.85,916073
