date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-08-21,262.0,262.0,239.95,256.25,245.95,249.35,262.0,239.95,11589,2904280.8
2023-08-22,254.8,255.5,242.0,249.35,249.95,248.8,262.0,239.95,5625,1413627.95
2023-08-23,251.25,254.9,246.25,248.8,251.9,250.65,262.0,239.95,3523,882939.55
2023-08-24,243.0,254.9,241.75,250.65,243.9,243.9,262.0,239.95,3780,944145.0
2023-08-25,243.9,251.9,238.55,243.9,243.85,241.6,262.0,238.55,5065,1236409.6
2023-08-28,242.05,242.15,230.0,241.6,232.2,234.2,262.0,230.0,3149,742732.85
2023-08-29,232.4,245.75,232.4,234.2,235.0,240.2,262.0,230.0,2303,546543.1
2023-08-30,245.4,245.4,237.1,240.2,239.9,237.5,262.0,230.0,1044,249159.25
2023-08-31,252.5,285.0,247.05,237.5,249.8,251.75,285.0,230.0,106503,28871006.2
2023-09-01,261.9,265.0,242.9,251.75,260.0,257.75,285.0,230.0,16463,4207684.05
2023-09-04,249.0,265.75,249.0,257.75,251.9,254.4,285.0,230.0,10401,2678418.5
2023-09-05,263.4,263.7,242.7,254.4,247.65,248.65,285.0,230.0,7401,1864601.7
2023-09-06,253.45,255.4,243.15,248.65,249.0,248.3,285.0,230.0,3157,786592.95
2023-09-07,245.85,251.65,245.3,248.3,245.8,249.2,285.0,230.0,528,131681.7
2023-09-08,246.75,254.4,240.0,249.2,242.85,241.4,285.0,230.0,9825,2401752.55
2023-09-11,265.0,285.0,242.35,241.4,265.25,268.55,285.0,230.0,78569,20866374.5
2023-09-12,268.55,270.0,243.0,268.55,243.25,246.95,285.0,230.0,21084,5409258.3
2023-09-13,265.0,265.0,241.1,246.95,246.2,247.25,285.0,230.0,7606,1885477.45
2023-09-14,258.0,261.9,250.0,247.25,253.0,252.8,285.0,230.0,3165,806485.25
2023-09-15,252.25,295.0,252.25,252.8,272.0,270.4,295.0,230.0,220253,62283897.8
2023-09-18,274.45,274.45,254.2,270.4,258.0,257.95,295.0,230.0,14481,3797804.05
2023-09-20,257.9,261.85,249.95,257.95,252.0,251.65,295.0,230.0,4975,1263329.7
2023-09-21,250.8,259.4,245.25,251.65,253.8,250.6,295.0,230.0,8127,2032054.05
2023-09-22,259.85,259.85,248.4,250.6,257.0,253.9,295.0,230.0,5271,1333075.1
2023-09-25,257.7,288.0,248.25,253.9,270.0,267.7,295.0,230.0,9630,2466185.4
2023-09-26,268.0,276.95,250.25,267.7,253.2,252.95,295.0,230.0,13793,3607403.85
2023-09-27,259.95,259.95,252.05,252.95,255.0,256.65,295.0,230.0,3371,861769.25
2023-09-28,260.5,260.5,250.1,256.65,254.5,251.2,295.0,230.0,1294,329245.55
2023-09-29,254.25,263.0,246.2,251.2,262.5,260.95,295.0,230.0,3664,946483.75
2023-10-03,260.95,263.65,250.0,260.95,261.8,260.85,295.0,230.0,2380,619260.75
2023-10-04,258.35,261.45,254.05,260.85,254.2,255.6,295.0,230.0,1935,497757.1
2023-10-05,262.65,262.65,253.0,255.6,256.0,255.2,295.0,230.0,3057,782254.2
2023-10-06,260.05,265.4,252.55,255.2,255.5,254.4,295.0,230.0,3491,901714.15
2023-10-09,256.95,259.45,247.9,254.4,249.0,250.0,295.0,230.0,4729,1189468.55
2023-10-10,257.05,258.75,245.9,250.0,255.0,254.35,295.0,230.0,2839,717815.15
2023-10-11,255.0,257.9,249.7,254.35,253.0,252.4,295.0,230.0,935,237154.1
2023-10-12,256.4,256.4,248.0,252.4,248.0,249.1,295.0,230.0,1857,465795.35
2023-10-13,254.65,288.0,248.0,249.1,283.0,280.55,295.0,230.0,50007,13652676.9
2023-10-16,311.0,332.0,285.75,280.55,287.0,289.95,332.0,230.0,257740,80238283.25
2023-10-17,289.95,289.95,267.0,289.95,273.75,273.15,332.0,230.0,29179,7997718.35
2023-10-18,275.85,275.85,260.0,273.15,260.0,261.5,332.0,230.0,11007,2932425.55
2023-10-19,260.0,269.4,256.0,261.5,264.15,264.55,332.0,230.0,4733,1252147.85
2023-10-20,264.0,264.5,252.1,264.55,253.05,254.4,332.0,230.0,10716,2766205.45
2023-10-23,253.4,254.95,242.05,254.4,249.35,244.55,332.0,230.0,14941,3701351.65
2023-10-25,244.55,254.0,235.85,244.55,240.05,240.15,332.0,230.0,9577,2309225.9
2023-10-26,242.25,244.85,232.35,240.15,244.0,240.35,332.0,230.0,3333,791344.05
2023-10-27,245.0,251.95,239.95,240.35,246.25,242.8,332.0,230.0,5731,1399071.4
2023-10-30,250.5,255.85,236.55,242.8,239.0,240.1,332.0,230.0,10351,2553721.9
2023-10-31,250.0,250.0,238.45,240.1,239.0,240.05,332.0,230.0,4516,1088642.7
2023-11-01,244.95,249.95,239.0,240.05,245.3,247.95,332.0,230.0,8111,1980764.95
2023-11-02,247.95,258.7,244.0,247.95,249.9,250.9,332.0,230.0,10650,2676698.65
2023-11-03,249.85,257.0,246.0,250.9,253.35,253.45,332.0,230.0,7398,1871701.15
2023-11-06,264.0,267.0,254.9,253.45,261.2,263.45,332.0,230.0,6255,1631320.35
2023-11-07,257.0,265.45,251.55,263.45,260.0,261.05,332.0,230.0,7103,1849196.5
2023-11-08,249.95,265.0,249.95,261.05,262.0,262.6,332.0,230.0,1750,456040.6
2023-11-09,263.95,269.15,261.55,262.6,267.8,267.2,332.0,230.0,3300,876882.25
2023-11-10,262.9,271.7,260.85,267.2,271.0,267.0,332.0,230.0,2311,615744.3
2023-11-12,267.0,270.0,262.0,267.0,265.0,265.4,332.0,230.0,742,196754.85
2023-11-13,263.75,301.0,263.7,265.4,282.95,283.7,332.0,230.0,26050,7574010.65
2023-11-15,288.0,290.0,274.55,283.7,281.0,283.15,332.0,230.0,3989,1119738.55
2023-11-16,282.45,285.0,263.25,283.15,268.95,268.2,332.0,230.0,2812,765144.6
2023-11-17,274.0,274.0,262.95,268.2,270.4,270.55,332.0,230.0,3499,939822.85
2023-11-20,274.0,274.0,267.0,270.55,267.0,267.65,332.0,230.0,1337,360518.85
2023-11-21,274.0,274.0,261.05,267.65,263.0,264.7,332.0,230.0,1711,452751.5
2023-11-22,284.65,316.0,275.05,264.7,281.75,277.5,332.0,230.0,82746,24300854.55
2023-11-23,277.5,293.0,277.45,277.5,282.75,281.85,332.0,230.0,13400,3820748.2
2023-11-24,283.95,286.0,276.8,281.85,278.25,280.35,332.0,230.0,4975,1402767.3
2023-11-28,284.85,284.85,275.05,280.35,282.95,279.85,332.0,230.0,6227,1731782.8
2023-11-29,280.4,282.4,275.05,279.85,278.0,278.0,332.0,230.0,4971,1379890.2
2023-11-30,263.0,277.3,263.0,278.0,270.25,272.05,332.0,230.0,3419,931545.95
2023-12-01,283.0,283.0,267.05,272.05,267.05,269.8,332.0,230.0,3955,1080518.2
2023-12-04,270.75,289.95,264.95,269.8,283.95,282.25,332.0,230.0,7378,2032249.3
2023-12-05,279.7,286.5,272.35,282.25,282.0,275.6,332.0,230.0,5974,1671567.1
2023-12-06,277.1,283.45,275.0,275.6,279.8,277.55,332.0,230.0,3564,990462.95
2023-12-07,278.55,279.8,272.9,277.55,279.0,277.65,332.0,230.0,3425,947930.45
2023-12-08,277.35,288.5,270.0,277.65,286.0,278.2,332.0,230.0,2630,726435.8
2023-12-11,279.65,285.8,273.8,278.2,274.6,275.25,332.0,230.0,2479,689115.1
2023-12-12,277.05,280.4,273.25,275.25,280.15,276.6,332.0,230.0,1628,449222.8
2023-12-13,276.75,278.35,273.0,276.6,273.0,275.0,332.0,230.0,1284,354025.55
2023-12-14,275.35,277.9,265.0,275.0,270.0,270.8,332.0,230.0,2053,561667.8
2023-12-15,272.15,319.0,272.15,270.8,319.0,307.3,332.0,230.0,85123,25788915.5
2023-12-18,336.75,336.75,279.0,307.3,285.5,283.4,336.75,230.0,193646,59830661.8
2023-12-19,286.0,291.65,280.25,283.4,283.2,282.75,336.75,230.0,12086,3448372.2
2023-12-20,282.75,299.9,271.1,282.75,280.95,274.85,336.75,230.0,26227,7509818.15
2023-12-21,276.2,282.9,272.25,274.85,279.2,275.1,336.75,230.0,4765,1319002.0
2023-12-22,276.5,292.0,276.5,275.1,289.5,286.25,336.75,230.0,4927,1402248.5
2023-12-26,283.4,287.7,276.55,286.25,279.15,279.4,336.75,230.0,3056,861500.15
2023-12-27,280.8,284.95,275.0,279.4,278.0,278.35,336.75,230.0,4225,1184314.45
2023-12-28,278.75,285.45,274.15,278.35,277.9,277.6,336.75,230.0,2940,815280.9
2023-12-29,277.05,282.2,270.3,277.6,276.0,278.75,336.75,230.0,2977,823164.95
2024-01-01,279.65,287.95,275.6,278.75,276.5,277.8,336.75,230.0,2361,661585.65
2024-01-02,278.35,280.45,275.0,277.8,275.25,277.65,336.75,230.0,3920,1084776.85
2024-01-03,279.2,280.95,272.55,277.65,278.0,278.0,336.75,230.0,1729,479989.8
2024-01-04,278.45,278.45,269.15,278.0,274.0,274.55,336.75,230.0,8936,2442310.3
2024-01-05,274.55,275.85,272.9,274.55,273.3,273.5,336.75,230.0,1077,294760.9
2024-01-08,270.8,276.95,270.55,273.5,275.0,275.05,336.75,230.0,1431,392987.7
2024-01-09,276.4,277.7,273.0,275.05,275.0,274.3,336.75,230.0,1332,366264.35
2024-01-10,275.05,281.9,274.0,274.3,274.0,277.05,336.75,230.0,8500,2354913.55
2024-01-11,278.4,283.7,275.3,277.05,277.0,275.85,336.75,230.0,2025,563963.55
2024-01-12,276.9,279.85,275.05,275.85,278.0,275.35,336.75,230.0,1690,467234.75
2024-01-15,265.0,288.5,265.0,275.35,278.0,285.9,336.75,230.0,2274,639950.5
2024-01-16,283.0,315.0,272.45,285.9,297.0,305.95,336.75,230.0,20113,5977332.35
2024-01-17,303.0,315.0,282.2,305.95,297.0,303.0,336.75,230.0,13975,4143220.3
2024-01-18,300.05,300.55,286.3,303.0,288.0,291.7,336.75,230.0,1784,523764.3
2024-01-19,293.0,304.0,287.05,291.7,289.45,292.3,336.75,230.0,5255,1557151.5
2024-01-20,293.75,303.9,293.1,292.3,300.25,300.7,336.75,230.0,5532,1660064.6
2024-01-23,302.2,314.85,292.15,300.7,297.0,296.85,336.75,230.0,8804,2646068.15
2024-01-24,299.0,315.0,292.05,296.85,303.0,304.95,336.75,230.0,9599,2939304.45
2024-01-25,301.9,304.9,291.0,304.95,295.8,294.45,336.75,230.0,4742,1403113.4
2024-01-29,282.7,295.75,282.7,294.45,289.8,286.05,336.75,230.0,3560,1028291.45
2024-01-30,294.75,294.75,281.15,286.05,285.0,284.75,336.75,230.0,5201,1488418.6
2024-01-31,286.2,295.2,252.65,284.75,281.8,279.85,336.75,230.0,7821,2194253.7
2024-02-01,281.2,294.6,281.2,279.85,285.0,285.3,336.75,230.0,7020,2016501.7
2024-02-02,286.7,293.3,268.95,285.3,278.8,277.8,336.75,230.0,13421,3742761.95
2024-02-05,279.2,294.8,272.0,277.8,272.0,274.25,336.75,230.0,6527,1816977.85
2024-02-06,275.6,280.8,275.5,274.25,280.0,279.35,336.75,230.0,2284,635125.0
2024-02-07,280.7,288.0,275.35,279.35,276.1,277.95,336.75,230.0,7647,2149904.6
2024-02-08,281.9,292.2,276.0,277.95,277.25,277.9,336.75,230.0,2771,778144.65
2024-02-09,279.3,284.9,275.0,277.9,276.3,279.3,336.75,230.0,5957,1665377.05
2024-02-12,280.65,289.0,276.0,279.3,284.0,284.05,336.75,230.0,6067,1705549.25
