date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2021-03-26,292.0,296.35,255.0,305.0,272.05,277.8,296.35,255.0,4172010,1177620714.6
2021-03-30,270.25,276.0,256.65,277.8,270.0,270.8,296.35,255.0,1667592,438605017.8
2021-03-31,270.0,278.5,261.6,270.8,276.5,273.7,296.35,255.0,610257,165052780.7
2021-04-01,276.1,281.45,271.1,273.7,271.7,273.35,296.35,255.0,253766,70080928.8
2021-04-05,273.0,273.95,263.1,273.35,265.0,264.85,296.35,255.0,152689,40656734.9
2021-04-06,266.0,272.5,261.3,264.85,262.5,263.4,296.35,255.0,175457,46719369.45
2021-04-07,264.95,271.65,261.0,263.4,265.1,264.85,296.35,255.0,271010,72195278.4
2021-04-08,266.05,269.7,262.1,264.85,266.55,267.35,296.35,255.0,173913,46220990.85
2021-04-09,268.0,270.4,264.1,267.35,264.25,265.2,296.35,255.0,111688,29925203.35
2021-04-12,260.0,263.8,247.6,265.2,250.35,250.0,296.35,247.6,172777,43698098.2
2021-04-13,252.75,264.0,252.75,250.0,256.25,256.3,296.35,247.6,97221,25032336.05
2021-04-15,256.3,260.85,254.0,256.3,257.0,257.05,296.35,247.6,186237,47841087.75
2021-04-16,256.0,259.85,254.05,257.05,256.05,255.95,296.35,247.6,121048,31021425.1
2021-04-19,251.0,252.4,245.5,255.95,250.3,249.95,296.35,245.5,91623,22820196.95
2021-04-20,250.3,254.35,243.55,249.95,250.0,251.7,296.35,243.55,132273,33023293.95
2021-04-22,248.0,251.95,245.55,251.7,250.2,250.1,296.35,243.55,82173,20406602.2
2021-04-23,249.75,253.1,248.0,250.1,248.35,248.95,296.35,243.55,95252,23822721.8
2021-04-26,250.0,251.8,245.6,248.95,245.7,246.3,296.35,243.55,59416,14740664.3
2021-04-27,247.0,248.4,245.45,246.3,247.0,247.0,296.35,243.55,67431,16623392.8
2021-04-28,247.0,253.95,247.0,247.0,250.0,250.55,296.35,243.55,157605,39560288.15
2021-04-29,251.9,253.45,247.25,250.55,250.0,249.95,296.35,243.55,88347,22071813.05
2021-04-30,249.65,250.7,247.4,249.95,250.5,249.95,296.35,243.55,499526,124556209.65
2021-05-03,248.7,251.45,246.55,249.95,250.0,250.0,296.35,243.55,176698,44001662.75
2021-05-04,249.0,251.5,244.75,250.0,245.3,246.3,296.35,243.55,67423,16752724.1
2021-05-05,246.4,248.9,245.0,246.3,245.8,246.15,296.35,243.55,94729,23368351.4
2021-05-06,248.4,248.4,240.6,246.15,241.0,241.35,296.35,240.6,92834,22553848.6
2021-05-07,241.35,245.0,238.25,241.35,239.0,239.85,296.35,238.25,169198,40863591.25
2021-05-10,240.2,241.55,233.55,239.85,233.55,234.8,296.35,233.55,181147,42776009.2
2021-05-11,234.8,242.35,233.0,234.8,240.7,240.6,296.35,233.0,218120,52118597.95
2021-05-12,238.05,246.5,238.05,240.6,241.1,241.65,296.35,233.0,200067,48670638.25
2021-05-14,242.05,243.0,237.5,241.65,238.35,237.7,296.35,233.0,110378,26464302.7
2021-05-17,238.0,240.9,238.0,237.7,238.7,238.95,296.35,233.0,40088,9603657.3
2021-05-18,239.5,242.0,239.05,238.95,240.0,240.15,296.35,233.0,54763,13172384.55
2021-05-19,240.0,241.8,238.1,240.15,239.0,238.85,296.35,233.0,49810,11934454.25
2021-05-20,239.0,240.0,237.3,238.85,237.95,237.65,296.35,233.0,46996,11212700.35
2021-05-21,239.9,240.35,238.0,237.65,238.35,238.5,296.35,233.0,52485,12562844.25
2021-05-24,238.5,239.9,236.75,238.5,238.0,237.55,296.35,233.0,57121,13584464.05
2021-05-25,238.0,239.2,235.65,237.55,235.9,235.95,296.35,233.0,83141,19734493.6
2021-05-26,236.0,238.6,236.0,235.95,237.0,236.7,296.35,233.0,105295,24983968.7
2021-05-27,237.5,239.55,237.0,236.7,237.35,237.25,296.35,233.0,89587,21289404.65
2021-05-28,234.8,234.8,225.0,237.25,225.1,225.15,296.35,225.0,294858,67103872.85
2021-05-31,227.0,227.0,220.2,225.15,220.95,220.4,296.35,220.2,174393,38615530.25
2021-06-01,221.0,228.0,221.0,220.4,223.4,223.35,296.35,220.2,137848,30987360.0
2021-06-02,223.25,225.9,219.0,223.35,221.75,221.45,296.35,219.0,139938,31036872.9
2021-06-03,225.9,225.9,222.4,221.45,225.0,224.55,296.35,219.0,120716,27082224.9
2021-06-04,225.0,230.45,223.5,224.55,227.2,226.8,296.35,219.0,185957,42375859.9
2021-06-07,228.0,247.65,225.65,226.8,233.7,234.25,296.35,219.0,631577,148690947.5
2021-06-08,236.2,237.55,226.6,234.25,227.0,227.95,296.35,219.0,322615,74452504.1
2021-06-09,228.8,233.2,226.6,227.95,229.2,228.95,296.35,219.0,194671,44799840.75
2021-06-10,229.5,233.1,229.15,228.95,230.0,231.7,296.35,219.0,141867,32739109.45
2021-06-11,232.8,234.1,229.05,231.7,229.85,229.7,296.35,219.0,112458,25992202.85
2021-06-14,231.4,232.5,222.0,229.7,224.0,223.4,296.35,219.0,304859,68739657.65
2021-06-15,224.5,228.3,224.5,223.4,224.8,225.8,296.35,219.0,121880,27593445.3
2021-06-16,224.7,226.5,223.5,225.8,223.8,223.9,296.35,219.0,77078,17301214.5
2021-06-17,222.0,225.5,222.0,223.9,222.5,222.45,296.35,219.0,61442,13732798.65
2021-06-18,223.0,225.5,219.05,222.45,223.5,223.3,296.35,219.0,117886,26212201.75
2021-06-21,222.0,225.0,220.3,223.3,222.7,222.4,296.35,219.0,79218,17617347.5
2021-06-22,223.2,227.15,222.4,222.4,224.3,223.35,296.35,219.0,101685,22888428.7
2021-06-23,224.2,225.5,222.5,223.35,223.4,223.05,296.35,219.0,78210,17565966.25
2021-06-24,223.5,224.35,221.0,223.05,221.5,221.2,296.35,219.0,45282,10061956.45
2021-06-25,222.5,231.15,220.1,221.2,221.0,220.95,296.35,219.0,478298,107881462.55
2021-06-28,222.45,225.2,221.0,220.95,225.2,222.55,296.35,219.0,58692,13044291.25
