date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2019-08-20,706.0,753.45,690.1,780.0,715.0,726.2,753.45,690.1,4599673,3330907713.5
2019-08-21,714.15,723.1,675.0,726.2,689.0,688.0,753.45,675.0,995590,692006169.8
2019-08-22,688.0,688.0,631.2,688.0,650.0,639.45,753.45,631.2,657050,421393440.65
2019-08-23,630.05,634.0,602.9,639.45,625.0,625.0,753.45,602.9,539280,335867173.45
2019-08-26,629.9,642.95,612.0,625.0,629.9,630.35,753.45,602.9,222217,139111475.7
2019-08-27,629.9,698.05,625.4,630.35,636.15,639.8,753.45,602.9,441883,286029820.05
2019-08-28,640.1,648.05,614.0,639.8,621.75,625.85,753.45,602.9,435291,277186899.1
2019-08-29,619.0,634.45,615.0,625.85,624.0,619.6,753.45,602.9,43801,27247488.3
2019-08-30,621.0,626.15,607.0,619.6,609.0,609.85,753.45,602.9,171995,105417547.25
2019-09-03,607.0,610.0,570.0,609.85,570.0,573.9,753.45,570.0,294115,170039398.1
2019-09-04,570.05,575.5,561.05,573.9,563.0,568.55,753.45,561.05,85814,48809184.1
2019-09-05,565.1,573.75,556.15,568.55,564.0,565.65,753.45,556.15,57215,32367538.9
2019-09-06,559.0,581.1,554.0,565.65,559.9,564.35,753.45,554.0,665399,376743382.8
2019-09-09,559.9,573.0,557.6,564.35,565.0,567.1,753.45,554.0,447811,253790717.7
2019-09-11,572.75,612.35,567.3,567.1,581.1,587.4,753.45,554.0,275069,163925817.5
2019-09-12,585.1,600.0,576.0,587.4,576.0,583.0,753.45,554.0,115394,68493205.8
2019-09-13,587.0,604.95,575.6,583.0,598.0,595.4,753.45,554.0,104525,61964990.9
2019-09-16,595.4,636.7,591.0,595.4,626.0,629.2,753.45,554.0,179775,110693719.6
2019-09-17,644.0,644.0,602.1,629.2,609.9,610.0,753.45,554.0,84942,52572568.9
2019-09-18,606.0,630.0,605.35,610.0,610.0,609.35,753.45,554.0,26221,16127341.8
2019-09-19,615.0,615.1,591.0,609.35,592.5,594.2,753.45,554.0,22886,13768093.65
2019-09-20,591.4,622.15,591.4,594.2,620.0,617.8,753.45,554.0,113521,69037019.5
2019-09-23,621.95,664.85,606.3,617.8,633.1,636.35,753.45,554.0,564385,356185232.5
2019-09-24,630.2,635.0,611.1,636.35,620.0,620.65,753.45,554.0,74111,46166030.4
2019-09-25,620.65,634.8,601.3,620.65,605.8,612.25,753.45,554.0,343065,215565397.5
2019-09-26,610.0,625.0,596.1,612.25,596.3,602.65,753.45,554.0,67978,41853088.45
2019-09-27,603.0,613.95,600.1,602.65,602.0,606.7,753.45,554.0,34479,20972478.85
2019-09-30,606.7,625.4,606.0,606.7,621.0,624.4,753.45,554.0,124004,77131451.4
2019-10-01,612.1,623.7,593.0,624.4,603.0,604.7,753.45,554.0,27787,16891331.0
2019-10-03,613.75,614.8,602.1,604.7,607.95,607.8,753.45,554.0,89238,54292920.4
2019-10-04,602.1,616.85,595.0,607.8,598.3,598.25,753.45,554.0,24185,14602610.4
2019-10-07,598.3,607.0,575.0,598.25,595.0,594.4,753.45,554.0,82652,47981119.6
2019-10-09,600.0,600.0,592.5,594.4,595.0,593.9,753.45,554.0,28394,16939189.9
2019-10-10,591.15,598.95,580.2,593.9,589.9,585.9,753.45,554.0,23600,13993779.1
2019-10-11,587.0,630.05,587.0,585.9,626.0,620.7,753.45,554.0,97603,59426236.0
2019-10-14,620.05,626.0,598.25,620.7,602.0,607.25,753.45,554.0,48591,29685449.35
2019-10-15,609.0,610.85,595.1,607.25,595.55,599.55,753.45,554.0,19204,11568334.5
2019-10-16,611.85,611.85,593.9,599.55,599.0,598.55,753.45,554.0,43988,26525004.85
2019-10-17,600.55,601.25,594.35,598.55,595.6,598.7,753.45,554.0,20283,12139262.4
2019-10-18,601.75,618.0,595.0,598.7,597.0,596.7,753.45,554.0,41494,24973585.55
2019-10-22,592.1,598.8,580.0,596.7,580.05,581.95,753.45,554.0,20027,11761581.35
2019-10-23,587.75,600.0,587.7,581.95,595.0,594.55,753.45,554.0,52152,31020733.35
2019-10-24,594.0,597.6,585.0,594.55,591.4,587.55,753.45,554.0,12381,7316320.55
2019-10-25,583.0,593.0,583.0,587.55,587.35,586.7,753.45,554.0,5922,3491092.3
2019-10-27,596.0,596.9,585.0,586.7,594.7,590.95,753.45,554.0,8824,5242674.15
2019-10-29,595.0,595.0,586.4,590.95,589.15,590.0,753.45,554.0,13610,8054360.9
2019-10-30,593.9,595.0,588.1,590.0,591.0,593.45,753.45,554.0,64208,38123343.45
2019-10-31,594.0,594.95,582.15,593.45,585.0,584.95,753.45,554.0,73523,43083857.3
2019-11-01,582.0,587.75,567.0,584.95,572.55,570.55,753.45,554.0,155219,88696982.05
2019-11-04,570.55,575.0,558.0,570.55,559.95,559.5,753.45,554.0,63225,35765817.7
2019-11-05,560.0,560.0,553.1,559.5,555.5,556.75,753.45,553.1,37834,21097299.45
2019-11-06,555.5,559.95,548.0,556.75,557.75,558.35,753.45,548.0,32251,17970255.95
2019-11-07,555.1,565.0,551.15,558.35,559.1,559.7,753.45,548.0,28772,16073334.55
2019-11-08,563.0,564.0,541.5,559.7,543.35,544.85,753.45,541.5,98872,54594650.4
2019-11-11,543.3,550.0,527.0,544.85,533.0,533.85,753.45,527.0,65304,35086336.65
2019-11-13,526.0,541.45,518.0,533.85,518.95,522.5,753.45,518.0,447853,236479141.45
2019-11-14,524.6,524.6,492.15,522.5,500.0,500.85,753.45,492.15,123497,63084773.35
2019-11-15,459.95,459.95,400.7,500.85,400.7,400.7,753.45,400.7,123908,49768319.2
2019-11-18,320.6,320.6,320.6,400.7,320.6,320.6,753.45,320.6,368258,118063514.8
2019-11-19,288.55,288.55,288.55,320.6,288.55,288.55,753.45,288.55,148246,42776383.3
2019-11-20,259.7,313.0,259.7,288.55,282.0,285.55,753.45,259.7,2913650,812431860.7
2019-11-21,292.4,314.1,292.4,285.55,314.1,314.1,753.45,259.7,808386,251696227.2
2019-11-22,339.0,345.0,321.05,314.1,332.5,332.65,753.45,259.7,1767005,580307138.45
2019-11-25,338.0,360.0,337.0,332.65,350.0,349.3,753.45,259.7,1643164,578115803.0
2019-11-26,360.0,360.0,331.15,349.3,333.0,334.8,753.45,259.7,698134,235678023.3
2019-11-27,334.9,340.0,325.0,334.8,330.0,331.4,753.45,259.7,286018,95185061.95
2019-11-28,331.5,336.0,320.0,331.4,322.05,324.95,753.45,259.7,142372,46785712.4
2019-11-29,323.0,324.0,302.5,324.95,306.35,305.25,753.45,259.7,298432,93221175.05
2019-12-02,305.25,305.25,279.0,305.25,281.25,281.7,753.45,259.7,447625,129173597.95
2019-12-03,280.05,284.5,254.1,281.7,257.5,256.0,753.45,254.1,471422,126538792.6
2019-12-04,264.4,264.4,245.0,256.0,246.0,247.75,753.45,245.0,471617,118675886.95
2019-12-05,250.2,260.1,250.2,247.75,260.1,260.1,753.45,245.0,149665,38359074.9
2019-12-06,273.1,273.1,273.1,260.1,273.1,273.1,753.45,245.0,12593,3439148.3
2019-12-09,286.75,286.75,272.0,273.1,286.75,286.75,753.45,245.0,226823,64138551.8
2019-12-10,286.0,300.95,272.45,286.75,272.45,272.45,753.45,245.0,631435,183231843.5
2019-12-11,266.55,284.4,266.55,272.45,279.0,278.35,753.45,245.0,156694,43423127.25
2019-12-12,283.95,292.05,269.0,278.35,288.9,284.85,753.45,245.0,197527,55508331.3
2019-12-13,299.05,299.05,299.05,284.85,299.05,299.05,753.45,245.0,25220,7542041.0
2019-12-16,314.0,314.0,291.0,299.05,299.9,298.45,753.45,245.0,625150,190462444.8
2019-12-17,300.0,313.35,297.6,298.45,312.0,312.35,753.45,245.0,320644,99128942.15
2019-12-18,310.0,326.9,304.5,312.35,325.0,320.95,753.45,245.0,514067,163803785.85
2019-12-19,327.5,327.5,304.95,320.95,304.95,305.45,753.45,245.0,323650,101892402.8
2019-12-20,301.0,305.6,291.0,305.45,291.0,291.85,753.45,245.0,252216,74555379.4
2019-12-23,290.0,306.4,290.0,291.85,302.9,301.8,753.45,245.0,236314,71341276.0
2019-12-24,305.9,306.0,296.0,301.8,298.5,297.6,753.45,245.0,91224,27432195.4
