date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,62.0,62.9,59.15,59.1,62.45,62.4,119.95,52.0,264785,16324959.5
2000-01-04,62.0,63.15,60.1,62.4,60.5,60.55,119.95,52.0,188555,11459406.7
2000-01-05,57.5,60.5,57.5,60.55,58.2,58.2,119.95,52.0,305858,17995898.0
2000-01-06,59.75,62.0,58.3,58.2,60.0,60.0,119.95,52.0,442750,26963094.0
2000-01-07,60.0,61.0,58.6,60.0,59.2,59.35,119.95,52.0,218315,13045541.7
2000-01-10,60.4,61.05,59.25,59.35,59.85,59.75,119.95,52.0,232082,13975923.55
2000-01-11,60.0,60.0,56.1,59.75,56.7,56.65,119.95,52.0,327426,18849021.75
2000-01-12,58.0,58.75,57.05,56.65,58.45,58.2,119.95,52.0,151986,8815346.8
2000-01-13,58.5,58.9,56.5,58.2,57.0,56.85,119.95,52.0,138751,7948897.0
2000-01-14,56.55,57.0,55.1,56.85,55.5,55.55,119.95,52.0,213648,11905361.05
2000-01-17,56.5,57.45,56.1,55.55,56.7,56.45,119.95,52.0,132441,7509440.1
2000-01-18,56.0,56.85,55.6,56.45,56.0,56.1,99.4,52.0,204009,11453168.75
2000-01-19,57.0,58.35,56.6,56.1,57.0,57.35,99.4,52.0,212696,12174974.1
2000-01-20,58.05,58.2,56.1,57.35,56.5,56.45,99.4,52.0,183999,10508095.0
2000-01-21,58.1,61.0,58.1,56.45,61.0,61.0,99.4,52.0,940460,56609011.75
2000-01-24,62.9,64.9,60.2,61.0,60.55,60.55,99.4,52.0,685911,42670414.6
2000-01-25,60.05,60.9,58.65,60.55,59.15,59.25,90.75,52.0,323223,19229791.15
2000-01-27,60.8,60.8,58.5,59.25,59.0,58.9,90.75,52.0,243476,14524195.25
2000-01-28,58.1,59.05,57.05,58.9,57.5,57.3,90.75,52.0,211503,12194876.65
2000-01-31,57.0,57.5,55.5,57.3,55.8,55.8,90.75,52.0,188390,10619449.45
2000-02-01,55.5,56.5,55.25,55.8,55.95,55.55,90.75,52.0,233902,13056233.1
2000-02-02,57.0,60.0,56.25,55.55,57.9,57.95,90.75,52.0,425584,24660311.15
2000-02-03,56.3,58.5,56.3,57.95,56.7,56.7,90.75,52.0,179100,10217430.7
2000-02-04,57.15,57.15,54.1,56.7,54.75,54.65,90.75,52.0,366235,20218575.15
2000-02-07,54.4,55.0,53.75,54.65,53.9,54.0,90.75,52.0,148726,8084127.35
2000-02-08,53.5,54.25,53.0,54.0,53.2,53.1,90.75,52.0,282251,15105997.8
2000-02-09,55.0,55.9,54.25,53.1,54.75,54.7,90.75,52.0,201954,11108765.3
2000-02-10,54.6,54.8,53.8,54.7,54.0,54.0,90.75,52.0,137306,7439104.95
2000-02-11,53.05,54.7,52.25,54.0,52.7,52.7,90.75,52.0,210686,11168666.85
2000-02-14,53.5,53.5,51.0,52.7,51.35,51.3,90.75,52.0,157367,8163249.0
2000-02-15,52.0,52.0,49.5,51.3,49.6,49.95,90.75,51.0,307699,15464221.6
2000-02-16,50.25,51.9,50.25,49.95,51.0,50.95,90.75,49.5,131487,6702596.15
2000-02-17,51.6,51.9,50.5,50.95,51.6,51.6,90.75,49.5,129325,6601476.2
2000-02-18,51.75,51.75,50.15,51.6,50.5,50.65,90.75,49.5,104372,5274236.2
2000-02-21,49.35,50.4,49.0,50.65,50.1,49.9,90.75,49.5,125518,6246391.35
2000-02-22,49.3,50.4,49.05,49.9,49.5,49.45,90.75,49.0,238623,11804832.4
2000-02-23,45.7,50.5,45.7,49.45,49.5,49.2,90.75,49.0,138010,6849906.4
2000-02-24,49.8,49.9,48.0,49.2,48.3,48.15,90.75,45.7,108284,5239294.8
2000-02-25,48.5,48.9,46.95,48.15,47.0,47.1,90.75,45.7,118903,5643328.3
2000-02-28,48.0,50.9,47.0,47.1,50.9,50.9,90.75,45.7,121209,6062373.85
2000-02-29,52.0,55.0,48.0,50.9,49.1,49.65,90.75,45.7,334919,17327855.8
2000-03-01,53.0,53.0,47.8,49.65,50.2,50.0,90.75,45.7,112974,5612734.2
2000-03-02,50.45,50.45,47.1,50.0,47.4,47.4,90.75,45.7,116412,5639012.85
2000-03-03,46.5,47.0,44.0,47.4,46.0,45.25,90.75,45.7,131922,5958875.6
2000-03-06,46.8,46.9,45.05,45.25,45.65,45.45,90.75,44.0,178537,8215284.35
2000-03-07,44.5,46.35,43.5,45.45,43.5,43.9,90.75,44.0,217075,9635201.75
2000-03-08,43.6,45.0,43.0,43.9,44.2,43.65,90.75,43.5,82148,3618066.2
2000-03-09,44.9,44.9,43.0,43.65,44.1,44.6,90.75,43.0,145710,6367906.9
2000-03-10,45.3,45.3,43.1,44.6,43.5,43.45,90.75,43.0,101501,4446941.5
2000-03-13,44.0,44.0,41.55,43.45,42.3,42.25,90.75,43.0,115308,4872877.6
2000-03-14,41.9,45.65,40.05,42.25,43.65,44.15,90.75,41.55,257146,11157147.3
2000-03-15,45.0,46.85,44.9,44.15,46.15,46.25,90.75,40.05,179119,8257339.55
2000-03-16,46.45,46.5,43.5,46.25,43.7,43.8,90.75,40.05,105127,4668067.75
2000-03-21,42.5,44.0,42.0,43.8,42.75,42.2,90.75,40.05,183022,7847210.3
2000-03-22,44.7,45.5,43.9,42.2,44.45,44.35,90.75,40.05,127591,5679589.35
2000-03-23,44.05,44.95,43.0,44.35,44.0,43.85,90.75,40.05,69378,3034939.6
2000-03-24,44.0,47.4,43.15,43.85,47.4,47.1,90.75,40.05,142701,6425456.25
2000-03-27,49.9,50.5,46.5,47.1,47.5,47.55,90.75,40.05,209261,9916419.75
2000-03-28,46.25,48.0,46.25,47.55,48.0,47.75,90.75,40.05,220587,10355116.45
2000-03-29,49.0,51.6,48.1,47.75,51.55,51.4,90.75,40.05,437764,21963124.35
2000-03-30,49.35,52.9,49.35,51.4,50.35,50.4,90.75,40.05,344799,17467642.3
2000-03-31,50.1,54.4,49.1,50.4,52.2,52.25,90.75,40.05,463791,24254783.3
2000-04-03,52.1,54.0,52.0,52.25,53.0,53.1,90.75,40.05,266243,14134761.95
2000-04-04,52.5,52.55,48.85,53.1,50.0,49.7,90.75,40.05,577100,28741711.45
2000-04-05,50.8,53.7,50.7,49.7,52.1,52.2,90.75,40.05,275520,14356458.45
2000-04-06,53.0,53.65,50.45,52.2,51.6,51.95,90.75,40.05,138958,7156854.6
2000-04-07,53.65,56.15,51.6,51.95,55.0,55.0,90.75,40.05,540511,29448323.2
2000-04-10,55.0,55.9,52.85,55.0,53.8,53.7,90.75,40.05,436522,23699749.65
2000-04-11,53.5,54.45,52.65,53.7,54.4,54.2,90.75,40.05,275928,14773780.35
