date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,60.0,64.15,58.0,59.4,63.4,63.9,89.9,44.25,14400,897395.0
2000-01-04,63.0,63.0,58.95,63.9,59.1,59.4,89.9,44.25,16800,1003510.0
2000-01-05,55.15,60.0,55.15,59.4,59.0,58.25,89.9,44.25,8400,492250.0
2000-01-06,57.25,61.5,57.25,58.25,60.5,60.2,89.9,44.25,12800,763160.0
2000-01-07,60.0,60.0,57.0,60.2,58.85,58.5,89.9,44.25,5600,323820.0
2000-01-10,57.0,60.0,57.0,58.5,57.0,57.1,89.9,44.25,8000,460240.0
2000-01-11,56.65,57.2,54.25,57.1,56.0,55.5,89.9,44.25,18300,1022615.0
2000-01-12,55.5,59.0,55.25,55.5,58.0,58.0,89.9,44.25,7500,433055.0
2000-01-13,55.05,58.0,55.05,58.0,56.0,56.0,89.9,44.25,8100,453740.0
2000-01-14,54.2,58.0,54.2,56.0,58.0,56.6,89.9,44.25,7800,437905.0
2000-01-17,58.85,61.0,57.1,56.6,58.6,59.1,89.9,44.25,19400,1144805.0
2000-01-18,58.1,58.5,57.5,59.1,57.85,58.0,89.9,44.25,12100,701085.0
2000-01-19,56.5,58.0,56.5,58.0,57.5,57.0,89.9,44.25,8500,486270.0
2000-01-20,56.0,57.15,55.25,57.0,55.6,55.6,89.9,44.25,6700,375665.0
2000-01-21,55.0,56.5,54.5,55.6,54.5,54.75,89.9,44.25,9200,508880.0
2000-01-24,54.2,55.5,54.0,54.75,54.95,54.25,89.9,44.25,7400,403995.0
2000-01-25,53.5,56.0,52.75,54.25,53.8,53.35,89.9,44.25,8200,439125.0
2000-01-27,57.0,57.65,57.0,53.35,57.65,57.65,89.9,44.25,2400,138230.0
2000-01-28,62.3,62.3,62.3,57.65,62.3,62.3,89.9,44.25,5500,342650.0
2000-01-31,67.0,67.0,59.0,62.3,59.5,59.5,89.9,44.25,49400,3073115.0
2000-02-01,60.0,60.0,56.25,59.5,57.9,58.8,89.9,44.25,20000,1175265.0
2000-02-02,60.5,60.8,56.1,58.8,58.85,58.6,89.9,44.25,18800,1107775.0
2000-02-03,58.0,59.0,57.0,58.6,57.25,57.25,89.9,44.25,10400,600860.0
2000-02-04,57.0,57.9,56.5,57.25,56.6,56.65,89.9,44.25,10600,604540.0
2000-02-07,55.15,56.0,53.5,56.65,53.5,54.15,89.9,44.25,11100,602895.0
2000-02-08,53.1,55.0,52.65,54.15,55.0,54.0,89.9,45.0,20800,1120095.0
2000-02-09,54.55,56.0,52.65,54.0,54.0,53.95,89.9,45.0,8200,444230.0
2000-02-10,53.05,55.0,53.0,53.95,53.5,53.55,89.9,45.0,10000,538880.0
2000-02-11,53.15,54.9,52.5,53.55,52.5,52.95,89.9,45.0,7800,417455.0
2000-02-14,53.0,53.5,50.1,52.95,51.0,51.0,89.9,45.0,9700,501355.0
2000-02-15,50.0,52.4,50.0,51.0,50.85,50.15,89.9,47.5,12800,648565.0
2000-02-16,51.0,53.0,50.0,50.15,51.5,51.9,89.9,47.5,10300,534780.0
2000-02-17,52.05,53.0,50.9,51.9,51.05,51.1,89.9,47.5,6900,356565.0
2000-02-18,50.6,51.0,49.45,51.1,50.2,50.45,89.9,47.5,3200,161485.0
2000-02-21,49.0,49.5,48.0,50.45,48.95,48.5,89.9,47.5,7600,369525.0
2000-02-22,49.0,49.4,46.0,48.5,47.45,46.35,89.9,47.5,16800,801025.0
2000-02-23,43.1,50.1,43.0,46.35,50.1,50.1,89.9,46.0,6200,300390.0
2000-02-24,51.8,52.0,48.05,50.1,50.2,50.1,89.9,43.0,7900,397125.0
2000-02-25,48.0,49.0,46.1,50.1,48.0,48.4,89.9,43.0,9000,426570.0
2000-02-28,46.5,49.9,45.1,48.4,49.5,49.7,89.9,43.0,8300,395090.0
2000-02-29,46.3,49.5,46.05,49.7,46.15,46.35,89.9,43.0,8500,405100.0
2000-03-01,45.0,50.1,44.05,46.35,49.75,49.6,89.9,43.0,6800,327420.0
2000-03-02,47.05,48.0,45.65,49.6,45.65,45.85,89.9,43.0,11600,542850.0
2000-03-03,43.15,46.45,43.1,45.85,45.0,45.0,89.9,43.0,3500,158140.0
2000-03-06,43.35,44.5,42.0,45.0,42.55,42.1,89.9,43.0,6100,260065.0
2000-03-07,40.6,42.45,40.0,42.1,41.4,40.65,89.9,42.0,11900,482865.0
2000-03-08,42.95,43.0,40.05,40.65,41.0,41.0,89.9,40.0,5000,206875.0
2000-03-09,42.9,42.9,40.35,41.0,42.15,41.7,89.9,40.0,3500,145740.0
2000-03-10,41.95,45.0,41.95,41.7,43.8,43.45,89.9,40.0,8500,370205.0
2000-03-13,42.0,43.4,40.05,43.45,40.05,40.35,89.9,40.0,6100,253840.0
2000-03-14,40.0,41.75,40.0,40.35,41.0,40.9,86.0,40.0,7900,324375.0
2000-03-15,42.0,44.2,42.0,40.9,44.2,44.2,86.0,40.0,3100,136370.0
2000-03-16,44.5,45.7,42.5,44.2,44.95,44.95,86.0,40.0,4700,205690.0
2000-03-21,42.05,43.0,41.35,44.95,41.5,41.5,86.0,40.0,7500,315295.0
2000-03-22,41.8,43.1,41.8,41.5,42.55,42.55,79.0,40.0,1400,59695.0
2000-03-23,42.0,42.5,42.0,42.55,42.0,42.0,79.0,40.0,2000,84315.0
2000-03-24,41.5,42.5,41.3,42.0,42.0,42.0,79.0,40.0,2900,121030.0
2000-03-27,41.1,42.0,41.1,42.0,41.15,41.15,79.0,40.0,5000,208005.0
2000-03-28,41.2,41.5,38.0,41.15,40.75,41.25,74.9,40.0,9600,385200.0
2000-03-29,41.9,41.9,40.35,41.25,41.0,41.0,74.9,38.0,3800,155420.0
2000-03-30,41.0,42.4,40.45,41.0,40.55,41.1,74.9,38.0,3500,144995.0
2000-03-31,41.8,42.5,40.35,41.1,41.6,41.6,74.9,38.0,4800,200180.0
2000-04-03,42.8,43.0,42.0,41.6,43.0,42.75,74.9,38.0,2800,119040.0
2000-04-04,40.75,41.5,40.0,42.75,40.0,40.0,74.9,38.0,8700,352870.0
2000-04-05,42.95,43.0,41.0,40.0,41.1,41.15,74.9,38.0,3900,163215.0
2000-04-06,42.0,42.0,40.2,41.15,40.3,40.35,74.9,38.0,5500,223090.0
2000-04-07,40.9,42.0,40.8,40.35,41.95,41.45,74.9,38.0,3200,132450.0
2000-04-10,41.5,41.5,40.7,41.45,41.45,41.45,74.9,38.0,2600,106555.0
2000-04-11,39.3,41.0,39.2,41.45,40.4,40.1,74.9,38.0,6500,259795.0
2000-04-12,40.35,40.9,40.0,40.1,40.3,40.3,74.9,38.0,1700,68870.0
2000-04-13,40.25,40.5,39.05,40.3,40.15,40.0,74.9,38.0,2900,115310.0
2000-04-17,38.5,39.2,38.5,40.0,38.7,38.7,74.9,38.0,2400,92815.0
2000-04-18,39.0,39.0,38.1,38.7,38.9,38.45,74.9,38.0,5000,192290.0
2000-04-19,39.15,39.9,39.0,38.45,39.9,39.9,74.9,38.0,1700,66550.0
2000-04-20,38.7,39.15,37.2,39.9,39.15,38.9,74.9,38.0,4300,165075.0
2000-04-24,36.0,38.9,36.0,38.9,38.9,38.85,74.9,37.2,4000,151705.0
2000-04-25,36.4,38.0,36.4,38.85,36.95,36.75,74.9,36.0,4400,162495.0
2000-04-26,37.05,39.0,37.0,36.75,38.5,38.8,74.9,36.0,2500,96235.0
2000-04-27,38.0,38.0,37.0,38.8,38.0,38.0,74.9,36.0,3200,119760.0
2000-04-28,37.05,38.4,37.05,38.0,37.95,37.95,74.9,36.0,1800,67520.0
2000-05-02,37.8,38.25,35.85,37.95,36.7,36.75,74.9,36.0,9200,340615.0
2000-05-03,34.05,38.5,34.05,36.75,38.0,38.0,74.9,35.85,3400,128110.0
2000-05-04,39.9,39.9,37.2,38.0,37.25,37.25,74.9,34.05,5100,193675.0
2000-05-05,37.95,38.2,37.5,37.25,38.0,37.75,74.9,34.05,2300,87090.0
2000-05-08,38.0,38.05,36.45,37.75,36.45,36.45,74.9,34.05,2400,90245.0
2000-05-09,36.25,38.0,36.25,36.45,37.05,37.05,74.9,34.05,3300,122975.0
2000-05-10,37.55,37.55,37.0,37.05,37.4,37.4,74.9,34.05,1600,59710.0
2000-05-11,36.15,37.0,36.15,37.4,37.0,36.65,74.9,34.05,1500,54870.0
2000-05-12,35.85,36.85,35.85,36.65,36.1,36.1,74.9,34.05,1900,68920.0
2000-05-15,34.05,37.85,33.5,36.1,37.85,37.85,74.9,34.05,2400,82460.0
2000-05-16,36.0,37.4,35.2,37.85,35.5,35.55,74.9,33.5,2200,78755.0
2000-05-17,37.95,37.95,36.2,35.55,36.5,36.65,74.9,33.5,5100,190345.0
2000-05-18,36.05,37.0,35.1,36.65,35.1,35.1,74.9,33.5,2200,79555.0
2000-05-19,35.65,36.4,35.0,35.1,36.4,35.9,74.9,33.5,3200,113600.0
2000-05-22,35.0,36.6,34.9,35.9,35.5,35.5,74.9,33.5,3000,105640.0
2000-05-23,34.5,34.95,34.05,35.5,34.3,34.4,74.9,33.5,3500,120555.0
2000-05-24,33.0,35.0,31.8,34.4,33.5,33.5,74.9,33.5,6700,221120.0
2000-05-25,33.0,34.0,33.0,33.5,34.0,34.0,74.9,31.8,4300,145095.0
2000-05-26,35.0,35.0,34.5,34.0,34.75,34.75,74.9,31.8,1600,55505.0
2000-05-29,35.0,36.0,35.0,34.75,36.0,36.0,74.9,31.8,3400,121450.0
2000-05-30,36.0,36.2,35.05,36.0,35.1,35.4,74.9,31.8,5000,177500.0
2000-05-31,37.9,38.25,36.5,35.4,38.0,38.0,74.9,31.8,7900,294810.0
2000-06-01,38.9,38.9,36.25,38.0,36.9,36.5,74.9,31.8,4600,171640.0
2000-06-02,36.0,36.55,35.2,36.5,36.0,36.0,74.9,31.8,3600,129870.0
2000-06-05,37.95,37.95,34.5,36.0,34.55,34.65,74.9,31.8,5300,188340.0
2000-06-06,34.05,34.85,33.6,34.65,34.0,34.0,74.9,31.8,7500,256505.0
2000-06-07,35.2,35.25,33.1,34.0,34.0,34.1,74.9,31.8,4700,160400.0
2000-06-08,34.05,34.9,33.95,34.1,34.0,34.0,74.9,31.8,5600,191800.0
2000-06-09,34.0,36.25,34.0,34.0,34.5,34.65,74.9,31.8,4100,142640.0
2000-06-12,34.9,37.25,34.8,34.65,36.3,36.4,74.9,31.8,8000,290695.0
2000-06-13,35.5,36.35,34.7,36.4,36.0,36.1,74.9,31.8,5000,178765.0
2000-06-14,36.5,36.85,35.5,36.1,35.5,35.5,74.9,31.8,2300,83355.0
2000-06-15,36.3,36.4,34.1,35.5,35.0,35.05,74.9,31.8,6200,218650.0
2000-06-16,35.55,35.55,34.4,35.05,34.5,34.45,74.9,31.8,4200,147450.0
2000-06-19,33.5,34.5,32.8,34.45,33.8,33.6,74.9,31.8,9000,301135.0
2000-06-20,34.0,34.95,33.5,33.6,34.15,34.45,74.9,31.8,11900,404940.0
2000-06-21,37.25,37.25,37.25,34.45,37.25,37.25,74.9,31.8,254,9461.5
2000-06-22,39.95,40.25,37.9,37.25,40.25,40.25,74.9,31.8,3013,120756.65
2000-06-23,42.5,43.5,42.0,40.25,43.5,43.5,74.9,31.8,4692,201867.9
2000-06-26,45.0,45.0,40.1,43.5,40.55,40.7,74.9,31.8,3917,164788.5
2000-06-27,41.0,44.0,39.8,40.7,44.0,44.0,74.9,31.8,6559,278882.35
2000-06-28,45.5,46.0,41.6,44.0,41.7,41.85,74.9,31.8,6356,273756.9
2000-06-29,42.0,43.75,42.0,41.85,43.55,43.5,74.9,31.8,6112,263238.5
2000-06-30,42.55,47.0,42.55,43.5,45.95,45.5,74.9,31.8,14045,637574.2
2000-07-03,45.9,49.15,44.6,45.5,46.35,45.4,74.9,31.8,5247,243828.35
2000-07-04,43.8,46.0,43.8,45.4,44.5,45.05,74.9,31.8,3948,177187.85
2000-07-05,44.0,46.85,44.0,45.05,44.05,44.1,74.9,31.8,3372,152121.7
2000-07-06,43.55,44.8,43.5,44.1,43.75,43.75,74.9,31.8,1907,83820.5
2000-07-07,43.05,44.5,43.05,43.75,43.55,43.7,74.9,31.8,3478,152449.55
2000-07-10,44.1,45.5,43.5,43.7,43.5,43.7,74.9,31.8,6127,271436.7
2000-07-11,43.6,45.1,43.1,43.7,43.55,43.6,74.9,31.8,7538,331792.6
2000-07-12,43.35,44.65,43.0,43.6,43.5,43.5,74.9,31.8,1041,45394.25
2000-07-13,43.9,43.9,42.65,43.5,42.75,42.75,74.9,31.8,1079,46468.15
2000-07-14,44.0,46.2,44.0,42.75,46.2,46.2,74.9,31.8,2483,113467.55
2000-07-17,46.55,49.8,46.55,46.2,48.95,48.2,74.9,31.8,7465,364041.85
2000-07-18,47.5,51.0,47.5,48.2,50.3,49.7,74.9,31.8,4680,230978.85
2000-07-19,50.95,50.95,48.0,49.7,48.0,49.05,74.9,31.8,3642,179105.5
2000-07-20,49.4,49.4,46.55,49.05,47.9,47.9,74.9,31.8,1282,61281.5
2000-07-21,46.5,47.3,46.5,47.9,46.7,46.75,74.9,31.8,1393,65295.6
2000-07-24,45.0,45.95,43.25,46.75,43.25,43.3,74.9,31.8,2862,127907.55
2000-07-25,44.95,46.0,42.0,43.3,45.5,45.3,74.9,31.8,2170,96987.3
2000-07-26,45.7,45.7,44.0,45.3,44.0,44.0,74.9,31.8,334,14827.0
2000-07-27,42.1,46.0,40.55,44.0,43.35,40.7,74.9,31.8,1879,78807.3
2000-07-28,41.0,42.25,39.75,40.7,42.25,41.5,74.9,31.8,1552,63515.1
2000-07-31,41.0,41.75,41.0,41.5,41.25,41.25,74.9,31.8,999,41332.25
2000-08-01,40.6,42.25,39.1,41.25,39.6,39.55,74.9,31.8,2341,95186.9
2000-08-02,39.1,42.15,39.05,39.55,39.5,39.65,74.9,31.8,546,21672.4
2000-08-03,39.0,41.0,38.15,39.65,39.0,39.0,74.9,31.8,1632,64423.95
2000-08-04,39.0,39.2,37.75,39.0,38.9,38.9,74.9,31.8,650,25210.0
2000-08-07,40.0,40.0,37.0,38.9,37.0,37.05,74.9,31.8,708,26643.5
2000-08-08,37.5,37.6,36.55,37.05,37.1,37.1,74.9,31.8,662,24666.6
2000-08-09,36.65,39.0,36.5,37.1,36.5,36.8,74.9,31.8,1054,39518.9
2000-08-10,36.35,37.5,36.35,36.8,36.7,36.7,74.9,31.8,908,33473.4
2000-08-11,36.65,39.0,36.6,36.7,38.25,38.25,74.9,31.8,1617,61723.1
2000-08-14,36.2,38.7,36.2,38.25,38.4,38.25,74.9,31.8,1020,38188.5
2000-08-16,38.0,38.0,36.75,38.25,37.5,37.45,74.9,31.8,1214,45718.7
2000-08-17,37.2,38.25,37.0,37.45,37.45,37.45,74.9,31.8,1151,43002.45
2000-08-18,36.4,40.0,36.4,37.45,37.1,37.8,74.9,31.8,2146,82638.85
2000-08-21,38.0,39.0,37.75,37.8,39.0,39.0,74.9,31.8,925,35354.1
2000-08-22,37.7,41.5,37.7,39.0,39.9,39.75,74.5,31.8,1362,53368.7
2000-08-23,37.8,39.45,37.8,39.75,39.25,39.25,74.5,31.8,154,6036.2
2000-08-24,39.0,39.4,38.5,39.25,38.5,38.5,74.5,31.8,979,38275.4
2000-08-25,39.65,39.7,38.75,38.5,39.4,39.4,74.5,31.8,1685,66121.05
2000-08-28,38.0,38.9,37.8,39.4,38.9,38.9,74.5,31.8,2508,96863.9
2000-08-29,40.9,40.9,38.25,38.9,39.5,39.2,74.5,31.8,1548,60738.0
2000-08-30,38.15,39.5,38.15,39.2,39.5,39.5,74.5,31.8,304,11732.6
2000-08-31,37.6,38.0,37.5,39.5,38.0,38.0,74.5,31.8,333,12551.2
2000-09-04,36.65,39.9,36.65,38.0,38.95,38.8,74.5,31.8,2890,107327.7
2000-09-05,38.25,38.7,36.65,38.8,37.5,37.6,74.5,31.8,4308,162292.0
2000-09-06,37.25,38.35,37.1,37.6,37.25,37.7,74.5,31.8,1812,68043.1
2000-09-07,37.3,37.7,37.25,37.7,37.25,37.25,74.5,31.8,1641,61347.55
2000-09-08,37.25,37.9,37.0,37.25,37.9,37.8,74.5,31.8,2906,108790.2
2000-09-11,36.05,37.7,35.65,37.8,36.55,37.1,74.5,31.8,2327,85579.05
2000-09-12,36.5,37.7,36.0,37.1,37.5,37.5,74.5,31.8,3650,134910.85
2000-09-13,38.2,38.7,37.0,37.5,38.05,38.05,74.5,31.8,2212,84545.5
2000-09-14,38.05,38.35,37.4,38.05,38.0,38.0,74.5,31.8,1150,43724.9
2000-09-15,38.15,38.15,36.9,38.0,36.9,36.9,74.5,31.8,518,19307.8
2000-09-18,37.0,37.9,36.3,36.9,37.45,37.45,74.5,31.8,1142,42430.1
2000-09-19,37.25,37.5,34.5,37.45,34.5,34.5,74.5,31.8,2676,96430.5
2000-09-20,34.7,36.95,34.6,34.5,36.0,36.05,74.5,31.8,775,27928.25
2000-09-21,36.0,36.45,36.0,36.05,36.45,36.45,74.5,31.8,836,30172.7
2000-09-22,35.5,35.75,35.0,36.45,35.0,35.0,74.5,31.8,1800,63570.0
2000-09-25,34.0,35.5,34.0,35.0,35.0,35.0,74.5,31.8,888,30854.7
2000-09-26,33.5,34.95,33.0,35.0,34.85,34.5,74.5,31.8,2481,84005.7
2000-09-27,34.0,34.9,34.0,34.5,34.8,34.8,74.5,31.8,1559,53876.5
2000-09-28,34.5,35.4,34.0,34.8,35.0,35.0,74.5,31.8,2254,78478.5
2000-09-29,35.25,35.25,34.6,35.0,34.75,34.75,74.5,31.8,903,31525.25
2000-10-03,33.45,35.5,33.45,34.75,35.4,35.4,74.5,31.8,768,26802.15
2000-10-04,34.15,35.0,33.5,35.4,34.35,34.35,74.5,31.8,408,14005.5
2000-10-05,31.85,35.1,31.85,34.35,34.25,34.25,74.5,31.8,1592,54724.9
2000-10-06,35.55,35.55,33.0,34.25,33.45,33.45,74.5,31.8,1458,49070.9
2000-10-09,33.0,33.75,33.0,33.45,33.35,33.55,74.5,31.8,1444,48338.85
2000-10-10,33.6,34.0,33.0,33.55,33.95,33.75,74.5,31.8,3597,120384.05
2000-10-11,32.55,33.85,32.5,33.75,33.3,33.0,74.5,31.8,2333,76892.7
2000-10-12,32.5,33.0,32.2,33.0,32.5,32.5,74.5,31.8,1050,34062.6
2000-10-13,32.5,32.85,31.6,32.5,32.5,32.1,74.5,31.8,2032,65478.5
2000-10-16,32.2,33.0,31.2,32.1,31.2,31.2,74.5,31.6,2145,68701.65
2000-10-17,29.45,31.2,29.3,31.2,30.0,30.2,74.5,31.2,4872,147556.35
2000-10-18,29.0,31.95,29.0,30.2,31.9,31.85,74.5,29.3,1673,51011.5
2000-10-19,30.0,33.35,30.0,31.85,33.3,33.3,74.5,29.0,1997,64583.25
2000-10-20,33.35,34.3,33.1,33.3,33.85,33.85,74.5,29.0,1879,63456.65
2000-10-23,33.0,33.1,32.5,33.85,33.1,33.1,74.5,29.0,1330,43670.45
2000-10-24,33.0,33.4,32.55,33.1,33.4,32.85,74.5,29.0,3020,99274.3
2000-10-25,33.0,33.7,32.0,32.85,33.65,33.2,74.5,29.0,1079,35478.2
2000-10-26,33.65,33.65,32.75,33.2,33.55,33.5,74.5,29.0,825,27641.25
2000-10-27,33.45,33.45,33.2,33.5,33.45,33.45,74.5,29.0,1077,35933.15
2000-10-30,33.0,33.6,33.0,33.45,33.6,33.6,74.5,29.0,1110,37120.0
2000-10-31,33.1,34.15,33.1,33.6,33.7,33.75,74.5,29.0,1192,40125.3
2000-11-01,34.5,34.75,33.55,33.75,34.55,34.55,74.5,29.0,1579,54333.2
2000-11-02,34.5,34.8,33.25,34.55,34.1,34.05,74.5,29.0,577,19578.85
2000-11-03,34.5,34.5,33.7,34.05,34.5,34.5,74.5,29.0,2158,73385.8
2000-11-06,35.95,36.0,34.05,34.5,34.95,34.95,74.5,29.0,1097,38132.1
2000-11-07,33.7,34.55,33.5,34.95,34.2,34.2,74.5,29.0,1454,49418.75
2000-11-08,35.55,35.55,34.6,34.2,35.1,35.1,74.5,29.0,1727,60747.8
2000-11-09,34.25,35.45,34.25,35.1,35.25,35.25,74.5,29.0,1600,56232.1
2000-11-10,33.6,34.95,33.55,35.25,34.55,34.55,74.5,29.0,958,32991.6
2000-11-13,34.0,34.0,33.2,34.55,33.8,33.35,74.5,29.0,2890,97013.1
2000-11-14,33.7,34.75,33.0,33.35,34.75,34.35,74.5,29.0,1549,52053.7
2000-11-15,34.0,35.2,34.0,34.35,34.0,34.0,74.5,29.0,1541,53484.7
2000-11-16,34.05,34.5,34.05,34.0,34.1,34.2,74.5,29.0,729,24993.4
2000-11-17,34.0,34.45,33.1,34.2,33.4,33.4,74.5,29.0,1482,50059.85
2000-11-20,33.75,34.2,33.75,33.4,34.0,34.0,74.5,29.0,612,20815.35
2000-11-21,33.8,34.5,33.4,34.0,34.4,34.1,74.5,29.0,2624,88989.75
2000-11-22,34.5,34.5,33.25,34.1,34.0,34.0,74.5,29.0,305,10287.5
2000-11-23,33.95,34.25,33.5,34.0,34.25,34.05,74.5,29.0,970,32940.8
