date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,91.25,97.0,91.0,91.0,93.0,93.0,140.0,26.75,3250,308237.5
2000-01-04,93.0,97.3,93.0,93.0,94.0,94.1,140.0,26.75,5550,527285.0
2000-01-05,91.0,95.0,89.1,94.1,90.1,90.1,140.0,26.75,3550,328100.0
2000-01-06,89.35,95.0,89.35,90.1,91.0,91.25,140.0,26.75,12050,1114275.0
2000-01-07,88.15,94.0,88.15,91.25,89.0,88.7,140.0,26.75,3150,285415.0
2000-01-10,92.0,92.0,85.0,88.7,87.0,87.0,140.0,26.75,5550,481790.0
2000-01-11,85.0,86.9,81.1,87.0,82.5,83.3,140.0,26.75,7600,644927.5
2000-01-12,86.1,90.0,86.1,83.3,89.5,89.5,140.0,26.75,1150,102085.0
2000-01-13,87.05,89.85,85.25,89.5,89.85,88.3,140.0,26.75,2600,226272.5
2000-01-14,83.0,84.95,83.0,88.3,83.0,83.0,140.0,26.75,1150,95647.5
2000-01-17,82.5,82.5,77.0,83.0,80.6,80.85,140.0,26.75,5950,481015.0
2000-01-18,81.9,81.95,79.0,80.85,80.0,80.2,140.0,26.75,4150,334132.5
2000-01-19,83.5,86.5,83.0,80.2,83.0,83.0,140.0,26.75,4250,357595.0
2000-01-20,82.0,84.75,78.5,83.0,80.0,80.1,140.0,26.75,6800,546835.0
2000-01-21,82.0,82.0,80.1,80.1,80.2,80.8,140.0,26.75,3900,315617.5
2000-01-24,79.5,80.0,75.0,80.8,75.0,75.35,140.0,26.75,10850,848575.0
2000-01-25,74.0,77.0,70.0,75.35,73.0,74.35,140.0,26.75,8600,625955.0
2000-01-27,71.55,74.0,70.0,74.35,70.0,70.0,140.0,26.75,6800,483047.5
2000-01-28,70.0,75.0,69.1,70.0,75.0,75.0,140.0,26.75,3100,225225.0
2000-01-31,81.0,81.0,72.0,75.0,81.0,81.0,140.0,26.75,23050,1808027.5
2000-02-01,87.0,87.5,86.75,81.0,87.5,87.5,140.0,26.75,5650,492070.0
2000-02-02,94.5,94.5,94.5,87.5,94.5,94.5,140.0,26.75,950,89775.0
2000-02-03,102.1,102.1,102.1,94.5,102.1,102.1,140.0,26.75,950,96995.0
2000-02-04,110.3,110.3,110.3,102.1,110.3,110.3,140.0,26.75,4250,468775.0
2000-02-07,119.15,119.15,119.15,110.3,119.15,119.15,140.0,26.75,2600,309790.0
2000-02-08,128.7,128.7,128.7,119.15,128.7,128.7,140.0,26.75,77350,9954945.0
2000-02-09,139.0,139.0,139.0,128.7,139.0,139.0,140.0,26.75,56000,7784000.0
2000-02-10,150.15,150.15,136.0,139.0,150.0,148.55,140.0,26.75,130950,19463470.0
2000-02-11,146.0,150.0,136.7,148.55,138.1,138.15,150.15,26.75,91250,12865207.5
2000-02-14,139.5,139.5,127.1,138.15,127.1,127.1,150.15,26.75,28750,3715665.0
2000-02-15,117.1,137.3,117.0,127.1,137.3,137.3,150.15,26.75,73700,9728367.5
2000-02-16,148.3,148.3,148.3,137.3,148.3,148.3,150.15,26.75,8850,1312455.0
2000-02-17,160.2,160.2,160.2,148.3,160.2,160.2,150.15,26.75,10450,1674090.0
2000-02-18,173.05,173.05,161.0,160.2,173.05,173.05,160.2,26.75,60700,10334015.0
2000-02-21,185.0,186.9,177.2,173.05,186.9,186.9,173.05,26.75,33350,6174265.0
2000-02-22,198.7,201.85,191.0,186.9,201.85,201.85,186.9,26.75,30700,6157915.0
2000-02-23,218.0,218.0,185.7,201.85,189.0,188.45,201.85,26.75,70800,14756292.5
2000-02-24,199.0,203.55,177.0,188.45,198.0,196.95,218.0,26.75,40600,7976022.5
2000-02-25,190.0,196.0,181.2,196.95,183.0,183.1,218.0,26.75,22800,4260575.0
2000-02-28,190.0,190.0,168.45,183.1,168.45,169.45,218.0,26.75,23100,3959715.0
2000-02-29,158.0,172.0,155.9,169.45,155.9,155.9,218.0,26.75,37900,6163137.5
2000-03-01,156.0,168.4,143.55,155.9,168.4,167.2,218.0,26.75,27750,4421332.5
2000-03-02,175.9,180.6,165.0,167.2,167.9,169.8,218.0,26.75,24700,4326777.5
2000-03-03,170.0,170.0,156.25,169.8,156.25,156.25,218.0,26.75,11300,1801240.0
2000-03-06,156.0,158.0,144.0,156.25,144.0,144.15,218.0,26.75,31900,4786717.5
2000-03-07,142.7,155.7,138.0,144.15,155.7,155.7,218.0,26.75,36350,5433217.5
2000-03-08,168.0,168.2,160.0,155.7,161.15,163.45,218.0,26.75,16250,2720532.5
