date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-04-18,32.5,32.5,32.5,35.0,32.5,32.5,40.9,19.05,100,3250.0
2000-05-03,30.0,30.0,30.0,32.5,30.0,30.0,40.9,19.05,200,6000.0
2000-05-04,32.4,32.4,32.4,30.0,32.4,32.4,40.9,19.05,1010,32724.0
2000-05-05,34.4,34.65,34.4,32.4,34.65,34.5,40.9,19.05,400,13810.0
2000-05-09,37.0,37.0,35.05,34.5,36.95,36.95,40.9,19.05,502,18003.9
2000-05-23,39.7,39.7,39.7,36.95,39.7,39.7,40.9,19.05,1,39.7
2000-06-15,42.0,42.0,42.0,39.7,42.0,42.0,40.9,19.05,1,42.0
2000-06-16,45.35,45.35,45.0,42.0,45.0,45.0,42.0,19.05,101,4545.35
2000-07-03,45.0,45.0,45.0,45.0,45.0,45.0,45.35,19.05,10,450.0
2000-07-04,48.0,48.0,48.0,45.0,48.0,48.0,45.35,19.05,10,480.0
2000-07-05,48.0,48.0,48.0,48.0,48.0,48.0,48.0,19.05,50,2400.0
2000-07-06,48.0,48.0,48.0,48.0,48.0,48.0,48.0,19.05,15,720.0
2000-07-07,50.0,50.0,48.0,48.0,48.0,48.0,48.0,19.05,20,980.0
2000-07-10,45.0,45.0,45.0,48.0,45.0,45.0,50.0,19.05,50,2250.0
2000-07-11,45.45,45.45,45.45,45.0,45.45,45.45,50.0,19.05,10,454.5
2000-07-17,41.85,41.85,41.85,45.45,41.85,41.85,50.0,19.05,400,16740.0
2000-07-26,43.85,43.85,43.85,41.85,43.85,43.85,50.0,19.05,10,438.5
2000-07-31,43.9,43.9,43.9,43.85,43.9,43.9,50.0,19.05,6,263.4
2000-08-23,41.85,41.85,41.85,43.9,41.85,41.85,50.0,22.5,100,4185.0
2000-09-04,42.9,42.9,42.9,41.85,42.9,42.9,50.0,26.2,2,85.8
2000-09-05,42.0,42.0,42.0,42.9,42.0,42.0,50.0,28.05,2,84.0
2000-11-10,38.65,38.65,38.65,42.0,38.65,38.65,50.0,28.05,1,38.65
2000-11-17,35.6,35.6,35.6,38.65,35.6,35.6,50.0,28.05,100,3560.0
2000-11-28,32.75,32.75,32.75,35.6,32.75,32.75,50.0,30.0,1,32.75
2000-12-01,34.0,34.0,34.0,32.75,34.0,34.0,50.0,30.0,10,340.0
2000-12-06,36.7,36.7,36.7,34.0,36.7,36.7,50.0,30.0,20,734.0
2000-12-29,38.9,38.9,38.9,36.7,38.9,38.9,50.0,30.0,3,116.7
2001-01-01,36.2,36.2,36.2,38.9,36.2,36.2,50.0,30.0,3,108.6
2001-01-03,33.3,33.3,33.3,36.2,33.3,33.3,50.0,30.0,50,1665.0
2001-01-04,30.75,30.75,30.65,33.3,30.65,30.65,50.0,30.0,100,3070.0
2001-01-08,29.95,29.95,29.95,30.65,29.95,29.95,50.0,30.0,2,59.9
2001-02-01,27.6,27.6,27.6,29.95,27.6,27.6,50.0,29.95,100,2760.0
2001-02-02,25.4,25.4,25.4,27.6,25.4,25.4,50.0,27.6,1,25.4
2001-02-06,23.4,23.4,23.4,25.4,23.4,23.4,50.0,25.4,11,257.4
2001-02-07,22.0,22.0,22.0,23.4,22.0,22.0,50.0,23.4,100,2200.0
2001-02-08,20.5,20.5,20.5,22.0,20.5,20.5,50.0,22.0,100,2050.0
2001-02-12,20.55,20.55,19.1,20.5,19.1,19.1,50.0,20.5,210,4296.0
2001-02-13,18.05,20.0,18.0,19.1,18.1,20.0,50.0,19.1,501,9618.1
2001-02-15,18.4,18.4,18.4,20.0,18.4,18.4,50.0,18.0,100,1840.0
2001-02-16,18.5,19.45,17.05,18.4,17.05,17.05,50.0,18.0,700,12705.0
2001-02-19,15.05,15.05,15.05,17.05,15.05,15.05,50.0,17.05,10,150.5
2001-02-20,15.0,16.5,15.0,15.05,16.5,16.5,50.0,15.05,940,14760.0
2001-02-21,16.5,18.5,12.5,16.5,18.5,18.5,50.0,15.0,215,3660.5
2001-02-22,18.5,18.5,18.5,18.5,18.5,18.5,50.0,12.5,229,4236.5
2001-02-23,19.9,22.25,16.05,18.5,16.05,16.05,50.0,12.5,202,3871.9
2001-02-26,15.05,16.2,15.0,16.05,16.2,16.2,50.0,12.5,1290,19412.0
2001-02-27,19.5,19.5,18.95,16.2,18.95,18.95,50.0,12.5,2,38.45
2001-02-28,22.85,22.85,22.1,18.95,22.1,22.1,50.0,12.5,701,15632.85
2001-03-01,21.5,23.5,20.4,22.1,23.5,23.5,50.0,12.5,910,19134.0
2001-03-02,25.0,25.0,25.0,23.5,25.0,25.0,50.0,12.5,50,1250.0
2001-03-05,23.0,24.0,23.0,25.0,24.0,24.0,50.0,12.5,352,8227.0
2001-03-15,22.4,22.4,22.4,24.0,22.4,22.4,50.0,12.5,25,560.0
2001-03-16,20.7,20.7,20.7,22.4,20.7,20.7,50.0,12.5,25,517.5
2001-03-19,19.05,19.05,19.05,20.7,19.05,19.05,50.0,12.5,50,952.5
2001-03-20,18.0,18.0,17.0,19.05,17.0,17.0,50.0,12.5,503,9003.5
2001-04-20,21.25,21.25,21.25,17.0,21.25,21.25,50.0,12.5,10,212.5
2001-04-23,22.8,22.85,22.7,21.25,22.7,22.7,50.0,12.5,120,2735.5
2001-05-04,21.5,21.6,21.5,22.7,21.6,21.6,50.0,12.5,500,10781.0
2001-05-08,19.9,19.9,19.9,21.6,19.9,19.9,50.0,12.5,1000,19900.0
2001-05-11,21.0,21.0,21.0,19.9,21.0,21.0,50.0,12.5,10,210.0
2001-05-21,19.35,19.35,19.35,21.0,19.35,19.35,50.0,12.5,490,9481.5
2001-05-22,19.0,19.0,14.55,19.35,14.55,14.55,50.0,12.5,101,1474.0
2001-05-23,14.55,14.55,14.55,14.55,14.55,14.55,50.0,12.5,480,6984.0
2001-05-24,15.25,15.25,12.5,14.55,14.0,14.0,50.0,12.5,3425,46610.0
2001-05-25,16.35,16.35,13.05,14.0,14.7,14.7,50.0,12.5,1801,24086.6
