date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2004-04-27,28.8,28.8,28.8,25.2,28.8,28.8,0.0,0.0,11,316.8
2004-04-28,31.7,31.7,31.7,28.8,31.7,31.7,28.8,28.8,225,7132.5
2004-04-29,34.7,34.9,33.35,31.7,34.9,34.9,31.7,28.8,8269,283479.95
2004-04-30,38.0,38.4,37.05,34.9,38.4,38.4,34.9,28.8,32769,1252662.55
2004-05-03,41.8,42.25,35.5,38.4,37.3,36.85,38.4,28.8,24754,966147.65
2004-05-04,37.45,39.0,37.15,36.85,37.15,37.5,42.25,28.8,5397,206120.55
2004-05-05,35.0,38.95,34.55,37.5,34.55,34.8,42.25,28.8,8498,307459.15
2004-05-06,35.2,36.75,35.2,34.8,35.5,35.75,42.25,28.8,6020,217254.05
2004-05-07,33.25,36.5,33.25,35.75,36.4,36.3,42.25,28.8,5432,194443.7
2004-05-10,36.4,36.85,35.5,36.3,36.55,36.0,42.25,28.8,3213,115045.0
2004-05-11,36.25,36.7,35.05,36.0,35.05,35.2,42.25,28.8,4593,163262.65
2004-05-12,36.4,36.4,35.0,35.2,35.5,35.5,42.25,28.8,6366,225872.3
2004-05-13,32.25,36.0,32.25,35.5,34.95,35.15,42.25,28.8,2865,100399.65
2004-05-14,36.25,36.25,33.0,35.15,33.05,33.1,42.25,28.8,4892,167155.9
2004-05-17,28.0,33.9,28.0,33.1,33.9,33.25,42.25,28.8,1751,54779.9
2004-05-18,32.1,34.9,32.1,33.25,34.5,34.5,42.25,28.0,2872,98068.75
2004-05-19,33.35,36.0,33.35,34.5,35.5,35.5,42.25,28.0,2716,94702.0
2004-05-20,36.35,36.4,34.9,35.5,34.9,34.95,42.25,28.0,1450,51395.85
2004-05-21,34.3,36.3,34.3,34.95,36.3,35.15,42.25,28.0,2395,84729.65
2004-05-24,36.4,36.4,35.1,35.15,35.45,35.3,42.25,28.0,2535,90772.45
2004-05-25,35.7,36.0,34.9,35.3,35.5,35.5,42.25,28.0,4911,175017.55
2004-05-26,34.65,35.95,34.65,35.5,35.0,35.05,42.25,28.0,3851,135800.85
2004-05-27,35.95,36.0,34.5,35.05,34.8,34.55,42.25,28.0,3238,113276.2
2004-05-28,36.0,36.0,32.95,34.55,33.65,33.75,42.25,28.0,1942,65727.15
2004-05-31,33.1,34.5,32.6,33.75,32.6,33.35,42.25,28.0,381,12699.7
2004-06-01,34.0,34.0,32.75,33.35,32.75,32.9,42.25,28.0,1679,55640.95
2004-06-02,30.85,34.0,30.85,32.9,33.05,33.05,42.25,28.0,1233,41230.65
2004-06-03,33.1,33.2,33.0,33.05,33.0,33.0,42.25,28.0,21712,720528.7
2004-06-04,33.05,34.0,32.5,33.0,33.15,33.55,42.25,28.0,3194,106591.9
2004-06-07,34.25,34.25,32.4,33.55,33.9,33.9,42.25,28.0,1690,56725.3
2004-06-08,33.45,34.3,33.4,33.9,34.3,34.05,42.25,28.0,4374,147867.6
2004-06-09,34.65,34.65,33.25,34.05,34.25,33.55,42.25,28.0,3170,108176.7
2004-06-10,34.25,36.65,33.6,33.55,36.05,35.9,42.25,28.0,11607,411322.25
2004-06-11,36.0,36.15,34.9,35.9,35.2,35.6,42.25,28.0,5448,194975.7
2004-06-14,34.0,35.05,34.0,35.6,34.3,34.3,42.25,28.0,1217,42198.15
2004-06-15,35.0,35.0,34.0,34.3,34.6,34.6,42.25,28.0,1484,51063.25
2004-06-16,34.25,34.65,34.25,34.6,34.55,34.4,42.25,28.0,4336,149268.7
2004-06-17,34.3,34.8,33.1,34.4,34.3,34.3,42.25,28.0,7158,246140.15
2004-06-18,36.9,36.9,34.1,34.3,34.1,34.1,42.25,28.0,8619,297887.45
2004-06-21,34.4,34.4,33.6,34.1,34.0,33.9,42.25,28.0,5488,186135.35
2004-06-22,35.35,35.35,33.8,33.9,34.15,34.0,42.25,28.0,6125,208186.45
2004-06-23,33.1,33.9,33.0,34.0,33.9,33.7,42.25,28.0,7342,245501.8
2004-06-24,32.05,33.8,32.05,33.7,33.8,33.8,42.25,28.0,4071,135972.6
2004-06-25,33.5,34.6,33.25,33.8,34.6,34.45,42.25,28.0,10769,366858.25
2004-06-28,33.0,33.25,31.05,34.45,32.35,32.1,42.25,28.0,29186,937922.35
2004-06-29,30.45,31.0,30.15,32.1,30.8,30.65,42.25,28.0,3190,97617.2
2004-06-30,30.0,30.6,29.65,30.65,29.9,30.2,42.25,28.0,1231,37008.5
2004-07-01,30.1,30.15,29.75,30.2,30.15,29.9,42.25,28.0,1792,53442.5
2004-07-02,31.55,31.55,28.2,29.9,28.5,28.5,42.25,28.0,10980,318747.75
2004-07-05,29.7,29.9,28.5,28.5,28.5,28.9,42.25,28.0,5095,150249.85
2004-07-06,25.35,29.0,25.35,28.9,28.3,28.25,42.25,28.0,3231,91276.55
