date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-09-22,164.0,176.0,155.3,164.0,159.5,158.35,176.0,155.3,21564281,3576823421.0
2023-09-25,160.95,173.0,160.3,158.35,169.7,171.05,176.0,155.3,5622723,948745492.05
2023-09-26,170.5,183.4,170.05,171.05,179.0,179.2,183.4,155.3,5907712,1054495441.05
2023-09-27,180.45,184.9,176.3,179.2,184.7,183.95,184.9,155.3,4167955,755248025.8
2023-09-28,185.0,202.8,183.4,183.95,194.8,196.85,202.8,155.3,6555885,1279464267.4
2023-09-29,195.85,209.7,193.3,196.85,200.6,200.55,209.7,155.3,4086420,830318619.85
2023-10-03,198.7,206.9,185.0,200.55,194.3,194.9,209.7,155.3,4232354,833365984.1
2023-10-04,191.0,198.45,181.3,194.9,188.3,189.0,209.7,155.3,1182476,223570651.25
2023-10-05,191.05,204.65,188.5,189.0,204.25,202.95,209.7,155.3,1611549,318597450.85
2023-10-06,204.95,222.4,201.15,202.95,217.5,217.8,222.4,155.3,3612987,776824693.75
2023-10-09,211.1,224.8,208.35,217.8,209.65,211.1,224.8,155.3,2015207,438721113.25
2023-10-10,213.8,226.35,213.8,211.1,220.55,221.2,226.35,155.3,1755863,387286606.3
2023-10-11,222.1,226.45,210.65,221.2,214.25,214.15,226.45,155.3,1155486,253051089.0
2023-10-12,206.5,220.7,201.35,214.15,215.7,216.05,226.45,155.3,3641001,768253536.9
2023-10-13,220.0,247.8,219.0,216.05,235.6,235.25,247.8,155.3,5804623,1375044194.65
2023-10-16,235.85,236.7,226.45,235.25,226.8,228.55,247.8,155.3,1111793,256660522.8
2023-10-17,228.0,229.8,217.85,228.55,220.0,219.85,247.8,155.3,1182276,264223205.15
2023-10-18,219.0,235.0,217.0,219.85,226.95,224.6,247.8,155.3,1667159,377144928.0
2023-10-19,221.6,231.3,221.6,224.6,222.2,223.15,247.8,155.3,536075,121026343.1
2023-10-20,225.05,226.4,210.1,223.15,215.4,214.75,247.8,155.3,910593,197943435.95
2023-10-23,216.7,217.15,196.2,214.75,197.5,200.05,247.8,155.3,1205009,246680499.1
2023-10-25,202.4,203.7,187.45,200.05,198.05,198.45,247.8,155.3,1738700,340700554.4
2023-10-26,196.0,211.7,194.5,198.45,207.7,207.95,247.8,155.3,1793758,365695101.15
2023-10-27,210.0,217.6,206.65,207.95,213.0,214.0,247.8,155.3,1243591,263843237.45
2023-10-30,214.9,214.9,206.2,214.0,209.05,208.8,247.8,155.3,763578,160283696.9
2023-10-31,209.8,214.5,205.55,208.8,206.3,206.7,247.8,155.3,655485,137699644.55
2023-11-01,210.0,222.0,210.0,206.7,215.75,215.8,247.8,155.3,1318341,286137119.8
2023-11-02,216.9,225.9,215.2,215.8,223.95,224.55,247.8,155.3,1062812,235669899.25
2023-11-03,224.05,230.5,222.5,224.55,225.0,224.1,247.8,155.3,683985,154661872.05
2023-11-06,226.4,235.3,226.4,224.1,233.65,232.9,247.8,155.3,1057933,245225275.35
2023-11-07,233.05,236.4,223.25,232.9,225.9,226.2,247.8,155.3,469103,107771602.65
2023-11-08,226.2,240.0,226.2,226.2,234.0,233.1,247.8,155.3,1210818,284305763.7
2023-11-09,235.2,242.75,234.5,233.1,237.35,237.0,247.8,155.3,841160,200641375.25
2023-11-10,236.9,238.45,231.2,237.0,232.6,233.55,247.8,155.3,337328,79006478.65
2023-11-12,235.9,236.95,229.6,233.55,235.95,236.25,247.8,155.3,259634,60859770.9
2023-11-13,235.95,264.0,233.0,236.25,256.95,259.5,264.0,155.3,3454620,875100452.4
2023-11-15,258.45,261.6,250.55,259.5,253.2,252.85,264.0,155.3,1325390,338140655.65
2023-11-16,253.9,256.7,247.65,252.85,251.4,250.6,264.0,155.3,671906,169680913.25
2023-11-17,252.2,265.0,248.9,250.6,252.4,251.75,265.0,155.3,2033957,525039924.4
2023-11-20,251.3,253.45,243.25,251.75,245.0,245.4,265.0,155.3,628344,155896065.5
2023-11-21,246.65,251.25,241.15,245.4,244.15,244.8,265.0,155.3,901066,221424890.1
2023-11-22,245.9,266.2,245.9,244.8,257.9,259.35,266.2,155.3,3405005,881033081.2
2023-11-23,257.8,261.75,250.25,259.35,252.0,251.7,266.2,155.3,920893,234034128.25
2023-11-24,253.15,261.5,252.0,251.7,252.95,253.65,266.2,155.3,836198,214299888.3
2023-11-28,255.0,255.35,245.1,253.65,246.05,246.0,266.2,155.3,506991,125687999.4
2023-11-29,247.9,252.95,242.65,246.0,243.5,244.4,266.2,155.3,811404,200488115.5
2023-11-30,247.8,247.8,235.2,244.4,237.05,237.1,266.2,155.3,949644,227203191.95
2023-12-01,238.45,243.8,235.0,237.1,238.4,235.9,266.2,155.3,478703,114865471.45
2023-12-04,240.0,252.5,238.15,235.9,247.1,247.35,266.2,155.3,1350339,332507258.7
2023-12-05,247.0,247.1,239.1,247.35,242.0,241.5,266.2,155.3,666859,161883997.05
2023-12-06,242.0,242.0,237.5,241.5,238.5,238.4,266.2,155.3,405699,97153539.4
2023-12-07,238.3,242.45,236.95,238.4,237.1,237.45,266.2,155.3,245666,58803057.55
2023-12-08,238.8,241.0,231.95,237.45,234.75,236.1,266.2,155.3,320635,75787458.55
2023-12-11,237.5,247.4,234.5,236.1,244.0,243.55,266.2,155.3,1014261,244383268.9
2023-12-12,244.6,247.0,236.6,243.55,239.0,239.55,266.2,155.3,491483,118598994.35
2023-12-13,239.9,241.55,232.5,239.55,234.95,234.9,266.2,155.3,503573,119168769.7
2023-12-14,237.0,246.8,236.9,234.9,243.0,242.0,266.2,155.3,888469,215877256.25
2023-12-15,243.4,251.0,239.0,242.0,245.3,245.65,266.2,155.3,1163729,286481035.85
2023-12-18,245.3,245.3,238.2,245.65,239.45,239.15,266.2,155.3,433457,104488237.6
2023-12-19,238.0,239.35,233.0,239.15,234.0,233.65,266.2,155.3,1586359,371994258.5
2023-12-20,234.0,235.5,218.0,233.65,221.6,220.4,266.2,155.3,1603712,364422959.35
2023-12-21,218.0,226.05,215.35,220.4,224.1,224.4,266.2,155.3,771497,170773484.2
2023-12-22,225.85,228.05,220.15,224.4,224.9,224.45,266.2,155.3,399856,89629811.6
2023-12-26,225.6,225.6,219.55,224.45,221.75,221.75,266.2,155.3,346494,76883704.15
2023-12-27,222.8,224.9,219.0,221.75,221.25,220.9,266.2,155.3,559828,123928493.15
2023-12-28,221.9,222.3,217.5,220.9,219.0,218.1,266.2,155.3,308510,67605754.85
2023-12-29,219.6,225.05,212.5,218.1,223.9,222.85,266.2,155.3,1143763,250620332.85
2024-01-01,223.8,223.8,216.3,222.85,216.4,217.3,266.2,155.3,383089,84183314.4
2024-01-02,218.45,218.45,211.75,217.3,214.45,214.5,266.2,155.3,670476,143894607.85
2024-01-03,214.8,223.5,212.7,214.5,221.9,221.45,266.2,155.3,554421,122283445.9
2024-01-04,222.8,222.8,216.8,221.45,218.75,218.8,266.2,155.3,405561,88845267.05
2024-01-05,220.0,223.4,217.95,218.8,219.9,219.85,266.2,155.3,703765,155217270.15
2024-01-08,221.3,221.3,212.3,219.85,214.0,213.1,266.2,155.3,796504,171419182.35
2024-01-09,216.0,219.85,212.8,213.1,215.0,215.05,266.2,155.3,734859,158644973.2
2024-01-10,214.0,216.6,212.2,215.05,213.95,213.55,266.2,155.3,434968,93109468.55
2024-01-11,214.9,216.0,212.0,213.55,213.2,212.55,266.2,155.3,464498,99285247.9
2024-01-12,211.8,230.3,209.75,212.55,221.8,221.65,266.2,155.3,2155832,480364593.9
2024-01-15,223.75,224.9,214.4,221.65,216.75,215.85,266.2,155.3,799185,174140842.95
2024-01-16,216.9,224.45,213.4,215.85,215.85,216.85,266.2,155.3,808991,176725965.5
2024-01-17,213.0,217.85,207.4,216.85,208.0,208.3,266.2,155.3,1079865,228882593.65
2024-01-18,212.8,219.3,207.35,208.3,216.95,217.05,266.2,155.3,1799265,384834687.3
2024-01-19,220.0,227.85,215.4,217.05,216.7,216.35,266.2,155.3,1409020,313175821.2
2024-01-20,217.3,226.05,217.25,216.35,222.0,221.05,266.2,155.3,1125988,251164162.4
2024-01-23,223.3,223.3,212.1,221.05,216.8,216.0,266.2,155.3,712774,154460146.05
2024-01-24,217.7,217.7,210.05,216.0,214.0,214.0,266.2,155.3,537966,114700503.2
2024-01-25,215.3,221.8,213.85,214.0,217.1,216.5,266.2,155.3,675869,147527650.75
2024-01-29,218.3,230.0,216.25,216.5,224.0,224.1,266.2,155.3,1232377,275955205.1
2024-01-30,225.8,244.6,220.4,224.1,239.75,240.45,266.2,155.3,3502836,831086299.0
2024-01-31,241.95,245.0,232.2,240.45,235.45,234.5,266.2,155.3,1263627,301057412.95
2024-02-01,235.65,242.5,228.2,234.5,230.8,230.8,266.2,155.3,823297,192887618.3
2024-02-02,232.3,238.0,225.35,230.8,228.2,226.75,266.2,155.3,653659,150667470.85
2024-02-05,228.0,239.9,227.15,226.75,231.5,229.65,266.2,155.3,1172684,274699596.25
2024-02-06,232.5,233.7,228.05,229.65,233.0,231.5,266.2,155.3,709716,163650749.25
2024-02-07,258.9,277.8,252.0,231.5,277.8,277.8,277.8,155.3,11430995,3033775986.6
2024-02-08,278.9,283.0,260.3,277.8,267.65,268.25,283.0,155.3,6427623,1755576990.75
2024-02-09,268.0,274.35,252.4,268.25,272.9,269.5,283.0,155.3,2272297,598099230.2
2024-02-12,277.0,277.0,241.95,269.5,246.4,245.9,283.0,155.3,2091807,533594263.45
2024-02-13,248.3,248.3,235.05,245.9,243.0,243.9,283.0,155.3,1631507,391935719.75
2024-02-14,241.8,245.9,235.0,243.9,239.3,239.2,283.0,155.3,1355893,326071655.35
2024-02-15,239.0,257.7,236.95,239.2,253.4,253.0,283.0,155.3,2804824,699453334.4
