date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2015-03-30,49.0,57.3,49.0,48.9,55.5,55.0,57.3,49.0,59509,3241370.9
2015-03-31,56.7,58.5,55.0,55.0,56.95,55.95,58.5,49.0,137591,7741285.7
2015-04-01,57.4,57.4,54.15,55.95,56.2,55.7,58.5,49.0,148767,8294577.95
2015-04-06,57.25,66.8,56.5,55.7,62.75,63.7,66.8,49.0,308258,19608499.8
2015-04-07,63.95,72.0,63.0,63.7,69.0,69.45,72.0,49.0,281312,19004122.0
2015-04-08,70.2,73.0,64.4,69.45,70.0,70.05,73.0,49.0,608437,41233028.05
2015-04-09,72.45,81.45,72.45,70.05,79.5,79.7,81.45,49.0,1390034,108591292.2
2015-04-10,80.6,82.8,77.6,79.7,78.95,79.2,82.8,49.0,432915,34462082.75
2015-04-13,79.65,79.65,74.35,79.2,76.65,77.25,82.8,49.0,206972,15938770.4
2015-04-15,77.0,79.7,75.95,77.25,77.0,77.3,82.8,49.0,178758,13860177.65
2015-04-16,78.5,79.45,73.1,77.3,73.75,74.25,82.8,49.0,122946,9276992.4
2015-04-17,75.0,76.85,72.6,74.25,74.0,73.8,82.8,49.0,101631,7582251.75
2015-04-20,74.9,75.0,68.25,73.8,69.0,69.0,82.8,49.0,82563,5853350.95
2015-04-21,67.1,72.8,67.1,69.0,68.75,68.75,82.8,49.0,84727,5936263.95
2015-04-22,69.2,70.95,66.1,68.75,68.5,68.4,82.8,49.0,112900,7689445.25
2015-04-23,68.5,71.95,67.0,68.4,67.0,67.3,82.8,49.0,121348,8445154.25
2015-04-24,68.65,68.65,60.6,67.3,63.6,61.9,82.8,49.0,113839,7211236.8
2015-04-27,62.4,63.45,55.75,61.9,55.75,55.75,82.8,49.0,68078,3899698.65
2015-04-28,53.95,53.95,53.0,55.75,53.0,53.0,82.8,49.0,211703,11235702.25
2015-04-29,50.5,55.65,50.45,53.0,55.65,55.65,82.8,49.0,193482,10643295.5
2015-04-30,56.7,58.4,55.4,55.65,58.4,58.4,82.8,49.0,140155,8050568.45
2015-05-04,61.25,61.3,59.5,58.4,61.3,61.3,82.8,49.0,139961,8555287.0
2015-05-05,63.4,64.35,62.3,61.3,64.35,64.35,82.8,49.0,143267,9139239.65
2015-05-06,65.0,67.0,61.15,64.35,61.15,61.15,82.8,49.0,178130,11178482.7
2015-05-07,62.5,62.5,58.1,61.15,58.1,58.1,82.8,49.0,48515,2863926.0
2015-05-08,59.05,61.0,56.1,58.1,57.55,58.85,82.8,49.0,107900,6440024.55
2015-05-11,60.0,60.9,57.6,58.85,58.25,58.7,82.8,49.0,77032,4580711.9
