date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2022-06-30,777.95,785.5,777.0,779.75,782.85,780.45,833.8,701.0,48920,38215826.25,8.5,-1.7999999999999545,2.5,5.0499999999999545,0.9500000000000455,779.75,786.45,768.0,49922.0,775.45,788.0,760.0,128856.0,765.4,775.75,759.3,64118.0,761.45,782.65,757.15,59564.0,778.5500000000001,1.261942946407692,75899.33333333333,773.01,6.317376829032496,65211.2,767.92,7.217040021135007,97254.3,777.9325,18.71231370543277,937433.35,47.476552026220006,0.0008977236293683521,-0.001207959819441884,-0.020071311245543066,0.9935709739007085,0.9955794733794662,0.0012800979280148364,3,6,794.95,780.0,790.0,807.9,874.0,845.95,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5
2022-07-01,778.5,794.95,771.85,780.45,773.0,774.35,833.8,701.0,69949,54796739.25,23.100000000000023,-1.9500000000000455,4.149999999999977,16.450000000000045,2.5,780.45,785.5,777.0,48920.0,779.75,786.45,768.0,49922.0,775.45,788.0,760.0,128856.0,764.0,774.75,761.0,34240.0,778.1833333333334,5.203444372079182,56263.666666666664,775.08,6.88354922986649,72353.0,768.3,8.06343082482045,90658.1,777.9300000000001,18.113232114439974,744310.65,43.68763556953038,-0.007816003587673759,0.012030553787396592,0.42986508585445615,0.9740864205283677,0.996771485760965,0.00127651756212848,4,7,780.0,790.0,807.9,874.0,845.95,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6
2022-07-04,767.25,780.0,762.0,774.35,779.75,776.85,833.8,701.0,52513,40513229.95,18.0,-7.100000000000023,9.600000000000023,3.1499999999999773,5.25,774.35,794.95,771.85,69949.0,780.45,785.5,777.0,48920.0,779.75,786.45,768.0,49922.0,765.4,775.75,759.3,64118.0,777.2166666666667,7.561470315575027,57127.333333333336,777.37,5.379428408297238,70032.0,770.945,6.696684503045631,72701.4,776.8075,15.977331598236328,309216.3,47.187499994101586,0.003228514237747726,-0.018806214227309992,-0.2492673233355731,0.9959615384602616,0.980884340605032,0.0012961938622225305,0,7,790.0,807.9,874.0,845.95,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75
2022-07-05,775.5,790.0,775.5,776.85,786.85,785.15,833.8,701.0,97334,76338313.5,14.5,-1.3500000000000227,9.649999999999977,4.850000000000023,0.0,776.85,780.0,762.0,52513.0,774.35,794.95,771.85,69949.0,780.45,785.5,777.0,48920.0,775.45,788.0,760.0,128856.0,778.7833333333333,7.615827816680376,73265.33333333333,779.3100000000001,5.546012080765355,63727.6,773.1800000000001,6.401217332143279,70791.4,776.5125,15.25030176578055,209605.25,44.976744180189044,0.010684173263821872,0.012820512820512775,0.8535219850322777,0.9938607594924128,0.9877093548990795,0.001275034717658519,1,7,807.9,874.0,845.95,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7
2022-07-06,781.1,807.9,777.25,785.15,800.55,796.75,833.8,701.0,168656,133005489.5,30.649999999999977,-4.0499999999999545,15.649999999999977,11.149999999999977,3.8500000000000227,785.15,790.0,775.5,97334.0,776.85,780.0,762.0,52513.0,774.35,794.95,771.85,69949.0,779.75,786.45,768.0,49922.0,786.25,14.135180696875556,106167.66666666667,782.71,10.620946285524342,87474.4,775.96,9.749485741423506,77407.2,777.0425,15.244639049083549,190111.2,57.505995196114284,0.014774246959179838,0.022658227848101342,0.7327552551009924,0.9861987869773658,0.975525572637621,0.0012680378880151409,2,7,874.0,845.95,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95
2022-07-07,804.35,874.0,803.6,796.75,833.6,830.6,874.0,701.0,575230,484341597.0,70.39999999999998,7.600000000000023,26.25,43.39999999999998,0.75,796.75,807.9,777.25,168656.0,785.15,790.0,775.5,97334.0,776.85,780.0,762.0,52513.0,780.45,785.5,777.0,48920.0,804.1666666666666,44.244811371881035,280406.6666666667,792.74,37.49975999923182,192736.4,782.875,29.145346493432175,128973.8,778.905,23.781147995839092,193379.95,73.53978831023477,0.04248509570128656,0.0818170565664067,2.410670240015179,0.9503432494268303,0.9674933782795961,0.0011876535147155654,3,7,845.95,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7
2022-07-08,842.4,845.95,818.0,830.6,828.0,828.7,874.0,701.0,151467,125726093.5,27.950000000000045,11.799999999999955,13.699999999999932,3.550000000000068,10.700000000000045,830.6,874.0,803.6,575230.0,796.75,807.9,777.25,168656.0,785.15,790.0,775.5,97334.0,774.35,794.95,771.85,69949.0,818.6833333333334,33.17583206693299,298451.0,803.61,39.48065349003211,209040.0,789.345,32.00695236975862,140696.5,781.035,26.382712641345133,175958.85,85.81884719852275,-0.0022875030098723492,-0.03209382151029738,-0.7366844566521218,0.9796087239186955,0.9870882104489114,0.0012047379806642922,4,7,843.4,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95
2022-07-11,828.0,843.4,818.1,828.7,822.0,824.05,874.0,701.0,70272,58243814.05,25.299999999999955,-0.7000000000000455,3.9500000000000455,15.399999999999977,5.949999999999932,828.7,845.95,818.0,151467.0,830.6,874.0,803.6,575230.0,796.75,807.9,777.25,168656.0,776.85,780.0,762.0,52513.0,827.7833333333333,16.978736702122706,265656.3333333333,813.05,33.290614292920154,212591.8,795.21,32.78252456213011,141311.9,782.7925,28.324516997786535,154234.15,80.15755784222343,-0.00561119826233869,-0.003014362550978311,-0.5360573590286993,0.9770571496312817,0.992779564345619,0.0012065143937805014,0,7,840.55,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0
2022-07-12,824.0,840.55,815.0,824.05,815.5,819.35,874.0,701.0,69958,58017075.7,25.549999999999955,-0.049999999999954525,4.649999999999977,16.549999999999955,4.350000000000023,824.05,843.4,818.1,70272.0,828.7,845.95,818.0,151467.0,830.6,874.0,803.6,575230.0,785.15,790.0,775.5,97334.0,824.0333333333334,2.701388531849348,97232.33333333333,819.89,23.48311627531527,207116.6,799.6,33.14255572523032,135422.1,784.6025000000001,29.13835632307577,136892.55,75.17482516431119,-0.005703537406710701,-0.003379179511501129,-0.004468351548269633,0.9747784188912323,0.9946909135278029,0.0012058174107524003,1,7,844.7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0
2022-07-13,824.0,844.7,821.9,819.35,824.0,824.4,874.0,701.0,90577,75305843.65,22.800000000000068,4.649999999999977,0.39999999999997726,20.300000000000068,2.1000000000000227,819.35,840.55,815.0,69958.0,824.05,843.4,818.1,70272.0,828.7,845.95,818.0,151467.0,796.75,807.9,777.25,168656.0,822.5999999999999,2.1226948281230498,76935.66666666667,825.4200000000001,13.720085641131185,191500.8,804.065,32.70862483946529,139487.6,786.025,30.81032070333104,130160.2,82.23246286583453,0.006163422224934267,0.004937243471536679,0.2947339832470912,0.9759677992175021,0.9969674915077669,0.0012027884638139898,2,7,840.0,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45
2022-07-14,828.0,840.0,822.0,824.4,828.95,827.0,874.0,701.0,77435,64281043.15,18.0,3.6000000000000227,1.0,12.0,5.0,824.4,844.7,821.9,90577.0,819.35,840.55,815.0,69958.0,824.05,843.4,818.1,70272.0,830.6,874.0,803.6,575230.0,823.5833333333334,2.569533031507286,79323.33333333333,824.7,2.584714684443289,91941.8,808.72,30.669668784213002,142339.1,788.3199999999999,31.92545294984295,119796.7,82.24155577122433,0.0031538088306648504,-0.005564105599621172,-0.1450920211532729,0.9845238095226375,0.9939540507847715,0.0012046319755468996,3,7,882.0,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0
2022-07-15,838.0,882.0,830.0,827.0,855.0,853.7,882.0,701.0,266091,227841719.2,52.0,11.0,15.700000000000045,28.299999999999955,8.0,827.0,840.0,822.0,77435.0,824.4,844.7,821.9,90577.0,819.35,840.55,815.0,69958.0,828.7,845.95,818.0,151467.0,835.0333333333333,23.012243118247707,144701.0,829.7,17.922527723509674,114866.6,816.655,33.090011920349674,161953.3,792.4775,36.243094714354754,126305.7,85.89430893331283,0.032285368802902115,0.050000000000000044,2.436314328146187,0.9679138321984492,0.9722384912721421,0.0011678765457630027,4,7,933.0,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0,835.0
2022-07-18,867.75,933.0,862.0,853.7,921.15,917.4,933.0,701.0,403434,361934992.8,71.0,14.049999999999955,49.64999999999998,15.600000000000023,5.75,853.7,882.0,830.0,266091.0,827.0,840.0,822.0,77435.0,824.4,844.7,821.9,90577.0,824.05,843.4,818.1,70272.0,866.0333333333333,46.572524088780135,248986.66666666666,848.3700000000001,40.315567712733056,181499.0,830.71,39.63519760123418,197045.4,800.8275000000001,44.516083063492864,134873.4,90.1783187021653,0.07461637577603364,0.05782312925170063,0.5161504898700069,0.9832797427642194,0.9396119468051672,0.0011146587316107667,0,7,987.0,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0,835.0,849.85
2022-07-19,931.0,987.0,931.0,917.4,963.0,961.8,987.0,701.0,559978,540625414.95,56.0,13.600000000000023,30.799999999999955,25.200000000000045,0.0,917.4,933.0,862.0,403434.0,853.7,882.0,830.0,266091.0,827.0,840.0,822.0,77435.0,819.35,840.55,815.0,69958.0,910.9666666666666,52.50714237130036,409834.3333333333,876.8599999999999,62.459410820147454,279503.0,848.375,53.09063529056269,243309.8,810.7774999999999,57.47871064691332,157050.6,91.99538638390801,0.04839764551994774,0.05787781350482324,0.3880287729839329,0.9744680851053956,0.9679767103337825,0.0010357966616345437,1,7,1006.85,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0,835.0,849.85,845.45
2022-07-20,977.9,1006.85,915.0,961.8,917.5,921.1,1006.85,701.0,535219,512418449.55,91.85000000000002,16.100000000000023,56.799999999999955,28.950000000000045,6.100000000000023,961.8,987.0,931.0,559978.0,917.4,933.0,862.0,403434.0,853.7,882.0,830.0,266091.0,824.4,844.7,821.9,90577.0,933.4333333333334,38.218331116538046,499543.6666666667,896.2,69.9422225840725,368431.4,860.8100000000001,63.5440592992154,279966.1,818.385,68.9758584769453,178686.65,77.39045763940229,-0.04231648991474313,0.020111448834853052,-0.04421423698788163,0.9148333912688933,0.9933774834426301,0.0010444959592497561,2,7,941.95,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0,835.0,849.85,845.45,864.9
2022-07-21,929.95,941.95,910.1,921.1,931.85,935.4,1006.85,701.0,213587,198254954.95,31.850000000000023,8.850000000000023,5.449999999999932,6.550000000000068,19.850000000000023,921.1,1006.85,915.0,535219.0,961.8,987.0,931.0,559978.0,917.4,933.0,862.0,403434.0,827.0,840.0,822.0,77435.0,939.4333333333334,33.25541309320943,436261.3333333333,917.8799999999999,48.93515351973394,395661.8,871.29,65.28260275312407,243801.8,827.0825000000001,71.38284678961385,186387.8,80.39252688761844,0.015524915861469868,-0.0644584595520683,-0.6009353180660626,0.9930463400382259,0.9729527474866657,0.0010773349904614831,3,7,945.0,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0,835.0,849.85,845.45,864.9,874.0
2022-07-22,945.0,945.0,905.55,935.4,914.0,915.1,1006.85,701.0,127781,117398791.3,39.450000000000045,9.600000000000023,29.899999999999977,0.0,9.550000000000068,935.4,941.95,910.1,213587.0,921.1,1006.85,915.0,535219.0,961.8,987.0,931.0,559978.0,853.7,882.0,830.0,266091.0,923.8666666666667,36.62133940750948,292195.6666666667,930.1600000000001,32.27087309013996,367999.8,879.93,64.26014597797837,241433.2,834.6375,72.56355558187748,191064.85,74.44739168508485,-0.0217019456916826,0.003237963798503163,-0.40173793348846143,0.9683597883587637,0.9895639820773799,0.0010884353968642606,4,7,940.3,930.0,919.95,884.5,854.6,865.75,874.7,862.95,844.7,839.95,837.0,832.0,856.45,844.0,835.0,849.85,845.45,864.9,874.0,870.0
