date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2021-02-24,74.0,75.0,72.0,73.7,74.9,74.95,78.0,61.15,9208,688063.45,3.0,0.29999999999999716,0.9500000000000028,0.04999999999999716,2.0,73.7,74.75,70.3,7388.0,71.75,78.0,65.7,56297.0,73.0,74.5,72.1,6187.0,74.05,75.0,72.0,6674.0,73.46666666666665,1.8085445345175566,24297.666666666668,73.53999999999999,1.4958275301652464,20273.2,73.41,1.8212022890875412,19695.2,69.91499999999999,3.359247840310619,19739.35,71.39479900711459,0.016960651289009476,0.0033444816053511683,0.2463454250135355,0.9993333333200088,0.9606404269384837,0.013382486745953425,2,2,76.0,80.0,83.45,91.75,96.3,101.1,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9
2021-02-25,74.5,76.0,74.5,74.95,75.5,75.35,78.0,61.15,8597,646905.3,1.5,-0.45000000000000284,0.8499999999999943,0.6500000000000057,0.0,74.95,75.0,72.0,9208.0,73.7,74.75,70.3,7388.0,71.75,78.0,65.7,56297.0,74.3,74.5,73.5,22286.0,74.66666666666667,0.6614378277661054,8397.666666666666,73.75,1.431782106327727,17535.4,73.91999999999999,1.056211784318488,17113.7,70.25,3.457709730290752,19430.05,71.66276341905021,0.005336891260840471,0.01333333333333342,-0.0663553431798436,0.9914473684080072,0.9887193098740714,0.013289425824769075,3,2,80.0,83.45,91.75,96.3,101.1,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9
2021-02-26,76.9,80.0,72.0,75.35,76.0,75.9,80.0,61.15,17158,1286428.85,8.0,1.5500000000000114,1.0,3.0999999999999943,3.9000000000000057,75.35,76.0,74.5,8597.0,74.95,75.0,72.0,9208.0,73.7,74.75,70.3,7388.0,73.0,74.5,72.1,6187.0,75.39999999999999,2.6457513110645965,11654.333333333334,74.33,2.222048604328956,19729.6,74.125,1.7916550387219294,17275.6,70.49499999999999,3.842178487045565,19228.85,74.94089829554744,0.007299270072992803,0.05263157894736836,0.995812492730022,0.9487499999881407,0.9486166007780155,0.013337698388838207,4,2,83.45,91.75,96.3,101.1,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95
2021-03-01,76.0,83.45,72.35,75.9,83.45,83.45,83.45,61.15,47617,3899349.2,11.100000000000009,0.09999999999999432,7.450000000000003,0.0,3.6500000000000057,75.9,80.0,72.0,17158.0,75.35,76.0,74.5,8597.0,74.95,75.0,72.0,9208.0,71.75,78.0,65.7,56297.0,78.23333333333333,3.7283821334908156,24457.333333333332,76.66999999999999,3.779451018335899,17993.6,75.035,2.9539803655406867,20732.6,71.2825,4.516464033779191,21533.55,88.63636358935955,0.09947299077733862,0.04312500000000008,1.775206900571162,0.9999999999880167,0.8669862192826003,0.012211524938571796,0,3,91.75,96.3,101.1,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85
2021-03-02,86.95,91.75,86.8,83.45,91.75,91.75,91.75,61.15,14612,1333447.2,4.950000000000003,3.5,4.799999999999997,0.0,0.15000000000000568,83.45,83.45,72.35,47617.0,75.9,80.0,72.0,17158.0,75.35,76.0,74.5,8597.0,73.7,74.75,70.3,7388.0,83.7,6.039522608065463,26462.333333333332,80.28,6.768991800851896,19438.4,76.82000000000001,5.567337783896343,19602.4,72.55,6.067005244070495,20337.9,91.07142853348218,0.09946075494307971,0.09946075494307971,-0.6931348047966063,0.9999999999891008,0.9460490463112147,0.010958064181318908,1,3,96.3,101.1,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05
2021-03-03,96.3,96.3,96.3,91.75,96.3,96.3,96.3,61.15,11334,1091464.2,0.0,4.549999999999997,0.0,0.0,0.0,91.75,91.75,86.8,14612.0,83.45,83.45,72.35,47617.0,75.9,80.0,72.0,17158.0,74.95,75.0,72.0,9208.0,90.5,6.515558303016011,24521.0,84.55,8.372648923727786,19863.6,79.045,7.79537790403175,20068.4,74.07,7.630207885006869,19654.9,90.63962554543046,0.04959128065395091,0.04959128065395091,-0.22433616205858198,0.9999999999896158,0.9999999999896158,0.010384215991692619,2,3,101.1,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7
2021-03-04,101.1,101.1,101.1,96.3,101.1,101.1,101.1,61.15,5755,581830.5,0.0,4.799999999999997,0.0,0.0,0.0,96.3,96.3,96.3,11334.0,91.75,91.75,86.8,14612.0,83.45,83.45,72.35,47617.0,75.35,76.0,74.5,8597.0,96.38333333333333,4.675557007815731,10567.0,89.7,8.768024292849551,19295.2,81.725,9.823471043034282,18415.3,75.83000000000001,9.264838383002578,18599.4,90.9774435707163,0.049844236760124616,0.049844236760124616,-0.49223575083818594,0.9999999999901088,0.9999999999901088,0.009891196834816995,3,3,106.15,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95
2021-03-05,106.15,106.15,106.15,101.1,106.15,106.15,106.15,61.15,15479,1643095.85,0.0,5.050000000000011,0.0,0.0,0.0,101.1,101.1,101.1,5755.0,96.3,96.3,96.3,11334.0,91.75,91.75,86.8,14612.0,75.9,80.0,72.0,17158.0,101.18333333333334,4.92552873642367,10856.0,95.75,8.723173161183942,18959.4,85.04,11.674402197400362,19344.5,77.8325,11.040262439672441,17289.1,92.06349202939451,0.049950544015826104,0.049950544015826104,1.689661164205039,0.9999999999905793,0.9999999999905793,0.009420631182289207,4,3,111.45,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95
2021-03-08,111.45,111.45,100.85,106.15,111.45,111.35,111.45,61.15,130498,13920248.55,10.600000000000009,5.299999999999997,0.10000000000000853,0.0,10.5,106.15,106.15,106.15,15479.0,101.1,101.1,101.1,5755.0,96.3,96.3,96.3,11334.0,83.45,83.45,72.35,47617.0,106.19999999999999,5.175503196147786,50577.333333333336,101.33,7.790619359203723,35535.6,89.0,13.669561685243107,26764.6,80.13250000000001,12.88016503449352,23201.65,94.00705049785903,0.04898728214790382,0.04992934526613291,7.430647974675367,0.999102736644243,0.9057027391027777,0.009374688931111074,0,3,115.9,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2
2021-03-09,115.75,115.9,107.0,111.35,107.5,107.15,115.9,61.15,36660,4075464.1,8.900000000000006,4.400000000000006,8.599999999999994,0.15000000000000568,0.15000000000000568,111.35,111.45,100.85,130498.0,106.15,106.15,106.15,15479.0,101.1,101.1,101.1,5755.0,91.75,91.75,86.8,14612.0,108.21666666666668,4.881171307517954,60879.0,104.41,7.836979647797979,39945.2,92.345,14.847218220558647,29691.8,82.3375,14.591387149526547,24662.15,85.51502143353628,-0.0377189043556353,0.03992821893225673,-0.7190761544238227,0.9245038826494866,0.9986000933177918,0.008995294548171825,1,3,110.4,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0
2021-03-10,107.95,110.4,106.1,107.15,109.25,108.45,115.9,61.15,12229,1334800.2,4.300000000000011,0.7999999999999972,0.5,1.9500000000000028,1.8500000000000085,107.15,115.9,107.0,36660.0,111.35,111.45,100.85,130498.0,106.15,106.15,106.15,15479.0,96.3,96.3,96.3,11334.0,108.98333333333333,2.919902966424866,59795.666666666664,106.84,5.614824129035538,40124.2,95.695,14.091506504116422,29993.9,84.5525,15.100558546658222,24844.55,85.83420773973394,0.01213252449836677,-0.04745470232959448,-0.6664211674849972,0.9823369565128411,0.9783310281145381,0.009161670787882705,2,3,110.1,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0,106.85
2021-03-12,110.1,110.1,103.05,108.45,105.0,105.45,115.9,61.15,12557,1330148.4,7.049999999999997,1.6499999999999915,4.6499999999999915,0.0,2.4000000000000057,108.45,110.4,106.1,12229.0,107.15,115.9,107.0,36660.0,111.35,111.45,100.85,130498.0,101.1,101.1,101.1,5755.0,107.01666666666667,3.265475973474112,20482.0,107.71,3.489448380475011,41484.6,98.70500000000001,12.402571417967232,30389.9,86.3125,15.548970815492986,23751.8,82.8774062581503,-0.02766251728907332,-0.0027173913043478937,0.026821489901054818,0.9577656675662328,0.9772403982837624,0.009440300044716809,4,3,109.9,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0,106.85,109.9
2021-03-15,109.9,109.9,100.2,105.45,100.2,100.55,115.9,61.15,15327,1556438.5,9.700000000000003,4.450000000000003,9.350000000000009,0.0,0.3499999999999943,105.45,110.1,103.05,12557.0,108.45,110.4,106.1,12229.0,107.15,115.9,107.0,36660.0,106.15,106.15,106.15,15479.0,104.81666666666666,0.25166114784854604,13371.0,106.59,2.5039968051097223,41454.2,101.17,10.29322862641045,30206.8,87.64750000000001,15.964560051300472,23741.2,77.16981130037024,-0.046467520151730723,-0.0018165304268845661,0.22059409094528948,0.9149226569525484,0.9965191446942167,0.009847481927490223,0,3,104.8,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0,106.85,109.9,101.85
2021-03-16,104.8,104.8,99.45,100.55,100.0,100.85,115.9,61.15,5946,595450.0,5.349999999999994,4.25,3.950000000000003,0.0,1.3999999999999915,100.55,109.9,100.2,15327.0,105.45,110.1,103.05,12557.0,108.45,110.4,106.1,12229.0,111.35,111.45,100.85,130498.0,102.28333333333335,3.0038863715753683,11276.666666666666,104.48999999999998,3.9302671664913142,16543.8,102.91,7.462910141344182,26039.7,88.9725,15.905257943936588,23386.15,76.43622198500279,0.002983590253605062,-0.04640582347588729,-0.6120571540418869,0.9623091602961611,0.9861179970155071,0.009985725081870836,1,3,101.0,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0,106.85,109.9,101.85,105.95
2021-03-17,98.05,101.0,96.1,100.85,96.1,97.65,115.9,61.15,5830,576787.8,4.900000000000006,-2.799999999999997,0.3999999999999915,2.950000000000003,1.5500000000000114,100.85,104.8,99.45,5946.0,100.55,109.9,100.2,15327.0,105.45,110.1,103.05,12557.0,107.15,115.9,107.0,36660.0,99.68333333333334,4.465795935030604,9034.333333333334,102.59,4.18724252939802,10377.8,103.5,5.949920634391323,25161.5,90.16,15.618195149787383,22381.95,71.29455908071063,-0.03173029251363402,-0.0362595419847328,-0.019508913555331353,0.9668316831587442,0.9841269841169059,0.010107703387623644,2,3,100.4,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0,106.85,109.9,101.85,105.95,103.95
2021-03-18,99.95,100.4,92.8,97.65,92.8,93.3,115.9,61.15,5286,502567.05,7.6000000000000085,2.299999999999997,6.650000000000006,0.45000000000000284,0.5,97.65,101.0,96.1,5830.0,100.85,104.8,99.45,5946.0,100.55,109.9,100.2,15327.0,108.45,110.4,106.1,12229.0,97.26666666666667,2.3860706890902055,5687.333333333333,99.56,4.661866578957339,8989.2,103.2,5.253369289217062,24556.7,91.1225,15.145621870431906,22312.55,65.67685587913579,-0.044546850998464005,-0.005940594059405835,-0.09331046312178393,0.9292828685166405,0.9946409431833372,0.010517999538569012,3,3,97.35,95.95,99.55,99.55,94.9,96.9,93.95,95.85,96.05,98.7,98.95,100.95,107.2,113.0,106.85,109.9,101.85,105.95,103.95,108.7
