date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2023-09-22,37.2,37.8,35.7,36.6,36.05,36.1,41.6,31.3,3864281,143320134.35,2.0999999999999943,0.6000000000000014,1.1000000000000014,0.5999999999999943,0.3999999999999986,36.6,37.45,34.8,5339885.0,35.05,35.45,34.0,1658734.0,34.75,35.55,32.7,2718743.0,33.15,33.7,32.75,701232.0,35.916666666666664,1.2678722333105887,3620966.6666666665,35.12,1.5356594674601747,2901212.6,34.295,1.4214722414923828,2015888.0,34.5225,1.9646145999446836,1605609.6,60.78431365874663,-0.013661202185792365,0.009345794392523255,-0.2763362881410367,0.95502645500119,0.9889196675626339,0.026962582874525475,4,9,37.2,36.95,35.65,34.75,35.5,35.4,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45
2023-09-25,36.1,37.2,35.5,36.1,36.4,36.4,41.6,31.3,1618168,58942200.7,1.7000000000000028,0.0,0.29999999999999716,0.8000000000000043,0.6000000000000014,36.1,37.8,35.7,3864281.0,36.6,37.45,34.8,5339885.0,35.05,35.45,34.0,1658734.0,33.1,34.1,32.9,924420.0,36.36666666666667,0.30138568866704424,3607444.6666666665,35.78,1.1075874683292826,3039962.2,34.55499999999999,1.5081721829199017,1989895.5,34.4825,1.4938910690929945,1590374.2,64.65863446544411,0.008310249307479145,-0.015873015873015706,-0.5812499142790082,0.9784946236296104,0.9752747252479321,0.02745347104082593,0,9,36.95,35.65,34.75,35.5,35.4,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0
2023-09-26,36.4,36.95,34.75,36.4,35.2,35.1,41.6,31.3,1606635,57288707.75,2.200000000000003,0.0,1.2999999999999972,0.5500000000000043,0.3500000000000014,36.4,37.2,35.5,1618168.0,36.1,37.8,35.7,3864281.0,36.6,37.45,34.8,5339885.0,34.75,35.55,32.7,2718743.0,35.86666666666667,0.43684474740268125,2363028.0,35.85,0.9059525373881736,2817540.6,34.660000000000004,1.5698195225354357,2018737.4,34.455,1.4014348849811495,1611184.05,64.39999992787202,-0.03571428571428559,-0.006720430107526876,-0.007127195692907096,0.9499323409756446,0.9900284900002841,0.028044532039562368,1,9,35.65,34.75,35.5,35.4,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4
2023-09-27,35.2,35.65,33.85,35.1,34.2,34.0,41.6,31.3,984689,33742148.55,1.7999999999999972,0.10000000000000142,1.2000000000000028,0.44999999999999574,0.14999999999999858,35.1,36.95,34.75,1606635.0,36.4,37.2,35.5,1618168.0,36.1,37.8,35.7,3864281.0,35.05,35.45,34.0,1658734.0,35.166666666666664,0.8321658488546646,1403164.0,35.64,0.8226481629469997,2682731.6,34.739999999999995,1.5456120686209447,2013243.3,34.3175,1.3206756643954414,1636224.1,42.187499938476556,-0.031339031339031376,-0.03518267929634655,-0.38711094928219536,0.9537166900153237,0.9955882352648358,0.029182759317796913,2,9,34.75,35.5,35.4,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25
2023-09-28,34.3,34.75,33.8,34.0,34.2,34.0,41.6,31.3,965236,33079927.8,0.9500000000000028,0.29999999999999716,0.29999999999999716,0.45000000000000284,0.20000000000000284,34.0,35.65,33.85,984689.0,35.1,36.95,34.75,1606635.0,36.4,37.2,35.5,1618168.0,36.6,37.45,34.8,5339885.0,34.36666666666667,1.1060440015358128,1185520.0,35.12,1.2412695114277443,1807801.8,34.825,1.4367788045949805,2038202.3,34.230000000000004,1.2742799824544988,1666100.75,43.315507956532926,0.0,-0.02524544179523136,-0.019755476094482582,0.9784172661588946,0.9941176470295848,0.02917890286326441,3,9,35.5,35.4,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5
2023-09-29,34.25,35.5,33.9,34.0,34.2,34.15,41.6,31.3,2694566,93182103.9,1.6000000000000014,0.25,0.10000000000000142,1.25,0.25,34.0,34.75,33.8,965236.0,34.0,35.65,33.85,984689.0,35.1,36.95,34.75,1606635.0,36.1,37.8,35.7,3864281.0,34.050000000000004,0.48218253804966926,1548163.6666666667,34.730000000000004,1.0340454535464458,1573858.8,34.925,1.2346389485729754,2237535.7,34.2475,1.2558389940384065,1759426.5,52.173912952741034,0.004411764705882337,0.021582733812949728,1.7916136571781407,0.9619718309588178,0.9926793557542408,0.028917204991333104,4,9,35.4,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75
2023-10-03,34.7,35.4,34.25,34.15,34.65,34.5,41.6,31.3,1807039,62843860.45,1.1499999999999986,0.5500000000000043,0.20000000000000284,0.6999999999999957,0.25,34.15,35.5,33.9,2694566.0,34.0,34.75,33.8,965236.0,34.0,35.65,33.85,984689.0,36.4,37.2,35.5,1618168.0,34.21666666666667,0.4072263907623815,1822280.3333333333,34.35,0.8038967595407246,1611633.0,35.065,1.0643725329455562,2325797.6,34.305,1.236548677399711,1814403.7,52.76073610568711,0.01024890190336758,-0.0028169014084507005,-0.32937660461833185,0.9745762711589104,0.9927536231596304,0.028754423853985245,1,10,35.0,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75
2023-10-04,35.0,35.0,33.55,34.5,34.15,34.1,41.6,31.3,957921,32769065.05,1.4500000000000028,0.5,0.8999999999999986,0.0,0.5500000000000043,34.5,35.4,34.25,1807039.0,34.15,35.5,33.9,2694566.0,34.0,34.75,33.8,965236.0,35.1,36.95,34.75,1606635.0,34.25,0.26457513110650166,1819842.0,34.15,0.37316216314101214,1481890.2,35.0,1.1130663352499326,2149715.4,34.3725,1.2184194895977352,1811321.55,55.84415574262101,-0.011594202898550732,-0.011299435028248594,-0.4698946729982031,0.9742857142578777,0.9838709677130829,0.0292324788192271,2,10,36.8,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75,39.0
2023-10-05,34.45,36.8,34.3,34.1,36.5,36.15,41.6,31.3,4489025,160093048.9,2.5,0.3500000000000014,1.6999999999999957,0.6499999999999986,0.15000000000000568,34.1,35.0,33.55,957921.0,34.5,35.4,34.25,1807039.0,34.15,35.5,33.9,2694566.0,34.0,35.65,33.85,984689.0,34.916666666666664,0.9451631252505309,2417995.0,34.58,0.7924645102464037,2182757.4,35.11,1.1052903087726398,2432744.5,34.605000000000004,1.1588787684654585,1974344.25,65.46391743128922,0.06011730205278587,0.05142857142857138,3.686216295498272,0.9823369564950453,0.9488243429889676,0.028040099372484372,3,10,39.2,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75,39.0,40.15
2023-10-06,36.95,39.2,36.5,36.15,38.8,38.85,41.6,31.3,6982871,265765321.9,2.700000000000003,0.8000000000000043,1.8999999999999986,0.3500000000000014,0.45000000000000284,36.15,36.8,34.3,4489025.0,34.1,35.0,33.55,957921.0,34.5,35.4,34.25,1807039.0,34.0,34.75,33.8,965236.0,36.36666666666667,2.107130750570549,4143272.3333333335,35.55,1.7152259326397954,3386284.4,35.334999999999994,1.4122971830791797,2597043.1,34.7725,1.4026853944450564,2197706.5,72.98387088534082,0.0746887966804981,0.0652173913043479,0.555542907424218,0.9910714285461462,0.9395109394867566,0.026274575441514743,4,10,39.5,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75,39.0,40.15,46.9
2023-10-09,38.25,39.5,36.75,38.85,36.9,36.9,41.6,31.3,2461660,93573261.35,2.75,-0.6000000000000014,1.3500000000000014,1.25,0.14999999999999858,38.85,39.2,36.5,6982871.0,36.15,36.8,34.3,4489025.0,34.1,35.0,33.55,957921.0,34.15,35.5,33.9,2694566.0,37.300000000000004,1.4798648586948633,4644518.666666667,36.1,2.0933227175951736,3339703.2,35.415,1.674224530275982,2456781.0,34.855000000000004,1.6244918233744747,2236334.5,63.28671322475426,-0.050193050193050315,0.007653061224489832,-0.6474716488389947,0.9341772151662234,0.9959349593226036,0.026307301514184107,0,10,38.95,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75,39.0,40.15,46.9,46.8
2023-10-10,37.55,38.95,37.5,36.9,38.95,38.55,41.6,31.3,2109164,80560293.15,1.4500000000000028,0.6499999999999986,1.0,0.4000000000000057,0.04999999999999716,36.9,39.5,36.75,2461660.0,38.85,39.2,36.5,6982871.0,36.15,36.8,34.3,4489025.0,34.5,35.4,34.25,1807039.0,38.1,0.2753785273642095,3851231.6666666665,36.910000000000004,1.9346834366376406,3400128.2,35.63,1.8288126081027576,2505880.6,35.0925,1.7520270215411973,2247888.05,63.28671322475426,0.04471544715447151,-0.013924050632911356,-0.14319442977502983,0.9897304235946154,0.9727626458891633,0.026181185761983538,1,10,42.0,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75,39.0,40.15,46.9,46.8,43.85
2023-10-11,39.3,42.0,38.75,38.55,40.75,40.8,42.0,31.3,4680859,190211251.75,3.25,0.75,1.5,1.2000000000000028,0.5499999999999972,38.55,38.95,37.5,2109164.0,36.9,39.5,36.75,2461660.0,38.85,39.2,36.5,6982871.0,34.1,35.0,33.55,957921.0,38.74999999999999,1.6255768207008647,3083894.3333333335,38.25,1.8514858897652997,4144715.8,36.2,2.469171025983338,2813303.0,35.42999999999999,2.171724696616656,2416020.2,67.69230763398816,0.05836575875486383,0.07830551989730417,1.2192958916423757,0.9714285714054421,0.9497549019375061,0.0246087387414504,2,10,43.35,43.25,42.9,44.4,46.6,45.25,46.1,45.45,42.0,39.4,40.25,39.5,39.75,38.75,39.0,40.15,46.9,46.8,43.85,43.05
