date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2021-12-01,73.94,73.94,57.01,70.73,70.1,70.1,82.0,57.01,2463,159096.7,16.93,3.2099999999999937,3.8400000000000034,0.0,13.089999999999996,70.73,74.3,70.1,260.0,70.58,75.93,68.36,8339.0,71.34,72.1,70.61,10062.0,72.36,74.2,58.05,7071.0,70.46999999999998,1.0603930089043816,3687.3333333333335,71.018,1.6122902964416925,4576.0,72.039,1.2148708207505574,11998.3,72.23,2.09493442932181,8788.75,36.27232137189589,-0.008907111550968572,-0.004845222072678346,8.473076923076922,0.9480659994461986,0.8132667617573001,0.015481150771826093,2,12,72.5,72.5,72.05,70.4,73.0,71.5,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2
2021-12-02,69.0,72.5,68.9,70.1,70.75,70.75,82.0,57.01,686,48458.26,3.5999999999999943,-1.0999999999999943,1.75,1.75,0.09999999999999432,70.1,73.94,57.01,2463.0,70.73,74.3,70.1,260.0,70.58,75.93,68.36,8339.0,72.34,76.0,71.15,1756.0,70.52666666666666,0.9524704719831936,1136.3333333333333,70.7,1.531006205082145,4362.0,71.66,1.3835722685216845,11823.7,72.1965,2.155290675230801,8613.55,42.39130428331757,0.009272467902995851,-0.01947525020286711,-0.7214778725131953,0.9758620689520571,0.9738515900922424,0.014156513254912287,3,12,72.5,72.05,70.4,73.0,71.5,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5
2021-12-03,72.5,72.5,69.62,70.75,71.15,71.15,82.0,57.01,350,24909.66,2.8799999999999955,1.75,1.3499999999999943,0.0,1.5300000000000011,70.75,72.5,68.9,686.0,70.1,73.94,57.01,2463.0,70.73,74.3,70.1,260.0,71.34,72.1,70.61,10062.0,70.66666666666667,0.8313843876329738,1166.3333333333333,70.662,1.430097898746805,2419.6,71.42999999999999,1.4830763822391502,10009.1,72.1985,2.1253083986738694,8267.45,37.79342716794511,0.005653710247349952,0.0,-0.4897959183673469,0.9813793103312913,0.9784961349124596,0.014050773876479484,4,12,72.05,70.4,73.0,71.5,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0
2021-12-06,70.6,72.05,69.55,71.15,70.19,70.07,82.0,57.01,760,53454.79,2.5,-0.5500000000000114,0.5300000000000011,1.4500000000000028,0.519999999999996,71.15,72.5,69.62,350.0,70.75,72.5,68.9,686.0,70.1,73.94,57.01,2463.0,70.58,75.93,68.36,8339.0,70.65666666666668,0.2598076211349827,598.6666666666666,70.56,0.9948969795913551,903.8,71.225,1.4572535049804372,9946.9,72.125,1.3499328443335694,8201.9,29.189789077840615,-0.01517919887561503,-0.006206896551724128,1.1714285714285713,0.9725190839559678,0.9925788497075413,0.014217622031626834,0,12,70.4,73.0,71.5,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3
2021-12-07,70.4,70.4,68.9,70.07,69.29,69.21,82.0,57.01,2550,175852.81,1.5,0.3300000000000125,1.190000000000012,0.0,0.30999999999998806,70.07,72.05,69.55,760.0,71.15,72.5,69.62,350.0,70.75,72.5,68.9,686.0,70.73,74.3,70.1,260.0,70.14333333333333,1.1056672193747012,1220.0,70.256,1.2688262292370773,1361.8,70.86300000000001,1.7961180362103055,3429.7,71.978,1.5778775717966647,6846.5,24.661810578016187,-0.012273440844869365,-0.022900763358778553,2.3552631578947367,0.9830965908951262,0.995520878471384,0.014500763450979177,1,12,73.0,71.5,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0
2021-12-08,73.0,73.0,68.92,69.21,70.1,70.1,82.0,57.01,753,52760.22,4.079999999999998,3.7900000000000063,2.9000000000000057,0.0,1.1799999999999926,69.21,70.4,68.9,2550.0,70.07,72.05,69.55,760.0,71.15,72.5,69.62,350.0,70.1,73.94,57.01,2463.0,69.79333333333332,1.315611391457643,1354.3333333333333,70.256,1.0027462291128189,1019.8,70.637,1.7761118583392455,2797.9,71.8755,1.568457086304543,6811.0,27.888446176251193,0.012859413379569418,0.03693181818181812,-0.7047058823529412,0.9602739725895851,0.9831669044082287,0.014272116378589508,2,12,71.5,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0
2021-12-09,70.6,71.5,70.16,70.1,71.0,70.75,82.0,57.01,343,24300.02,1.3400000000000034,0.5,0.15000000000000568,0.75,0.4399999999999977,70.1,73.0,68.92,753.0,69.21,70.4,68.9,2550.0,70.07,72.05,69.55,760.0,70.75,72.5,68.9,686.0,70.02,1.3051181300300418,1215.3333333333333,70.256,1.0002499687577957,951.2,70.478,1.5657500864867444,2656.6,71.785,1.6586706789030239,6732.5,35.93749994759119,0.009272467902995851,-0.020547945205479423,-0.5444887118193891,0.9895104894966501,0.9916607773711426,0.014115214719987303,3,12,73.4,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6
2021-12-10,73.4,73.4,69.99,70.75,71.5,71.17,82.0,57.01,647,45982.94,3.410000000000011,2.6500000000000057,2.230000000000004,0.0,1.1800000000000068,70.75,71.5,70.16,343.0,70.1,73.0,68.92,753.0,69.21,70.4,68.9,2550.0,71.15,72.5,69.62,350.0,70.67333333333333,1.0016652800876913,581.0,70.25999999999999,1.198749348279272,1010.6,70.461,1.5530600617991182,1715.1,71.736,1.659833219269171,6534.0,44.53394699384636,0.005936395759717383,0.02657342657342676,0.8862973760932944,0.969618528597144,0.9834199803149721,0.014070435687669948,4,12,72.95,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0
2021-12-13,71.17,72.95,70.0,71.17,71.95,71.51,82.0,57.01,2256,161271.96,2.950000000000003,0.0,0.3400000000000034,1.4399999999999977,1.1700000000000017,71.17,73.4,69.99,647.0,70.75,71.5,70.16,343.0,70.1,73.0,68.92,753.0,70.07,72.05,69.55,760.0,71.14333333333333,0.9928914005736749,1082.0,70.548,1.2609520212918433,1309.8,70.554,1.1523618258939636,1106.8,71.65,1.666289290609522,6565.95,42.067307621521444,0.00477729380356906,-0.006130790190735702,2.4868624420401853,0.9802604523511959,0.9788840721440513,0.013988792596059391,0,12,72.5,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25
2021-12-14,72.5,72.5,69.23,71.51,70.64,70.44,82.0,57.01,3178,221814.17,3.269999999999996,0.9899999999999949,2.0600000000000023,0.0,1.2099999999999937,71.51,72.95,70.0,2256.0,71.17,73.4,69.99,647.0,70.75,71.5,70.16,343.0,69.21,70.4,68.9,2550.0,71.04,0.44999999999980855,2027.0,70.79400000000001,0.7276675064890614,1435.4,70.525,0.9967636519143601,1398.6,71.481,1.6884293542255497,6625.3,39.23766809985125,-0.014962942245839828,-0.006168608636052175,0.4086879432624113,0.9715862068831504,0.9828222600655477,0.014327308304965303,1,12,70.99,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2
2021-12-15,70.99,70.99,70.05,70.44,70.05,70.05,82.0,57.01,594,41707.01,0.9399999999999977,0.5499999999999972,0.9399999999999977,0.0,0.0,70.44,72.5,69.23,3178.0,71.51,72.95,70.0,2256.0,71.17,73.4,69.99,647.0,70.1,73.0,68.92,753.0,70.66666666666667,1.026661255396895,2009.3333333333333,70.78399999999999,1.0029307054826848,1403.6,70.52000000000001,0.9501280615439018,1211.7,71.2795,1.633757293705773,6605.0,37.674919211254206,-0.005536626916524678,-0.02082758620689662,-0.8130899937067337,0.9867586983943265,0.9999999999857244,0.014242210122470678,2,12,76.0,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6
2021-12-16,76.0,76.0,70.06,70.05,70.35,70.34,82.0,57.01,320,22514.05,5.939999999999998,5.950000000000003,5.659999999999997,0.0,0.28000000000000114,70.05,70.99,70.05,594.0,70.44,72.5,69.23,3178.0,71.51,72.95,70.0,2256.0,70.75,71.5,70.16,343.0,70.27666666666666,2.5700259402062815,1364.0,70.702,1.824245049328636,1399.0,70.479,1.54188520973511,1175.1,71.0695,1.714471224298425,6499.4,44.172494100417886,0.004139900071377767,0.07057332018594176,-0.4612794612794613,0.9255263157772957,0.9960193346460616,0.014213346776789862,3,12,73.85,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3
2021-12-17,73.85,73.85,68.7,70.34,69.0,69.11,82.0,57.01,306,21178.84,5.1499999999999915,3.509999999999991,4.739999999999995,0.0,0.4099999999999966,70.34,76.0,70.06,320.0,70.05,70.99,70.05,594.0,70.44,72.5,69.23,3178.0,71.17,73.4,69.99,647.0,69.83333333333333,2.513370910417562,406.6666666666667,70.29,1.8494783048200483,1330.8,70.275,1.5971725016415412,1170.7,70.85249999999999,1.6794140582201098,5589.9,41.87845297388975,-0.017486494171168654,-0.028289473684210642,-0.043749999999999956,0.9358158429121758,0.9940674287224126,0.014448383386435969,4,12,70.34,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0
2021-12-20,69.9,70.34,67.01,69.11,69.99,67.43,82.0,57.01,1054,71381.67,3.3299999999999983,0.7900000000000063,2.469999999999999,0.4399999999999977,0.4200000000000017,69.11,73.85,68.7,306.0,70.34,76.0,70.06,320.0,70.05,70.99,70.05,594.0,71.51,72.95,70.0,2256.0,68.96,2.857102261616338,560.0,69.474,2.277044136594638,1090.4,70.011,1.75404960021086,1200.1,70.61800000000001,1.695039512037515,5573.5,34.40453681647803,-0.02430907249312675,-0.047528774542992425,2.4444444444444446,0.9586295137765336,0.9937713183895331,0.014765695450946793,0,12,70.0,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4
2021-12-21,70.0,70.0,67.0,67.43,68.34,68.07,82.0,57.01,794,54257.81,3.0,2.569999999999993,1.9300000000000068,0.0,1.0699999999999932,67.43,70.34,67.01,1054.0,69.11,73.85,68.7,306.0,70.34,76.0,70.06,320.0,70.44,72.5,69.23,3178.0,68.20333333333333,2.1314392633460555,718.0,69.0,2.59421086267096,613.6,69.897,1.8107276008401483,1024.5,70.38,1.820230971463135,2227.1,40.41548625440826,0.009491324336348583,-0.0048336650554450244,-0.24667931688804556,0.9724285714146794,0.9842808873074147,0.014633837967289603,1,12,72.5,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4,73.3
2021-12-22,72.5,72.5,67.11,68.07,68.65,68.54,82.0,57.01,654,44902.24,5.390000000000001,4.430000000000007,3.9599999999999937,0.0,1.4300000000000068,68.07,70.0,67.0,794.0,67.43,70.34,67.01,1054.0,69.11,73.85,68.7,306.0,70.05,70.99,70.05,594.0,68.01333333333334,1.355925268343793,834.0,68.69800000000001,2.499043817142871,625.6,69.74100000000001,1.8008211090129234,1014.6,70.189,1.7969795564545883,1906.25,39.38520647921304,0.006904656970765588,0.03571428571428581,-0.17632241813602012,0.9453793103317879,0.9791362707764933,0.01456497493220796,2,12,72.0,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4,73.3,71.5
2021-12-23,68.8,72.0,67.6,68.54,69.15,69.14,82.0,57.01,2173,151489.95,4.400000000000006,0.2599999999999909,0.3400000000000034,2.8599999999999994,1.2000000000000028,68.54,72.5,67.11,654.0,68.07,70.0,67.0,794.0,67.43,70.34,67.01,1054.0,70.34,76.0,70.06,320.0,68.58333333333333,1.3228756555322474,1207.0,68.458,1.5878350040227671,996.2,69.58000000000001,1.77978182183469,1197.6,70.029,1.64242399487687,1927.1,40.52780390505285,0.008754012255617116,-0.006896551724137945,2.3226299694189603,0.9602777777644406,0.9777263523144673,0.014344185868435402,3,12,81.95,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4,73.3,71.5,71.8
2021-12-24,73.85,81.95,67.6,69.14,68.65,68.68,82.0,57.01,1012,70557.03,14.350000000000009,4.709999999999994,5.1699999999999875,8.100000000000009,1.0800000000000125,69.14,72.0,67.6,2173.0,68.54,72.5,67.11,654.0,68.07,70.0,67.0,794.0,69.11,73.85,68.7,306.0,68.78666666666668,5.60587489454888,1279.6666666666667,68.372,4.91902632641868,1137.4,69.33099999999999,3.5038797544055797,1234.1,69.896,2.644121583318054,1474.6,43.04304298272254,-0.006653167486259659,0.1381944444444445,-0.5342843994477681,0.8380719951087484,0.9842748980637116,0.01434300735164144,4,12,82.25,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4,73.3,71.5,71.8,71.8
2021-12-27,82.25,82.25,67.0,68.68,68.8,68.93,82.25,57.01,831,58568.68,15.25,13.569999999999993,13.319999999999993,0.0,1.9300000000000068,68.68,81.95,67.6,1012.0,69.14,72.0,67.6,2173.0,68.54,72.5,67.11,654.0,67.43,70.34,67.01,1054.0,68.91666666666667,5.833166664285665,1338.6666666666667,68.672,5.881687682969926,1092.8,69.07300000000001,4.492917389254642,1091.6,69.8135,3.29412139871524,1099.2,48.50746261416804,0.003640069889341957,0.0036607687614398365,-0.17885375494071143,0.8380547112360115,0.9720005802847524,0.014188470697990561,0,12,72.0,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4,73.3,71.5,71.8,71.8,70.97
2021-12-28,72.0,72.0,66.65,68.93,69.1,69.1,82.25,57.01,483,33542.3,5.349999999999994,3.069999999999993,2.9000000000000057,0.0,2.4499999999999886,68.93,82.25,67.0,831.0,68.68,81.95,67.6,1012.0,69.14,72.0,67.6,2173.0,68.07,70.0,67.0,794.0,68.90333333333334,5.833166664285665,775.3333333333334,68.878,5.445571595342418,1030.6,68.93900000000001,4.51712494600026,822.1,69.732,3.302874186937311,1110.35,44.22632787307522,0.002466270129116266,-0.12462006079027355,-0.41877256317689526,0.9597222222088926,0.9645441389151297,0.01439972810451238,1,12,82.2,71.5,71.0,74.3,73.0,73.0,72.6,74.0,82.25,74.2,73.6,73.3,73.0,73.4,73.3,71.5,71.8,71.8,70.97,70.5
