date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2025-04-07,88.61,88.61,88.61,93.28,88.61,88.61,1899.95,81.5,23369,2070727.09,0.0,-4.670000000000002,0.0,0.0,0.0,93.28,97.13,92.61,56090.0,97.13,98.09,92.02,94048.0,94.47,95.5,91.23,44082.0,89.53,93.19,88.73,100415.0,93.00666666666666,5.2182755772425935,57835.666666666664,92.94399999999999,3.8842335151695915,54023.4,93.43299999999999,4.236655389450381,129890.8,292.4975,488.37546984714646,128188.8,18.512373838529314,-0.050064322469982825,-0.08771749202100276,-0.5833660188981993,0.9999999999887146,0.9999999999887146,0.01128540796749802,0,4,92.99,93.3,92.4,95.25,98.0,97.99,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59
2025-04-08,89.02,92.99,88.5,88.61,90.9,91.82,1899.95,81.5,64932,5852949.5,4.489999999999995,0.4099999999999966,2.799999999999997,1.1700000000000017,0.519999999999996,88.61,88.61,88.61,23369.0,93.28,97.13,92.61,56090.0,97.13,98.09,92.02,94048.0,91.23,92.26,89.56,52528.0,91.23666666666666,4.26056334303889,48130.333333333336,93.062,3.8003526152669918,56504.2,92.71900000000001,4.202147731294752,117298.2,295.11600000000004,487.0153823140767,131431.1,23.78223495224998,0.03622615957566855,0.04943008689764139,1.778552783602208,0.9874180019250735,0.9638423001419751,0.011093893770995289,1,4,93.3,92.4,95.25,98.0,97.99,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39
2025-04-09,92.51,93.3,87.51,91.82,88.4,88.02,1899.95,81.5,66288,5880666.53,5.789999999999992,0.6900000000000119,4.490000000000009,0.789999999999992,0.5099999999999909,91.82,92.99,88.5,64932.0,88.61,88.61,88.61,23369.0,93.28,97.13,92.61,56090.0,94.47,95.5,91.23,44082.0,89.48333333333333,2.6228673876847504,51529.666666666664,91.772,3.7777083000632627,60945.4,91.725,3.0010148283655727,82178.3,297.3495,485.7404484514771,134743.15,24.713413721215005,-0.04138531910259202,0.0033336917948165734,0.020883385695804835,0.9434083601185057,0.9942058622927267,0.011272191623489317,2,4,92.4,95.25,98.0,97.99,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42
2025-04-11,92.4,92.4,88.02,88.02,91.5,91.1,1899.95,81.5,54222,4909625.95,4.38000000000001,4.38000000000001,1.3000000000000114,0.0,3.0799999999999983,88.02,93.3,87.51,66288.0,91.82,92.99,88.5,64932.0,88.61,88.61,88.61,23369.0,97.13,98.09,92.02,94048.0,90.31333333333332,0.45720163317735835,61814.0,90.566,3.029608885709076,52980.2,91.511,2.6960631792924845,75777.8,232.142,411.7665029431761,137096.9,30.658981143024974,0.03499204726198579,-0.009646302250803762,-0.18202389572773348,0.9859307359200655,0.9661909988916993,0.011044018536687095,4,4,95.25,98.0,97.99,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0
2025-04-15,94.79,95.25,92.0,91.1,94.89,94.7,1899.95,81.5,52463,4948466.29,3.25,3.690000000000012,0.09000000000000341,0.45999999999999375,2.700000000000003,91.1,92.4,88.02,54222.0,88.02,93.3,87.51,66288.0,91.82,92.99,88.5,64932.0,93.28,97.13,92.61,56090.0,91.27333333333333,1.4568802284493385,57657.666666666664,90.85,2.428178329605877,52254.8,91.989,2.7280347016494066,60843.7,165.17950000000002,298.95873519161205,138990.95,28.209677412984917,0.03951701427003296,0.030844155844155674,-0.032440706724207846,0.9942257217743389,0.971488912344546,0.010601870746501537,1,4,98.0,97.99,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01
2025-04-16,95.66,98.0,95.21,94.7,96.31,96.49,1899.95,81.5,60352,5826168.4,2.7900000000000063,0.9599999999999937,0.8299999999999983,1.5100000000000051,0.45000000000000284,94.7,95.25,92.0,52463.0,91.1,92.4,88.02,54222.0,88.02,93.3,87.51,66288.0,88.61,88.61,88.61,23369.0,94.09666666666665,2.8001488055779653,55679.0,92.426,2.2847253665083445,59651.4,92.685,3.004463531344847,56837.4,100.934,17.72405680067872,141267.2,46.990007295689495,0.01890179514255541,0.028871391076115582,0.15037264357737845,0.9845918367246469,0.9867343766091125,0.010358780566658524,2,4,97.99,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89
2025-04-17,97.99,97.99,92.61,96.49,94.75,95.42,1899.95,81.5,99077,9490406.01,5.3799999999999955,1.5,2.569999999999993,0.0,2.8100000000000023,96.49,98.0,95.21,60352.0,94.7,95.25,92.0,52463.0,91.1,92.4,88.02,54222.0,91.82,92.99,88.5,64932.0,95.53666666666668,1.5848343762192185,70630.66666666667,93.146,2.593254711817989,66480.4,93.104,3.1056407462091444,61492.3,98.99699999999999,14.754529581043794,141524.35,46.909975653120696,-0.011089232044771413,-0.00010204081632658735,0.641652306468717,0.9737728339527119,0.9705512471078331,0.010439700882723349,3,4,99.7,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49
2025-04-21,96.55,99.7,95.59,95.42,99.55,99.44,1899.95,81.5,117533,11550304.94,4.109999999999999,1.1299999999999955,2.8900000000000006,0.2600000000000051,0.9599999999999937,95.42,97.99,92.61,99077.0,96.49,98.0,95.21,60352.0,94.7,95.25,92.0,52463.0,88.02,93.3,87.51,66288.0,97.11666666666667,0.9843949072294684,92320.66666666667,95.43,2.869733437161994,76729.4,93.601,3.4561159960058974,68837.4,97.548,12.199729548339722,130040.95,57.673267306746894,0.042129532592747765,0.01745076028166137,0.18627935847875898,0.9973921765195848,0.961283185831041,0.010175748658632383,0,4,109.38,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69
2025-04-22,100.74,109.38,100.68,99.44,107.25,107.34,1899.95,81.5,446450,47984403.81,8.699999999999989,1.2999999999999972,6.6000000000000085,2.039999999999992,0.05999999999998806,99.44,99.7,95.59,117533.0,95.42,97.99,92.61,99077.0,96.49,98.0,95.21,60352.0,91.1,92.4,88.02,54222.0,100.73333333333333,6.142184736181327,221020.0,98.678,5.446478678959823,155175.0,94.622,5.619211589623493,104077.6,96.8155,9.651980489434427,139619.35,69.36416182812144,0.079444891391794,0.09709127382146421,2.798507653169748,0.9813494240173584,0.9379541643288806,0.009304064749200017,1,4,114.4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01
2025-04-23,111.78,114.4,102.3,107.34,102.8,104.38,1899.95,81.5,395546,42064930.23,12.100000000000009,4.439999999999998,7.400000000000006,2.6200000000000045,2.0799999999999983,107.34,109.38,100.68,446450.0,99.44,99.7,95.59,117533.0,95.42,97.99,92.61,99077.0,94.7,95.25,92.0,52463.0,103.71999999999998,7.472090292105575,319843.0,100.614,7.544175236588964,223791.6,95.732,7.994659050478857,138023.2,96.238,8.06956744096066,137195.7,65.61514193651709,-0.027575926961058372,0.045895044797952256,-0.11401948706462095,0.9124125874046116,0.9800728108739215,0.009403224915321582,2,4,105.0,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89
2025-04-24,103.25,105.0,96.93,104.38,99.72,99.61,1899.95,81.5,200094,20017844.53,8.069999999999993,-1.1299999999999955,3.6400000000000006,1.75,2.6799999999999926,104.38,114.4,102.3,395546.0,107.34,109.38,100.68,446450.0,99.44,99.7,95.59,117533.0,96.49,98.0,95.21,60352.0,103.77666666666666,4.7036298040320155,347363.3333333333,101.238,6.78863609279224,251740.0,96.832,7.472722915902073,155695.7,95.1325,6.223150221890234,142793.25,58.27736071086758,-0.04569840965702243,-0.08216783216783219,-0.4941321616196346,0.9486666666576317,0.9730950707662575,0.009995781498858509,3,4,103.0,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84
2025-04-25,101.65,103.0,94.5,99.61,96.4,96.55,1899.95,81.5,179260,17386133.94,8.5,2.0400000000000063,5.1000000000000085,1.3499999999999943,2.049999999999997,99.61,105.0,96.93,200094.0,104.38,114.4,102.3,395546.0,107.34,109.38,100.68,446450.0,95.42,97.99,92.61,99077.0,100.18,6.087144924624224,258300.0,101.464,5.727921088873433,267776.6,97.30499999999999,7.1149089164204415,167128.5,95.01199999999999,6.322519879888151,142213.35,52.061855655652934,-0.030719807248268283,-0.01904761904761909,-0.10412106310034286,0.9373786407675982,0.978767477980541,0.010310515300217454,4,4,101.31,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0
2025-04-28,96.63,101.31,94.43,96.55,96.7,95.9,1899.95,81.5,141314,13683967.2,6.8799999999999955,0.0799999999999983,0.7299999999999898,4.680000000000007,1.4699999999999989,96.55,103.0,94.5,179260.0,99.61,105.0,96.93,200094.0,104.38,114.4,102.3,395546.0,99.44,99.7,95.59,117533.0,97.35333333333334,1.8471690050936813,173556.0,100.756,5.293176739951243,272532.8,98.09299999999999,6.604027474879184,174631.1,94.909,6.224298734543839,128404.7,48.730125940899825,-0.006732263076126288,-0.016407766990291228,-0.21168135668860877,0.9465995459387365,0.9846715328364476,0.010326975937212126,0,4,99.97,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33
2025-04-29,97.3,99.97,96.0,95.9,96.1,96.69,1899.95,81.5,77366,7567724.43,3.969999999999999,1.3999999999999915,0.6099999999999994,2.6700000000000017,0.6899999999999977,95.9,101.31,94.43,141314.0,96.55,103.0,94.5,179260.0,99.61,105.0,96.93,200094.0,107.34,109.38,100.68,446450.0,96.38,1.5183653491103417,132646.66666666666,98.626,5.721200048972399,198716.0,98.652,5.813337155968091,176945.5,95.0815,6.239225892436019,126361.65,53.75798984455341,0.008237747653806027,-0.013226729839107776,-0.4525241660415812,0.9671901570374393,0.9928637914883353,0.010223152377656013,1,4,98.0,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36
2025-04-30,96.13,98.0,94.1,96.69,94.27,94.37,1899.95,81.5,227352,21773038.42,3.9000000000000057,-0.5600000000000023,1.759999999999991,1.8700000000000045,0.27000000000001023,96.69,99.97,96.0,77366.0,95.9,101.31,94.43,141314.0,96.55,103.0,94.5,179260.0,104.38,114.4,102.3,395546.0,95.65333333333332,1.6649624620530703,148677.33333333334,96.624,2.698023350596375,165077.2,98.619,5.493786894712492,194434.4,95.304,6.1818020494795265,127639.05,56.694560651005965,-0.02399420829454957,-0.019705911773532092,1.9386552232246723,0.9629591836636433,0.9971389212567855,0.010441905057732405,2,4,96.65,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4
2025-05-02,94.99,96.65,92.1,94.37,95.2,94.15,1899.95,81.5,167922,15795937.68,4.550000000000011,0.6199999999999903,0.8399999999999892,1.6600000000000108,2.0500000000000114,94.37,98.0,94.1,227352.0,96.69,99.97,96.0,77366.0,95.9,101.31,94.43,141314.0,99.61,105.0,96.93,200094.0,95.07000000000001,1.6696207154258937,157546.66666666666,95.53200000000001,2.535277105241962,158642.8,98.385,5.636172854385741,205191.4,95.535,6.079621071121369,131014.4,52.91031724354875,-0.002331249337713226,-0.01377551020408152,-0.2614008233928006,0.9741334712780741,0.9782262347214207,0.010630707932749959,4,5,98.37,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4,114.19
2025-05-05,96.38,98.37,86.2,94.15,88.65,88.78,1899.95,81.5,776424,70836032.48,12.170000000000002,2.2299999999999898,7.599999999999994,1.990000000000009,2.5799999999999983,94.15,96.65,92.1,167922.0,94.37,98.0,94.1,227352.0,96.69,99.97,96.0,77366.0,96.55,103.0,94.5,179260.0,92.43333333333334,0.905336033403798,390566.0,93.978,1.809585588018563,278075.6,97.721,5.6032724565464855,272926.1,95.4125,5.903346597704851,167209.2,50.91346152132721,-0.05703664365374406,0.0177961717537507,3.6237181548576123,0.9025109281193198,0.9709394007550017,0.010960862329764407,0,5,95.69,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4,114.19,113.5
2025-05-06,89.22,95.69,89.22,88.78,93.38,93.15,1899.95,81.5,520633,48608293.34,6.469999999999999,0.4399999999999977,3.930000000000007,2.539999999999992,0.0,88.78,98.37,86.2,776424.0,94.15,96.65,92.1,167922.0,94.37,98.0,94.1,227352.0,95.9,101.31,94.43,141314.0,92.02666666666669,1.357841424239001,488326.3333333333,93.42800000000001,1.6452902480611158,353939.4,97.092,5.96399949698776,313236.1,95.3465,5.8979883055694025,191036.75,52.389834443146256,0.04922279792746109,-0.027244078479211176,-0.3294475698844961,0.9734559514999117,0.9578099838866578,0.010710785428287574,1,5,92.9,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4,114.19,113.5,111.89
2025-05-07,92.1,92.9,89.22,93.15,90.8,90.47,1899.95,81.5,154530,14006104.49,3.680000000000007,-1.0500000000000114,1.6299999999999955,0.8000000000000114,1.25,93.15,95.69,89.22,520633.0,88.78,98.37,86.2,776424.0,94.15,96.65,92.1,167922.0,96.69,99.97,96.0,77366.0,90.8,2.735184332614439,483862.3333333333,92.184,2.192434719750092,369372.2,95.405,6.029041659617519,284044.1,95.01350000000001,6.041516540179712,194060.85,44.96068618943412,-0.028770799785292622,-0.02915665168774162,-0.7031882343224498,0.9738428417548562,0.9861832651598741,0.011033046348492576,2,5,94.01,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4,114.19,113.5,111.89,108.43
2025-05-08,92.5,94.01,88.05,90.47,92.0,90.87,1899.95,81.5,167184,15383622.56,5.960000000000008,2.030000000000001,1.6299999999999955,1.5100000000000051,2.8200000000000074,90.47,92.9,89.22,154530.0,93.15,95.69,89.22,520633.0,88.78,98.37,86.2,776424.0,94.37,98.0,94.1,227352.0,91.49666666666667,1.4046707799503326,280782.3333333333,91.48400000000001,2.154803935481377,357338.6,94.054,3.882461990951274,261207.9,94.893,6.118597534523379,199615.55,43.07540658937765,0.004421355145352024,0.011948331539289647,0.08188701223063477,0.966599297936745,0.9689666556512713,0.010867661329309159,3,5,91.59,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4,114.19,113.5,111.89,108.43,116.8
2025-05-09,87.2,91.59,86.41,90.87,89.9,88.54,1899.95,81.5,206472,18293651.68,5.180000000000007,-3.6700000000000017,1.3400000000000034,3.049999999999997,0.7900000000000063,90.87,94.01,88.05,167184.0,90.47,92.9,89.22,154530.0,93.15,95.69,89.22,520633.0,94.15,96.65,92.1,167922.0,89.96,1.2113766273870903,176062.0,90.362,2.629661575253837,365048.6,92.947,3.6954730564815867,261845.7,94.8895,5.901459676706377,208770.7,41.77820266288492,-0.02564102564102566,-0.02574194234655891,0.2349985644559287,0.9666994213236522,0.9759430765645363,0.01128653828178716,4,5,97.39,98.42,97.0,98.01,96.89,104.49,97.69,97.01,100.89,96.84,104.0,110.33,121.36,116.4,114.19,113.5,111.89,108.43,116.8,105.29
