date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2006-11-16,91.9,93.7,90.0,89.4,90.7,90.6,169.25,88.0,109928,10084506.65,3.700000000000003,2.5,1.3000000000000114,1.7999999999999972,0.5999999999999943,89.4,92.5,88.15,120048.0,88.35,91.8,88.0,64223.0,90.55,94.0,90.05,55079.0,96.25,98.2,95.5,61297.0,89.44999999999999,0.9609023536919463,98066.33333333333,90.51,1.9191143790816754,80943.4,94.265,4.71946618921152,91657.0,103.2875,18.653657747702482,371089.2,23.407407397697668,0.01342281879194629,0.012972972972973063,-0.08429961348793813,0.9669156883568097,0.9933774834327442,0.010900681988245798,3,11,96.5,105.7,104.45,109.9,107.4,108.0,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95
2006-11-17,91.0,96.5,90.2,90.6,94.25,94.2,169.25,88.0,170229,16050198.2,6.299999999999997,0.4000000000000057,3.200000000000003,2.299999999999997,0.7999999999999972,90.6,93.7,90.0,109928.0,89.4,92.5,88.15,120048.0,88.35,91.8,88.0,64223.0,93.65,96.8,93.0,55439.0,91.40000000000002,2.05264057577812,133401.66666666666,90.61999999999999,1.8013883534646409,103901.4,93.69500000000001,4.359921635381335,99929.8,101.92,12.724777683922929,251685.3,36.62420380532681,0.03973509933774855,0.029882604055496254,0.5485499599738011,0.9761658030986926,0.9575371549792193,0.010606037251303227,4,11,105.7,104.45,109.9,107.4,108.0,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0
2006-11-20,90.25,105.7,90.25,94.2,99.0,98.9,169.25,88.0,882944,89433354.5,15.450000000000003,-3.950000000000003,8.650000000000006,6.799999999999997,0.0,94.2,96.5,90.2,170229.0,90.6,93.7,90.0,109928.0,89.4,92.5,88.15,120048.0,90.55,94.0,90.05,55079.0,94.56666666666666,6.278003929063028,387700.3333333333,92.29,5.690166957128597,269474.4,93.65,4.919530239542935,182229.9,100.60999999999999,11.005745807962015,196224.7,50.62499997785157,0.04989384288747356,0.09533678756476682,4.186801308825171,0.9356669820157458,0.9125379170787407,0.009872647682023377,0,11,104.45,109.9,107.4,108.0,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85
2006-11-21,100.1,104.45,98.5,98.9,100.1,100.15,169.25,88.0,295466,29970047.95,5.950000000000003,1.1999999999999886,0.05000000000001137,4.299999999999997,1.5999999999999943,98.9,105.7,90.25,882944.0,94.2,96.5,90.2,170229.0,90.6,93.7,90.0,109928.0,88.35,91.8,88.0,64223.0,97.75,4.990073479752667,449546.3333333333,94.65,6.128988497296937,315723.0,93.855,4.927318968995392,187826.7,99.42,9.693025164627658,206482.5,42.75362316671918,0.012639029322548012,-0.011825922421948909,-0.6653626957089012,0.958831977013319,0.9835247129207835,0.00985870961878124,1,11,109.9,107.4,108.0,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5
2006-11-22,101.7,109.9,100.5,100.15,105.0,105.35,169.25,88.0,995761,106108296.0,9.400000000000006,1.5499999999999972,3.6499999999999915,4.550000000000011,1.2000000000000028,100.15,104.45,98.5,295466.0,98.9,105.7,90.25,882944.0,94.2,96.5,90.2,170229.0,89.4,92.5,88.15,120048.0,101.46666666666665,2.8549664329604445,724723.6666666666,97.84,6.73108460799582,490865.6,94.74,6.219612796093737,281041.4,98.74,8.299880706181376,245322.05,54.487179462730104,0.051922116824762776,0.0521780756342749,2.37013734236765,0.9585987261059271,0.9539629805319985,0.009384384044768752,2,11,107.4,108.0,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5,114.4
2006-11-23,106.0,107.4,102.1,105.35,102.4,103.25,169.25,88.0,194173,20413210.95,5.300000000000011,0.6500000000000057,2.75,1.4000000000000057,1.1500000000000057,105.35,109.9,100.5,995761.0,100.15,104.45,98.5,295466.0,98.9,105.7,90.25,882944.0,90.6,93.7,90.0,109928.0,102.91666666666667,2.728094573140298,495133.3333333333,100.37,5.064385451365082,507714.6,95.44000000000001,6.843295583594508,294329.0,98.04249999999999,7.062992414133333,241067.1,55.464926565203605,-0.019933554817275656,-0.022747952684258443,-0.805000396681533,0.961359404087883,0.9888619854625775,0.00951212430399148,3,11,108.0,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5,114.4,112.0
2006-11-24,105.0,108.0,102.0,103.25,105.8,105.1,169.25,88.0,169223,17846837.15,6.0,1.75,0.09999999999999432,2.9000000000000057,3.0,103.25,107.4,102.1,194173.0,105.35,109.9,100.5,995761.0,100.15,104.45,98.5,295466.0,94.2,96.5,90.2,170229.0,104.56666666666666,1.305118130029171,453052.3333333333,102.55,2.104875293217718,507513.4,96.585,7.294840261749679,305707.4,97.87,6.123429444183583,238231.25,58.99843502892088,0.017917675544794065,0.005586592178770999,-0.12849366286764896,0.9731481481391374,0.9705042816273025,0.009481960225092323,4,11,118.5,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5,114.4,112.0,111.5
2006-11-27,106.0,118.5,104.5,105.1,116.85,116.45,169.25,88.0,1263634,143939669.25,14.0,0.9000000000000057,10.450000000000003,2.049999999999997,1.5,105.1,108.0,102.0,169223.0,103.25,107.4,102.1,194173.0,105.35,109.9,100.5,995761.0,98.9,105.7,90.25,882944.0,108.26666666666667,6.242595614005236,542343.3333333334,106.06000000000002,5.320009398487792,583651.4,99.175,8.855646346948477,426562.9,98.5625,6.874485148186104,290023.8,71.81926275849062,0.10799238820171264,0.09722222222222232,6.467270997441246,0.9827004219326354,0.8973808501425729,0.008778914156077929,0,11,121.2,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5,114.4,112.0,111.5,110.0
2006-11-28,114.0,121.2,113.1,116.45,120.05,119.45,169.25,88.0,621800,73327930.4,8.100000000000009,-2.450000000000003,5.450000000000003,1.75,0.9000000000000057,116.45,118.5,104.5,1263634.0,105.1,108.0,102.0,169223.0,103.25,107.4,102.1,194173.0,100.15,104.45,98.5,295466.0,113.66666666666667,6.973521348644265,684885.6666666666,109.92,6.392573816546708,648918.2,102.285,9.627969960254095,482320.6,99.60999999999999,8.048723337798414,310800.85,76.40966625846409,0.025762129669385958,0.0227848101265824,-0.5079271371298968,0.9855610560974788,0.9468396818673348,0.008479715663705681,1,11,128.9,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5,114.4,112.0,111.5,110.0,115.3
2006-11-29,121.0,128.9,120.8,119.45,122.7,123.25,169.25,88.0,547867,68603900.8,8.100000000000009,1.5499999999999972,2.25,5.650000000000006,0.20000000000000284,119.45,121.2,113.1,621800.0,116.45,118.5,104.5,1263634.0,105.1,108.0,102.0,169223.0,105.35,109.9,100.5,995761.0,119.71666666666665,5.396603870336471,811100.3333333334,113.5,9.144123796187296,559339.4,105.67,10.850480020103554,525102.5,100.565,9.85112069499548,312154.15,78.72340423186962,0.031812473838426,0.06353135313531366,-0.11890157606947571,0.9561675717536372,0.9801217038460031,0.007985945312310871,2,11,125.0,126.75,135.4,135.7,132.05,136.95,132.25,125.0,118.9,109.5,113.95,117.0,113.85,118.5,114.4,112.0,111.5,110.0,115.3,116.2
