date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2021-12-14,88.5,89.3,86.5,87.2,88.65,88.4,99.0,80.8,16780,1474243.45,2.799999999999997,1.2999999999999972,0.09999999999999432,0.7999999999999972,1.9000000000000057,87.2,89.75,87.0,18186.0,87.95,91.0,86.9,43732.0,88.8,91.05,87.15,69601.0,90.9,99.0,88.3,219016.0,87.85000000000001,0.8808140174482214,26232.666666666668,88.25000000000001,1.7530687379563774,41132.8,88.46000000000001,3.021938303657288,59694.4,88.76,3.208393597064458,94762.55,45.85253453262971,0.013761467889908285,-0.005013927576601684,-0.07731221818981637,0.9899216125309079,0.9785067873192476,0.011382109243897261,1,12,91.3,91.65,90.05,85.0,85.25,88.0,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05
2021-12-15,87.3,91.3,86.7,88.4,88.55,87.85,99.0,80.8,34523,3052715.8,4.599999999999994,-1.1000000000000085,0.5499999999999972,3.450000000000003,0.5999999999999943,88.4,89.3,86.5,16780.0,87.2,89.75,87.0,18186.0,87.95,91.0,86.9,43732.0,88.9,93.8,87.3,57365.0,87.81666666666666,1.0492060490357846,23163.0,88.03999999999999,0.8934483756770409,36564.4,88.47500000000001,2.9495950757877054,55795.4,88.6775,3.163342669093133,85546.3,44.71910109545763,-0.006221719457013664,0.022396416573348343,1.0573897497020264,0.9622124862983328,0.9869095048265577,0.011308946610752298,2,12,91.65,90.05,85.0,85.25,88.0,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4
2021-12-16,90.8,91.65,86.5,87.85,87.55,87.85,99.0,80.8,19568,1722932.45,5.150000000000006,2.950000000000003,2.950000000000003,0.8500000000000085,1.3499999999999943,87.85,91.3,86.7,34523.0,88.4,89.3,86.5,16780.0,87.2,89.75,87.0,18186.0,88.8,91.05,87.15,69601.0,88.03333333333335,1.2678722333105925,23623.666666666668,87.85,1.020416581597904,26557.8,88.565,2.854411789960696,55966.5,88.3725,3.1288092572768083,72553.8,51.688311650720166,0.0,0.00383351588170866,-0.43318946789097124,0.9585379159742656,0.9846328969722865,0.011357380842179849,3,12,90.05,85.0,85.25,88.0,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35
2021-12-17,86.8,90.05,84.45,87.85,85.95,86.15,99.0,80.8,42105,3638103.0,5.599999999999994,-1.0499999999999972,0.6499999999999915,3.25,1.7000000000000028,87.85,91.65,86.5,19568.0,87.85,91.3,86.7,34523.0,88.4,89.3,86.5,16780.0,87.95,91.0,86.9,43732.0,87.28333333333332,0.8411301920630347,32065.333333333332,87.49,1.0157509537282958,26232.4,88.45500000000001,2.805649063348199,57935.1,88.115,2.773825023889913,61943.15,59.759759709511314,-0.01935116676152515,-0.017457719585379228,1.1517273098937042,0.9566907273630574,0.9802669761929161,0.011573339182535511,4,12,85.0,85.25,88.0,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0
2021-12-20,84.6,85.0,79.0,86.15,80.05,80.65,99.0,79.0,68473,5598701.25,6.0,-1.5500000000000114,3.9499999999999886,0.4000000000000057,1.6500000000000057,86.15,90.05,84.45,42105.0,87.85,91.65,86.5,19568.0,87.85,91.3,86.7,34523.0,87.2,89.75,87.0,18186.0,84.88333333333334,3.4709508783617102,43382.0,86.18,2.666786455642801,36289.8,87.465,3.5488495788541576,58934.9,87.7975,2.983864502356134,56135.6,32.40997227403108,-0.06384213580963438,-0.056079955580233154,0.6262439140244627,0.9488235294006021,0.9795412275142027,0.012230157842410324,0,12,85.25,88.0,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0,109.65
2021-12-21,81.0,85.25,81.0,80.65,85.25,84.25,99.0,79.0,64290,5355268.75,4.25,0.3499999999999943,3.25,1.0,0.0,80.65,85.0,79.0,68473.0,86.15,90.05,84.45,42105.0,87.85,91.65,86.5,19568.0,88.4,89.3,86.5,16780.0,83.68333333333334,2.8461962921297537,58289.333333333336,85.35,3.2735683893879237,45791.8,86.8,2.763456973510629,43462.3,87.44250000000001,3.239980506763966,55492.9,41.766109757292334,0.04463732176069435,0.002941176470588225,-0.061089772611102156,0.988269794709815,0.961424332332802,0.012004999749078885,1,12,88.0,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0,109.65,117.8
2021-12-22,88.0,88.0,82.8,84.25,83.1,83.5,99.0,79.0,16457,1395339.55,5.200000000000003,3.75,4.5,0.0,0.7000000000000028,84.25,85.25,81.0,64290.0,80.65,85.0,79.0,68473.0,86.15,90.05,84.45,42105.0,87.85,91.3,86.7,34523.0,82.80000000000001,1.6645820296197904,49740.0,84.48,2.91920365853426,42178.6,86.26,2.4216672401926607,39371.5,87.1075,3.1188898159778695,52043.1,41.766109757292334,-0.008902077151335286,0.032258064516129004,-0.7440192876030487,0.9488636363528538,0.9916167664551901,0.011794261833974381,2,12,86.8,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0,109.65,117.8,123.95
2021-12-23,84.5,86.8,84.3,83.5,85.0,85.7,99.0,79.0,27120,2321926.05,2.5,1.0,1.2000000000000028,1.0999999999999943,0.20000000000000284,83.5,88.0,82.8,16457.0,84.25,85.25,81.0,64290.0,80.65,85.0,79.0,68473.0,87.85,91.65,86.5,19568.0,84.48333333333333,1.3787071238421795,35955.666666666664,84.05,2.0858451524501405,43689.0,85.95,2.4406055714833768,35123.4,86.88250000000001,3.11762709190988,51267.45,46.60831506991177,0.026347305389221587,-0.013636363636363669,0.6479309716230175,0.9873271889287174,0.983663943979187,0.011679958541315297,3,12,88.25,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0,109.65,117.8,123.95,125.0
2021-12-24,87.0,88.25,83.25,85.7,85.8,85.25,99.0,79.0,25912,2214710.0,5.0,1.2999999999999972,1.75,1.25,2.0,85.7,86.8,84.3,27120.0,83.5,88.0,82.8,16457.0,84.25,85.25,81.0,64290.0,86.15,90.05,84.45,42105.0,84.81666666666666,0.7751343969488446,23163.0,83.87,1.5072325633424113,40450.4,85.67999999999999,2.3182907975968816,33341.4,86.785,3.10040744351277,49135.9,36.74999997427501,-0.0052508751458576475,0.016705069124423932,-0.04454277286135688,0.9660056657114333,0.9765395894313602,0.011699951686676806,4,12,87.0,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0,109.65,117.8,123.95,125.0,121.15
2021-12-27,84.0,87.0,82.0,85.25,85.0,84.35,99.0,79.0,24140,2046433.85,5.0,-1.25,0.3499999999999943,2.6500000000000057,2.0,85.25,88.25,83.25,25912.0,85.7,86.8,84.3,27120.0,83.5,88.0,82.8,16457.0,80.65,85.0,79.0,68473.0,85.1,0.785811682275017,25724.0,84.60999999999999,1.1881708631336467,31583.8,85.395,2.321254450124418,33936.8,86.8575,3.1381187794097474,47074.55,34.06326031742647,-0.010557184750733195,-0.014164305949008527,-0.06838530410620558,0.9695402298739132,0.972139893290194,0.011796130131447927,0,12,87.2,87.35,86.35,91.0,91.0,91.0,87.9,95.05,100.0,105.4,105.05,102.4,103.35,103.0,109.65,117.8,123.95,125.0,121.15,116.3
