date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2025-03-07,33.84,33.85,32.81,32.86,33.3,33.05,39.7,29.63,502126,16732136.73,1.0399999999999991,0.980000000000004,0.7900000000000063,0.00999999999999801,0.23999999999999488,32.86,33.87,32.59,338553.0,32.61,32.69,30.18,421958.0,31.44,31.99,30.57,134801.0,31.13,33.77,30.75,327586.0,32.839999999999996,0.6755738301621718,420879.0,32.233999999999995,0.847514011683583,377917.8,32.595,0.9981321444467212,328971.4,33.459,1.7884479451836415,378099.65,48.39901469487851,0.0057821059038343225,-0.000590493061706443,0.48315330243713683,0.9763663219800187,0.9927382753103562,0.03000967587718248,4,3,36.4,33.47,33.19,33.39,33.37,33.19,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34
2025-03-10,33.01,36.4,32.22,33.05,32.42,32.38,39.7,29.63,570851,18684517.06,4.18,-0.03999999999999915,0.6299999999999955,3.3900000000000006,0.1600000000000037,33.05,33.85,32.81,502126.0,32.86,33.87,32.59,338553.0,32.61,32.69,30.18,421958.0,31.21,32.47,29.63,492151.0,32.76333333333333,1.4665037788336492,470510.0,32.467999999999996,1.678362297002648,393657.8,32.424,1.2490067164662517,341384.6,33.264,1.427702884467144,378223.4,44.520547874053904,-0.020272314674735115,0.07533234859675031,0.1368680371062243,0.8895604395360013,0.9950586781656868,0.03055208749398632,0,3,33.47,33.19,33.39,33.37,33.19,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2
2025-03-11,33.1,33.47,31.07,32.38,32.22,32.34,39.7,29.63,191120,6142492.44,2.3999999999999986,0.7199999999999989,0.759999999999998,0.36999999999999744,1.2700000000000031,32.38,36.4,32.22,570851.0,33.05,33.85,32.81,502126.0,32.86,33.87,32.59,338553.0,31.44,31.99,30.57,134801.0,32.59,1.5933089258939603,421365.6666666667,32.648,1.3946970997316959,404921.6,32.305,1.248841240688533,332478.7,33.1015,1.2509634182038374,372115.9,48.14814806492914,-0.001235330450895633,-0.08049450549450554,-0.6652016025197469,0.9662384224390131,0.960729746414325,0.03111440540901992,1,3,33.19,33.39,33.37,33.19,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74
2025-03-12,32.34,33.19,32.0,32.34,32.35,32.41,39.7,29.63,179585,5821648.9,1.1899999999999977,0.0,0.06999999999999318,0.7800000000000011,0.3400000000000034,32.34,33.47,31.07,191120.0,32.38,36.4,32.22,570851.0,33.05,33.85,32.81,502126.0,32.61,32.69,30.18,421958.0,32.376666666666665,1.7779857517239444,313852.0,32.608000000000004,1.28595489812046,356447.0,32.207,1.2310975229896057,339236.0,32.9915,1.1251613919321797,362925.65,38.05309726655696,0.0021645021645020357,-0.008365700627427586,-0.06035475094181664,0.9764989454360803,0.9873495834314303,0.03084778953261849,2,3,33.39,33.37,33.19,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01
2025-03-13,32.41,33.39,32.1,32.41,32.5,32.21,39.7,29.63,163134,5281192.45,1.2899999999999991,0.0,0.19999999999999574,0.980000000000004,0.10999999999999943,32.41,33.19,32.0,179585.0,32.34,33.47,31.07,191120.0,32.38,36.4,32.22,570851.0,32.86,33.87,32.59,338553.0,32.32,0.1442220510184997,177946.33333333334,32.477999999999994,1.3298120167903436,321363.2,32.164,1.1947891492272367,332186.5,32.8805,1.11085019597368,350457.95,31.142409947418784,-0.006170934896636671,0.006025911419102137,-0.09160564635130997,0.9646600778387344,0.996584911487222,0.030889614711919835,3,3,33.37,33.19,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01,36.0
2025-03-17,33.36,33.37,30.9,32.21,32.13,32.14,39.7,29.63,224190,7227512.88,2.469999999999999,1.1499999999999986,1.2199999999999989,0.00999999999999801,1.240000000000002,32.21,33.39,32.1,163134.0,32.41,33.19,32.0,179585.0,32.34,33.47,31.07,191120.0,33.05,33.85,32.81,502126.0,32.25333333333334,0.11015141094563832,188969.66666666666,32.29600000000001,1.3656060925464568,265776.0,32.265,1.1917722563942927,321846.9,32.7685,1.0309367227506352,348547.85,33.55817867288113,-0.002173238124805965,-0.0005989817310573242,0.3742690058479532,0.9631405453711976,0.9614187927516672,0.03101896928061925,0,3,33.19,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01,36.0,36.4
2025-03-18,32.49,33.19,31.08,32.14,33.05,32.97,39.7,29.63,362014,11829235.08,2.1099999999999994,0.3500000000000014,0.4799999999999969,0.21999999999999886,1.4100000000000037,32.14,33.37,30.9,224190.0,32.21,33.39,32.1,163134.0,32.41,33.19,32.0,179585.0,32.38,36.4,32.22,570851.0,32.44,0.11015141094563832,249779.33333333334,32.414,0.12617448236470313,224008.6,32.440999999999995,1.1455658475666708,308833.2,32.7515,1.0139038675493908,344620.3,45.483870865036394,0.02582451773490968,-0.005394066526820507,0.6147642624559526,0.993371497409058,0.942675159207077,0.030603331284883042,1,3,34.9,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01,36.0,36.4,36.5
2025-03-19,33.64,34.9,33.01,32.97,34.17,34.17,39.7,29.63,571047,19357107.09,1.8900000000000006,0.6700000000000017,0.5300000000000011,0.7299999999999969,0.6300000000000026,32.97,33.19,31.08,362014.0,32.14,33.37,30.9,224190.0,32.21,33.39,32.1,163134.0,32.34,33.47,31.07,191120.0,33.093333333333334,0.9396275858019546,385750.3333333333,32.78,0.7285053191295187,299994.0,32.714,1.0752446749978115,352457.8,32.793,1.036511736039395,357357.7,55.371900719668524,0.036396724294813554,0.051521542633323314,0.5774168954791803,0.9790830945278202,0.9660520924505106,0.02950063753560605,2,3,35.37,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01,36.0,36.4,36.5,36.85
2025-03-20,34.1,35.37,33.75,34.17,34.76,34.31,39.7,29.63,461589,15883187.46,1.6199999999999974,-0.07000000000000028,0.21000000000000085,1.0599999999999952,0.3500000000000014,34.17,34.9,33.01,571047.0,32.97,33.19,31.08,362014.0,32.14,33.37,30.9,224190.0,32.41,33.19,32.0,179585.0,33.81666666666667,1.1472721269748403,464883.3333333333,33.160000000000004,1.0127092376393145,356394.8,32.884,1.0928250851196213,356420.9,32.8765,1.0792730253082052,367918.2,62.55639084574599,0.004097161252560655,0.01346704871060167,-0.1916794939821066,0.9700310997746672,0.9836782278932183,0.02906148411094809,3,3,35.05,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01,36.0,36.4,36.5,36.85,37.23
2025-03-21,33.65,35.05,33.6,34.31,34.77,34.85,39.7,29.63,435491,15138100.57,1.4499999999999957,-0.6600000000000037,1.2000000000000028,0.19999999999999574,0.04999999999999716,34.31,35.37,33.75,461589.0,34.17,34.9,33.01,571047.0,32.97,33.19,31.08,362014.0,32.21,33.39,32.1,163134.0,34.443333333333335,0.2400694344005507,489375.6666666667,33.688,1.0167988985045189,410866.2,33.083000000000006,1.1283596747294709,366114.7,32.917500000000004,1.0924327029736642,347128.7,82.74647866928697,0.015738851646750263,-0.009047215154085353,-0.05653947559408912,0.9942938658774811,0.964131994233454,0.028767875995158614,4,3,36.0,36.4,35.97,36.4,35.3,34.9,35.3,35.87,35.5,33.36,34.34,34.2,34.74,36.01,36.0,36.4,36.5,36.85,37.23,36.63
