date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2000-01-31,28.25,28.25,26.1,27.45,26.2,26.2,50.9,13.0,12100,325825.0,2.1499999999999986,0.8000000000000007,2.0500000000000007,0.0,0.09999999999999787,27.45,28.5,27.2,20000.0,28.65,29.2,28.25,38300.0,27.1,27.95,26.7,17600.0,29.75,30.0,29.0,16300.0,27.433333333333334,0.49244289008977127,23466.666666666668,27.5,0.5179285665029936,21400.0,28.139999999999997,1.0816653826391611,20270.0,29.6625,2.116369470778223,23275.0,33.56164380343404,-0.04553734061930781,-0.00877192982456143,-0.395,0.9274336282857545,0.996183206068848,0.037136499654722516,0,1,28.3,30.6,31.9,30.0,29.0,28.7,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2
2000-02-01,27.85,28.3,27.35,26.2,28.3,28.3,50.9,13.0,23400,657110.0,0.9499999999999993,1.6500000000000021,0.4499999999999993,0.0,0.5,26.2,28.25,26.1,12100.0,27.45,28.5,27.2,20000.0,28.65,29.2,28.25,38300.0,28.1,29.0,28.1,19000.0,27.316666666666663,0.13228756555308804,18500.0,27.54,0.4682413907375556,22280.0,28.130000000000003,1.0667187487284586,21820.0,29.4125,2.048722323277297,22370.0,45.161290281789796,0.08015267175572527,0.001769911504424737,0.9338842975206612,0.9999999999646643,0.966431095372211,0.035610476175982654,1,2,30.6,31.9,30.0,29.0,28.7,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6
2000-02-02,30.55,30.6,29.65,28.3,30.6,30.6,50.9,13.0,50100,1528045.0,0.9500000000000028,2.25,0.05000000000000071,0.0,0.9000000000000021,28.3,28.3,27.35,23400.0,26.2,28.25,26.1,12100.0,27.45,28.5,27.2,20000.0,27.1,27.95,26.7,17600.0,28.366666666666664,1.342572158209747,28533.333333333332,28.24,0.9871676655968139,28780.0,28.49,1.116990002939413,23560.0,29.322499999999998,1.877820685346654,22120.0,50.58139530766631,0.08127208480565384,0.08127208480565384,1.141025641025641,0.9999999999673203,0.9689542483343478,0.032786992529670246,2,2,31.9,30.0,29.0,28.7,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0
2000-02-03,31.9,31.9,29.05,30.6,30.75,30.75,50.9,13.0,31000,955745.0,2.849999999999998,1.2999999999999972,1.1499999999999986,0.0,1.6999999999999993,30.6,30.6,29.65,50100.0,28.3,28.3,27.35,23400.0,26.2,28.25,26.1,12100.0,28.65,29.2,28.25,38300.0,29.883333333333336,1.8230011885167097,34833.333333333336,28.660000000000004,1.6562004709575116,27320.0,28.655,1.3973784979978017,25110.0,29.252499999999998,1.713959712110185,21770.0,51.906158315150364,0.004901960784313708,0.0424836601307188,-0.38123752495009977,0.9639498432299702,0.9447154471237491,0.03243542995255007,3,2,30.0,29.0,28.7,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1
2000-02-04,30.0,30.0,28.6,30.75,28.7,28.75,50.9,13.0,28300,830775.0,1.3999999999999986,-0.75,1.25,0.0,0.14999999999999858,30.75,31.9,29.05,31000.0,30.6,30.6,29.65,50100.0,28.3,28.3,27.35,23400.0,27.45,28.5,27.2,20000.0,30.03333333333333,0.9712534856222408,36466.666666666664,28.919999999999998,1.5606088555432123,28980.0,28.565000000000005,1.2492664514292342,25610.0,29.084999999999997,1.5857175032142345,22090.0,49.03047087609825,-0.06504065040650409,-0.059561128526645746,-0.08709677419354833,0.9583333333013889,0.9947826086610511,0.034064578255243554,4,2,29.0,28.7,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85
2000-02-07,28.5,29.0,27.9,28.75,28.0,28.0,50.9,13.0,18300,517180.0,1.1000000000000014,-0.25,0.5,0.5,0.10000000000000142,28.75,30.0,28.6,28300.0,30.75,31.9,29.05,31000.0,30.6,30.6,29.65,50100.0,26.2,28.25,26.1,12100.0,29.166666666666668,1.4730919862656264,25866.666666666668,29.28,1.401071018899435,30220.0,28.389999999999997,1.233153139989754,25810.0,28.909999999999997,1.4957483604853865,22075.0,48.89502758649004,-0.02608695652173909,-0.033333333333333326,-0.3533568904593639,0.9655172413460167,0.9964285713929847,0.03538419892493903,0,2,28.7,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6
2000-02-08,27.5,28.7,25.8,28.0,26.0,26.0,50.9,13.0,41800,1111550.0,2.8999999999999986,-0.5,1.5,1.1999999999999993,0.1999999999999993,28.0,29.0,27.9,18300.0,28.75,30.0,28.6,28300.0,30.75,31.9,29.05,31000.0,28.3,28.3,27.35,23400.0,27.583333333333332,0.6806859285554001,29466.666666666668,28.82,1.2895735729301778,33900.0,28.18,1.2440525176481054,28090.0,28.659999999999997,1.2387493693237477,23300.0,47.326203173124775,-0.0714285714285714,-0.010344827586206917,1.2841530054644807,0.90592334491617,0.9923076922695266,0.037605145967342865,1,2,27.5,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5
2000-02-09,26.9,27.5,26.1,26.0,26.55,26.6,50.9,13.0,20900,560270.0,1.3999999999999986,0.8999999999999986,0.29999999999999716,0.6000000000000014,0.5,26.0,28.7,25.8,41800.0,28.0,29.0,27.9,18300.0,28.75,30.0,28.6,28300.0,30.6,30.6,29.65,50100.0,26.866666666666664,0.7937253933193642,27000.0,28.020000000000003,1.6483324907311268,28060.0,28.130000000000003,1.3026575400567066,28420.0,28.5,1.2620446025982397,22745.0,42.73255810475256,0.023076923076923217,-0.04181184668989546,-0.5,0.9672727272375538,0.9812030074819097,0.03730344298284748,2,2,26.95,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9
2000-02-10,26.95,26.95,25.5,26.6,26.1,25.95,50.9,13.0,14900,386685.0,1.4499999999999993,0.34999999999999787,1.0,0.0,0.4499999999999993,26.6,27.5,26.1,20900.0,26.0,28.7,25.8,41800.0,28.0,29.0,27.9,18300.0,30.75,31.9,29.05,31000.0,26.183333333333334,0.8948929172439036,25866.666666666668,27.060000000000002,1.2163469899662025,24840.0,27.860000000000003,1.483464413683925,26080.0,28.277500000000003,1.333919827149719,23045.0,39.30635834969428,-0.024436090225564033,-0.020000000000000018,-0.2870813397129187,0.9628942485728054,0.9826589594997048,0.038532655779251745,3,2,27.55,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1
2000-02-11,25.05,27.55,25.05,25.95,25.95,25.85,50.9,13.0,19200,498545.0,2.5,-0.8999999999999986,0.8000000000000007,1.6999999999999993,0.0,25.95,26.95,25.5,14900.0,26.6,27.5,26.1,20900.0,26.0,28.7,25.8,41800.0,28.75,30.0,28.6,28300.0,26.133333333333336,0.3329164059239196,18333.333333333332,26.48,0.8699137888318693,23020.0,27.7,1.5460074025983233,26000.0,28.064999999999998,1.3060864604248983,23235.0,38.72832366808113,-0.0038535645472060898,0.02226345083487935,0.28859060402684555,0.9382940108552343,0.9690522243338857,0.038512070124060944,4,2,26.95,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3
2000-02-14,26.95,26.95,23.8,25.85,23.8,23.8,50.9,13.0,18300,445330.0,3.1499999999999986,1.0999999999999979,3.1499999999999986,0.0,0.0,25.85,27.55,25.05,19200.0,25.95,26.95,25.5,14900.0,26.6,27.5,26.1,20900.0,28.0,29.0,27.9,18300.0,25.2,0.3464101615137238,17466.666666666668,25.640000000000004,0.7146677549741546,23020.0,27.46,1.6552022367204473,26620.0,27.8,1.3766353910894398,23445.0,37.85310731469245,-0.07930367504835589,-0.02177858439201452,-0.046875,0.8831168830841144,0.9999999999579832,0.041093121954505554,0,2,24.0,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5
2000-02-15,23.95,24.0,22.5,23.8,23.0,22.8,50.9,13.0,29500,683445.0,1.5,0.14999999999999858,1.1499999999999986,0.05000000000000071,0.3000000000000007,23.8,26.95,23.8,18300.0,25.85,27.55,25.05,19200.0,25.95,26.95,25.5,14900.0,26.0,28.7,25.8,41800.0,24.150000000000002,1.9002192855913451,22333.333333333332,25.000000000000004,1.4762283021266576,20560.0,26.909999999999997,2.239177676439857,27230.0,27.52,1.7408010104244274,24525.0,37.85310731469245,-0.04201680672268904,-0.10946196660482377,0.6120218579234973,0.9499999999604167,0.9868421052198754,0.04316367813064688,1,2,24.65,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9
2000-02-16,23.45,24.65,23.0,22.8,23.8,24.0,50.9,13.0,44300,1073080.0,1.6499999999999986,0.6499999999999986,0.5500000000000007,0.6499999999999986,0.4499999999999993,22.8,24.0,22.5,29500.0,23.8,26.95,23.8,18300.0,25.85,27.55,25.05,19200.0,26.6,27.5,26.1,20900.0,23.533333333333335,1.5499999999999774,30700.0,24.48,1.5833508770957019,25240.0,26.25,2.3522093633196914,26650.0,27.369999999999997,1.9544416351641525,25105.0,36.59942360159125,0.05263157894736836,0.027083333333333348,0.5016949152542374,0.9736308316035038,0.9583333332934028,0.04128303574756771,2,2,25.5,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4
2000-02-17,24.4,25.5,24.0,24.0,24.5,24.9,50.9,13.0,23300,580535.0,1.5,0.3999999999999986,0.5,0.6000000000000014,0.3999999999999986,24.0,24.65,23.0,44300.0,22.8,24.0,22.5,29500.0,23.8,26.95,23.8,18300.0,25.95,26.95,25.5,14900.0,23.900000000000002,0.7522189397597311,32366.666666666668,24.27,1.5010829424118162,26920.0,25.665,1.9193748982415995,25880.0,27.159999999999997,2.055218006108244,25495.0,42.52199409998194,0.03749999999999987,0.034482758620689724,-0.4740406320541761,0.976470588197001,0.963855421648038,0.04013539235360479,3,2,26.0,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0
2000-02-18,25.0,26.0,23.05,24.9,24.0,23.95,50.9,13.0,25400,615660.0,2.9499999999999993,0.10000000000000142,1.0500000000000007,1.0,0.8999999999999986,24.9,25.5,24.0,23300.0,24.0,24.65,23.0,44300.0,22.8,24.0,22.5,29500.0,25.85,27.55,25.05,19200.0,24.28333333333333,0.6825198409813957,31000.0,23.89,1.1503260407378864,28160.0,25.185,1.6396476586280353,25590.0,26.875,1.979134579610616,25600.0,43.283582053374914,-0.03815261044176699,0.019607843137254832,0.09012875536480691,0.9211538461184171,0.9624217118596067,0.04125653769937946,4,2,25.0,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8
2000-02-21,22.1,25.0,22.1,23.95,23.5,23.65,50.9,13.0,42400,1029790.0,2.8999999999999986,-1.8499999999999979,1.5499999999999972,1.3500000000000014,0.0,23.95,26.0,23.05,25400.0,24.9,25.5,24.0,23300.0,24.0,24.65,23.0,44300.0,23.8,26.95,23.8,18300.0,24.166666666666668,0.4999999999999378,30366.666666666668,23.860000000000003,0.7694153624666481,32980.0,24.75,1.4920530225907451,28000.0,26.57,2.0316249653909946,26905.0,34.4481605028579,-0.012526096033402934,-0.038461538461538436,0.6692913385826771,0.9459999999621599,0.934460887909748,0.041173443129181635,0,2,24.0,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3
2000-02-22,24.0,24.0,22.5,23.65,23.0,22.9,50.9,13.0,45400,1053780.0,1.5,0.3500000000000014,1.1000000000000014,0.0,0.3999999999999986,23.65,25.0,22.1,42400.0,23.95,26.0,23.05,25400.0,24.9,25.5,24.0,23300.0,22.8,24.0,22.5,29500.0,23.5,0.9999999999999636,37733.333333333336,23.88,0.7694153624666481,36160.0,24.439999999999998,1.3811830677598913,28360.0,26.309999999999995,2.1754914750222984,28225.0,21.268656694196906,-0.031712473572938715,-0.040000000000000036,0.070754716981132,0.9541666666269096,0.9825327510487978,0.04308299645087206,1,2,23.9,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65
2000-02-23,23.85,23.9,21.55,22.9,23.0,22.85,50.9,13.0,35200,803440.0,2.349999999999998,0.9500000000000028,1.0,0.04999999999999716,1.3000000000000007,22.9,24.0,22.5,45400.0,23.65,25.0,22.1,42400.0,23.95,26.0,23.05,25400.0,24.0,24.65,23.0,44300.0,23.133333333333336,0.6082762530297506,41000.0,23.65,0.9203260291873075,34340.0,24.065,1.360759591796665,29790.0,26.097500000000004,2.3176936698727846,29105.0,20.30075185833003,-0.0021834061135369565,-0.004166666666666763,-0.22466960352422904,0.9560669455666919,0.9431072209652906,0.04381161007667026,2,2,24.7,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0
2000-02-24,23.0,24.7,22.85,22.85,23.0,23.25,50.9,13.0,43300,1020145.0,1.8499999999999979,0.14999999999999858,0.25,1.4499999999999993,0.14999999999999858,22.85,23.9,21.55,35200.0,22.9,24.0,22.5,45400.0,23.65,25.0,22.1,42400.0,24.9,25.5,24.0,23300.0,23.0,0.43588989435396547,41300.0,23.32,0.8526429498914945,38340.0,23.795,1.2680365399572,32630.0,25.827499999999997,2.3441121650009022,29355.0,26.495726464022198,0.017505470459518557,0.03347280334728042,0.23011363636363646,0.9412955465205953,0.9827956988824604,0.04244494655171564,3,2,24.2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4
2000-02-25,24.2,24.2,22.1,23.25,22.7,22.75,50.9,13.0,13200,302300.0,2.099999999999998,0.9499999999999993,1.4499999999999993,0.0,0.6499999999999986,23.25,24.7,22.85,43300.0,22.85,23.9,21.55,35200.0,22.9,24.0,22.5,45400.0,23.95,26.0,23.05,25400.0,22.95,0.40414518843263,30566.666666666668,23.080000000000002,0.4722287581243362,35900.0,23.485,0.9996666110925657,32030.0,25.592499999999998,2.40510832451088,29015.0,27.07423577475639,-0.021505376344086002,-0.020242914979757054,-0.6951501154734412,0.9400826445892528,0.9714285713858714,0.043665233212040876,4,2,24.2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45
2000-02-28,22.1,24.2,22.1,22.75,24.2,24.2,50.9,13.0,23600,545100.0,2.099999999999998,-0.6499999999999986,2.099999999999998,0.0,0.0,22.75,24.2,22.1,13200.0,23.25,24.7,22.85,43300.0,22.85,23.9,21.55,35200.0,23.65,25.0,22.1,42400.0,23.400000000000002,0.28867513459466515,26700.0,23.189999999999998,0.30822070014787395,32140.0,23.525,0.7047655244437023,32560.0,25.4925,2.4539120217575583,29590.0,41.74311921244002,0.06373626373626373,0.0,0.7878787878787878,0.9999999999586777,0.9132231404581314,0.04329480829205642,0,2,25.6,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0
2000-02-29,24.85,25.6,22.9,24.2,22.9,23.15,50.9,13.0,41500,1005075.0,2.700000000000003,0.6500000000000021,1.7000000000000028,0.75,0.25,24.2,24.2,22.1,23600.0,22.75,24.2,22.1,13200.0,23.25,24.7,22.85,43300.0,22.9,24.0,22.5,45400.0,23.366666666666664,0.8082903768654282,26100.0,23.240000000000002,0.6685805860176174,31360.0,23.56,0.7307720422797657,33760.0,25.235,2.4342890456752846,30495.0,34.80176207161014,-0.04338842975206614,0.05785123966942152,0.7584745762711864,0.9042968749646758,0.9892008638881554,0.041290450961370996,1,2,24.0,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3
2000-03-01,23.7,24.0,23.15,23.15,23.65,23.65,50.9,13.0,5900,139175.0,0.8500000000000014,0.5500000000000007,0.05000000000000071,0.3000000000000007,0.5,23.15,25.6,22.9,41500.0,24.2,24.2,22.1,23600.0,22.75,24.2,22.1,13200.0,22.85,23.9,21.55,35200.0,23.666666666666668,0.8717797887080895,23666.666666666668,23.4,0.6465291950095223,25500.0,23.525,0.7709301740970418,29920.0,24.8875,2.299261895295498,28285.0,39.73214280747767,0.021598272138228847,-0.0625,-0.8578313253012049,0.9854166666256076,0.9788583509099849,0.04239267109753877,2,3,25.1,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25
2000-03-02,23.5,25.1,22.3,23.65,22.5,22.55,50.9,13.0,30600,720430.0,2.8000000000000007,-0.14999999999999858,0.9499999999999993,1.6000000000000014,0.25,23.65,24.0,23.15,5900.0,23.15,25.6,22.9,41500.0,24.2,24.2,22.1,23600.0,23.25,24.7,22.85,43300.0,23.116666666666664,0.8185352771872001,26000.0,23.26,0.6942621983081498,22960.0,23.29,0.734922520481631,30650.0,24.4775,1.8786543336290231,28265.0,36.475409794208545,-0.046511627906976605,0.04583333333333339,4.186440677966102,0.898406374466199,0.9889135254550371,0.042474633205169074,3,3,23.85,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25,23.4
2000-03-03,23.0,23.85,22.5,22.55,23.7,23.6,50.9,13.0,21000,481010.0,1.3500000000000014,0.4499999999999993,0.6000000000000014,0.25,0.5,22.55,25.1,22.3,30600.0,23.65,24.0,23.15,5900.0,23.15,25.6,22.9,41500.0,22.75,24.2,22.1,13200.0,23.26666666666667,0.682519840981379,19166.666666666668,23.43,0.7615773105861683,24520.0,23.255000000000003,0.6057364663503674,30210.0,24.220000000000002,1.6583342149340716,27900.0,49.10714279575893,0.04656319290465638,-0.04980079681274896,-0.3137254901960784,0.9895178196650097,0.9533898304680767,0.04365813600548836,4,3,23.6,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25,23.4,21.9
2000-03-06,23.1,23.6,22.3,23.6,22.5,22.65,50.9,13.0,28500,645115.0,1.3000000000000007,-0.5,0.45000000000000284,0.5,0.34999999999999787,23.6,23.85,22.5,21000.0,22.55,25.1,22.3,30600.0,23.65,24.0,23.15,5900.0,24.2,24.2,22.1,23600.0,22.933333333333334,0.8036375634160233,26700.0,23.119999999999997,0.8700574693660498,25500.0,23.154999999999998,0.6271850692666993,28820.0,23.9525,1.5023205734007339,28410.0,49.327354198153984,-0.04025423728813571,-0.010482180293501009,0.3571428571428572,0.959745762671197,0.9845474613251857,0.04417816978368191,0,3,22.5,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25,23.4,21.9,21.95
2000-03-07,22.1,22.5,20.85,22.65,21.0,21.05,50.9,13.0,59400,1266725.0,1.6499999999999986,-0.5499999999999972,1.0500000000000007,0.3999999999999986,0.1999999999999993,22.65,23.6,22.3,28500.0,23.6,23.85,22.5,21000.0,22.55,25.1,22.3,30600.0,23.15,25.6,22.9,41500.0,22.433333333333334,0.7182153808804298,36300.0,22.7,0.9303225247190491,29080.0,22.97,0.8505063851089392,30220.0,23.705000000000002,1.3994242237058394,29290.0,37.22943718431064,-0.07064017660044142,-0.04661016949152552,1.0842105263157893,0.9355555555139753,0.9904988123044894,0.04689257731551833,1,3,21.9,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25,23.4,21.9,21.95,21.05
2000-03-08,21.0,21.9,20.0,21.05,21.4,21.45,50.9,13.0,17500,367040.0,1.8999999999999986,-0.05000000000000071,0.4499999999999993,0.4499999999999993,1.0,21.05,22.5,20.85,59400.0,22.65,23.6,22.3,28500.0,23.6,23.85,22.5,21000.0,23.65,24.0,23.15,5900.0,21.71666666666667,0.8621678104250985,35133.333333333336,22.26,1.2441864811995047,31400.0,22.83,1.1140641314075481,28450.0,23.447499999999998,1.4301522738211294,29120.0,34.389140227923264,0.019002375296911955,-0.026666666666666727,-0.7053872053872055,0.9794520547497967,0.9324009323574639,0.04767872711421085,2,3,21.1,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25,23.4,21.9,21.95,21.05,22.0
2000-03-09,20.6,21.1,20.3,21.45,21.1,21.05,50.9,13.0,9700,200535.0,0.8000000000000007,-0.8499999999999979,0.4499999999999993,0.05000000000000071,0.3000000000000007,21.45,21.9,20.0,17500.0,21.05,22.5,20.85,59400.0,22.65,23.6,22.3,28500.0,22.55,25.1,22.3,30600.0,21.183333333333334,0.7023769168567454,28866.666666666668,21.96,1.1523888232708441,27220.0,22.61,1.3961156430929555,25090.0,23.2025,1.5412827876736006,28860.0,36.19047614222222,-0.01864801864801857,-0.03652968036529669,-0.44571428571428573,0.9976303317062734,0.9643705462724764,0.04837060862193608,3,3,21.3,20.5,19.9,21.4,21.0,20.8,22.3,22.65,22.0,22.4,21.45,22.0,22.3,22.25,23.4,21.9,21.95,21.05,22.0,22.4
