date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2000-01-31,34.05,35.0,33.35,36.25,34.0,34.0,65.0,15.2,4450,150792.5,1.6499999999999986,-2.200000000000003,0.04999999999999716,0.9500000000000028,0.6499999999999986,36.25,38.0,34.6,4600.0,37.55,38.0,36.05,4600.0,36.9,38.5,36.5,6700.0,41.3,42.0,40.7,3650.0,35.93333333333333,1.7320508075689451,4550.0,36.739999999999995,2.1330729007701374,5010.0,39.56,3.482591627573443,5140.0,45.535000000000004,8.881521325349146,14362.5,19.31818180588843,-0.06206896551724139,-0.07894736842105265,-0.03260869565217395,0.9714285714008164,0.9808823529123272,0.029510751529419375,0,1,36.75,37.1,40.1,42.0,39.0,39.9,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65
2000-02-01,33.0,36.75,32.0,34.0,34.95,34.35,65.0,15.2,12050,420332.5,4.75,-1.0,1.3500000000000014,2.3999999999999986,1.0,34.0,35.0,33.35,4450.0,36.25,38.0,34.6,4600.0,37.55,38.0,36.05,4600.0,39.0,41.0,39.0,4700.0,34.86666666666667,1.5069284433355083,7033.333333333333,35.809999999999995,1.4142135623730703,6480.0,38.645,3.2662584778986288,6125.0,44.207499999999996,8.558287380938836,12652.5,24.797843647052844,0.010294117647058787,0.050000000000000044,1.707865168539326,0.9346938775255866,0.9315866084153833,0.02866778086395882,1,2,37.1,40.1,42.0,39.0,39.9,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0
2000-02-02,33.05,37.1,32.0,34.35,37.1,37.1,65.0,15.2,4750,167605.0,5.100000000000001,-1.3000000000000043,4.050000000000004,0.0,1.0499999999999972,34.35,36.75,32.0,12050.0,34.0,35.0,33.35,4450.0,36.25,38.0,34.6,4600.0,36.9,38.5,36.5,6700.0,35.15,1.1250925887826237,7083.333333333333,35.85,1.2316655390161446,6090.0,38.17,3.210590115366509,5795.0,42.91,7.574341642399659,9062.5,29.545454524563823,0.08005822416302766,0.00952380952380949,-0.6058091286307055,0.9999999999730459,0.8625336926991232,0.028340443304197202,2,2,40.1,42.0,39.0,39.9,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0
2000-02-03,40.0,40.1,36.0,37.1,40.1,40.05,65.0,15.2,7200,279940.0,4.100000000000001,2.8999999999999986,0.04999999999999716,0.05000000000000426,4.0,37.1,37.1,32.0,4750.0,34.35,36.75,32.0,12050.0,34.0,35.0,33.35,4450.0,37.55,38.0,36.05,4600.0,37.166666666666664,1.8414215523159065,8000.0,36.35,1.8656098198712217,6610.0,37.855000000000004,2.650372091277466,5575.0,41.955,6.40872092912217,6800.0,40.740740714334706,0.07951482479784344,0.08086253369272245,0.5157894736842106,0.9987531171820759,0.8988764044719383,0.02571979709937835,3,2,42.0,39.0,39.9,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0
2000-02-04,41.0,42.0,38.1,40.05,39.1,39.25,65.0,15.2,8150,328437.5,3.8999999999999986,0.9500000000000028,1.75,1.0,1.1499999999999986,40.05,40.1,36.0,7200.0,37.1,37.1,32.0,4750.0,34.35,36.75,32.0,12050.0,36.25,38.0,34.6,4600.0,38.800000000000004,2.4704925284917265,6700.0,36.95,2.8107828091120695,7320.0,37.575,2.354481542364179,6085.0,41.14,4.977620309682985,6415.0,37.182448012907436,-0.019975031210986205,0.04738154613466339,0.13194444444444442,0.934523809501559,0.9707006369179441,0.02481446241674588,4,2,39.0,39.9,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0,31.0
2000-02-07,37.0,39.0,37.0,39.25,37.4,37.9,65.0,15.2,7600,288345.0,2.0,-2.25,0.8999999999999986,1.1000000000000014,0.0,39.25,42.0,38.1,8150.0,40.05,40.1,36.0,7200.0,37.1,37.1,32.0,4750.0,34.0,35.0,33.35,4450.0,39.06666666666666,1.5176736583776558,7650.0,37.730000000000004,2.1726711670199754,7950.0,37.235,2.083326666656068,6480.0,40.475,4.297075964200003,6287.5,37.09677416961498,-0.03439490445859872,-0.0714285714285714,-0.06748466257668717,0.971794871769954,0.9762532981272758,0.02635731502193544,0,2,39.9,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0,31.0,31.95
2000-02-08,39.0,39.9,37.05,37.9,39.85,38.8,65.0,15.2,11300,431575.0,2.8500000000000014,1.1000000000000014,0.20000000000000284,0.8999999999999986,1.75,37.9,39.0,37.0,7600.0,39.25,42.0,38.1,8150.0,40.05,40.1,36.0,7200.0,34.35,36.75,32.0,12050.0,38.65,1.5394804318340936,9016.666666666666,38.62,1.7824140933015389,7800.0,37.214999999999996,1.9649780886537076,7140.0,40.04,3.8981599910457234,6560.0,42.720763694601864,0.0237467018469657,0.023076923076922995,0.48684210526315796,0.9724310776698639,0.9548969071918841,0.02618316630944789,1,2,41.9,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0,31.0,31.95,31.95
2000-02-09,41.5,41.9,41.5,38.8,41.9,41.9,65.0,15.2,6800,284860.0,0.3999999999999986,2.700000000000003,0.3999999999999986,0.0,0.0,38.8,39.9,37.05,11300.0,37.9,39.0,37.0,7600.0,39.25,42.0,38.1,8150.0,37.1,37.1,32.0,4750.0,39.53333333333333,1.4843629385475159,8566.666666666666,39.58,1.317952958189309,8210.0,37.714999999999996,2.250833179069535,7150.0,39.95,3.6890761573511823,6355.0,47.136563847580966,0.07989690721649478,0.05012531328320802,-0.3982300884955752,0.9999999999761338,0.9904534605968867,0.023871375412483242,2,2,45.0,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0,31.0,31.95,31.95,30.0
2000-02-10,45.0,45.0,41.45,41.9,41.75,41.7,65.0,15.2,15850,676347.5,3.549999999999997,3.1000000000000014,3.299999999999997,0.0,0.25,41.9,41.9,41.5,6800.0,38.8,39.9,37.05,11300.0,37.9,39.0,37.0,7600.0,40.05,40.1,36.0,7200.0,40.8,2.569695182961072,11316.666666666666,39.910000000000004,2.3158151912447504,9940.0,38.13,2.95984703058193,8275.0,39.775,3.5529555895131524,6832.5,49.19540226718458,-0.004773269689737347,0.07398568019093088,1.3308823529411766,0.9266666666460742,0.9940047961392325,0.023434698878904668,3,2,41.0,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0,31.0,31.95,31.95,30.0,31.4
2000-02-11,40.0,41.0,39.5,41.7,40.9,40.4,65.0,15.2,8100,324557.5,1.5,-1.7000000000000028,0.3999999999999986,0.6000000000000014,0.5,41.7,45.0,41.45,15850.0,41.9,41.9,41.5,6800.0,38.8,39.9,37.05,11300.0,39.25,42.0,38.1,8150.0,41.333333333333336,2.098412098071616,10250.0,40.14,2.3114930239998475,9930.0,38.545,2.945736089861296,8625.0,39.5925,3.1313976617142716,6855.0,47.98206275014579,-0.03117505995203851,-0.0888888888888889,-0.48895899053627756,0.9853658536345034,0.9777227722530267,0.024957056915954724,4,2,38.0,39.7,38.5,37.45,35.6,36.5,35.7,34.85,33.65,35.0,36.65,39.0,36.0,35.0,31.0,31.95,31.95,30.0,31.4,30.0
