date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2024-10-14,200.0,200.55,193.5,197.67,194.42,193.98,270.89,183.85,200698,39492894.09,7.050000000000011,2.3300000000000125,6.02000000000001,0.5500000000000114,0.47999999999998977,197.67,201.8,197.0,173453.0,200.18,201.9,197.0,220521.0,196.09,201.69,194.53,311405.0,187.69,200.98,186.32,551092.0,197.27666666666664,0.7522189397610365,198224.0,196.164,3.21943007378587,248276.8,199.546,7.027582483013275,491709.2,215.3535,22.748092250837907,2267723.55,24.482658112172004,-0.018667476096524527,-0.006194251734390477,0.15707425066156255,0.9672400897483557,0.9975255180895066,0.005081876236839749,0,10,196.25,199.49,195.25,192.4,191.6,180.25,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0
2024-10-15,196.25,196.25,192.56,193.98,193.5,193.33,270.89,183.85,164066,31778167.01,3.6899999999999977,2.2700000000000102,2.9199999999999875,0.0,0.7700000000000102,193.98,200.55,193.5,200698.0,197.67,201.8,197.0,173453.0,200.18,201.9,197.0,220521.0,192.9,194.39,183.85,335307.0,194.99333333333334,2.911328448206278,179405.66666666666,196.25,2.403740834615259,214028.6,197.872,6.641458089573029,372493.1,212.0295,20.621641263998676,1035275.05,24.582967510328345,-0.003350860913496123,-0.02144103714784351,-0.18252299474832834,0.9851210191032607,0.9960171727047225,0.005162852846370008,1,10,199.49,195.25,192.4,191.6,180.25,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65
2024-10-16,193.31,199.49,192.54,193.33,194.4,194.3,270.89,183.85,236551,46312446.05,6.950000000000017,-0.020000000000010232,0.9900000000000091,5.189999999999998,0.7700000000000102,193.33,196.25,192.56,164066.0,193.98,200.55,193.5,200698.0,197.67,201.8,197.0,173453.0,196.09,201.69,194.53,311405.0,193.87,2.2402083236465167,200438.33333333334,195.892,2.3170606379628658,199057.8,196.065,5.328934540162119,351743.7,209.45749999999998,17.391879676567765,761721.3,28.215306440218896,0.005017327884963452,0.016509554140127447,0.44180390818329207,0.973983658323856,0.9909418425064799,0.005107719850180533,2,10,195.25,192.4,191.6,180.25,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0
2024-10-17,195.25,195.25,191.1,194.3,192.5,191.86,270.89,183.85,134131,25850691.57,4.150000000000006,0.9499999999999886,3.3899999999999864,0.0,0.7600000000000193,194.3,199.49,192.54,236551.0,193.33,196.25,192.56,164066.0,193.98,200.55,193.5,200698.0,200.18,201.9,197.0,220521.0,193.16333333333333,2.2164235455650214,178249.33333333334,194.228,2.8087577325210824,181779.8,194.589,4.169618820840905,309449.9,207.17249999999999,15.595046649497409,656102.4,24.85412394972471,-0.012557900154400392,-0.021254198205423847,-0.43297217090606255,0.9826376440410621,0.9960387782706346,0.005188681302269702,3,10,192.4,191.6,180.25,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0
2024-10-18,192.4,192.4,188.01,191.86,188.8,188.77,270.89,183.85,216412,40924945.8,4.390000000000015,0.539999999999992,3.6299999999999955,0.0,0.7600000000000193,191.86,195.25,191.1,134131.0,194.3,199.49,192.54,236551.0,193.33,196.25,192.56,164066.0,197.67,201.8,197.0,173453.0,191.64333333333335,3.56763693967518,195698.0,192.448,3.292524867027904,190371.6,193.677,3.553983680322634,254363.6,205.44250000000002,14.746363905080226,568108.25,24.347288732568202,-0.016105493589075426,-0.014596670934699074,0.6134376095011593,0.9811330561279568,0.9959739365312498,0.005288021664282816,4,10,191.6,180.25,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0,210.0
2024-10-21,191.6,191.6,178.51,188.77,179.22,179.79,270.89,178.51,427136,77874269.69,13.090000000000003,2.829999999999984,11.810000000000002,0.0,1.2800000000000011,188.77,192.4,188.01,216412.0,191.86,195.25,191.1,134131.0,194.3,199.49,192.54,236551.0,193.98,200.55,193.5,200698.0,186.8066666666667,1.9185497995451304,259226.33333333334,189.60999999999999,3.1664285875410636,235659.2,192.887,4.024585002760414,241968.0,203.40249999999997,14.792957285923537,538187.3,25.501618117200294,-0.04757111829210159,-0.004158004158004269,0.9737167994381088,0.938361169097399,0.9928805828967525,0.005484943893539325,0,10,180.25,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0,210.0,220.4
2024-10-22,180.0,180.25,171.1,179.79,172.6,171.86,270.89,171.1,305476,53311693.71,9.150000000000006,0.21000000000000796,8.139999999999986,0.25,0.7600000000000193,179.79,191.6,178.51,427136.0,188.77,192.4,188.01,216412.0,191.86,195.25,191.1,134131.0,193.33,196.25,192.56,164066.0,180.14000000000001,6.79564811723903,316341.3333333333,185.316,7.156135130082279,263941.2,190.783,6.787054343871591,238984.9,200.5455,14.938286830190835,481977.45,19.961441490739148,-0.0441070137382501,-0.059237995824634626,-0.28482731495355107,0.9534535367492182,0.9955777958745747,0.005729999906994138,1,10,176.65,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0,210.0,220.4,225.69
2024-10-23,173.0,176.65,167.02,171.86,174.88,175.05,270.89,167.02,295515,51124859.27,9.629999999999995,1.1399999999999864,2.0500000000000114,1.5999999999999943,5.97999999999999,171.86,180.25,171.1,305476.0,179.79,191.6,178.51,427136.0,188.77,192.4,188.01,216412.0,194.3,199.49,192.54,236551.0,175.5666666666667,7.8026170823214125,342709.0,181.466,8.228046548239636,275734.0,188.679,8.818116704955864,237395.9,197.89450000000002,14.667710293810627,431898.9,25.6667180459483,0.018561619923193273,-0.019972260748959747,-0.03260812633398369,0.9909425417436121,0.9541273921682141,0.005780260409898239,2,10,177.29,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0,210.0,220.4,225.69,232.0
2024-10-24,176.1,177.29,171.0,175.05,171.5,171.65,270.89,167.02,246203,42562541.92,6.289999999999992,1.049999999999983,4.449999999999989,1.1899999999999977,0.6500000000000057,175.05,176.65,167.02,295515.0,171.86,180.25,171.1,305476.0,179.79,191.6,178.51,427136.0,191.86,195.25,191.1,134131.0,172.85333333333335,1.920555475203411,282398.0,177.424,7.758445076173356,298148.4,185.826,9.64412665247031,239964.1,195.39000000000001,14.399761428944808,410213.2,27.96439367834229,-0.01942302199371615,0.003622983300311189,-0.16686801008409047,0.9681877150376887,0.9962132245791074,0.0057844994423209015,3,10,173.34,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0,210.0,220.4,225.69,232.0,225.95
2024-10-25,173.34,173.34,160.24,171.65,161.38,161.34,270.89,160.24,454884,74335738.84,13.099999999999994,1.6899999999999977,12.0,0.0,1.0999999999999943,171.65,177.29,171.0,246203.0,175.05,176.65,167.02,295515.0,171.86,180.25,171.1,305476.0,188.77,192.4,188.01,216412.0,169.3466666666667,2.120070753536409,332200.6666666667,171.93800000000002,7.024836652905099,345842.8,182.193,10.32811594091042,268107.2,192.2695,14.175657963008657,400489.45,27.912824804848626,-0.060064083891639974,-0.02227988042190754,0.8475973079125763,0.9307718933833462,0.993182099907071,0.006119317667361735,4,10,171.9,172.19,171.8,172.69,184.0,184.99,194.8,215.99,219.65,209.54,206.0,202.65,189.0,183.0,210.0,220.4,225.69,232.0,225.95,227.99
