date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2019-11-20,450.0,469.95,450.0,470.0,465.0,463.2,500.0,400.05,63,28696.8,19.94999999999999,-20.0,13.199999999999989,6.75,0.0,470.0,476.0,432.4,329.0,475.2,480.0,425.0,1131.0,451.15,475.05,410.0,963.0,452.8,472.0,432.65,517.0,469.4666666666667,5.0597266065800826,507.6666666666667,466.02,4.162481231189055,949.8,459.51000000000005,13.453578623465864,634.0,461.3675,16.301106678608306,474.7,45.168839848663566,-0.014468085106382977,-0.012710084033613511,-0.8085106382978724,0.9856367698670377,0.9715025906714778,0.0021953667307852377,2,11,495.0,488.0,467.7,458.0,450.9,458.0,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25
2019-11-21,446.0,495.0,446.0,463.2,455.0,457.85,500.0,400.05,353,162292.9,49.0,-17.19999999999999,11.850000000000023,37.14999999999998,0.0,463.2,469.95,450.0,63.0,470.0,476.0,432.4,329.0,475.2,480.0,425.0,1131.0,470.55,480.0,436.5,2263.0,463.68333333333334,13.070992056203382,248.33333333333334,463.4799999999999,9.530280688416308,567.8,458.29499999999996,12.396895892834527,664.4,461.88500000000005,16.390092482318316,486.95,46.522038563007534,-0.011550086355785805,0.05330354293009898,4.603174603174603,0.9249494949476265,0.9741181609676223,0.0021750797477893234,3,11,488.0,467.7,458.0,450.9,458.0,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2
2019-11-22,488.0,488.0,418.05,457.85,446.2,451.15,500.0,400.05,2627,1239748.7,69.94999999999999,30.149999999999977,36.85000000000002,0.0,33.099999999999966,457.85,495.0,446.0,353.0,463.2,469.95,450.0,63.0,470.0,476.0,432.4,329.0,451.15,475.05,410.0,963.0,457.3999999999999,12.924814634389536,1014.3333333333334,463.48,9.87398096007889,900.6,457.875,12.153861983382557,864.6,462.1925,15.847683501648474,584.1,46.57014822025519,-0.014633613628917908,-0.014141414141414121,6.441926345609065,0.9244877049161383,0.9266319405942002,0.002118977821876319,4,11,467.7,458.0,450.9,458.0,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8
2019-11-25,442.05,467.7,442.0,451.15,447.05,454.1,500.0,400.05,82,36717.6,25.69999999999999,-9.099999999999966,12.050000000000011,13.599999999999966,0.05000000000001137,451.15,488.0,418.05,2627.0,457.85,495.0,446.0,353.0,463.2,469.95,450.0,63.0,475.2,480.0,425.0,1131.0,454.3666666666666,14.179680297289156,1020.6666666666666,459.26000000000005,11.779728350008789,690.8,458.3,12.174496339114478,866.3,462.5475,14.36981370974001,577.6,47.97550186681418,0.006538845173445829,-0.04159836065573774,-0.9687856870955462,0.9709215308937975,0.9733538868069294,0.0022332614332090817,0,11,458.0,450.9,458.0,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4
2019-11-26,441.05,458.0,441.05,454.1,458.0,453.65,500.0,400.05,112,49917.3,16.94999999999999,-13.050000000000011,12.599999999999966,4.350000000000023,0.0,454.1,467.7,442.0,82.0,451.15,488.0,418.05,2627.0,457.85,495.0,446.0,353.0,470.0,476.0,432.4,329.0,452.9666666666667,15.308929855915359,940.3333333333334,455.98999999999995,15.281753826050233,647.4,459.96500000000003,10.451507068361044,844.0,460.2975,14.107835402245163,561.5,44.05238268012562,-0.0009909711517287478,-0.020739790463972563,0.36585365853658547,0.9905021834039508,0.9722252838069609,0.002243711098156306,1,11,450.9,458.0,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4,489.6
2019-11-27,445.0,450.9,431.2,453.65,432.15,432.85,500.0,400.05,911,403818.1,19.69999999999999,-8.649999999999977,12.149999999999977,5.899999999999977,1.650000000000034,453.65,458.0,441.05,112.0,454.1,467.7,442.0,82.0,451.15,488.0,418.05,2627.0,463.2,469.95,450.0,63.0,446.8666666666666,8.43346508461044,368.3333333333333,449.9200000000001,19.00439422870409,817.0,457.96999999999997,13.164636974359269,883.4,459.07250000000005,14.482014935047768,601.1,38.26224328255501,-0.04585032514052678,-0.015502183406113534,7.133928571428571,0.9599689509847862,0.9961880559062118,0.0022559662382642034,2,11,458.0,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4,489.6,479.7
2019-11-28,440.0,458.0,435.25,432.85,452.65,436.85,500.0,400.05,1282,568507.7,22.75,7.149999999999977,3.1499999999999773,18.0,1.6000000000000227,432.85,450.9,431.2,911.0,453.65,458.0,441.05,112.0,454.1,467.7,442.0,82.0,457.85,495.0,446.0,353.0,441.1166666666666,4.0991869112477985,768.3333333333334,445.71999999999997,14.421754400904272,1002.8,454.6,13.88047789763258,785.3,457.03249999999997,14.524937720674485,633.9,43.733062326475185,0.009241076585422281,0.015746285207363098,0.4072447859495061,0.9538209606966075,0.9963374155865942,0.0022550266249691917,3,11,470.0,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4,489.6,479.7,479.95
2019-11-29,466.9,470.0,440.05,436.85,465.0,463.15,500.0,400.05,2559,1183447.9,29.94999999999999,30.049999999999955,3.75,3.1000000000000227,23.099999999999966,436.85,458.0,435.25,1282.0,432.85,450.9,431.2,911.0,453.65,458.0,441.05,112.0,451.15,488.0,418.05,2627.0,444.2833333333333,9.654187347122658,1584.0,448.12,7.840089285206008,989.2,455.8,13.843338751102552,944.9,456.7925,14.427682638448497,747.9,53.94893111190447,0.06020373125786871,0.026200873362445476,0.9960998439937598,0.9854255319127969,0.9501241498414119,0.002162325861577851,4,11,459.95,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4,489.6,479.7,479.95,474.95
2019-12-02,459.95,459.95,435.5,463.15,435.5,440.35,500.0,400.05,71,31498.05,24.44999999999999,-3.1999999999999886,19.599999999999966,0.0,4.850000000000023,463.15,470.0,440.05,2559.0,436.85,458.0,435.25,1282.0,432.85,450.9,431.2,911.0,454.1,467.7,442.0,82.0,446.7833333333333,6.439526380100342,1304.0,445.37,6.870735040736338,987.0,452.31499999999994,13.903956271507738,838.9,455.75499999999994,13.60631142250956,738.3,50.939164560060846,-0.04922811184281539,-0.021382978723404333,-0.9722547870261821,0.9573866724623169,0.9889860338344748,0.002254107793974476,0,12,459.75,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4,489.6,479.7,479.95,474.95,475.0
2019-12-03,432.0,459.75,432.0,440.35,447.2,434.95,500.0,400.05,803,354902.05,27.75,-8.350000000000023,2.9499999999999886,24.80000000000001,0.0,440.35,459.95,435.5,71.0,463.15,470.0,440.05,2559.0,436.85,458.0,435.25,1282.0,453.65,458.0,441.05,112.0,446.15000000000003,5.860958397168621,1144.3333333333333,441.63,6.827938927670792,1125.2,448.81000000000006,13.989723410815175,886.3,454.5,13.618395067353736,767.2,44.68591842437866,-0.012262972635403768,-0.00043482987281229235,10.309859154929578,0.9460576400196932,0.9932176112173969,0.002262596116308705,1,12,450.0,453.9,470.0,465.0,459.3,440.05,464.95,459.95,485.0,508.5,475.25,498.2,479.8,481.4,489.6,479.7,479.95,474.95,475.0,477.0
