date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2019-03-07,62.3,62.6,62.3,62.4,62.4,62.4,69.98,58.1,15352,957289.9,0.30000000000000426,-0.10000000000000142,0.10000000000000142,0.20000000000000284,0.0,62.4,62.55,62.4,134051.0,61.6,61.6,61.2,255.0,60.65,60.65,60.2,837456.0,59.35,59.9,59.15,8096.0,62.133333333333326,0.5634713834791888,49886.0,61.370000000000005,1.1828989813166475,198423.0,60.315999999999995,3.2451024637135943,101560.2,59.7255,2.5934703431989816,51437.25,79.33884279161265,0.0,0.0007993605115907965,-0.8854764231523823,0.9968051118051628,0.9983974358814359,0.016036939280358,3,3,62.25,63.28,63.9,63.75,63.62,63.75,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9
2019-03-08,62.25,62.25,62.0,62.4,62.0,62.0,69.98,58.1,1380,85878.25,0.25,-0.14999999999999858,0.25,0.0,0.0,62.4,62.6,62.3,15352.0,62.4,62.55,62.4,134051.0,61.6,61.6,61.2,255.0,59.8,59.9,59.8,5001.0,62.26666666666667,0.18929694485989626,50261.0,61.80999999999999,0.8189932844657158,197698.8,60.636,3.1049916800747432,101688.2,59.823,2.6262528839634474,51148.55,73.80952364550271,-0.0064102564102563875,-0.005591054313099031,-0.9101094319958312,0.9959839357269722,0.999999999983871,0.01606926084311201,4,3,63.28,63.9,63.75,63.62,63.75,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05
2019-03-11,62.6,63.28,62.35,62.0,63.28,63.28,69.98,58.1,80881,5117295.15,0.9299999999999997,0.6000000000000014,0.6799999999999997,0.0,0.25,62.0,62.25,62.0,1380.0,62.4,62.6,62.3,15352.0,62.4,62.55,62.4,134051.0,60.65,60.65,60.2,837456.0,62.56,0.5237365750069002,32537.666666666668,62.336,0.6090402285563005,46383.8,61.023,3.0246770259171747,108697.8,60.012,2.6936643013599633,55192.4,83.75706198127143,0.020645161290322678,0.01654618473895586,57.60942028985507,0.9999999999841973,0.985303413385188,0.015805420173976084,0,3,63.9,63.75,63.62,63.75,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75
2019-03-12,63.84,63.9,63.4,63.28,63.7,63.83,69.98,58.1,942247,60067880.94,0.5,0.5600000000000023,0.010000000000005116,0.05999999999999517,0.4299999999999997,63.28,63.28,62.35,80881.0,62.0,62.25,62.0,1380.0,62.4,62.6,62.3,15352.0,61.6,61.6,61.2,255.0,63.03666666666667,0.833446658961023,341502.6666666667,62.782,0.6667308302455215,234782.2,61.451,2.907597137003538,202908.4,60.19599999999999,2.7900961594445755,102290.85,87.80487788221305,0.008691529709228707,0.009797724399494223,10.649794142011103,0.9989045383255258,0.993263355773253,0.015686369907757895,1,3,63.75,63.62,63.75,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7
2019-03-13,63.7,63.75,63.0,63.83,63.38,63.38,69.98,58.1,268541,17024650.08,0.75,-0.12999999999999545,0.3200000000000003,0.04999999999999716,0.38000000000000256,63.83,63.9,63.4,942247.0,63.28,63.28,62.35,80881.0,62.0,62.25,62.0,1380.0,62.4,62.55,62.4,134051.0,63.49666666666667,0.32347076117215817,430556.3333333333,62.977999999999994,0.7161913152223122,261680.2,61.86900000000001,1.4841368610145989,229326.0,60.364999999999995,2.8579411065347466,115717.7,84.37499984619151,-0.007049976500078214,-0.0023474178403755097,-0.7149993579178283,0.9941960784157774,0.9940044177817292,0.01577365753411127,2,3,63.62,63.75,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7,64.55
2019-03-14,63.62,63.62,63.25,63.38,63.37,63.36,69.98,58.1,120055,7603704.0,0.36999999999999744,0.23999999999999488,0.259999999999998,0.0,0.10999999999999943,63.38,63.75,63.0,268541.0,63.83,63.9,63.4,942247.0,63.28,63.28,62.35,80881.0,62.4,62.6,62.3,15352.0,63.52333333333333,0.14011899704642794,443614.3333333333,63.17,0.6614000302387752,282620.8,62.27,1.3487360338068142,240521.9,60.58549999999999,2.872545680091183,121470.45,82.5714284062858,-0.0003155569580309825,-0.0020392156862745203,-0.5529360507334076,0.9959132348161599,0.9982638888731336,0.015789015458781665,3,3,63.75,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7,64.55,64.74
2019-03-15,63.75,63.75,63.58,63.36,63.72,63.72,69.98,58.1,232587,14790208.19,0.1700000000000017,0.39000000000000057,0.030000000000001137,0.0,0.14000000000000057,63.36,63.62,63.25,120055.0,63.38,63.75,63.0,268541.0,63.83,63.9,63.4,942247.0,62.0,62.25,62.0,1380.0,63.48666666666667,0.07505553499440412,207061.0,63.513999999999996,0.2344141633942749,328862.2,62.662,1.0741947888742032,263280.5,60.82899999999999,2.8676935074431444,133092.3,81.92592575600557,0.005681818181818121,0.0020433825840930897,0.9373370538503185,0.999529411749027,0.9978028876177369,0.01572574212696055,4,3,63.72,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7,64.55,64.74,65.24
2019-03-18,63.72,63.72,63.5,63.72,63.5,63.5,69.98,58.1,421,26787.6,0.21999999999999886,0.0,0.21999999999999886,0.0,0.0,63.72,63.75,63.58,232587.0,63.36,63.62,63.25,120055.0,63.38,63.75,63.0,268541.0,63.28,63.28,62.35,80881.0,63.52666666666667,0.06806859285526533,117687.66666666667,63.55800000000001,0.10034938963358979,312770.2,62.947,0.7956241435362752,179577.0,61.053999999999995,2.8473068993256327,133113.25,78.91654449416822,-0.003452605147520438,-0.00047058823529411153,-0.9981899246303534,0.9965473948368402,0.999999999984252,0.015716226910958215,0,3,63.97,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7,64.55,64.74,65.24,65.26
2019-03-19,63.9,63.97,63.47,63.5,63.92,63.92,69.98,58.1,49121,3140391.52,0.5,0.3999999999999986,0.020000000000003126,0.04999999999999716,0.4299999999999997,63.5,63.72,63.5,421.0,63.72,63.75,63.58,232587.0,63.36,63.62,63.25,120055.0,63.83,63.9,63.4,942247.0,63.71333333333333,0.136503968196161,94043.0,63.576,0.12794530081184555,134145.0,63.178999999999995,0.635338055246579,184463.6,61.325,2.784506759685962,135561.75,84.2028983798782,0.006614173228346454,0.003923414940364189,115.6769596199525,0.9992183836017006,0.9929599499218874,0.015641680245016068,1,3,63.95,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7,64.55,64.74,65.24,65.26,65.0
2019-03-20,63.36,63.95,63.36,63.92,63.68,63.68,69.98,58.1,82818,5289777.51,0.5900000000000034,-0.5600000000000023,0.3200000000000003,0.2700000000000031,0.0,63.92,63.97,63.47,49121.0,63.5,63.72,63.5,421.0,63.72,63.75,63.58,232587.0,63.38,63.75,63.0,268541.0,63.699999999999996,0.13892443989438094,44120.0,63.636,0.1522169504353329,97000.4,63.306999999999995,0.5951367723287171,179340.3,61.596500000000006,2.671399987784834,139692.65,80.97281814969679,-0.003754693366708417,-0.00031264655307172706,0.6859998778526495,0.9957779515090575,0.9949748743562348,0.015656235038891075,2,3,63.89,63.45,65.0,64.0,75.7,71.95,65.55,65.5,65.36,64.72,64.9,65.05,74.75,64.7,64.55,64.74,65.24,65.26,65.0,64.18
