date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2021-09-17,98.0,103.95,95.8,99.0,103.95,103.95,106.9,58.65,226525,23335868.3,8.150000000000006,-1.0,5.950000000000003,0.0,2.200000000000003,99.0,101.95,92.25,186699.0,97.1,106.9,97.1,119762.0,102.2,102.3,99.45,535594.0,93.2,93.2,91.0,381458.0,100.01666666666667,2.4901472513354888,177662.0,99.94000000000001,3.293440450349641,320659.2,91.01500000000001,11.858903125219138,345777.5,78.38,14.447218818130612,212777.4,85.766092453296,0.050000000000000044,0.019617459538989745,0.21331662194227063,0.9999999999903799,0.9215969215880557,0.009707159686018626,4,9,109.1,113.2,114.0,234.8,222.4,219.95,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1
2021-09-20,108.0,109.1,100.05,103.95,109.1,107.9,109.1,58.65,173071,18607547.4,9.049999999999997,4.049999999999997,0.09999999999999432,1.0999999999999943,7.8500000000000085,103.95,103.95,95.8,226525.0,99.0,101.95,92.25,186699.0,97.1,106.9,97.1,119762.0,97.45,97.85,88.55,534716.0,103.61666666666667,3.688834504284555,195431.66666666666,102.03,3.0816797367668163,248330.2,94.64,10.197793879070057,360299.6,80.475,15.228067921820509,220913.0,89.05299737190717,0.03799903799903803,0.049543049543049555,-0.23597395430967882,0.9890009165812191,0.9272474513352432,0.009301118319333154,0,9,113.2,114.0,234.8,222.4,219.95,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9
2021-09-21,109.05,113.2,108.0,107.9,108.95,110.3,113.2,58.65,519216,56804055.85,5.200000000000003,1.1499999999999915,1.25,2.9000000000000057,1.0499999999999972,107.9,109.1,100.05,173071.0,103.95,103.95,95.8,226525.0,99.0,101.95,92.25,186699.0,102.2,102.3,99.45,535594.0,107.38333333333333,4.634921790062929,306270.6666666667,103.65,4.406330673020258,245054.6,98.065,9.267020376942376,394025.4,82.775,16.359811155775343,240329.7,89.00523558034774,0.022242817423540284,0.03758020164986253,2.000017333926539,0.9743816254330884,0.9791477787762544,0.009140474077609371,1,9,114.0,234.8,222.4,219.95,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9
2021-09-22,112.2,114.0,107.0,110.3,112.45,112.85,114.0,58.65,69073,7756675.2,7.0,1.9000000000000057,0.6499999999999915,1.1500000000000057,5.200000000000003,110.3,113.2,108.0,519216.0,107.9,109.1,100.05,173071.0,103.95,103.95,95.8,226525.0,97.1,106.9,97.1,119762.0,110.35000000000001,2.6286878856189895,253786.66666666666,106.8,5.3918225119155325,234916.8,101.275,8.192145628588307,347024.2,85.15,17.02052476153113,239654.0,89.32203387711002,0.02311876699909332,0.007067137809187329,-0.8669667344611877,0.9899122806930709,0.9481612760217265,0.008904975162554181,2,9,234.8,222.4,219.95,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75
2022-03-29,230.0,234.8,213.05,223.65,234.8,234.8,234.8,58.65,34602,8061198.4,21.75,6.349999999999994,4.800000000000011,0.0,16.94999999999999,112.85,114.0,107.0,69073.0,110.3,113.2,108.0,519216.0,107.9,109.1,100.05,173071.0,99.0,101.95,92.25,186699.0,152.65,69.97599588430306,207630.33333333334,133.95999999999998,55.926719910969204,204497.4,115.875,41.640660217308415,278071.6,93.53,36.5553041726901,237077.85,97.16272600077731,1.080638015064245,1.0596491228070177,-0.49905172788209573,0.9999999999957411,0.9073679727388954,0.004292413892207391,1,3,222.4,219.95,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75,213.95
2022-03-30,214.0,222.4,208.0,234.8,214.5,213.3,234.8,58.65,26083,5631687.6,14.400000000000006,-20.80000000000001,0.6999999999999886,8.400000000000006,5.300000000000011,234.8,234.8,213.05,34602.0,112.85,114.0,107.0,69073.0,110.3,113.2,108.0,519216.0,103.95,103.95,95.8,226525.0,186.98333333333335,66.45419475097111,43252.666666666664,155.82999999999998,63.987108076549276,164409.0,127.88499999999999,51.95256089292742,242534.1,100.7025,45.62547014898354,234694.3,86.34847317829674,-0.09156729131175467,-0.05281090289608181,-0.2461996416392116,0.9590827338086373,0.9751523675528591,0.0046314713905650584,2,3,219.95,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75,213.95,201.05
2022-03-31,219.95,219.95,202.65,213.3,215.0,214.1,234.8,58.65,12823,2694325.4,17.299999999999983,6.649999999999977,5.849999999999994,0.0,11.449999999999989,213.3,222.4,208.0,26083.0,234.8,234.8,213.05,34602.0,112.85,114.0,107.0,69073.0,107.9,109.1,100.05,173071.0,220.73333333333335,7.961208032285428,24502.666666666668,177.07,61.666964413695574,132359.4,139.55,57.44625241620784,190344.8,108.1825,51.74701586870288,234501.9,86.09150326167173,0.0037505860290669712,-0.011016187050359783,-0.5083771038607522,0.973403046142426,0.9465203176041733,0.0047592618174478836,3,3,218.0,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75,213.95,201.05,196.75
2022-04-01,210.1,218.0,205.2,214.1,214.9,214.95,234.8,58.65,10097,2165041.95,12.800000000000011,-4.0,4.849999999999994,3.0500000000000114,4.900000000000006,214.1,219.95,202.65,12823.0,213.3,222.4,208.0,26083.0,234.8,234.8,213.05,34602.0,110.3,113.2,108.0,519216.0,214.11666666666667,2.2047297642401382,16334.333333333334,198.0,49.53296377161371,30535.6,150.825,59.96671414672938,137795.1,115.7825,55.86920957868803,234074.3,85.80576306722902,0.00397010742643622,-0.00886565128438277,-0.21258675816891526,0.9860091743074036,0.9546406140918603,0.004663650974522685,4,4,217.0,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75,213.95,201.05,196.75,200.05
2022-04-04,217.0,217.0,207.2,214.95,208.2,209.45,234.8,58.65,2776,588115.7,9.800000000000011,2.0500000000000114,7.550000000000011,0.0,2.25,214.95,218.0,205.2,10097.0,214.1,219.95,202.65,12823.0,213.3,222.4,208.0,26083.0,112.85,114.0,107.0,69073.0,212.83333333333334,1.5002777520601103,8565.333333333334,217.32,7.2159198997769645,17276.2,162.06,60.37739206211395,126096.5,122.975,58.6892516834036,225227.65,82.63456856285158,-0.025587345894394042,-0.004587155963302725,-0.7250668515400613,0.9652073732674414,0.9892575793698293,0.004720159655659584,0,4,210.15,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75,213.95,201.05,196.75,200.05,205.0
2022-04-05,209.45,210.15,204.25,209.45,209.0,209.1,234.8,58.65,7055,1458226.45,5.900000000000006,0.0,0.3499999999999943,0.700000000000017,4.849999999999994,209.45,217.0,207.2,2776.0,214.95,218.0,205.2,10097.0,214.1,219.95,202.65,12823.0,234.8,234.8,213.05,34602.0,211.16666666666666,4.272879591094693,6642.666666666667,212.18,4.59714585367887,11766.8,173.07,57.355835942532174,108132.1,130.10750000000002,60.11347881736934,220137.8,82.0519911440889,-0.0016710432084029447,-0.03156682027649771,1.5414265129682998,0.9950035688746371,0.9768053562841856,0.004838068874693636,1,4,211.0,205.1,204.9,211.95,216.6,234.45,236.3,228.0,230.0,234.0,225.1,220.9,214.9,214.75,213.95,201.05,196.75,200.05,205.0,222.0
