date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2024-10-22,250.0,251.55,242.1,251.05,243.4,243.55,350.0,242.1,510385,125342686.7,9.450000000000017,-1.0500000000000114,6.449999999999989,1.5500000000000114,1.450000000000017,251.05,269.0,249.05,891228.0,266.1,269.4,264.15,337568.0,269.45,274.5,266.5,542532.0,274.6,278.0,271.0,397244.0,253.5666666666667,10.192194726030866,579727.0,259.69,9.95479783822865,578920.4,270.61,13.243925232179453,523064.3,285.69,23.253966271765815,3088066.6,14.647887321633007,-0.029874526986656047,-0.06486988847583641,-0.42732387223022616,0.9681971774956541,0.9940463970396467,0.004071916865972205,1,10,250.9,247.0,241.65,236.45,251.9,248.9,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0
2024-10-23,243.0,250.9,240.65,243.55,243.1,244.2,350.0,240.65,666411,163557713.1,10.25,-0.5500000000000114,1.1999999999999886,6.700000000000017,2.3499999999999943,243.55,251.55,242.1,510385.0,251.05,269.0,249.05,891228.0,266.1,269.4,264.15,337568.0,268.3,277.0,268.0,612889.0,246.26666666666665,10.267545958017296,689341.3333333334,254.87000000000003,11.030616483225307,589624.8,266.495,14.779148223839782,530476.8,281.73,21.504229082230633,1373027.75,17.831482687790427,0.0026688564976389273,-0.0025839793281653423,0.3057025578729782,0.9732961339140164,0.9854627354587001,0.004074470028769313,2,10,247.0,241.65,236.45,251.9,248.9,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4
2024-10-24,245.9,247.0,237.5,244.2,238.95,239.05,350.0,237.5,314065,75769121.45,9.5,1.700000000000017,6.849999999999994,1.0999999999999943,1.5500000000000114,244.2,250.9,240.65,666411.0,243.55,251.55,242.1,510385.0,251.05,269.0,249.05,891228.0,269.45,274.5,266.5,542532.0,242.26666666666665,2.4608602831794664,496953.6666666667,248.79000000000002,10.759275068516544,543931.4,261.42,15.435489410230494,511102.8,277.9925,21.438810724085396,1059960.3,16.93548386802607,-0.021089271089270945,-0.015544041450777257,-0.5287217647967996,0.967813765178268,0.9935160008324889,0.004145026284978787,3,10,241.65,236.45,251.9,248.9,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95
2024-10-25,239.1,241.65,229.05,239.05,231.8,231.0,350.0,229.05,581309,135030140.7,12.599999999999994,0.04999999999998295,8.099999999999994,2.5500000000000114,1.9499999999999886,239.05,247.0,237.5,314065.0,244.2,250.9,240.65,666411.0,243.55,251.55,242.1,510385.0,266.1,269.4,264.15,337568.0,238.08333333333334,4.643902812649037,520595.0,241.76999999999998,10.277803753721019,592679.6,256.14,15.50356679391351,535609.8,274.3125,22.363941842547426,969003.55,18.13953488034612,-0.033674963396779,-0.02165991902834008,0.8509193956665022,0.9559279950301844,0.9915584415541492,0.00430503143214158,4,10,236.45,251.9,248.9,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65
2024-10-28,234.65,236.45,226.65,231.0,233.85,232.4,350.0,226.65,557994,129225125.7,9.799999999999983,3.6500000000000057,2.25,1.799999999999983,5.75,231.0,241.65,229.05,581309.0,239.05,247.0,237.5,314065.0,244.2,250.9,240.65,666411.0,251.05,269.0,249.05,891228.0,234.15,5.275177722124225,484456.0,238.04000000000002,6.417495617450938,526032.8,251.97000000000003,15.652750024623062,541162.5,270.48249999999996,23.097671761228998,864126.25,11.68458781127471,0.0060606060606061,-0.02151872542934008,-0.04010775680404055,0.982871643049343,0.975258175555184,0.004317999282085434,0,10,251.9,248.9,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95
2024-10-29,243.0,251.9,240.2,232.4,246.8,246.95,350.0,226.65,1531270,376934444.3,11.700000000000017,10.599999999999994,3.9499999999999886,4.950000000000017,2.8000000000000114,232.4,236.45,226.65,557994.0,231.0,241.65,229.05,581309.0,239.05,247.0,237.5,314065.0,243.55,251.55,242.1,510385.0,236.78333333333333,7.8613506049106565,890191.0,238.71999999999997,6.501211425573078,730209.8,249.205,14.355855367526416,654565.1,267.83000000000004,22.67171594624832,831828.15,27.088305484734605,0.06260757314974175,0.06534150983294573,1.7442409775015504,0.9803493449742741,0.9726665316826375,0.004062430545034698,1,10,248.9,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95,250.5
2024-10-30,248.9,248.9,243.2,246.95,245.55,246.1,350.0,226.65,373775,92225820.15,5.700000000000017,1.950000000000017,2.8000000000000114,0.0,2.9000000000000057,246.95,251.9,240.2,1531270.0,232.4,236.45,226.65,557994.0,231.0,241.65,229.05,581309.0,244.2,250.9,240.65,666411.0,241.8166666666667,8.192527082652584,821013.0,239.1,6.143756993892413,671682.6,246.98499999999999,12.639493880514317,630653.7,264.82,21.523544482850987,720329.7,22.755610968596244,-0.0034419923061348445,-0.01190948789202062,-0.7559052289929274,0.9887505022057503,0.9882161722836724,0.004052823812161024,2,10,253.9,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95,250.5,246.35
2024-10-31,246.5,253.9,244.1,246.1,249.5,250.2,350.0,226.65,432718,107933004.45,9.800000000000011,0.4000000000000057,3.6999999999999886,3.700000000000017,2.4000000000000057,246.1,248.9,243.2,373775.0,246.95,251.9,240.2,1531270.0,232.4,236.45,226.65,557994.0,239.05,247.0,237.5,314065.0,247.75,2.516611478422845,779254.3333333334,241.33,7.317564485537647,695413.2,245.06,10.436502447340125,619672.3,262.65749999999997,20.633473538480136,688012.95,28.54406129757828,0.016659894351889415,0.020088388911209343,0.15769647515216367,0.9854273335920227,0.9756195043925835,0.004009135131603389,3,10,256.0,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95,250.5,246.35,234.09
2024-11-01,252.45,256.0,251.75,250.2,254.5,254.65,350.0,226.65,208995,53175367.1,4.25,2.25,2.200000000000017,1.3499999999999943,0.6999999999999886,250.2,253.9,244.1,432718.0,246.1,248.9,243.2,373775.0,246.95,251.9,240.2,1531270.0,231.0,241.65,229.05,581309.0,250.31666666666663,3.6473734842115775,338496.0,246.06,7.71375394992618,620950.4,243.91500000000002,8.675068043281192,606815.0,260.77250000000004,19.429118644853443,617321.75,36.68720054053904,0.017785771382893723,0.00827097282394651,-0.5170180117305034,0.9947265624961145,0.9886118201414152,0.003930297267284874,4,11,260.7,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95,250.5,246.35,234.09,235.95
2024-11-04,256.95,260.7,252.35,254.65,258.2,259.4,350.0,226.65,523016,134336798.7,8.349999999999994,2.299999999999983,2.4499999999999886,1.3000000000000114,4.599999999999994,254.65,256.0,251.75,208995.0,250.2,253.9,244.1,432718.0,246.1,248.9,243.2,373775.0,232.4,236.45,226.65,557994.0,254.75,3.481857741684753,388243.0,251.45999999999998,4.442071588797454,613954.8,244.75,6.959783282066779,569993.8,259.79499999999996,18.379859543590303,565642.15,40.16817593062926,0.01865305321028843,0.018359374999999956,1.5025287686308286,0.9950134253893556,0.9728218966809067,0.0038933189197696734,0,11,264.2,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95,250.5,246.35,234.09,235.95,250.33
2024-11-05,259.9,264.2,257.15,259.4,259.2,259.85,350.0,226.65,432549,113111724.85,7.050000000000011,0.5,0.049999999999954525,4.300000000000011,2.7000000000000455,259.4,260.7,252.35,523016.0,254.65,256.0,251.75,208995.0,250.2,253.9,244.1,432718.0,246.95,251.9,240.2,1531270.0,257.96666666666664,4.114608122287861,388186.6666666667,254.03999999999996,5.945838881100082,394210.6,246.38000000000002,8.312233287283586,562210.2,258.495,17.63342743648826,542637.25,44.086773959171246,0.001734772552043351,0.013425393172228572,-0.17297176377013324,0.9835352006018793,0.9896093900289027,0.0038240863232667788,1,11,263.95,264.9,262.8,255.4,253.25,243.45,240.0,241.0,243.1,240.0,234.4,238.95,232.65,245.95,250.5,246.35,234.09,235.95,250.33,255.8
