date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2025-02-07,700.0,724.5,686.05,715.65,689.05,697.2,744.0,362.1,6849737,4852443889.85,38.450000000000045,-15.649999999999977,2.7999999999999545,24.5,11.150000000000091,715.65,744.0,647.3,17771938.0,656.5,709.0,628.0,10076439.0,644.8,644.8,545.05,6873879.0,544.0,583.45,524.6,1789024.0,689.7833333333334,17.53805386391084,11566038.0,650.3,70.38073600069814,8577960.6,586.275,84.76548694945228,5508458.8,555.7850000000001,74.15329605479093,6254058.35,66.65941240275686,-0.025780758750785893,-0.02620967741935487,-0.6145756866808786,0.962318840578382,0.9840074584036372,0.0014116056064713692,4,2,677.0,535.0,610.6,618.85,554.0,536.0,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0
2025-02-10,677.0,677.0,557.8,697.2,557.8,557.8,744.0,362.1,3676240,2186737280.5,119.20000000000005,-20.200000000000045,119.20000000000005,0.0,0.0,697.2,724.5,686.05,6849737.0,715.65,744.0,647.3,17771938.0,656.5,709.0,628.0,10076439.0,537.35,572.0,525.5,1317810.0,656.8833333333333,34.46133098609851,9432638.333333334,654.39,39.34841801140123,9049646.6,596.275,78.09071665555233,5700287.4,561.475,69.21353875773453,5704078.9,53.87862796701091,-0.19994262765347115,-0.06556245686680473,-0.46330202166886114,0.8239290989648095,0.9999999999982072,0.0016811530277470843,0,2,535.0,610.6,618.85,554.0,536.0,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0
2025-02-11,510.0,535.0,462.65,557.8,506.5,508.85,744.0,362.1,10515813,5329183111.4,72.35000000000002,-47.799999999999955,1.1499999999999773,25.0,46.200000000000045,557.8,677.0,557.8,3676240.0,697.2,724.5,686.05,6849737.0,715.65,744.0,647.3,17771938.0,644.8,644.8,545.05,6873879.0,587.9499999999999,98.59893508552753,7013930.0,627.2,83.56015797017118,9778033.4,594.885,77.36869324503564,6337020.3,560.2775,69.11081985516182,5444432.7,46.925373133207756,-0.08775546790964495,-0.20974889217134418,1.860480545339804,0.9511214953253251,0.9092070354703562,0.001973250455122277,1,2,610.6,618.85,554.0,536.0,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5
2025-02-12,517.65,610.6,502.4,508.85,558.0,568.15,744.0,362.1,19232341,10662888678.6,108.20000000000005,8.799999999999955,50.5,42.450000000000045,15.25,508.85,535.0,462.65,10515813.0,557.8,677.0,557.8,3676240.0,697.2,724.5,686.05,6849737.0,656.5,709.0,628.0,10076439.0,544.9333333333333,71.04965399868877,11141464.666666666,609.53,85.95750112701022,11609213.8,598.49,74.22632974745387,8016430.5,562.8725000000001,68.78444323812576,6104434.7,53.80963874687692,0.11653728996757384,0.1413084112149534,0.828897204619367,0.9304782181445619,0.8842735193155253,0.0018036708043851714,2,2,618.85,554.0,536.0,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45
2025-02-13,564.0,618.85,548.6,568.15,553.0,570.9,744.0,362.1,20435726,12110423396.4,70.25,-4.149999999999977,6.899999999999977,47.950000000000045,15.399999999999977,568.15,610.6,502.4,19232341.0,508.85,535.0,462.65,10515813.0,557.8,677.0,557.8,3676240.0,715.65,744.0,647.3,17771938.0,549.3000000000001,46.2137154965931,16727960.0,580.58,71.78797253022239,12141971.4,600.12,70.10389987566852,9853894.7,561.52,68.77372370584872,6361036.7,56.01894159544029,0.004840271055179146,0.013511300360301348,0.0625709059547146,0.9225175729160175,0.9609388684516362,0.0016874493426938995,3,2,554.0,536.0,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45,488.6
2025-02-14,511.0,554.0,501.0,570.9,505.8,507.75,744.0,362.1,13005360,6868550424.95,53.0,-59.89999999999998,3.25,43.0,6.75,570.9,618.85,548.6,20435726.0,568.15,610.6,502.4,19232341.0,508.85,535.0,462.65,10515813.0,697.2,724.5,686.05,6849737.0,548.9333333333334,35.30142820529202,17557809.0,542.6899999999999,56.42149856216129,13373096.0,596.495,73.37534118792514,10975528.3,559.9075,69.45435319424965,6804465.55,54.000160165362374,-0.11061481870730427,-0.10479114486547636,-0.3635968695215428,0.9165162454857103,0.986706056128042,0.0018934650246954653,4,2,536.0,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45,488.6,559.2
2025-02-17,518.0,536.0,480.2,507.75,495.0,496.0,744.0,362.1,16365779,8227410854.1,55.80000000000001,10.25,22.0,18.0,15.800000000000011,507.75,554.0,501.0,13005360.0,570.9,618.85,548.6,20435726.0,568.15,610.6,502.4,19232341.0,557.8,677.0,557.8,3676240.0,524.8833333333333,43.57683826682907,16602288.333333334,530.33,40.82806020373699,15911003.8,592.3599999999999,77.77750763841964,12480325.2,557.5024999999999,70.57641673168317,7458191.9,47.65823338760884,-0.023141309699655332,-0.032490974729241895,0.2583872341865201,0.9253731343266318,0.9681451612883707,0.0019891773110910552,0,2,526.5,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45,488.6,559.2,539.95
2025-02-18,503.0,526.5,485.0,496.0,491.3,498.7,744.0,362.1,9102130,4555854345.3,41.5,7.0,4.300000000000011,23.5,13.699999999999989,496.0,536.0,480.2,16365779.0,507.75,554.0,501.0,13005360.0,570.9,618.85,548.6,20435726.0,508.85,535.0,462.65,10515813.0,500.81666666666666,13.967223537029989,12824423.0,528.3,42.82421044222501,15628267.2,577.75,84.85904145503088,12703150.3,556.7525,71.59649777343199,7812842.4,47.041629759683644,0.005443548387096708,-0.017723880597014907,-0.4438315463015845,0.9471984805300148,0.9725285742912121,0.001997897498498853,1,2,522.2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45,488.6,559.2,539.95,550.0
2025-02-19,493.3,522.2,483.6,498.7,500.1,498.75,744.0,362.1,5552435,2806542556.85,38.60000000000002,-5.399999999999977,5.449999999999989,23.450000000000045,9.699999999999989,498.7,526.5,485.0,9102130.0,496.0,536.0,480.2,16365779.0,507.75,554.0,501.0,13005360.0,568.15,610.6,502.4,19232341.0,497.81666666666666,7.061397406559071,10340114.666666666,514.42,39.5790727531606,12892286.0,561.975,84.51715161236002,12250749.9,554.4449999999999,73.29707554121607,7826043.1,44.84826122935545,0.00010026067776225389,-0.008167141500474706,-0.3899850914016829,0.9550938337783318,0.9696240601484319,0.0019783897402332385,2,2,506.35,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45,488.6,559.2,539.95,550.0,528.0
2025-02-20,493.8,506.35,480.7,498.75,483.0,485.85,744.0,362.1,2104943,1035967260.75,25.650000000000034,-4.949999999999989,7.949999999999989,12.550000000000011,5.150000000000034,498.75,522.2,483.6,5552435.0,498.7,526.5,485.0,9102130.0,496.0,536.0,480.2,16365779.0,570.9,618.85,548.6,20435726.0,494.43333333333334,10.612374852031152,5586502.666666667,497.40999999999997,17.60335195353407,9226129.4,538.995,73.77687457613128,10684050.4,552.6975,75.0183584548686,7806715.7,44.65876733604258,-0.025864661654135257,-0.03035235541937964,-0.6208973180235338,0.9595141700385909,0.9894000205804478,0.0020318624726384724,3,2,501.15,469.95,497.4,491.4,462.4,452.4,440.9,522.95,527.0,533.5,524.0,504.0,508.5,506.45,488.6,559.2,539.95,550.0,528.0,587.0
