date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2021-01-11,140.9,141.1,136.65,134.4,141.1,141.1,141.1,97.05,28484,4005520.35,4.449999999999989,6.5,0.19999999999998863,0.0,4.25,134.4,134.4,131.95,23901.0,128.0,128.0,121.55,30971.0,121.95,122.95,118.7,33440.0,120.3,123.8,117.35,30530.0,134.5,6.550572494064894,27785.333333333332,129.07,7.942008562070442,33217.4,122.045,8.44937374405145,35798.0,114.745,10.01243174626844,28897.4,87.44394616089204,0.049851190476190466,0.049851190476190466,0.1917492991925025,0.9999999999929129,0.9684620836217687,0.007111185941172411,0,1,147.9,152.0,149.95,144.4,147.8,142.95,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9
2021-01-12,144.8,147.9,140.15,141.1,145.0,145.45,147.9,97.05,21049,3023172.7,7.75,3.700000000000017,0.6499999999999773,2.450000000000017,4.650000000000006,141.1,141.1,136.65,28484.0,134.4,134.4,131.95,23901.0,128.0,128.0,121.55,30971.0,119.9,122.5,116.5,49291.0,140.31666666666663,6.750061728112787,24478.0,134.18,9.976196670074245,27569.0,125.3,10.94904359090577,26919.2,117.025,11.367290331195209,28812.05,88.18565398239242,0.0308291991495393,0.048192771084337505,-0.26102373262182277,0.9834347532049801,0.9635613612859159,0.006962552949753745,1,1,152.0,149.95,144.4,147.8,142.95,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7
2021-01-13,150.0,152.0,142.85,145.45,147.5,144.7,152.0,97.05,22958,3398285.15,9.150000000000006,4.550000000000011,5.300000000000011,2.0,1.8499999999999943,145.45,147.9,140.15,21049.0,141.1,141.1,136.65,28484.0,134.4,134.4,131.95,23901.0,121.95,122.95,118.7,33440.0,143.75,5.505451843400298,24163.666666666668,138.73,9.755357502418907,25472.6,128.735,12.578033100078308,27827.6,119.32750000000001,12.884495731814955,29319.35,85.14619880252522,-0.005156411137848038,0.02772143340094657,0.09069314456743793,0.9519736842042633,0.9872149274292522,0.006755760328117255,2,1,149.95,144.4,147.8,142.95,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0
2021-01-14,148.05,149.95,140.25,144.7,142.2,141.25,152.0,97.05,14736,2105764.45,9.699999999999989,3.3500000000000227,6.800000000000011,1.8999999999999773,1.0,144.7,152.0,142.85,22958.0,145.45,147.9,140.15,21049.0,141.1,141.1,136.65,28484.0,128.0,128.0,121.55,30971.0,143.79999999999998,2.049999999999934,19581.0,141.38,7.236331943740634,22225.6,131.51000000000002,12.668245515636443,27466.5,121.31000000000002,13.487166170689427,29834.95,83.29519448132422,-0.02384243261921204,-0.013486842105263186,-0.3581322414844499,0.9419806602137916,0.9929203539752715,0.006997933695765447,3,1,144.4,147.8,142.95,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75
2021-01-15,135.25,144.4,135.25,141.25,141.5,140.9,152.0,97.05,5677,792859.7,9.150000000000006,-6.0,5.650000000000006,3.5,0.0,141.25,149.95,140.25,14736.0,144.7,152.0,142.85,22958.0,145.45,147.9,140.15,21049.0,134.4,134.4,131.95,23901.0,142.28333333333333,3.932026619102791,14457.0,142.68,4.360561890399139,18580.8,133.79500000000002,11.793760120410107,26103.7,123.02749999999999,13.512002461749171,28481.05,82.27114713437325,-0.002477876106194654,-0.03701233744581511,-0.6147529858849077,0.9757617728464283,0.9599006387440745,0.007160157087060917,4,1,147.8,142.95,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75,189.75
2021-01-18,147.0,147.8,136.0,140.9,136.4,136.3,152.0,97.05,9265,1285714.6,11.800000000000011,6.099999999999994,10.699999999999989,0.8000000000000114,0.30000000000001137,140.9,144.4,135.25,5677.0,141.25,149.95,140.25,14736.0,144.7,152.0,142.85,22958.0,141.1,141.1,136.65,28484.0,139.48333333333332,2.7983626164835758,9892.666666666666,141.71999999999997,2.8271894170715592,14737.0,135.39499999999998,11.30896890869258,23977.2,124.29249999999999,13.874887149849275,26410.45,74.5798319108379,-0.032647267565649396,0.023545706371191244,0.632023956314955,0.9221921515499176,0.997798972846678,0.0072061093496177085,0,1,142.95,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75,189.75,187.4
2021-01-19,142.95,142.95,136.6,136.3,137.15,137.45,152.0,97.05,3919,541182.15,6.349999999999994,6.649999999999977,5.5,0.0,0.8499999999999943,136.3,147.8,136.0,9265.0,140.9,144.4,135.25,5677.0,141.25,149.95,140.25,14736.0,145.45,147.9,140.15,21049.0,138.21666666666667,2.4894778569007925,6287.0,140.12,3.7624127896871395,11311.0,137.15,9.70954427354844,19440.0,125.78,13.941550921804327,25095.5,79.32900430496528,0.008437270726338708,-0.032814614343707915,-0.5770102536427415,0.96152500873759,0.9938159330593394,0.007241554437817271,1,1,140.9,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75,189.75,187.4,189.9
2021-01-20,140.05,140.9,131.25,137.45,132.5,136.55,152.0,97.05,3404,464069.2,9.650000000000006,2.6000000000000227,3.5,0.8499999999999943,5.300000000000011,137.45,142.95,136.6,3919.0,136.3,147.8,136.0,9265.0,140.9,144.4,135.25,5677.0,144.7,152.0,142.85,22958.0,136.76666666666668,3.543421134064174,5529.333333333333,138.49,3.6576973630962315,7400.2,138.60999999999999,7.34286501759794,16436.4,127.14500000000001,13.604046176355807,23717.15,76.22298063556045,-0.006547835576573124,-0.014340678558936615,-0.13141107425363618,0.9691270404473449,0.9611863786088525,0.007335112952981997,2,1,138.55,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75,189.75,187.4,189.9,193.0
2021-01-21,132.5,138.55,132.0,136.55,137.0,135.8,152.0,97.05,3408,462884.05,6.550000000000011,-4.050000000000011,3.3000000000000114,2.75,0.5,136.55,140.9,131.25,3404.0,137.45,142.95,136.6,3919.0,136.3,147.8,136.0,9265.0,141.25,149.95,140.25,14736.0,136.6,2.201703885630198,3577.0,137.4,3.5065296234312524,5134.6,139.39000000000001,5.479225918563989,13680.1,128.20250000000001,13.152377211583824,22599.5,72.10460769590381,-0.005492493592090808,-0.016678495386799108,0.001175088131609936,0.9801515698233119,0.9720176730414432,0.007362534958808784,3,1,139.9,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75,189.75,187.4,189.9,193.0,193.0
2021-01-22,137.6,139.9,133.15,135.8,134.05,134.05,152.0,97.05,7259,990939.85,6.75,1.799999999999983,3.549999999999983,2.3000000000000114,0.9000000000000057,135.8,138.55,132.0,3408.0,136.55,140.9,131.25,3404.0,137.45,142.95,136.6,3919.0,140.9,144.4,135.25,5677.0,135.46666666666667,1.179335971355244,4690.333333333333,136.03000000000003,3.6077347463471896,5451.0,139.355,4.617325464426467,12015.9,129.29749999999999,12.931705987101706,22769.25,67.33921813511358,-0.012886597938144284,0.009743774810537564,1.129988262910798,0.9581844174341804,0.9932860872734556,0.007325368941414549,4,1,137.5,134.0,133.5,136.0,136.6,143.4,150.55,158.05,173.05,181.0,170.9,180.7,192.0,184.75,189.75,187.4,189.9,193.0,193.0,192.0
