date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2012-04-23,32.95,34.2,31.2,32.8,33.3,33.15,36.0,22.85,101786,3363994.15,3.0000000000000036,0.15000000000000568,0.19999999999999574,1.0500000000000043,1.7500000000000036,32.8,36.0,31.05,641183.0,32.9,33.05,26.85,463632.0,27.55,28.0,26.0,69878.0,23.3,23.9,23.0,31065.0,32.949999999999996,1.4868871286460297,402200.3333333333,30.439999999999998,4.098170323449235,268202.2,27.119999999999997,4.735037838637972,158635.7,26.385,3.3985242540348533,90342.55,75.99999992261817,0.010670731707317138,-0.04999999999999993,-0.8412528092603828,0.969298245585693,0.941176470559844,0.030257484246814154,0,4,34.65,32.75,32.5,32.8,33.0,34.2,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1
2012-04-24,30.5,34.65,30.5,33.15,33.0,32.9,36.0,22.85,49651,1650650.75,4.149999999999999,-2.6499999999999986,2.3999999999999986,1.75,0.0,33.15,34.2,31.2,101786.0,32.8,36.0,31.05,641183.0,32.9,33.05,26.85,463632.0,25.8,26.5,23.05,64532.0,32.949999999999996,0.9367496997597001,264206.6666666667,31.860000000000003,3.082328665149128,265226.0,28.004999999999995,4.983542359049882,149430.3,26.702499999999997,3.7911566072971223,91886.4,76.83823521501945,-0.007541478129713397,0.013157894736842035,-0.5122020710117305,0.9494949494675471,0.9270516717043451,0.030079651919099164,1,4,32.75,32.5,32.8,33.0,34.2,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4
2012-04-25,32.35,32.75,29.65,32.9,31.15,31.3,36.0,22.85,54601,1701183.05,3.1000000000000014,-0.5499999999999972,1.0500000000000007,0.3999999999999986,1.6500000000000021,32.9,34.65,30.5,49651.0,33.15,34.2,31.2,101786.0,32.8,36.0,31.05,641183.0,27.55,28.0,26.0,69878.0,32.449999999999996,0.9928914005737128,68679.33333333333,32.61,1.307956421292394,262170.6,28.689999999999998,4.844667744598754,154564.6,26.922500000000003,3.967081653067562,92617.95,69.43521588225296,-0.0486322188449847,-0.05483405483405479,0.09969587722301676,0.9557251908105123,0.9472843450176586,0.03209589938014017,2,4,32.5,32.8,33.0,34.2,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25
2012-04-26,31.4,32.5,30.6,31.3,31.25,31.45,36.0,22.85,52193,1645198.8,1.8999999999999986,0.09999999999999787,0.05000000000000071,1.0500000000000007,0.7999999999999972,31.3,32.75,29.65,54601.0,32.9,34.65,30.5,49651.0,33.15,34.2,31.2,101786.0,32.9,33.05,26.85,463632.0,31.88333333333333,1.1757976016304417,52148.333333333336,32.31999999999999,1.4381411613607358,179882.8,29.435000000000002,4.530847970670982,158325.5,27.155,4.097922291267022,95057.65,72.10884346873988,0.004792332268370503,-0.007633587786259555,-0.04410175637808833,0.9676923076625327,0.9729729729420359,0.031724433545660236,3,4,32.8,33.0,34.2,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55
2012-04-27,31.0,32.8,30.6,31.45,32.45,32.5,36.0,22.85,78710,2539373.0,2.1999999999999957,-0.4499999999999993,1.5,0.29999999999999716,0.3999999999999986,31.45,32.5,30.6,52193.0,31.3,32.75,29.65,54601.0,32.9,34.65,30.5,49651.0,32.8,36.0,31.05,641183.0,31.75,0.16072751268293325,61834.666666666664,32.260000000000005,0.9737812896128232,67388.2,30.365,3.931146991231273,160723.1,27.53,4.222479784003209,97167.65,77.9264213317077,0.03338632750397452,0.009230769230769154,0.5080566359473493,0.9908536585063766,0.9415384615094913,0.030995840311761988,4,4,33.0,34.2,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55,32.0
2012-04-28,32.0,33.0,32.0,32.5,32.9,32.85,36.0,22.85,9851,321536.15,1.0,-0.5,0.8500000000000014,0.14999999999999858,0.0,32.5,32.8,30.6,78710.0,31.45,32.5,30.6,52193.0,31.3,32.75,29.65,54601.0,33.15,34.2,31.2,101786.0,32.26666666666667,0.2516611478421751,46918.0,32.2,0.8626992523469655,49001.2,31.32,2.915042404875484,158601.7,27.9175,4.3052599408043575,95637.65,78.94736834833796,0.010769230769230864,0.0060975609756097615,-0.8748443653919451,0.9954545454243803,0.9741248097115944,0.03063730159112737,5,4,34.2,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55,32.0,33.6
2012-04-30,32.05,34.2,32.0,32.85,33.75,33.7,36.0,22.85,71472,2398450.05,2.200000000000003,-0.8000000000000043,1.6500000000000057,0.5,0.04999999999999716,32.85,33.0,32.0,9851.0,32.5,32.8,30.6,78710.0,31.45,32.5,30.6,52193.0,32.9,34.65,30.5,49651.0,33.01666666666667,0.7571877794399736,53344.333333333336,32.36,0.6670832032063282,53365.4,32.11,2.103574999323249,159295.7,28.3025,4.440338417638671,98569.75,79.55271558378672,0.025875190258751957,0.036363636363636376,6.255304030047711,0.9853801169302522,0.9495548961142566,0.029799244724733782,0,4,35.9,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55,32.0,33.6,33.6
2012-05-02,33.0,35.9,33.0,33.7,34.4,34.75,36.0,22.85,212939,7430095.2,2.8999999999999986,-0.7000000000000028,1.75,1.1499999999999986,0.0,33.7,34.2,32.0,71472.0,32.85,33.0,32.0,9851.0,32.5,32.8,30.6,78710.0,31.3,32.75,29.65,54601.0,33.76666666666667,1.4571661996262524,98087.33333333333,33.05,1.3989281611290851,85033.0,32.83,1.2985996731522562,173601.8,28.759999999999998,4.654923822091366,108212.2,83.07692300534912,0.03115727002967361,0.049707602339181145,1.9793345645847324,0.9679665737891933,0.9496402877424565,0.02865898676506863,2,5,35.0,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55,32.0,33.6,33.6,32.5
2012-05-03,34.3,35.0,34.0,34.75,34.5,34.45,36.0,22.85,75842,2609942.95,1.0,-0.45000000000000284,0.15000000000000568,0.5499999999999972,0.29999999999999716,34.75,35.9,33.0,212939.0,33.7,34.2,32.0,71472.0,32.85,33.0,32.0,9851.0,31.45,32.5,30.6,52193.0,34.300000000000004,0.8504900548114597,120084.33333333333,33.650000000000006,1.3160547101089664,89762.8,32.985,1.3023483063724346,134822.8,29.21,4.731331041160895,111203.45,85.71428563809526,-0.008633093525179825,-0.02506963788300831,-0.6438322712138218,0.984285714257592,0.9869375906825272,0.029058872723635575,3,5,34.55,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55,32.0,33.6,33.6,32.5,32.7
2012-05-04,33.0,34.55,32.55,34.45,32.7,32.95,36.0,22.85,121812,4046372.35,2.0,-1.4500000000000028,0.04999999999999716,1.5499999999999972,0.4000000000000057,34.45,35.0,34.0,75842.0,34.75,35.9,33.0,212939.0,33.7,34.2,32.0,71472.0,32.5,32.8,30.6,78710.0,34.050000000000004,0.6873863542432794,136864.33333333334,33.739999999999995,1.0663020210053005,98383.2,33.0,1.13760225425626,82885.7,29.609999999999996,4.698109222140106,116678.8,78.13411072338907,-0.04354136429608124,-0.0128571428571429,0.6061285303657604,0.9536903038797777,0.9878603945071969,0.030104001674487513,4,5,36.2,34.9,36.15,35.8,35.55,35.6,34.7,34.95,34.4,33.5,34.1,33.4,33.25,32.55,32.0,33.6,33.6,32.5,32.7,33.7
