date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2019-03-08,502.05,512.0,496.45,505.8,508.0,503.4,548.0,382.1,101068,51296520.45,15.550000000000011,-3.75,1.349999999999966,8.600000000000023,5.600000000000023,505.8,515.0,493.4,77562.0,500.7,517.2,492.7,169334.0,496.15,526.5,486.4,561043.0,498.35,504.8,468.05,846964.0,503.3,2.610236260060398,115988.0,505.85,7.105068613319606,232322.4,484.9,28.41458985568285,271536.0,453.09499999999997,45.80810977384497,207092.65,76.3736263680312,-0.004744958481613382,-0.005825242718446644,0.3030607771847038,0.9832031249980796,0.9861938816031264,0.0019702700907074876,4,3,521.3,534.8,594.0,648.9,630.0,625.0,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2
2019-03-11,498.0,521.3,498.0,503.4,519.3,514.95,548.0,382.1,179514,92193801.1,23.299999999999955,-5.399999999999977,16.950000000000045,6.349999999999909,0.0,503.4,512.0,496.45,101068.0,505.8,515.0,493.4,77562.0,500.7,517.2,492.7,169334.0,523.2,527.95,495.0,252605.0,508.05,4.746577714522459,119381.33333333333,504.2,5.656412290487637,217704.2,492.895,24.977839622798268,280292.1,453.90500000000003,43.82802395968276,192448.6,84.24712489339682,0.02294398092967831,0.01816406249999991,0.7761704990699332,0.9878189142509347,0.9670841829285035,0.0019471374198498038,0,3,534.8,594.0,648.9,630.0,625.0,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9
2019-03-12,511.5,534.8,511.5,514.95,530.5,530.4,548.0,382.1,163933,85892162.3,23.299999999999955,-3.4500000000000455,18.899999999999977,4.399999999999977,0.0,514.95,521.3,498.0,179514.0,503.4,512.0,496.45,101068.0,505.8,515.0,493.4,77562.0,496.15,526.5,486.4,561043.0,516.25,11.464292389851447,148171.66666666666,511.05,8.909994388324776,138282.2,500.36499999999995,22.3534890391239,269007.3,458.3675,45.04536310034701,179700.75,83.83200658153359,0.030002912904165235,0.02589679647036247,-0.08679545885000617,0.9917726252786243,0.964366515835286,0.0019085909076013564,1,3,594.0,648.9,630.0,625.0,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7
2019-03-13,525.35,594.0,519.8,530.4,570.0,583.85,594.0,382.1,228195,128633733.95,74.20000000000005,-5.0499999999999545,58.5,10.149999999999977,5.550000000000068,530.4,534.8,511.5,163933.0,514.95,521.3,498.0,179514.0,503.4,512.0,496.45,101068.0,500.7,517.2,492.7,169334.0,543.0666666666666,38.66992802337971,190547.33333333334,527.6800000000001,33.90002949851189,150054.4,512.76,29.29324960161017,266381.0,466.50250000000005,52.35629932441144,180738.4,87.24003465675317,0.10077300150829571,0.11069558713537786,0.3920016104140105,0.9829124579108033,0.8902971653662921,0.0017739903289186918,2,3,648.9,630.0,625.0,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05
2019-03-14,578.0,648.9,571.0,583.85,621.0,622.5,648.9,382.1,459949,283850421.55,77.89999999999998,-5.850000000000023,44.5,26.399999999999977,7.0,583.85,594.0,519.8,228195.0,530.4,534.8,511.5,163933.0,514.95,521.3,498.0,179514.0,505.8,515.0,493.4,77562.0,578.9166666666666,57.06350263814353,284025.6666666667,551.02,58.033912499503,226531.8,527.9300000000001,45.51760617851336,304016.7,477.055,63.149763511662826,199986.1,88.34817012369186,0.06619850989123921,0.0924242424242423,1.0155963101733168,0.9593157651395295,0.9172690763037473,0.0016203921681299332,3,3,630.0,625.0,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9
2019-03-15,621.0,630.0,595.0,622.5,609.0,614.1,648.9,382.1,101256,61797897.15,35.0,-1.5,6.899999999999977,9.0,19.100000000000023,622.5,648.9,571.0,459949.0,583.85,594.0,519.8,228195.0,530.4,534.8,511.5,163933.0,503.4,512.0,496.45,101068.0,606.8166666666667,27.890320901705607,263133.3333333333,573.16,56.488361633171586,226569.4,539.505,51.50920117372794,229445.9,487.6025000000001,67.89473663810682,202787.85,85.1452119262479,-0.013493975903614452,-0.029126213592232997,-0.7798538533620032,0.9747619047603576,0.9688975736834898,0.0016385023547682317,4,3,625.0,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9,590.0
2019-03-18,625.0,625.0,590.0,614.1,622.0,622.75,648.9,382.1,73821,44980108.65,35.0,10.899999999999977,2.25,0.0,32.75,614.1,630.0,595.0,101256.0,622.5,648.9,571.0,459949.0,583.85,594.0,519.8,228195.0,514.95,521.3,498.0,179514.0,619.7833333333333,12.605686547485707,211675.33333333334,594.72,44.69169945303011,205430.8,549.46,55.31628351780554,211567.5,498.61,69.81011515268806,204675.4,84.40782697762424,0.014085653802312192,-0.007936507936507908,-0.2709469068499645,0.9963999999984058,0.9474106784408713,0.0016411921228207172,0,3,628.0,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9,590.0,584.55
2019-03-19,625.0,628.0,600.35,622.75,600.35,603.05,648.9,382.1,52154,32256426.5,27.649999999999977,2.25,21.950000000000045,3.0,2.699999999999932,622.75,625.0,590.0,73821.0,614.1,630.0,595.0,101256.0,622.5,648.9,571.0,459949.0,530.4,534.8,511.5,163933.0,613.3,2.516611478447347,75743.66666666667,609.25,19.786662174302474,183075.0,560.15,57.26074474619513,160678.6,509.4175,69.85029080111251,205689.45,77.7153920577424,-0.03163388197511052,0.0047999999999999154,-0.29350726757968604,0.9602707006354135,0.9955227593052062,0.0016168561015275514,1,3,618.0,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9,590.0,584.55,568.6
2019-03-20,603.05,618.0,595.0,603.05,597.8,598.65,648.9,382.1,208075,126178454.35,23.0,0.0,4.399999999999977,14.950000000000045,3.6499999999999773,603.05,628.0,600.35,52154.0,622.75,625.0,590.0,73821.0,614.1,630.0,595.0,101256.0,583.85,594.0,519.8,228195.0,608.15,5.1316014394579845,111350.0,612.21,11.513122947314207,179051.0,569.9449999999999,55.25802103666866,164552.7,518.9925000000001,69.7232485485141,213331.95,75.39225421626416,-0.007296244092529602,-0.015923566878980888,2.989626874257008,0.968689320386782,0.9939029482986822,0.0016490533274629545,2,3,600.0,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9,590.0,584.55,568.6,556.2
2019-03-22,598.0,600.0,576.2,598.65,582.0,580.45,648.9,382.1,43393,25496700.6,23.799999999999955,-0.6499999999999773,17.549999999999955,2.0,4.25,598.65,618.0,595.0,208075.0,603.05,628.0,600.35,52154.0,622.75,625.0,590.0,73821.0,622.5,648.9,571.0,459949.0,594.0500000000001,14.189197769198802,101207.33333333333,603.8,12.173742234825374,95739.8,577.4100000000001,49.97170310396817,161135.8,527.4175,66.20097808945106,214149.75,66.9348184779823,-0.030401737242128024,-0.029126213592232997,-0.7914550042052144,0.9674166666650544,0.9926780945800798,0.00170190648118604,4,3,590.95,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9,590.0,584.55,568.6,556.2,547.0
2019-03-25,570.3,590.95,557.1,580.45,583.0,582.05,648.9,382.1,64296,36840959.2,33.85000000000002,-10.150000000000091,11.75,8.900000000000091,13.199999999999932,580.45,600.0,576.2,43393.0,598.65,618.0,595.0,208075.0,603.05,628.0,600.35,52154.0,614.1,630.0,595.0,101256.0,587.0500000000001,13.769561842463226,105254.66666666667,597.39,16.18133183640854,88347.8,585.275,41.60482377214384,157458.6,535.0875,63.09693482420921,214497.3,63.42687656450842,0.002756482039796504,-0.015083333333333226,0.4817136404489204,0.9849395041865048,0.9571342668139213,0.0017452314325192705,0,3,597.7,592.1,616.0,624.8,659.0,641.9,622.9,622.0,621.95,620.2,609.9,611.7,609.05,603.9,590.0,584.55,568.6,556.2,547.0,568.0
