date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value,price_range,gap_up,body,upper_shadow,lower_shadow,close_lag_1,high_lag_1,low_lag_1,volume_lag_1,close_lag_2,high_lag_2,low_lag_2,volume_lag_2,close_lag_3,high_lag_3,low_lag_3,volume_lag_3,close_lag_5,high_lag_5,low_lag_5,volume_lag_5,close_ma_3,high_std_3,volume_ma_3,close_ma_5,high_std_5,volume_ma_5,close_ma_10,high_std_10,volume_ma_10,close_ma_20,high_std_20,volume_ma_20,rsi,pct_change_close,pct_change_high,pct_change_volume,close_to_high,low_to_close,volume_to_value,day_of_week,month,high_t_plus_1,high_t_plus_2,high_t_plus_3,high_t_plus_4,high_t_plus_5,high_t_plus_6,high_t_plus_7,high_t_plus_8,high_t_plus_9,high_t_plus_10,high_t_plus_11,high_t_plus_12,high_t_plus_13,high_t_plus_14,high_t_plus_15,high_t_plus_16,high_t_plus_17,high_t_plus_18,high_t_plus_19,high_t_plus_20
2023-05-18,73.9,73.9,72.19,72.64,72.2,72.34,89.37,72.0,6811,493958.11,1.710000000000008,1.2600000000000051,1.5600000000000023,0.0,0.15000000000000568,72.64,73.01,72.0,47699.0,72.59,73.79,72.45,35181.0,73.36,73.9,72.98,41607.0,75.09,77.49,74.81,60536.0,72.52333333333333,0.4852147290975762,29897.0,72.78,1.5306959201618004,41171.4,74.654,2.702553525012165,41953.3,77.3265,4.472636423737949,30403.4,26.099426368767055,-0.004129955947136499,0.012190110943706367,-0.857208746514602,0.9788903924089459,0.9979264583771367,0.013788618634078074,3,5,73.98,75.5,72.6,71.99,71.51,70.99,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51
2023-05-19,73.98,73.98,71.0,72.34,71.36,71.6,89.37,71.0,36415,2603173.59,2.980000000000004,1.6400000000000006,2.3800000000000097,0.0,0.5999999999999943,72.34,73.9,72.19,6811.0,72.64,73.01,72.0,47699.0,72.59,73.79,72.45,35181.0,72.97,76.97,72.51,74559.0,72.19333333333333,0.5384236250387816,30308.333333333332,72.506,0.4004122875237716,33542.6,74.057,2.412495250427133,41668.4,76.70150000000001,4.499270671891989,32215.4,15.624999988606717,-0.010229471938070334,0.0010825439783490598,4.3464983115548375,0.9678291429985423,0.9916201117179941,0.013988694468892483,4,5,75.5,72.6,71.99,71.51,70.99,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7
2023-05-22,71.0,75.5,71.0,71.6,72.55,72.69,89.37,71.0,52370,3823363.66,4.5,-0.5999999999999943,1.6899999999999977,2.8100000000000023,0.0,71.6,73.98,71.0,36415.0,72.34,73.9,72.19,6811.0,72.64,73.01,72.0,47699.0,73.36,73.9,72.98,41607.0,72.21,0.9015542135667246,31865.333333333332,72.37199999999999,0.9052789625303335,35695.2,73.659,2.007021009689108,41252.5,76.186,4.497778954808231,34803.75,38.11742772286634,0.015223463687150884,0.02054609353879422,0.43814362213373603,0.9627814569408902,0.9767505846612086,0.013697363017777908,0,5,72.6,71.99,71.51,70.99,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79
2023-05-23,72.6,72.6,70.81,72.69,71.0,71.32,89.37,70.81,29213,2088461.72,1.789999999999992,-0.09000000000000341,1.2800000000000011,0.0,0.5099999999999909,72.69,75.5,71.0,52370.0,71.6,73.98,71.0,36415.0,72.34,73.9,72.19,6811.0,72.59,73.79,72.45,35181.0,71.86999999999999,1.4505631090487743,39332.666666666664,72.118,1.1176403714970304,34501.6,73.137,2.0237833107546535,39189.7,75.86,4.48841019210941,35916.8,30.34782605001125,-0.0188471591690742,-0.03841059602649011,-0.4421806377697155,0.9823691459919783,0.9928491306647106,0.013987807255571813,1,5,71.99,71.51,70.99,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62
2023-05-24,71.99,71.99,71.0,71.32,71.5,71.5,89.37,70.81,11947,854568.17,0.9899999999999949,0.6700000000000017,0.4899999999999949,0.0,0.5,71.32,72.6,70.81,29213.0,72.69,75.5,71.0,52370.0,71.6,73.98,71.0,36415.0,72.64,73.01,72.0,47699.0,71.83666666666666,1.875375517951865,31176.666666666668,71.89,1.3634808396160312,27351.2,72.61,1.804808700235194,39633.8,75.44550000000001,4.6747912984656965,36431.45,23.56870225859133,0.0025238362310713303,-0.00840220385674928,-0.591038236401602,0.9931934990833006,0.9930069929931048,0.013980160295462426,2,5,71.51,70.99,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62,72.75
2023-05-25,71.51,71.51,69.5,71.5,70.71,70.52,89.37,69.5,34906,2451600.92,2.010000000000005,0.010000000000005116,0.9900000000000091,0.0,1.019999999999996,71.5,71.99,71.0,11947.0,71.32,72.6,70.81,29213.0,72.69,75.5,71.0,52370.0,72.34,73.9,72.19,6811.0,71.11333333333333,0.5462905209988109,25355.333333333332,71.526,1.6235239450036028,32970.2,72.15299999999999,1.6160118948957884,37070.8,74.9715,4.706510021124726,38031.05,17.749313792452824,-0.013706293706293726,-0.006667592721211091,1.9217376747300579,0.9861557823942642,0.985536018136904,0.014238043278267325,3,5,70.99,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62,72.75,70.98
2023-05-26,70.51,70.99,70.35,70.52,70.7,70.69,89.37,69.5,33395,2359493.54,0.6400000000000006,-0.009999999999990905,0.1799999999999926,0.29999999999999716,0.1600000000000108,70.52,71.51,69.5,34906.0,71.5,71.99,71.0,11947.0,71.32,72.6,70.81,29213.0,71.6,73.98,71.0,36415.0,70.90333333333332,0.5001333155600892,26749.333333333332,71.34400000000001,1.7697937732967945,32366.2,71.925,1.3645516154075559,32954.4,74.389,4.720646114340943,39510.6,20.68627448141099,0.0024106636415202054,-0.007271710250314811,-0.04328768693061369,0.9957740526694496,0.9951902673504711,0.01415346108555143,4,5,71.59,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62,72.75,70.98,69.1
2023-05-29,70.76,71.59,70.76,70.69,71.14,71.14,89.37,69.5,8135,579370.05,0.8299999999999983,0.07000000000000739,0.37999999999999545,0.45000000000000284,0.0,70.69,70.99,70.35,33395.0,70.52,71.51,69.5,34906.0,71.5,71.99,71.0,11947.0,72.69,75.5,71.0,52370.0,70.78333333333332,0.3257811126095584,25478.666666666668,71.034,0.5999833331019809,23519.2,71.703,1.4119741892511262,29607.2,73.706,4.4378604375484905,39632.75,24.33460072807182,0.006365822605743476,0.008451894633046964,-0.7564006587812546,0.9937142058807973,0.9946584200028865,0.01404111241166157,0,5,71.15,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62,72.75,70.98,69.1,69.89
2023-05-30,71.15,71.15,70.36,71.14,71.1,70.96,89.37,69.5,20234,1433935.77,0.7900000000000063,0.010000000000005116,0.19000000000001194,0.0,0.5999999999999943,71.14,71.59,70.76,8135.0,70.69,70.99,70.35,33395.0,70.52,71.51,69.5,34906.0,71.32,72.6,70.81,29213.0,70.92999999999999,0.3106981386058054,20588.0,70.962,0.39253025361134497,21723.4,71.54,1.4697906124495106,28112.5,73.492,3.30007719207967,39251.3,22.25405918705289,-0.0025302220972730494,-0.006146109791870358,1.487277197295636,0.9973295853689762,0.9915445321168046,0.014110813345565671,1,5,71.31,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62,72.75,70.98,69.1,69.89,70.36
2023-05-31,71.11,71.31,70.5,70.96,70.63,71.27,89.37,69.5,35420,2518252.73,0.8100000000000023,0.15000000000000568,0.1599999999999966,0.04000000000000625,0.6099999999999994,70.96,71.15,70.36,20234.0,71.14,71.59,70.76,8135.0,70.69,70.99,70.35,33395.0,71.5,71.99,71.0,11947.0,71.12333333333333,0.22271057451271464,21263.0,70.916,0.24819347292021407,26418.0,71.40299999999999,1.5174671880033939,26884.6,73.2635,3.137698787999062,39778.1,29.010988966356763,0.004368658399098058,0.00224877020379477,0.7505189285361273,0.9994390688402826,0.9891960151397615,0.014065307893064406,2,5,72.41,73.5,72.65,72.98,72.01,72.4,73.8,74.47,73.99,73.9,72.51,72.7,72.79,72.62,72.75,70.98,69.1,69.89,70.36,70.01
