date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2020-06-24,EQ,24.7,24.7,24.7,23.55,24.7,24.7,24.7,24.7,24.7,1,24.7,1,AARVI
2020-06-25,EQ,25.9,25.9,25.9,24.7,25.9,25.9,25.9,25.9,24.7,1000,25900.0,1,AARVI
2020-06-26,EQ,27.15,27.15,27.15,25.9,27.15,27.15,27.15,27.15,24.7,51,1384.65,2,AARVI
2020-06-29,EQ,28.5,28.5,28.5,27.15,28.5,28.5,28.5,28.5,24.7,51,1453.5,2,AARVI
2020-06-30,EQ,29.9,29.9,29.9,28.5,29.9,29.9,29.9,29.9,24.7,1260,37674.0,6,AARVI
2020-07-01,EQ,31.35,31.35,31.3,29.9,31.35,31.35,31.34,31.35,24.7,8263,258982.05,46,AARVI
2020-07-02,EQ,32.9,32.9,32.9,31.35,32.9,32.9,32.9,32.9,24.7,1250,41125.0,6,AARVI
2020-07-03,EQ,34.5,34.5,34.5,32.9,34.5,34.5,34.5,34.5,24.7,380,13110.0,4,AARVI
2020-07-06,EQ,36.2,36.2,36.2,34.5,36.2,36.2,36.2,36.2,24.7,500,18100.0,2,AARVI
2020-07-07,EQ,38.0,38.0,38.0,36.2,38.0,38.0,38.0,38.0,24.7,2718,103284.0,14,AARVI
2020-07-08,EQ,39.9,39.9,36.1,38.0,37.0,36.55,37.94,39.9,24.7,35164,1334244.35,184,AARVI
2020-07-09,EQ,34.75,36.0,34.75,36.55,34.9,35.0,34.86,39.9,24.7,5669,197648.25,44,AARVI
2020-07-10,EQ,36.0,36.75,34.1,35.0,36.4,35.95,35.79,39.9,24.7,8201,293536.9,121,AARVI
2020-07-13,EQ,37.7,37.7,34.8,35.95,36.9,35.85,36.23,39.9,24.7,2325,84238.25,35,AARVI
2020-07-14,EQ,36.0,37.5,34.1,35.85,34.35,35.15,35.11,39.9,24.7,3718,130527.2,58,AARVI
2020-07-15,EQ,33.85,35.85,33.4,35.15,33.4,33.4,33.56,39.9,24.7,4592,154127.1,76,AARVI
2020-07-16,EQ,31.9,32.9,31.75,33.4,31.75,31.75,31.83,39.9,24.7,1407,44788.85,26,AARVI
2020-07-17,EQ,32.0,32.9,30.7,31.75,32.9,32.9,32.5,39.9,24.7,432,14039.45,14,AARVI
2020-07-20,EQ,34.3,34.3,31.5,32.9,32.95,32.95,32.41,39.9,24.7,2724,88279.75,71,AARVI
2020-07-21,EQ,31.5,34.2,31.35,32.95,31.35,31.4,31.94,39.9,24.7,5232,167086.95,65,AARVI
2020-07-22,EQ,32.9,32.95,32.75,31.4,32.95,32.95,32.84,39.9,24.7,1265,41547.5,6,AARVI
2020-07-23,EQ,34.5,34.5,31.4,32.95,31.5,31.6,32.31,39.9,24.7,10784,348430.35,101,AARVI
2020-07-24,EQ,32.75,32.75,30.1,31.6,30.35,30.35,31.33,39.9,24.7,343,10744.9,13,AARVI
2020-07-27,EQ,31.75,31.75,31.0,30.35,31.4,31.4,31.66,39.9,24.7,545,17252.6,10,AARVI
2020-07-28,EQ,32.75,32.75,29.85,31.4,32.0,32.0,30.24,39.9,24.7,442,13367.2,9,AARVI
2020-07-30,EQ,32.0,32.0,31.0,32.0,32.0,32.0,31.32,39.9,24.7,1108,34706.7,20,AARVI
2020-07-31,EQ,30.4,32.5,30.4,32.0,31.5,31.5,31.5,39.9,24.7,32030,1008922.5,3,AARVI
2020-08-03,EQ,29.95,33.05,29.95,31.5,30.55,31.65,31.66,39.9,24.7,1894,59955.1,32,AARVI
2020-08-04,EQ,33.2,33.2,30.1,31.65,30.1,30.1,30.25,39.9,24.7,5135,155325.05,56,AARVI
2020-08-05,EQ,28.65,31.5,28.65,30.1,30.7,30.7,30.79,39.9,24.7,506,15580.65,15,AARVI
2020-08-06,EQ,30.7,31.7,29.25,30.7,30.0,30.9,30.3,39.9,24.7,10461,317014.0,47,AARVI
2020-08-07,EQ,30.0,31.55,28.05,30.9,29.1,29.7,29.62,39.9,24.7,6458,191287.25,70,AARVI
2020-08-10,EQ,27.0,32.4,27.0,29.7,31.0,32.1,31.17,39.9,24.7,3311,103191.65,73,AARVI
2020-08-11,EQ,31.5,34.25,30.0,32.1,32.9,32.9,31.52,39.9,24.7,282,8887.45,12,AARVI
2020-08-12,EQ,30.4,33.25,30.15,32.9,31.65,30.65,30.95,39.9,24.7,15688,485485.25,98,AARVI
2020-08-13,EQ,31.0,31.0,29.3,30.65,30.75,30.75,30.44,39.9,24.7,3402,103571.9,32,AARVI
2020-08-14,EQ,33.35,33.8,31.9,30.75,33.8,33.8,33.42,39.9,24.7,17516,585447.4,90,AARVI
2020-08-17,EQ,37.15,37.15,37.15,33.8,37.15,37.15,37.15,39.9,24.7,5632,209228.8,37,AARVI
2020-08-18,EQ,40.85,40.85,39.1,37.15,40.85,40.85,40.8,40.85,24.7,9293,379110.75,91,AARVI
2020-08-19,EQ,44.5,44.9,41.0,40.85,44.9,44.9,44.75,44.9,24.7,11506,514931.3,128,AARVI
2020-08-20,EQ,46.0,46.0,42.7,44.9,44.1,45.1,44.38,46.0,24.7,20793,922699.05,177,AARVI
2020-08-21,EQ,45.1,45.85,43.5,45.1,44.0,44.45,45.03,46.0,24.7,6836,307804.45,94,AARVI
2020-08-24,EQ,44.5,45.45,43.5,44.45,45.35,44.4,44.29,46.0,24.7,3264,144567.35,53,AARVI
2020-08-25,EQ,44.0,45.0,43.0,44.4,43.0,43.75,44.24,46.0,24.7,3010,133148.0,37,AARVI
2020-08-26,EQ,44.5,44.5,42.25,43.75,43.0,43.0,42.84,46.0,24.7,2717,116391.7,42,AARVI
2020-08-27,EQ,45.15,45.15,43.25,43.0,44.4,44.4,44.11,46.0,24.7,1093,48206.9,29,AARVI
2020-08-28,EQ,44.0,44.0,42.5,44.4,44.0,44.0,43.48,46.0,24.7,2131,92645.6,38,AARVI
2020-08-31,EQ,44.0,44.5,41.8,44.0,41.8,41.8,42.18,46.0,24.7,6971,294017.1,57,AARVI
2020-09-01,EQ,41.8,41.8,40.0,41.8,41.5,41.5,40.78,46.0,24.7,424,17288.8,18,AARVI
2020-09-02,EQ,42.0,42.0,40.9,41.5,40.9,40.9,41.84,46.0,24.7,367,15353.6,16,AARVI
2020-09-03,EQ,41.1,42.9,38.95,40.9,42.0,40.65,41.36,46.0,24.7,781,32302.55,25,AARVI
2020-09-04,EQ,39.0,42.5,38.65,40.65,42.0,42.0,40.88,46.0,24.7,1070,43746.0,22,AARVI
2020-09-07,EQ,40.1,41.95,39.95,42.0,40.95,40.95,40.61,46.0,24.7,345,14010.75,10,AARVI
2020-09-08,EQ,40.95,40.95,38.95,40.95,38.95,38.95,39.02,46.0,24.7,584,22785.8,12,AARVI
2020-09-09,EQ,38.95,38.95,37.05,38.95,37.05,37.05,37.09,46.0,24.7,939,34828.45,27,AARVI
2020-09-10,EQ,37.05,37.05,35.0,37.05,36.0,35.95,35.77,46.0,24.7,4366,156184.55,30,AARVI
2020-09-11,EQ,36.95,36.95,36.0,35.95,36.0,36.0,36.42,46.0,24.7,520,18936.95,6,AARVI
2020-09-14,EQ,36.0,36.0,34.35,36.0,34.35,34.4,35.41,46.0,24.7,2681,94920.85,29,AARVI
2020-09-15,EQ,35.4,35.4,35.0,34.4,35.4,35.4,35.27,46.0,24.7,2250,79349.6,15,AARVI
2020-09-16,EQ,37.15,37.15,36.5,35.4,37.1,37.1,37.03,46.0,24.7,972,35992.4,27,AARVI
2020-09-17,EQ,37.0,38.95,36.15,37.1,37.95,37.95,38.08,46.0,24.7,1207,45959.55,29,AARVI
2020-09-18,EQ,38.0,38.15,38.0,37.95,38.1,38.1,38.02,46.0,24.7,480,18251.5,10,AARVI
2020-09-21,EQ,39.7,39.7,38.2,38.1,38.2,38.2,38.48,46.0,24.7,2670,102747.25,22,AARVI
2020-09-22,EQ,38.0,38.15,36.75,38.2,38.15,38.15,37.98,46.0,24.7,87,3304.35,6,AARVI
2020-09-23,EQ,39.9,39.9,37.0,38.15,39.85,39.85,39.83,46.0,24.7,154,6134.2,6,AARVI
2020-09-24,EQ,39.85,39.85,37.95,39.85,37.95,37.95,37.97,46.0,24.7,354,13441.75,45,AARVI
2020-09-25,EQ,37.95,39.55,37.95,37.95,39.55,39.55,38.0,46.0,24.7,182,6916.5,3,AARVI
2020-09-28,EQ,39.0,41.5,37.6,39.55,39.3,39.3,39.62,46.0,24.7,7536,298541.9,83,AARVI
2020-09-29,EQ,39.3,39.3,38.5,39.3,38.5,38.5,38.68,46.0,24.7,196,7580.4,2,AARVI
2020-09-30,EQ,40.3,40.4,36.65,38.5,40.4,40.15,40.0,46.0,24.7,1970,78790.2,31,AARVI
2020-10-01,EQ,40.05,40.9,39.0,40.15,40.8,40.8,40.76,46.0,24.7,460,18751.85,26,AARVI
2020-10-05,EQ,42.8,42.8,42.1,40.8,42.8,42.8,42.68,46.0,24.7,5851,249715.8,41,AARVI
2020-10-06,EQ,44.9,44.9,42.0,42.8,42.7,42.6,44.22,46.0,24.7,3692,163250.15,70,AARVI
2020-10-07,EQ,44.5,44.5,40.55,42.6,43.5,43.4,43.36,46.0,24.7,3477,150753.7,25,AARVI
2020-10-08,EQ,43.95,44.0,40.6,43.4,43.95,43.95,42.49,46.0,24.7,1640,69678.0,9,AARVI
2020-10-09,EQ,45.0,45.0,40.85,43.95,41.0,41.15,41.43,46.0,24.7,2573,106597.95,20,AARVI
2020-10-12,EQ,41.15,43.8,37.25,41.15,40.0,40.0,40.11,46.0,24.7,1000,40112.7,26,AARVI
2020-10-13,EQ,40.0,40.0,38.6,40.0,38.6,38.6,39.89,46.0,24.7,490,19544.0,4,AARVI
2020-10-14,EQ,40.0,40.0,39.45,38.6,39.85,39.85,39.57,46.0,24.7,706,27934.0,10,AARVI
2020-10-15,EQ,39.8,39.8,36.2,39.85,37.95,37.95,37.32,46.0,24.7,324,12092.8,6,AARVI
2020-10-16,EQ,37.95,40.0,37.9,37.95,40.0,38.6,38.12,46.0,24.7,1903,72540.8,15,AARVI
2020-10-19,EQ,39.95,41.5,36.5,38.6,38.0,41.05,40.27,46.0,24.7,1158,46627.85,34,AARVI
2020-10-20,EQ,41.0,41.0,38.75,41.05,38.75,38.75,38.89,46.0,24.7,1110,43164.75,11,AARVI
2020-10-21,EQ,38.75,41.0,35.45,38.75,39.0,39.0,38.77,46.0,24.7,665,25779.2,19,AARVI
2020-10-22,EQ,42.8,42.8,36.6,39.0,39.8,37.25,38.35,46.0,24.7,5143,197238.3,55,AARVI
2020-10-23,EQ,37.25,39.85,36.7,37.25,38.0,38.8,38.57,46.0,24.7,624,24070.4,18,AARVI
2020-10-26,EQ,39.85,42.65,37.5,38.8,38.0,37.85,38.58,46.0,24.7,697,26888.6,16,AARVI
2020-10-27,EQ,40.4,40.4,35.1,37.85,39.95,37.2,37.19,46.0,24.7,816,30345.6,8,AARVI
2020-10-28,EQ,38.0,38.0,35.85,37.2,35.85,35.85,37.64,46.0,24.7,405,15243.75,5,AARVI
2020-10-29,EQ,37.95,37.95,35.85,35.85,37.0,37.0,37.12,46.0,24.7,588,21828.65,14,AARVI
2020-10-30,EQ,34.25,37.8,34.25,37.0,37.7,37.65,36.17,46.0,24.7,1343,48579.45,19,AARVI
2020-11-02,EQ,36.4,38.35,34.5,37.65,35.0,35.05,35.18,46.0,24.7,5280,185727.3,53,AARVI
