date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,15.8,17.0,15.5,15.0,16.1,16.1,16.37,22.05,10.2,2300,37640.0,0,RAMADHOTEL
2000-01-04,EQ,17.15,18.75,16.05,16.1,18.75,18.0,17.1,22.05,10.2,3900,66685.0,0,RAMADHOTEL
2000-01-05,EQ,17.0,17.0,16.0,18.0,16.25,16.25,16.25,22.05,10.2,1200,19505.0,0,RAMADHOTEL
2000-01-06,EQ,16.0,16.0,14.05,16.25,14.05,14.05,15.6,22.05,10.2,1100,17165.0,0,RAMADHOTEL
2000-01-07,EQ,15.0,15.0,14.0,14.05,14.0,14.0,14.43,22.05,10.2,700,10100.0,0,RAMADHOTEL
2000-01-10,EQ,14.15,14.15,14.15,14.0,14.15,14.15,14.15,22.05,10.2,100,1415.0,0,RAMADHOTEL
2000-01-11,EQ,14.5,14.5,13.55,14.15,13.55,13.9,14.18,22.05,10.2,1100,15595.0,0,RAMADHOTEL
2000-01-12,EQ,13.75,13.75,13.55,13.9,13.55,13.55,13.62,22.05,10.2,300,4085.0,0,RAMADHOTEL
2000-01-13,EQ,14.5,14.5,14.5,13.55,14.5,14.5,14.5,22.05,10.2,200,2900.0,0,RAMADHOTEL
2000-01-17,EQ,13.15,14.2,13.0,14.5,13.5,13.5,13.22,22.05,10.2,2100,27760.0,0,RAMADHOTEL
2000-01-18,EQ,12.4,13.0,12.25,13.5,12.6,12.6,12.49,22.05,10.2,800,9995.0,0,RAMADHOTEL
2000-01-19,EQ,12.05,13.1,12.05,12.6,13.1,13.1,12.75,22.05,10.2,300,3825.0,0,RAMADHOTEL
2000-01-20,EQ,13.35,13.35,13.35,13.1,13.35,13.35,13.35,22.05,10.2,300,4005.0,0,RAMADHOTEL
2000-01-24,EQ,12.3,12.9,12.3,13.35,12.75,12.75,12.69,22.05,10.2,1100,13960.0,0,RAMADHOTEL
2000-01-25,EQ,12.2,12.5,12.2,12.75,12.5,12.5,12.4,22.05,10.2,1500,18600.0,0,RAMADHOTEL
2000-01-27,EQ,12.0,12.2,12.0,12.5,12.2,12.2,12.1,22.05,10.2,400,4840.0,0,RAMADHOTEL
2000-01-28,EQ,12.45,12.45,12.45,12.2,12.45,12.45,12.45,22.05,10.2,200,2490.0,0,RAMADHOTEL
2000-01-31,EQ,12.5,12.5,11.5,12.45,12.0,12.0,11.92,22.05,10.2,600,7150.0,0,RAMADHOTEL
2000-02-01,EQ,11.5,12.0,11.5,12.0,11.7,11.7,11.68,22.05,10.2,2300,26860.0,0,RAMADHOTEL
2000-02-02,EQ,12.25,12.25,12.15,11.7,12.15,12.15,12.24,22.05,10.2,1100,13465.0,0,RAMADHOTEL
2000-02-03,EQ,12.5,12.5,12.5,12.15,12.5,12.5,12.5,22.05,10.2,1000,12500.0,0,RAMADHOTEL
2000-02-04,EQ,12.0,12.0,12.0,12.5,12.0,12.0,12.0,22.05,10.2,100,1200.0,0,RAMADHOTEL
2000-02-07,EQ,11.5,11.85,11.05,12.0,11.8,11.8,11.51,22.05,10.2,1400,16110.0,0,RAMADHOTEL
2000-02-08,EQ,11.05,12.0,11.05,11.8,11.05,11.15,11.42,22.05,10.2,1700,19410.0,0,RAMADHOTEL
2000-02-10,EQ,11.1,11.1,10.0,11.15,11.0,11.0,10.81,22.05,10.2,3500,37830.0,0,RAMADHOTEL
2000-02-11,EQ,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.05,10.0,200,2200.0,0,RAMADHOTEL
2000-02-14,EQ,10.25,11.2,10.25,11.0,11.2,11.2,10.57,22.05,10.0,900,9515.0,0,RAMADHOTEL
2000-02-15,EQ,11.2,11.2,10.25,11.2,10.25,10.25,10.44,22.05,10.0,1700,17740.0,0,RAMADHOTEL
2000-02-16,EQ,10.3,11.4,10.3,10.25,11.4,11.4,10.49,22.05,10.0,600,6295.0,0,RAMADHOTEL
2000-02-17,EQ,11.8,11.9,11.2,11.4,11.2,11.2,11.52,22.05,10.0,600,6910.0,0,RAMADHOTEL
2000-02-18,EQ,11.1,11.15,11.0,11.2,11.15,11.15,11.05,22.05,10.0,800,8840.0,0,RAMADHOTEL
2000-02-21,EQ,11.7,11.7,11.7,11.15,11.7,11.7,11.7,22.05,10.0,400,4680.0,0,RAMADHOTEL
2000-02-22,EQ,11.0,11.0,10.5,11.7,10.6,10.6,10.72,22.05,10.0,900,9650.0,0,RAMADHOTEL
2000-02-23,EQ,10.6,10.65,10.5,10.6,10.55,10.55,10.59,22.05,10.0,1100,11645.0,0,RAMADHOTEL
2000-02-29,EQ,11.05,11.05,11.0,10.55,11.0,11.0,11.03,22.05,10.0,600,6620.0,0,RAMADHOTEL
2000-03-01,EQ,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.05,10.0,100,1100.0,0,RAMADHOTEL
2000-03-03,EQ,10.0,10.0,10.0,11.0,10.0,10.0,10.0,22.05,10.0,100,1000.0,0,RAMADHOTEL
2000-03-06,EQ,10.1,11.0,10.1,10.0,11.0,10.55,10.55,22.05,10.0,400,4220.0,0,RAMADHOTEL
2000-03-07,EQ,10.0,10.0,8.6,10.55,8.6,8.6,9.46,22.05,10.0,700,6625.0,0,RAMADHOTEL
2000-03-08,EQ,9.0,9.9,9.0,8.6,9.9,9.9,9.26,22.05,8.6,700,6480.0,0,RAMADHOTEL
2000-03-09,EQ,8.0,8.0,8.0,9.9,8.0,8.0,8.0,22.05,8.6,2000,16000.0,0,RAMADHOTEL
2000-03-10,EQ,8.0,8.15,7.8,8.0,8.0,8.0,8.0,22.05,8.0,3600,28805.0,0,RAMADHOTEL
2000-03-13,EQ,8.4,8.95,8.4,8.0,8.4,8.4,8.57,22.05,7.8,1800,15425.0,0,RAMADHOTEL
2000-03-14,EQ,8.15,8.5,8.15,8.4,8.5,8.5,8.33,22.05,7.8,200,1665.0,0,RAMADHOTEL
2000-03-15,EQ,7.6,8.5,7.5,8.5,7.7,7.7,7.9,22.05,7.8,10800,85350.0,0,RAMADHOTEL
2000-03-16,EQ,7.9,8.95,7.9,7.7,8.5,8.5,8.45,22.05,7.5,3400,28730.0,0,RAMADHOTEL
2000-03-21,EQ,8.0,8.0,8.0,8.5,8.0,8.0,8.0,22.05,7.5,200,1600.0,0,RAMADHOTEL
2000-03-22,EQ,9.0,9.0,9.0,8.0,9.0,9.0,9.0,22.05,7.5,2000,18000.0,0,RAMADHOTEL
2000-03-23,EQ,9.0,9.0,7.25,9.0,8.2,8.2,7.93,22.05,7.5,800,6340.0,0,RAMADHOTEL
2000-03-24,EQ,8.45,8.5,8.3,8.2,8.5,8.45,8.48,22.05,7.25,5900,50025.0,0,RAMADHOTEL
2000-03-27,EQ,9.0,9.0,9.0,8.45,9.0,9.0,9.0,22.05,7.25,800,7200.0,0,RAMADHOTEL
2000-03-28,EQ,7.55,8.0,7.5,9.0,8.0,8.0,7.68,22.05,7.25,300,2305.0,0,RAMADHOTEL
