date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2021-02-16,EQ,102.65,102.65,98.2,97.8,100.0,102.4,102.54,102.65,98.2,38319,3929267.35,267,AKG
2021-02-17,EQ,102.0,106.95,97.3,102.4,97.3,97.3,98.29,106.95,97.3,27239,2677306.6,176,AKG
2021-02-18,EQ,97.3,97.3,92.45,97.3,92.45,92.45,92.66,106.95,92.45,575,53280.0,15,AKG
2021-02-19,EQ,87.85,87.85,87.85,92.45,87.85,87.85,87.85,106.95,87.85,471,41377.35,15,AKG
2021-02-22,EQ,83.5,83.5,83.5,87.85,83.5,83.5,83.5,106.95,83.5,68,5678.0,10,AKG
2021-02-23,EQ,79.35,87.65,79.35,83.5,87.3,87.0,82.07,106.95,79.35,10263,842335.7,155,AKG
2021-02-24,EQ,87.0,91.35,83.05,87.0,91.3,90.55,89.11,106.95,79.35,4221,376114.55,81,AKG
2021-02-25,EQ,94.0,94.95,86.05,90.55,88.5,88.5,87.92,106.95,79.35,2222,195353.3,52,AKG
2021-02-26,EQ,92.0,92.9,86.55,88.5,91.5,91.5,91.32,106.95,79.35,8280,756146.65,159,AKG
2021-03-01,EQ,91.55,96.05,91.55,91.5,93.7,93.5,93.07,106.95,79.35,45510,4235634.8,139,AKG
2021-03-02,EQ,93.05,94.7,93.05,93.5,94.35,94.45,94.32,106.95,79.35,45385,4280519.65,157,AKG
2021-03-03,EQ,96.35,96.35,95.0,94.45,96.0,96.1,95.99,106.95,79.35,147247,14133874.75,427,AKG
2021-03-04,EQ,96.25,97.0,96.0,96.1,96.6,96.85,96.75,106.95,79.35,157065,15196113.75,273,AKG
2021-03-05,EQ,97.45,99.0,96.5,96.85,98.0,97.05,97.53,106.95,79.35,187915,18326965.8,414,AKG
2021-03-08,EQ,97.5,101.9,97.5,97.05,98.9,98.55,99.46,106.95,79.35,166176,16527642.6,337,AKG
