date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2025-06-13,EQ,11.65,11.74,11.5,11.65,11.74,11.6,11.57,12.07,9.63,397578,4600916.97,2406,AONETOTAL
2025-06-12,EQ,11.83,11.83,11.62,11.78,11.7,11.65,11.71,12.07,9.63,495854,5806154.33,2527,AONETOTAL
2025-06-11,EQ,11.9,11.9,11.75,11.8,11.85,11.78,11.82,12.07,9.63,589935,6971937.93,2668,AONETOTAL
2025-06-10,EQ,12.07,12.07,11.76,11.78,11.83,11.8,11.81,12.07,9.63,649490,7673281.68,3140,AONETOTAL
2025-06-09,EQ,11.75,11.85,11.74,11.69,11.8,11.78,11.79,11.9,9.63,561568,6620480.96,3069,AONETOTAL
2025-06-06,EQ,11.9,11.9,11.55,11.55,11.7,11.69,11.66,11.9,9.63,457843,5336795.45,2883,AONETOTAL
2025-06-05,EQ,11.58,11.6,11.45,11.51,11.58,11.55,11.56,11.69,9.63,633875,7328546.08,2620,AONETOTAL
2025-06-04,EQ,11.53,11.54,11.46,11.48,11.51,11.51,11.5,11.69,9.63,332256,3819610.01,2182,AONETOTAL
2025-06-03,EQ,11.54,11.58,11.46,11.48,11.49,11.48,11.51,11.69,9.63,411951,4741297.97,2597,AONETOTAL
2025-06-02,EQ,11.64,11.64,11.42,11.51,11.5,11.48,11.47,11.69,9.63,1130301,12969762.3,2535,AONETOTAL
2025-05-30,EQ,11.58,11.61,11.49,11.53,11.55,11.51,11.52,11.69,9.63,315044,3630019.13,2057,AONETOTAL
2025-05-29,EQ,11.55,11.6,11.48,11.5,11.53,11.53,11.52,11.69,9.63,352694,4063269.16,2384,AONETOTAL
2025-05-28,EQ,11.51,11.61,11.48,11.51,11.6,11.5,11.52,11.69,9.63,458415,5282704.98,2294,AONETOTAL
2025-05-27,EQ,11.59,11.65,11.45,11.54,11.53,11.51,11.52,11.69,9.63,501712,5781637.11,2400,AONETOTAL
2025-05-26,EQ,11.59,11.61,11.35,11.48,11.59,11.54,11.56,11.69,9.63,443486,5128317.17,3841,AONETOTAL
2025-05-23,EQ,11.44,11.49,11.31,11.39,11.46,11.48,11.46,11.69,9.63,274286,3143630.86,1953,AONETOTAL
2025-05-22,EQ,11.5,11.53,11.34,11.45,11.41,11.39,11.4,11.69,9.63,521180,5939505.76,2194,AONETOTAL
2025-05-21,EQ,11.4,11.53,11.37,11.4,11.4,11.45,11.45,11.69,9.63,374489,4286118.2,1889,AONETOTAL
2025-05-20,EQ,11.58,11.69,11.35,11.53,11.4,11.4,11.48,11.69,9.63,511313,5871535.16,2180,AONETOTAL
2025-05-19,EQ,11.65,11.65,11.51,11.52,11.54,11.53,11.56,11.65,9.63,557988,6449436.91,2510,AONETOTAL
2025-05-16,EQ,11.51,11.56,11.46,11.46,11.53,11.52,11.52,11.57,9.63,568446,6547985.15,2047,AONETOTAL
2025-05-15,EQ,11.32,11.48,11.3,11.32,11.46,11.46,11.39,11.57,9.63,894413,10186284.36,1940,AONETOTAL
2025-05-14,EQ,11.32,11.38,11.26,11.26,11.34,11.32,11.32,11.57,9.63,586623,6639332.33,1821,AONETOTAL
2025-05-13,EQ,11.28,11.33,11.23,11.28,11.27,11.26,11.29,11.57,9.63,329167,3714997.31,1716,AONETOTAL
2025-05-12,EQ,10.91,11.29,10.91,10.88,11.29,11.28,11.22,11.57,9.63,1101989,12369543.01,1632,AONETOTAL
2025-05-09,EQ,10.93,11.0,9.66,10.99,10.92,10.88,10.83,11.57,9.63,389153,4215261.85,1804,AONETOTAL
2025-05-08,EQ,11.16,11.16,10.95,11.11,11.06,10.99,11.09,11.57,9.63,403005,4467573.39,1544,AONETOTAL
2025-05-07,EQ,11.19,11.19,10.95,11.03,11.13,11.11,11.06,11.57,9.63,254930,2819667.58,1339,AONETOTAL
2025-05-06,EQ,11.28,11.36,11.01,11.16,11.07,11.03,11.09,11.57,9.63,294240,3262664.9,1812,AONETOTAL
2025-05-05,EQ,11.16,11.25,11.09,11.14,11.17,11.16,11.17,11.57,9.63,1629722,18199552.95,1803,AONETOTAL
2025-05-02,EQ,11.13,11.2,11.03,11.08,11.14,11.14,11.14,11.57,9.63,718913,8005207.51,1767,AONETOTAL
2025-04-30,EQ,11.48,11.48,11.05,11.15,11.05,11.08,11.13,11.57,9.63,332535,3699786.75,1725,AONETOTAL
2025-04-29,EQ,11.24,11.24,11.05,11.11,11.16,11.15,11.15,11.57,9.63,316727,3532584.43,1286,AONETOTAL
2025-04-28,EQ,11.03,11.19,11.01,11.01,11.14,11.11,11.1,11.57,9.63,426700,4737081.92,1807,AONETOTAL
2025-04-25,EQ,11.11,11.2,10.9,11.13,11.03,11.01,11.02,11.57,9.63,615923,6790102.09,1683,AONETOTAL
2025-04-24,EQ,11.22,11.32,11.11,11.17,11.15,11.13,11.16,11.57,9.63,538304,6007641.21,1407,AONETOTAL
2025-04-23,EQ,11.44,11.47,11.07,11.11,11.18,11.17,11.15,11.57,9.63,696969,7772773.28,1471,AONETOTAL
2025-04-22,EQ,11.32,11.32,11.04,11.1,11.12,11.11,11.12,11.57,9.63,421618,4686922.27,1320,AONETOTAL
2025-04-21,EQ,10.99,11.35,10.91,10.91,11.13,11.1,11.06,11.57,9.63,1207305,13356447.37,1824,AONETOTAL
2025-04-17,EQ,10.79,11.37,10.74,10.79,10.94,10.91,10.85,11.57,9.63,364411,3954680.4,1137,AONETOTAL
2025-04-16,EQ,10.74,10.8,10.66,10.73,10.75,10.79,10.75,11.57,9.63,278994,2998343.76,908,AONETOTAL
2025-04-15,EQ,10.62,10.78,10.43,10.41,10.75,10.73,10.68,11.57,9.63,301470,3220594.86,1155,AONETOTAL
2025-04-11,EQ,10.27,10.7,10.0,10.26,10.4,10.41,10.32,11.57,9.63,589202,6080768.29,990,AONETOTAL
2025-04-09,EQ,10.33,10.97,10.17,10.33,10.29,10.26,10.24,11.57,9.63,216605,2218913.43,872,AONETOTAL
2025-04-08,EQ,10.25,10.5,10.21,10.19,10.34,10.33,10.33,11.57,9.63,471766,4875693.64,1084,AONETOTAL
2025-04-07,EQ,10.45,10.85,9.63,10.45,10.15,10.19,10.07,11.57,9.63,1516815,15275529.55,2676,AONETOTAL
2025-04-04,EQ,10.79,10.8,10.4,10.69,10.54,10.45,10.48,11.57,9.95,572530,5999140.5,1277,AONETOTAL
