date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2018-01-12,EQ,22.95,22.95,22.95,23.35,22.95,22.95,22.95,24.3,16.05,100,2295.0,1,ARENTERP
2018-02-21,EQ,21.85,21.85,21.85,22.95,21.85,21.85,21.85,24.3,17.65,500,10925.0,1,ARENTERP
2018-02-26,EQ,20.8,20.8,20.8,21.85,20.8,20.8,20.8,24.3,18.5,100,2080.0,1,ARENTERP
2018-02-28,EQ,19.8,19.8,19.8,20.8,19.8,19.8,19.8,24.3,18.5,400,7920.0,1,ARENTERP
2018-03-13,EQ,18.85,18.85,18.85,19.8,18.85,18.85,18.85,24.3,18.85,900,16965.0,2,ARENTERP
2018-03-15,EQ,17.95,17.95,17.95,18.85,17.95,17.95,17.95,24.3,17.95,100,1795.0,1,ARENTERP
2018-03-16,EQ,17.1,17.1,17.1,17.95,17.1,17.1,17.1,24.3,17.1,100,1710.0,1,ARENTERP
2018-03-19,EQ,16.25,17.95,16.25,17.1,16.3,16.3,16.78,24.3,16.25,1000,16775.0,7,ARENTERP
2018-04-05,EQ,16.3,16.3,16.3,16.3,16.3,16.3,16.3,21.85,16.25,100,1630.0,1,ARENTERP
2018-04-16,EQ,16.3,16.3,16.3,16.3,16.3,16.3,16.3,21.85,16.25,300,4890.0,1,ARENTERP
2018-04-19,EQ,15.5,15.5,15.5,16.3,15.5,15.5,15.5,21.85,15.5,100,1550.0,1,ARENTERP
2018-04-26,EQ,15.0,15.0,14.75,15.5,14.75,14.75,14.9,21.85,14.75,1700,25330.0,10,ARENTERP
2018-05-04,EQ,15.0,15.0,15.0,14.75,15.0,15.0,15.0,21.85,14.75,500,7500.0,1,ARENTERP
2018-05-14,EQ,14.25,14.25,14.25,15.0,14.25,14.25,14.25,21.85,14.25,100,1425.0,1,ARENTERP
2018-05-17,EQ,14.95,14.95,14.95,14.25,14.95,14.95,14.95,21.85,14.25,100,1495.0,1,ARENTERP
2018-05-23,EQ,14.25,14.25,14.25,14.95,14.25,14.25,14.25,21.85,14.25,100,1425.0,1,ARENTERP
2018-06-04,EQ,13.55,13.55,13.55,14.25,13.55,13.55,13.55,20.8,13.55,100,1355.0,1,ARENTERP
2018-06-05,EQ,12.9,12.9,12.9,13.55,12.9,12.9,12.9,20.8,12.9,200,2580.0,2,ARENTERP
2018-06-06,EQ,12.3,12.3,12.3,12.9,12.3,12.3,12.3,20.8,12.3,400,4920.0,4,ARENTERP
2018-06-08,EQ,11.7,11.7,11.7,12.3,11.7,11.7,11.7,20.8,11.7,500,5850.0,5,ARENTERP
2018-06-20,EQ,11.15,11.15,11.15,11.7,11.15,11.15,11.15,20.8,11.15,200,2230.0,2,ARENTERP
2018-06-25,EQ,11.5,11.5,11.5,11.15,11.5,11.5,11.5,19.8,11.15,100,1150.0,1,ARENTERP
2018-06-26,EQ,10.95,10.95,10.95,11.5,10.95,10.95,10.95,19.8,10.95,200,2190.0,2,ARENTERP
2018-07-05,EQ,10.45,10.45,10.45,10.95,10.45,10.45,10.45,19.8,10.45,200,2090.0,2,ARENTERP
2018-07-06,EQ,10.3,10.3,9.95,10.45,9.95,9.95,10.13,19.8,9.95,200,2025.0,2,ARENTERP
2018-07-20,EQ,9.55,9.55,9.55,9.95,9.55,9.55,9.55,18.85,9.55,200,1910.0,1,ARENTERP
2018-07-26,EQ,9.45,9.45,9.35,9.55,9.35,9.4,9.41,18.85,9.35,400,3765.0,3,ARENTERP
2018-08-02,EQ,8.95,8.95,8.95,9.4,8.95,8.95,8.95,18.85,8.95,1000,8950.0,2,ARENTERP
2018-08-08,EQ,8.75,8.75,8.75,8.95,8.75,8.75,8.75,18.85,8.75,100,875.0,1,ARENTERP
2018-08-14,EQ,9.15,9.15,8.35,8.75,8.35,8.35,8.83,18.85,8.35,500,4415.0,2,ARENTERP
2018-08-31,EQ,8.75,8.75,8.75,8.35,8.75,8.75,8.75,18.85,8.35,100,875.0,1,ARENTERP
2018-09-04,EQ,9.0,9.0,9.0,8.75,9.0,9.0,9.0,17.95,8.35,100,900.0,1,ARENTERP
2018-09-28,EQ,9.45,9.45,9.45,9.0,9.45,9.45,9.45,17.95,8.35,100,945.0,1,ARENTERP
2019-03-05,EQ,12.65,12.65,12.65,13.3,12.65,12.65,12.65,15.0,8.35,900,11385.0,3,ARENTERP
2019-03-06,EQ,12.65,12.65,12.65,12.65,12.65,12.65,12.65,15.0,8.35,600,7590.0,3,ARENTERP
2019-03-11,EQ,12.65,12.65,12.65,12.65,12.65,12.65,12.65,15.0,8.35,1000,12650.0,1,ARENTERP
2019-03-14,EQ,12.15,12.65,12.15,12.65,12.65,12.65,12.45,15.0,8.35,500,6225.0,3,ARENTERP
2019-03-15,EQ,12.05,12.05,12.05,12.65,12.05,12.05,12.05,15.0,8.35,300,3615.0,2,ARENTERP
2019-03-19,EQ,11.6,11.6,11.6,12.05,11.6,11.6,11.6,15.0,8.35,600,6960.0,1,ARENTERP
2019-03-20,EQ,11.05,12.1,11.05,11.6,12.1,12.1,12.0,15.0,8.35,1000,11995.0,2,ARENTERP
2019-04-03,EQ,12.6,12.65,12.6,12.1,12.65,12.65,12.65,15.0,8.35,6800,86015.0,6,ARENTERP
2019-04-05,EQ,12.65,12.65,12.65,12.65,12.65,12.65,12.65,15.0,8.35,100,1265.0,1,ARENTERP
2019-04-18,EQ,12.65,12.65,12.4,12.65,12.4,12.4,12.53,15.0,8.35,200,2505.0,2,ARENTERP
2019-05-02,EQ,11.9,11.9,11.9,12.4,11.9,11.9,11.9,15.0,8.35,1300,15470.0,2,ARENTERP
2019-05-03,EQ,11.9,12.45,11.9,11.9,12.45,12.45,12.38,15.0,8.35,800,9905.0,2,ARENTERP
2019-05-07,EQ,11.85,11.85,11.85,12.45,11.85,11.85,11.85,14.95,8.35,100,1185.0,1,ARENTERP
2019-05-31,EQ,12.0,12.0,11.3,11.85,11.3,11.3,11.72,14.6,8.35,300,3515.0,3,ARENTERP
2019-06-06,EQ,10.75,10.75,10.75,11.3,10.75,10.75,10.75,14.6,8.35,700,7525.0,1,ARENTERP
2019-06-07,EQ,11.0,11.0,11.0,10.75,11.0,11.0,11.0,14.6,8.35,2000,22000.0,5,ARENTERP
2019-06-12,EQ,10.5,10.5,10.5,11.0,10.5,10.5,10.5,14.6,8.35,100,1050.0,1,ARENTERP
2019-07-05,EQ,10.0,10.0,10.0,10.5,10.0,10.0,10.0,14.6,8.35,200,2000.0,2,ARENTERP
2019-07-29,EQ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.6,8.35,300,3000.0,1,ARENTERP
2019-09-23,EQ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.6,9.45,100,1000.0,1,ARENTERP
2019-11-07,EQ,9.5,9.5,9.5,10.0,9.5,9.5,9.5,14.6,9.5,100,950.0,1,ARENTERP
2019-11-20,EQ,9.3,9.3,9.3,9.5,9.3,9.3,9.3,14.6,9.3,6800,63240.0,2,ARENTERP
2019-11-21,EQ,9.3,9.3,9.3,9.3,9.3,9.3,9.3,14.6,9.3,100,930.0,1,ARENTERP
2019-12-12,EQ,9.4,9.4,9.4,9.3,9.4,9.4,9.4,14.45,9.3,7900,74260.0,1,ARENTERP
2019-12-13,EQ,9.0,9.0,9.0,9.4,9.0,9.0,9.0,14.45,9.0,300,2700.0,1,ARENTERP
2019-12-18,EQ,9.45,9.45,9.45,9.0,9.45,9.45,9.45,13.3,9.0,400,3780.0,2,ARENTERP
2019-12-24,EQ,9.2,9.2,9.05,9.45,9.05,9.05,9.05,12.65,9.0,9900,89610.0,22,ARENTERP
2019-12-31,EQ,9.0,9.0,9.0,9.05,9.0,9.0,9.0,12.65,9.0,14800,133200.0,31,ARENTERP
2020-01-14,EQ,9.45,9.45,9.45,9.0,9.45,9.45,9.45,12.65,9.0,20,189.0,1,ARENTERP
2020-01-21,EQ,9.45,9.45,9.45,9.45,9.45,9.45,9.45,12.65,9.0,50,472.5,1,ARENTERP
2020-01-22,EQ,9.45,9.45,9.45,9.45,9.45,9.45,9.45,12.65,9.0,2,18.9,1,ARENTERP
2020-01-23,EQ,9.9,9.9,9.9,9.45,9.9,9.9,9.9,12.65,9.0,100,990.0,1,ARENTERP
2020-01-30,EQ,9.9,10.35,9.9,9.9,10.35,10.35,10.35,12.65,9.0,1002,10369.8,3,ARENTERP
2020-01-31,EQ,10.85,10.85,10.85,10.35,10.85,10.85,10.85,12.65,9.0,714,7746.9,2,ARENTERP
2020-02-01,EQ,10.9,10.9,10.9,10.85,10.9,10.9,10.9,12.65,9.0,3,32.7,1,ARENTERP
2020-02-05,EQ,11.4,11.4,11.4,10.9,11.4,11.4,11.4,12.65,9.0,90,1026.0,2,ARENTERP
2020-02-06,EQ,11.4,11.4,11.4,11.4,11.4,11.4,11.4,12.65,9.0,3,34.2,2,ARENTERP
2020-02-10,EQ,11.4,11.95,11.4,11.4,11.95,11.95,11.77,12.65,9.0,3,35.3,2,ARENTERP
