date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2007-03-20,EQ,103.0,113.65,100.0,115.0,105.75,105.35,106.19,113.65,100.0,4826203,512499257.2,0,ASTRAL
2007-03-21,EQ,105.0,107.55,97.7,105.35,100.0,98.9,102.75,113.65,97.7,1233419,126739301.45,0,ASTRAL
2007-03-22,EQ,102.0,104.0,97.3,98.9,98.4,98.25,99.63,113.65,97.3,439274,43766919.2,0,ASTRAL
2007-03-23,EQ,99.95,99.95,90.15,98.25,92.0,92.9,94.49,113.65,90.15,200124,18910181.5,0,ASTRAL
2007-03-26,EQ,92.0,92.05,86.1,92.9,87.0,86.9,88.88,113.65,86.1,119567,10626706.35,0,ASTRAL
2007-03-28,EQ,88.5,88.5,79.0,86.9,79.5,80.25,81.74,113.65,79.0,60462,4942349.4,0,ASTRAL
2007-03-29,EQ,80.0,81.0,76.15,80.25,77.25,77.6,77.79,113.65,76.15,87216,6784351.9,0,ASTRAL
2007-03-30,EQ,81.0,85.0,76.05,77.6,83.0,82.9,81.41,113.65,76.05,138077,11240637.65,0,ASTRAL
2007-04-02,EQ,78.5,84.9,78.15,82.9,80.0,80.2,81.62,113.65,76.05,35631,2908187.6,0,ASTRAL
2007-04-03,EQ,80.25,83.0,79.1,80.2,80.1,80.25,81.18,113.65,76.05,18974,1540250.15,0,ASTRAL
2007-04-04,EQ,81.4,81.4,77.25,80.25,77.6,77.8,79.35,113.65,76.05,16410,1302065.45,0,ASTRAL
2007-04-05,EQ,77.5,83.5,77.25,77.8,79.5,78.6,80.22,113.65,76.05,27474,2204043.75,0,ASTRAL
2007-04-09,EQ,79.45,82.5,78.75,78.6,79.45,79.35,80.29,113.65,76.05,21123,1696018.6,0,ASTRAL
2007-04-10,EQ,78.2,80.6,76.1,79.35,79.5,79.75,79.74,113.65,76.05,12829,1022992.0,0,ASTRAL
2007-04-11,EQ,79.5,81.75,79.3,79.75,79.55,79.75,80.18,113.65,76.05,15542,1246213.25,0,ASTRAL
2007-04-12,EQ,78.5,80.35,78.0,79.75,78.8,78.35,78.85,113.65,76.05,3529,278251.75,0,ASTRAL
2007-04-13,EQ,76.5,79.75,76.05,78.35,77.95,77.85,78.37,113.65,76.05,6058,474793.55,0,ASTRAL
2007-04-16,EQ,78.65,85.3,78.15,77.85,83.35,83.85,82.14,113.65,76.05,53811,4420246.5,0,ASTRAL
2007-04-17,EQ,83.2,87.8,82.0,83.85,85.0,84.75,85.62,113.65,76.05,27308,2338184.0,0,ASTRAL
2007-04-18,EQ,85.0,97.4,85.0,84.75,93.1,93.05,93.79,113.65,76.05,246212,23091094.3,0,ASTRAL
2007-04-19,EQ,94.0,94.7,88.0,93.05,90.35,91.4,92.58,113.65,76.05,35026,3242807.2,0,ASTRAL
2007-04-20,EQ,91.65,93.6,87.5,91.4,87.5,88.05,90.2,113.65,76.05,18707,1687461.4,0,ASTRAL
2007-04-23,EQ,90.2,91.45,87.25,88.05,87.9,87.95,89.08,113.65,76.05,12631,1125111.8,0,ASTRAL
2007-04-24,EQ,87.0,97.7,86.5,87.95,93.0,92.7,94.46,113.65,76.05,101432,9580938.7,0,ASTRAL
2007-04-25,EQ,92.5,105.5,92.3,92.7,98.5,98.45,100.94,113.65,76.05,249354,25168766.95,0,ASTRAL
2007-04-26,EQ,101.25,105.0,95.1,98.45,96.0,96.0,100.9,113.65,76.05,92761,9359315.6,0,ASTRAL
2007-04-27,EQ,97.2,100.0,95.55,96.0,100.0,97.85,97.61,113.65,76.05,32823,3203942.1,0,ASTRAL
2007-04-30,EQ,96.2,103.85,96.2,97.85,103.0,102.15,101.44,113.65,76.05,33860,3434730.95,0,ASTRAL
2007-05-03,EQ,102.9,105.1,99.25,102.15,102.5,100.75,102.08,113.65,76.05,23057,2353549.3,0,ASTRAL
2007-05-04,EQ,101.0,108.55,101.0,100.75,104.25,104.25,105.79,113.65,76.05,101644,10752475.5,0,ASTRAL
2007-05-07,EQ,110.0,112.0,106.25,104.25,107.0,107.25,109.42,113.65,76.05,59093,6465970.5,0,ASTRAL
2007-05-08,EQ,105.0,108.0,103.5,107.25,105.0,105.4,105.75,113.65,76.05,26901,2844843.3,0,ASTRAL
2007-05-09,EQ,103.5,106.8,101.5,105.4,103.25,103.6,104.42,113.65,76.05,17874,1866426.15,0,ASTRAL
2007-05-10,EQ,102.05,109.9,102.05,103.6,107.25,108.05,106.59,113.65,76.05,30864,3289870.05,0,ASTRAL
2007-05-11,EQ,114.0,114.0,102.0,108.05,108.0,108.4,109.44,114.0,76.05,34709,3798401.05,0,ASTRAL
2007-05-14,EQ,109.1,112.4,108.8,108.4,110.0,110.1,110.28,114.0,76.05,19880,2192308.8,0,ASTRAL
2007-05-15,EQ,112.4,117.45,109.1,110.1,112.7,114.0,115.06,117.45,76.05,131197,15095704.95,0,ASTRAL
2007-05-16,EQ,115.5,117.4,111.0,114.0,112.0,112.1,113.97,117.45,76.05,26455,3015041.65,0,ASTRAL
2007-05-17,EQ,113.0,113.9,108.1,112.1,108.25,108.95,109.86,117.45,76.05,18356,2016502.0,0,ASTRAL
2007-05-18,EQ,108.15,112.5,108.0,108.95,110.0,109.55,110.12,117.45,76.05,14165,1559883.55,0,ASTRAL
2007-05-21,EQ,110.0,115.0,110.0,109.55,112.5,112.2,113.06,117.45,76.05,20641,2333738.0,0,ASTRAL
2007-05-22,EQ,111.15,116.9,111.15,112.2,114.0,114.65,115.42,117.45,76.05,85594,9879016.6,0,ASTRAL
2007-05-23,EQ,115.5,118.1,112.1,114.65,113.85,113.05,115.69,118.1,76.05,44996,5205641.1,0,ASTRAL
2007-05-24,EQ,110.35,114.0,110.35,113.05,111.35,112.25,112.49,118.1,76.05,7280,818927.2,0,ASTRAL
2007-05-25,EQ,112.5,115.85,111.0,112.25,113.15,114.25,114.02,118.1,76.05,18808,2144536.75,0,ASTRAL
2007-05-28,EQ,114.7,115.25,113.0,114.25,115.1,114.5,114.5,118.1,76.05,12635,1446667.45,0,ASTRAL
2007-05-29,EQ,114.5,114.5,112.1,114.5,114.5,113.8,113.41,118.1,76.05,8675,983843.25,0,ASTRAL
2007-05-30,EQ,113.8,114.0,112.0,113.8,113.0,112.55,113.11,118.1,76.05,10894,1232255.95,0,ASTRAL
2007-05-31,EQ,108.0,112.5,108.0,112.55,108.25,109.4,110.48,118.1,76.05,16030,1771048.3,0,ASTRAL
2007-06-01,EQ,110.9,115.25,110.9,109.4,114.5,114.75,114.18,118.1,76.05,25961,2964208.15,0,ASTRAL
2007-06-04,EQ,115.0,115.55,113.05,114.75,113.05,113.65,114.89,118.1,76.05,11580,1330425.5,0,ASTRAL
2007-06-05,EQ,113.5,114.9,111.0,113.65,111.1,111.4,112.24,118.1,76.05,4357,489032.5,0,ASTRAL
