date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2020-12-24,EQ,500.0,600.0,500.0,288.0,592.5,594.2,573.82,600.0,500.0,37066792,21269572940.25,899495,BECTORFOOD
2020-12-28,EQ,604.3,624.0,538.3,594.2,552.65,559.15,569.23,624.0,500.0,12523905,7128927161.05,468061,BECTORFOOD
2020-12-29,EQ,553.0,564.45,517.1,559.15,517.55,521.35,534.99,624.0,500.0,6256476,3347166679.6,225537,BECTORFOOD
2020-12-30,EQ,520.0,538.0,507.15,521.35,514.0,514.75,522.17,624.0,500.0,5803600,3030490795.75,202685,BECTORFOOD
2020-12-31,EQ,517.8,524.95,510.0,514.75,514.0,514.35,516.91,624.0,500.0,2382600,1231590308.15,71800,BECTORFOOD
2021-01-01,EQ,516.0,519.45,501.25,514.35,502.0,502.7,507.38,624.0,500.0,2117248,1074248141.55,59916,BECTORFOOD
2021-01-04,EQ,503.2,505.4,467.5,502.7,469.0,470.15,477.89,624.0,467.5,3119301,1490672480.1,113494,BECTORFOOD
2021-01-05,EQ,460.0,489.9,450.1,470.15,476.5,475.85,472.42,624.0,450.1,4837879,2285534455.85,156408,BECTORFOOD
2021-01-06,EQ,476.0,481.7,461.7,475.85,464.0,464.15,471.34,624.0,450.1,1166890,549997612.15,39177,BECTORFOOD
2021-01-07,EQ,461.1,468.05,455.1,464.15,456.05,455.85,460.2,624.0,450.1,713031,328136283.7,22944,BECTORFOOD
2021-01-08,EQ,457.0,467.9,453.7,455.85,456.8,456.8,460.41,624.0,450.1,955664,439995684.1,30584,BECTORFOOD
2021-01-11,EQ,465.0,465.0,451.0,456.8,452.0,453.5,454.86,624.0,450.1,789630,359167460.5,27927,BECTORFOOD
2021-01-12,EQ,451.0,451.0,435.0,453.5,437.0,436.7,440.54,624.0,435.0,1304843,574841662.2,53020,BECTORFOOD
2021-01-13,EQ,437.0,443.9,427.0,436.7,428.0,429.05,433.62,624.0,427.0,720330,312351872.25,28326,BECTORFOOD
2021-01-14,EQ,428.0,445.4,422.45,429.05,439.4,438.85,434.88,624.0,422.45,1253003,544906007.1,48722,BECTORFOOD
2021-01-15,EQ,438.0,459.9,438.0,438.85,452.0,449.05,451.37,624.0,422.45,1588383,716944875.1,57071,BECTORFOOD
2021-01-18,EQ,453.0,453.0,432.0,449.05,433.9,433.95,437.8,624.0,422.45,455523,199428591.35,22531,BECTORFOOD
2021-01-19,EQ,439.45,443.7,434.0,433.95,434.7,434.7,437.71,624.0,422.45,363002,158890539.0,15876,BECTORFOOD
2021-01-20,EQ,434.7,439.5,430.0,434.7,431.15,431.35,434.22,624.0,422.45,370929,161063207.0,16929,BECTORFOOD
2021-01-21,EQ,430.0,432.0,407.1,431.35,409.9,409.85,413.35,624.0,407.1,2927474,1210074064.95,174580,BECTORFOOD
2021-01-22,EQ,410.0,427.9,394.0,409.85,397.0,396.55,408.14,624.0,394.0,1827611,745913630.15,64585,BECTORFOOD
2021-01-25,EQ,397.25,400.6,377.0,396.55,393.2,392.45,388.94,624.0,377.0,1026018,399062637.9,40199,BECTORFOOD
2021-01-27,EQ,392.0,395.8,384.05,392.45,386.5,386.5,389.55,624.0,377.0,562871,219263972.6,26104,BECTORFOOD
2021-01-28,EQ,380.0,391.45,379.65,386.5,383.5,384.0,386.52,624.0,377.0,463043,178975385.05,26393,BECTORFOOD
2021-01-29,EQ,388.0,389.75,372.5,384.0,374.0,374.95,380.7,624.0,372.5,382485,145611226.1,19170,BECTORFOOD
2021-02-01,EQ,372.0,382.3,370.6,374.95,376.4,376.2,376.01,624.0,370.6,639305,240383817.55,17587,BECTORFOOD
2021-02-02,EQ,382.0,408.95,378.65,376.2,408.0,405.15,397.12,624.0,370.6,1499601,595525849.2,46396,BECTORFOOD
2021-02-03,EQ,410.0,419.15,402.6,405.15,410.5,411.3,413.28,624.0,370.6,1023770,423104183.5,30170,BECTORFOOD
2021-02-04,EQ,415.2,423.95,411.4,411.3,419.9,418.5,417.71,624.0,370.6,685406,286300573.25,23166,BECTORFOOD
2021-02-05,EQ,424.0,426.9,409.6,418.5,410.9,410.85,417.29,624.0,370.6,658799,274911102.85,22817,BECTORFOOD
2021-02-08,EQ,417.8,421.9,409.0,410.85,409.5,410.3,413.99,624.0,370.6,803027,332447152.55,23355,BECTORFOOD
2021-02-09,EQ,413.0,413.7,395.0,410.3,397.5,397.15,401.74,624.0,370.6,734358,295020271.75,25181,BECTORFOOD
2021-02-10,EQ,398.95,399.0,386.25,397.15,389.1,389.3,389.6,624.0,370.6,680537,265135626.05,18495,BECTORFOOD
2021-02-11,EQ,389.5,394.0,386.2,389.3,387.15,387.2,389.6,624.0,370.6,445939,173736172.2,14288,BECTORFOOD
2021-02-12,EQ,390.0,396.9,387.9,387.2,391.45,391.1,391.52,624.0,370.6,698854,273612766.1,14112,BECTORFOOD
2021-02-15,EQ,392.0,395.45,386.85,391.1,391.9,392.1,390.43,624.0,370.6,302556,118126604.8,8352,BECTORFOOD
2021-02-16,EQ,391.75,393.55,381.6,392.1,382.5,384.3,386.14,624.0,370.6,464991,179549357.2,11564,BECTORFOOD
2021-02-17,EQ,382.5,387.9,380.2,384.3,384.2,384.95,384.2,624.0,370.6,372380,143068451.25,7097,BECTORFOOD
2021-02-18,EQ,386.0,410.0,381.85,384.95,405.5,405.8,398.28,624.0,370.6,1136869,452789894.55,33091,BECTORFOOD
2021-02-19,EQ,406.65,418.85,400.0,405.8,401.7,403.5,410.81,624.0,370.6,808501,332143421.55,23639,BECTORFOOD
2021-02-22,EQ,406.65,406.65,393.6,403.5,395.2,395.25,396.52,624.0,370.6,300877,119303274.45,8850,BECTORFOOD
2021-02-23,EQ,395.0,415.95,394.75,395.25,405.5,405.3,407.38,624.0,370.6,876903,357231740.3,28160,BECTORFOOD
2021-02-24,EQ,408.4,412.45,402.5,405.3,406.0,406.35,407.59,624.0,370.6,234201,95458806.7,7314,BECTORFOOD
2021-02-25,EQ,407.6,411.5,403.0,406.35,406.4,408.25,407.12,624.0,370.6,316326,128781148.5,8213,BECTORFOOD
2021-02-26,EQ,402.0,407.85,396.35,408.25,401.8,400.15,401.2,624.0,370.6,470941,188940350.35,14144,BECTORFOOD
2021-03-01,EQ,405.0,405.0,390.2,400.15,390.75,392.25,393.98,624.0,370.6,648802,255613090.1,20807,BECTORFOOD
2021-03-02,EQ,395.0,400.45,393.05,392.25,395.25,395.3,395.72,624.0,370.6,407258,161158618.6,12416,BECTORFOOD
2021-03-03,EQ,397.0,407.0,394.0,395.3,394.4,394.9,398.15,624.0,370.6,617417,245825323.4,14487,BECTORFOOD
2021-03-04,EQ,394.05,400.0,393.0,394.9,397.0,395.9,395.83,624.0,370.6,354768,140428310.5,8607,BECTORFOOD
2021-03-05,EQ,395.9,400.5,393.0,395.9,394.0,393.8,396.04,624.0,370.6,360583,142804366.55,8643,BECTORFOOD
2021-03-08,EQ,394.1,396.8,390.0,393.8,390.65,390.4,393.29,624.0,370.6,253632,99751433.6,7350,BECTORFOOD
2021-03-09,EQ,391.5,397.45,385.05,390.4,387.0,386.95,390.34,624.0,370.6,367294,143367705.15,12589,BECTORFOOD
2021-03-10,EQ,389.95,391.7,385.75,386.95,386.1,386.25,387.7,624.0,370.6,206693,80134892.55,7620,BECTORFOOD
2021-03-12,EQ,390.75,390.75,380.05,386.25,380.9,381.0,385.36,624.0,370.6,301892,116336903.9,8568,BECTORFOOD
2021-03-15,EQ,381.0,382.35,370.65,381.0,375.25,375.1,374.83,624.0,370.6,322593,120916674.1,11289,BECTORFOOD
2021-03-16,EQ,375.0,381.85,373.65,375.1,375.0,375.25,376.81,624.0,370.6,331543,124927517.4,10121,BECTORFOOD
2021-03-17,EQ,376.95,376.95,362.0,375.25,363.0,362.95,369.23,624.0,362.0,282740,104395005.3,11537,BECTORFOOD
