date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,10.05,10.5,10.05,10.05,10.5,10.5,10.4,13.75,5.0,500,5200.0,0,BHANSALENG
2000-01-04,EQ,9.0,10.55,9.0,10.5,10.05,10.05,10.12,13.75,5.0,1700,17197.5,0,BHANSALENG
2000-01-06,EQ,10.0,10.0,9.2,10.05,9.5,9.4,9.35,13.75,5.0,750,7015.0,0,BHANSALENG
2000-01-07,EQ,9.05,9.05,8.8,9.4,9.0,9.0,8.99,13.75,5.0,950,8542.5,0,BHANSALENG
2000-01-10,EQ,9.0,9.5,9.0,9.0,9.15,9.15,9.27,13.75,5.0,2400,22250.0,0,BHANSALENG
2000-01-11,EQ,8.55,9.0,8.5,9.15,9.0,9.0,8.55,13.75,5.0,1100,9410.0,0,BHANSALENG
2000-01-12,EQ,8.75,10.0,8.75,9.0,10.0,10.0,9.34,13.75,5.0,4000,37340.0,0,BHANSALENG
2000-01-13,EQ,10.05,10.05,9.5,10.0,9.5,9.5,9.79,13.75,5.0,1000,9790.0,0,BHANSALENG
2000-01-17,EQ,8.3,8.5,8.2,9.5,8.5,8.5,8.38,13.75,5.0,1100,9220.0,0,BHANSALENG
2000-01-18,EQ,7.4,8.35,7.4,8.5,8.35,8.35,8.06,13.75,5.0,550,4432.5,0,BHANSALENG
2000-01-19,EQ,8.0,8.0,8.0,8.35,8.0,8.0,8.0,13.75,5.0,100,800.0,0,BHANSALENG
2000-01-20,EQ,9.0,9.0,9.0,8.0,9.0,9.0,9.0,13.75,5.0,200,1800.0,0,BHANSALENG
2000-01-24,EQ,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.75,5.0,1300,11700.0,0,BHANSALENG
2000-01-25,EQ,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.75,5.0,100,900.0,0,BHANSALENG
2000-02-01,EQ,8.0,8.0,8.0,9.0,8.0,8.0,8.0,13.75,5.0,100,800.0,0,BHANSALENG
2000-02-02,EQ,7.5,7.6,7.5,8.0,7.6,7.6,7.57,13.75,5.0,150,1135.0,0,BHANSALENG
